"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time"
26,"Catenate","inception_3a/output",896.,0,0,0,0,0,64,28,28,256,28,28,"","","","","","","",678.,2410.,0.
98,"Catenate","inception_4d/output",557.,0,0,0,0,0,112,14,14,528,14,14,"","","","","","","",337.,1289.,0.
84,"Catenate","inception_4c/output",591.,0,0,0,0,0,128,14,14,512,14,14,"","","","","","","",372.,1250.,0.
40,"Catenate","inception_3b/output",1413.,0,0,0,0,0,128,28,28,480,28,28,"","","","","","","",1261.,4412.,0.
70,"Catenate","inception_4b/output",558.,0,0,0,0,0,160,14,14,512,14,14,"","","","","","","",450.,1249.,0.
56,"Catenate","inception_4a/output",540.,0,0,0,0,0,192,14,14,512,14,14,"","","","","","","",529.,1253.,0.
128,"Catenate","inception_5a/output",401.,0,0,0,0,0,256,7,7,832,7,7,"","","","","","","",226.,563.,0.
112,"Catenate","inception_4e/output",755.,0,0,0,0,0,256,14,14,832,14,14,"","","","","","","",676.,1972.,0.
142,"Catenate","inception_5b/output",455.,0,0,0,0,0,384,7,7,1024,7,7,"","","","","","","",285.,642.,0.
6,"Convolution","conv2_3x3_reduce",1259.,0,0,0,0,12845056,64,56,56,64,56,56,"",1,1,1,1,1,1,2411.,2408.,10202.586179507545
19,"Convolution","inception_3a/5x5_reduce",346.,0,0,0,0,2408448,192,28,28,16,28,28,"",1,1,1,1,1,1,1837.,224.,6960.832369942196
24,"Convolution","inception_3a/pool_proj",402.,0,0,0,0,4816896,192,28,28,32,28,28,"",1,1,1,1,1,1,1838.,375.,11982.328358208955
13,"Convolution","inception_3a/1x1",493.,0,0,0,0,9633792,192,28,28,64,28,28,"",1,1,1,1,1,1,1837.,677.,19541.160243407707
15,"Convolution","inception_3a/3x3_reduce",588.,0,0,0,0,14450688,192,28,28,96,28,28,"",1,1,1,1,1,1,1840.,971.,24576.
33,"Convolution","inception_3b/5x5_reduce",467.,0,0,0,0,6422528,256,28,28,32,28,28,"",1,1,1,1,1,1,2408.,374.,13752.736616702356
38,"Convolution","inception_3b/pool_proj",569.,0,0,0,0,12845056,256,28,28,64,28,28,"",1,1,1,1,1,1,2406.,676.,22574.790861159927
27,"Convolution","inception_3b/1x1",773.,0,0,0,0,25690112,256,28,28,128,28,28,"",1,1,1,1,1,1,2412.,1261.,33234.29754204399
29,"Convolution","inception_3b/3x3_reduce",775.,0,0,0,0,25690112,256,28,28,128,28,28,"",1,1,1,1,1,1,2409.,1259.,33148.53161290323
49,"Convolution","inception_4a/5x5_reduce",295.,0,0,0,0,1505280,480,14,14,16,14,14,"",1,1,1,1,1,1,1294.,153.,5102.64406779661
54,"Convolution","inception_4a/pool_proj",347.,0,0,0,0,6021120,480,14,14,64,14,14,"",1,1,1,1,1,1,1176.,225.,17351.93083573487
45,"Convolution","inception_4a/3x3_reduce",386.,0,0,0,0,9031680,480,14,14,96,14,14,"",1,1,1,1,1,1,1156.,284.,23398.134715025906
43,"Convolution","inception_4a/1x1",523.,0,0,0,0,18063360,480,14,14,192,14,14,"",1,1,1,1,1,1,1165.,500.,34537.97323135755
77,"Convolution","inception_4c/5x5_reduce",312.,0,0,0,0,2408448,512,14,14,24,14,14,"",1,1,1,1,1,1,1253.,133.,7719.384615384615
63,"Convolution","inception_4b/5x5_reduce",315.,0,0,0,0,2408448,512,14,14,24,14,14,"",1,1,1,1,1,1,1251.,133.,7645.866666666667
91,"Convolution","inception_4d/5x5_reduce",315.,0,0,0,0,3211264,512,14,14,32,14,14,"",1,1,1,1,1,1,1253.,152.,10194.488888888889
82,"Convolution","inception_4c/pool_proj",354.,0,0,0,0,6422528,512,14,14,64,14,14,"",1,1,1,1,1,1,1253.,228.,18142.734463276836
