"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time"
67,"Aggregation","pool10",3868.,196000,196000,0,0,0,1000,14,14,1000,"","","Mean","","","","","","",2353.,89.,0.
17,"Catenate","fire3/concat",1401.,0,0,0,0,0,64,56,56,128,56,56,"","","","","","","",2407.,4696.,0.
10,"Catenate","fire2/concat",1407.,0,0,0,0,0,64,56,56,128,56,56,"","","","","","","",2406.,4697.,0.
33,"Catenate","fire5/concat",822.,0,0,0,0,0,128,28,28,256,28,28,"","","","","","","",1259.,2403.,0.
26,"Catenate","fire4/concat",829.,0,0,0,0,0,128,28,28,256,28,28,"","","","","","","",1260.,2405.,0.
42,"Catenate","fire6/concat",441.,0,0,0,0,0,192,14,14,384,14,14,"","","","","","","",528.,974.,0.
49,"Catenate","fire7/concat",444.,0,0,0,0,0,192,14,14,384,14,14,"","","","","","","",528.,977.,0.
63,"Catenate","fire9/concat",522.,0,0,0,0,0,256,14,14,512,14,14,"","","","","","","",677.,1258.,0.
56,"Catenate","fire8/concat",525.,0,0,0,0,0,256,14,14,512,14,14,"","","","","","","",675.,1260.,0.
13,"Convolution","fire3/expand1x1",787.,0,0,0,0,3211264,16,56,56,64,56,56,"",1,1,1,1,1,1,676.,2407.,4080.3862770012706
6,"Convolution","fire2/expand1x1",814.,0,0,0,0,3211264,16,56,56,64,56,56,"",1,1,1,1,1,1,683.,2467.,3945.041769041769
22,"Convolution","fire4/expand1x1",509.,0,0,0,0,3211264,32,28,28,128,28,28,"",1,1,1,1,1,1,379.,1255.,6308.966601178781
29,"Convolution","fire5/expand1x1",714.,0,0,0,0,3211264,32,28,28,128,28,28,"",1,1,1,1,1,1,378.,1261.,4497.568627450981
45,"Convolution","fire7/expand1x1",327.,0,0,0,0,1806336,48,14,14,192,14,14,"",1,1,1,1,1,1,190.,529.,5523.963302752293
38,"Convolution","fire6/expand1x1",335.,0,0,0,0,1806336,48,14,14,192,14,14,"",1,1,1,1,1,1,189.,528.,5392.04776119403
59,"Convolution","fire9/expand1x1",361.,0,0,0,0,3211264,64,14,14,256,14,14,"",1,1,1,1,1,1,228.,677.,8895.468144044322
52,"Convolution","fire8/expand1x1",364.,0,0,0,0,3211264,64,14,14,256,14,14,"",1,1,1,1,1,1,229.,674.,8822.153846153848
4,"Convolution","fire2/squeeze1x1",484.,0,0,0,0,3211264,64,56,56,16,56,56,"",1,1,1,1,1,1,2472.,685.,6634.842975206611
20,"Convolution","fire4/squeeze1x1",360.,0,0,0,0,3211264,128,28,28,32,28,28,"",1,1,1,1,1,1,1258.,377.,8920.177777777779
11,"Convolution","fire3/squeeze1x1",602.,0,0,0,0,6422528,128,56,56,16,56,56,"",1,1,1,1,1,1,4699.,675.,10668.651162790698
36,"Convolution","fire6/squeeze1x1",298.,0,0,0,0,2408448,256,14,14,48,14,14,"",1,1,1,1,1,1,675.,188.,8082.040268456376
27,"Convolution","fire5/squeeze1x1",457.,0,0,0,0,6422528,256,28,28,32,28,28,"",1,1,1,1,1,1,2402.,377.,14053.671772428883
43,"Convolution","fire7/squeeze1x1",317.,0,0,0,0,3612672,384,14,14,48,14,14,"",1,1,1,1,1,1,968.,191.,11396.441640378549
50,"Convolution","fire8/squeeze1x1",327.,0,0,0,0,4816896,384,14,14,64,14,14,"",1,1,1,1,1,1,970.,229.,14730.56880733945
57,"Convolution","fire9/squeeze1x1",355.,0,0,0,0,6422528,512,14,14,64,14,14,"",1,1,1,1,1,1,1258.,227.,18091.628169014086
65,"Convolution","conv10",1444.,0,0,0,0,100352000,512,14,14,1000,14,14,"",1,1,1,1,1,1,1258.,2350.,69495.84487534626
15,"Convolution","fire3/expand3x3",1203.,0,0,0,0,28901376,16,56,56,64,56,56,"",3,3,1,1,1,1,676.,2404.,24024.418952618453
8,"Convolution","fire2/expand3x3",1452.,0,0,0,0,28901376,16,56,56,64,56,56,"",3,3,1,1,1,1,686.,2466.,19904.528925619834
31,"Convolution","fire5/expand3x3",820.,0,0,0,0,28901376,32,28,28,128,28,28,"",3,3,1,1,1,1,379.,1259.,35245.58048780488
24,"Convolution","fire4/expand3x3",823.,0,0,0,0,28901376,32,28,28,128,28,28,"",3,3,1,1,1,1,377.,1258.,35117.103280680436
47,"Convolution","fire7/expand3x3",501.,0,0,0,0,16257024,48,14,14,192,14,14,"",3,3,1,1,1,1,190.,529.,32449.1497005988
40,"Convolution","fire6/expand3x3",505.,0,0,0,0,16257024,48,14,14,192,14,14,"",3,3,1,1,1,1,190.,528.,32192.126732673267
61,"Convolution","fire9/expand3x3",713.,0,0,0,0,28901376,64,14,14,256,14,14,"",3,3,1,1,1,1,226.,676.,40534.88920056101
54,"Convolution","fire8/expand3x3",717.,0,0,0,0,28901376,64,14,14,256,14,14,"",3,3,1,1,1,1,226.,675.,40308.75313807531
1,"Convolution","conv1",3290.,0,0,0,0,22064832,3,227,227,64,113,113,"",3,3,2,2,1,1,2059.,10300.,6706.635866261398
64,"Dropout","drop9",494.,0,0,0,0,100352,512,14,14,512,14,14,"","","","","","","",1260.,1259.,203.1417004048583
12,"Elementwise","fire3/relu_squeeze1x1",336.,0,0,50176,0,50176,16,56,56,16,56,56,"Ramp","","","","","","",676.,676.,149.33333333333331
5,"Elementwise","fire2/relu_squeeze1x1",352.,0,0,50176,0,50176,16,56,56,16,56,56,"Ramp","","","","","","",685.,685.,142.54545454545456
28,"Elementwise","fire5/relu_squeeze1x1",269.,0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",378.,380.,93.2639405204461
21,"Elementwise","fire4/relu_squeeze1x1",271.,0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",378.,378.,92.57564575645756
37,"Elementwise","fire6/relu_squeeze1x1",212.,0,0,9408,0,9408,48,14,14,48,14,14,"Ramp","","","","","","",191.,189.,44.37735849056604
44,"Elementwise","fire7/relu_squeeze1x1",212.,0,0,9408,0,9408,48,14,14,48,14,14,"Ramp","","","","","","",191.,189.,44.37735849056604
58,"Elementwise","fire9/relu_squeeze1x1",207.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",228.,226.,60.59903381642512
51,"Elementwise","fire8/relu_squeeze1x1",208.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",223.,221.,60.307692307692314
7,"Elementwise","fire2/relu_expand1x1",765.,0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2467.,2466.,262.3581699346405
9,"Elementwise","fire2/relu_expand3x3",767.,0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2475.,2620.,261.67405475880054
