"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","mad/time"
32,"BatchNormalization","stage0_block2/bn_branch2b",506.7,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
12,"BatchNormalization","stage0_block0/bn_branch2b",520.1,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
29,"BatchNormalization","stage0_block2/bn_branch2a",530.3,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
19,"BatchNormalization","stage0_block1/bn_branch2a",533.57,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
9,"BatchNormalization","stage0_block0/bn_branch2a",535.33,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
22,"BatchNormalization","stage0_block1/bn_branch2b",536.73,100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",0.
51,"BatchNormalization","stage1_block1/bn_branch2a",360.03000000000003,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
71,"BatchNormalization","stage1_block3/bn_branch2a",369.5,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
74,"BatchNormalization","stage1_block3/bn_branch2b",370.93,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
64,"BatchNormalization","stage1_block2/bn_branch2b",373.83,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
54,"BatchNormalization","stage1_block1/bn_branch2b",374.53000000000003,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
41,"BatchNormalization","stage1_block0/bn_branch2a",374.83,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
44,"BatchNormalization","stage1_block0/bn_branch2b",374.87,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
61,"BatchNormalization","stage1_block2/bn_branch2a",375.03000000000003,50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",0.
2,"BatchNormalization","bn_1",3158.07,802816,802816,0,0,0,64,112,112,64,112,112,"","","","","","","",0.
106,"BatchNormalization","stage2_block2/bn_branch2b",280.37,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
113,"BatchNormalization","stage2_block3/bn_branch2a",281.17,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
116,"BatchNormalization","stage2_block3/bn_branch2b",281.83,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
136,"BatchNormalization","stage2_block5/bn_branch2b",282.73,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
86,"BatchNormalization","stage2_block0/bn_branch2b",283.3,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
123,"BatchNormalization","stage2_block4/bn_branch2a",283.37,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
83,"BatchNormalization","stage2_block0/bn_branch2a",283.53000000000003,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
103,"BatchNormalization","stage2_block2/bn_branch2a",283.53000000000003,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
126,"BatchNormalization","stage2_block4/bn_branch2b",284.13,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
96,"BatchNormalization","stage2_block1/bn_branch2b",286.33,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
93,"BatchNormalization","stage2_block1/bn_branch2a",286.37,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
133,"BatchNormalization","stage2_block5/bn_branch2a",292.77,25088,25088,0,0,0,128,14,14,128,14,14,"","","","","","","",0.
7,"BatchNormalization","stage0_block0/bn_proj_shortcut",1458.3,401408,401408,0,0,0,128,56,56,128,56,56,"","","","","","","",0.
