"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv_conv2d","conv_batchnorm",3119.,3669.,550.
2,3,"conv_batchnorm","conv_relu",2529.,2920.,391.
3,4,"conv_relu","conv_1_conv2d",2510.,10132.,7622.
4,5,"conv_1_conv2d","conv_1_batchnorm",9385.,10706.,1321.
5,6,"conv_1_batchnorm","conv_1_relu",2631.,2865.,234.
6,7,"conv_1_relu","conv_2_conv2d",2427.,12403.,9976.
7,8,"conv_2_conv2d","conv_2_batchnorm",12177.,13064.,887.
8,9,"conv_2_batchnorm","conv_2_relu",5934.,6863.,929.
9,10,"conv_2_relu","pool",5833.,5089.,-744.
10,11,"pool","conv_3_conv2d",4304.,4809.,505.
11,12,"conv_3_conv2d","conv_3_batchnorm",1380.,1603.,223.
12,13,"conv_3_batchnorm","conv_3_relu",1470.,1720.,250.
13,14,"conv_3_relu","conv_4_conv2d",1443.,8934.,7491.
14,15,"conv_4_conv2d","conv_4_batchnorm",8566.,9232.,666.
15,16,"conv_4_batchnorm","conv_4_relu",3785.,4409.,624.
16,17,"conv_4_relu","pool1",3737.,3496.,-241.
17,18,"pool1","Inception1/mixed_conv_conv2d",3038.,2783.,-255.
18,19,"Inception1/mixed_conv_conv2d","Inception1/mixed_conv_batchnorm",564.,605.,41.
19,20,"Inception1/mixed_conv_batchnorm","Inception1/mixed_conv_relu",441.,492.,51.
20,21,"Inception1/mixed_conv_relu","Inception1/mixed_tower_conv_conv2d",435.,-999,-999
21,22,"Inception1/mixed_tower_conv_conv2d","Inception1/mixed_tower_conv_batchnorm",518.,549.,31.
22,23,"Inception1/mixed_tower_conv_batchnorm","Inception1/mixed_tower_conv_relu",373.,429.,56.
23,24,"Inception1/mixed_tower_conv_relu","Inception1/mixed_tower_conv_1_conv2d",348.,1920.,1572.
24,25,"Inception1/mixed_tower_conv_1_conv2d","Inception1/mixed_tower_conv_1_batchnorm",1915.,1957.,42.
25,26,"Inception1/mixed_tower_conv_1_batchnorm","Inception1/mixed_tower_conv_1_relu",438.,488.,50.
26,27,"Inception1/mixed_tower_conv_1_relu","Inception1/mixed_tower_1_conv_conv2d",432.,-999,-999
27,28,"Inception1/mixed_tower_1_conv_conv2d","Inception1/mixed_tower_1_conv_batchnorm",562.,597.,35.
28,29,"Inception1/mixed_tower_1_conv_batchnorm","Inception1/mixed_tower_1_conv_relu",437.,491.,54.
29,30,"Inception1/mixed_tower_1_conv_relu","Inception1/mixed_tower_1_conv_1_conv2d",431.,1341.,910.
30,31,"Inception1/mixed_tower_1_conv_1_conv2d","Inception1/mixed_tower_1_conv_1_batchnorm",1317.,1374.,57.
31,32,"Inception1/mixed_tower_1_conv_1_batchnorm","Inception1/mixed_tower_1_conv_1_relu",556.,634.,78.
32,33,"Inception1/mixed_tower_1_conv_1_relu","Inception1/mixed_tower_1_conv_2_conv2d",556.,1758.,1202.
33,34,"Inception1/mixed_tower_1_conv_2_conv2d","Inception1/mixed_tower_1_conv_2_batchnorm",1724.,1762.,38.
34,35,"Inception1/mixed_tower_1_conv_2_batchnorm","Inception1/mixed_tower_1_conv_2_relu",555.,636.,81.
35,36,"Inception1/mixed_tower_1_conv_2_relu","Inception1/avg_pool_mixed_pool",557.,-999,-999
36,37,"Inception1/avg_pool_mixed_pool","Inception1/mixed_tower_2_conv_conv2d",2991.,2680.,-311.
37,38,"Inception1/mixed_tower_2_conv_conv2d","Inception1/mixed_tower_2_conv_batchnorm",465.,489.,24.
38,39,"Inception1/mixed_tower_2_conv_batchnorm","Inception1/mixed_tower_2_conv_relu",314.,345.,31.
39,40,"Inception1/mixed_tower_2_conv_relu","Inception1/ch_concat_mixed_chconcat",301.,-999,-999
40,41,"Inception1/ch_concat_mixed_chconcat","Inception2/mixed_1_conv_conv2d",1182.,896.,-286.
41,42,"Inception2/mixed_1_conv_conv2d","Inception2/mixed_1_conv_batchnorm",658.,702.,44.
42,43,"Inception2/mixed_1_conv_batchnorm","Inception2/mixed_1_conv_relu",446.,488.,42.
43,44,"Inception2/mixed_1_conv_relu","Inception2/mixed_1_tower_conv_conv2d",432.,-999,-999
44,45,"Inception2/mixed_1_tower_conv_conv2d","Inception2/mixed_1_tower_conv_batchnorm",613.,642.,29.
45,46,"Inception2/mixed_1_tower_conv_batchnorm","Inception2/mixed_1_tower_conv_relu",375.,420.,45.
46,47,"Inception2/mixed_1_tower_conv_relu","Inception2/mixed_1_tower_conv_1_conv2d",369.,1921.,1552.
47,48,"Inception2/mixed_1_tower_conv_1_conv2d","Inception2/mixed_1_tower_conv_1_batchnorm",1916.,1949.,33.
48,49,"Inception2/mixed_1_tower_conv_1_batchnorm","Inception2/mixed_1_tower_conv_1_relu",435.,488.,53.
49,50,"Inception2/mixed_1_tower_conv_1_relu","Inception2/mixed_1_tower_1_conv_conv2d",429.,-999,-999
50,51,"Inception2/mixed_1_tower_1_conv_conv2d","Inception2/mixed_1_tower_1_conv_batchnorm",655.,700.,45.
51,52,"Inception2/mixed_1_tower_1_conv_batchnorm","Inception2/mixed_1_tower_1_conv_relu",447.,459.,12.
52,53,"Inception2/mixed_1_tower_1_conv_relu","Inception2/mixed_1_tower_1_conv_1_conv2d",401.,2056.,1655.
53,54,"Inception2/mixed_1_tower_1_conv_1_conv2d","Inception2/mixed_1_tower_1_conv_1_batchnorm",1764.,1813.,49.
54,55,"Inception2/mixed_1_tower_1_conv_1_batchnorm","Inception2/mixed_1_tower_1_conv_1_relu",566.,727.,161.
55,56,"Inception2/mixed_1_tower_1_conv_1_relu","Inception2/mixed_1_tower_1_conv_2_conv2d",514.,2846.,2332.
56,57,"Inception2/mixed_1_tower_1_conv_2_conv2d","Inception2/mixed_1_tower_1_conv_2_batchnorm",1704.,1760.,56.
57,58,"Inception2/mixed_1_tower_1_conv_2_batchnorm","Inception2/mixed_1_tower_1_conv_2_relu",545.,626.,81.
58,59,"Inception2/mixed_1_tower_1_conv_2_relu","Inception2/avg_pool_mixed_1_pool",548.,-999,-999
59,60,"Inception2/avg_pool_mixed_1_pool","Inception2/mixed_1_tower_2_conv_conv2d",3891.,3574.,-317.
60,61,"Inception2/mixed_1_tower_2_conv_conv2d","Inception2/mixed_1_tower_2_conv_batchnorm",655.,695.,40.
61,62,"Inception2/mixed_1_tower_2_conv_batchnorm","Inception2/mixed_1_tower_2_conv_relu",436.,483.,47.
62,63,"Inception2/mixed_1_tower_2_conv_relu","Inception2/ch_concat_mixed_1_chconcat",428.,-999,-999
63,64,"Inception2/ch_concat_mixed_1_chconcat","Inception3/mixed_2_conv_conv2d",1288.,889.,-399.
64,65,"Inception3/mixed_2_conv_conv2d","Inception3/mixed_2_conv_batchnorm",639.,669.,30.
65,66,"Inception3/mixed_2_conv_batchnorm","Inception3/mixed_2_conv_relu",427.,476.,49.
66,67,"Inception3/mixed_2_conv_relu","Inception3/mixed_2_tower_conv_conv2d",421.,-999,-999
67,68,"Inception3/mixed_2_tower_conv_conv2d","Inception3/mixed_2_tower_conv_batchnorm",585.,613.,28.
68,69,"Inception3/mixed_2_tower_conv_batchnorm","Inception3/mixed_2_tower_conv_relu",378.,417.,39.
69,70,"Inception3/mixed_2_tower_conv_relu","Inception3/mixed_2_tower_conv_1_conv2d",369.,1920.,1551.
70,71,"Inception3/mixed_2_tower_conv_1_conv2d","Inception3/mixed_2_tower_conv_1_batchnorm",1908.,1942.,34.
71,72,"Inception3/mixed_2_tower_conv_1_batchnorm","Inception3/mixed_2_tower_conv_1_relu",430.,481.,51.
72,73,"Inception3/mixed_2_tower_conv_1_relu","Inception3/mixed_2_tower_1_conv_conv2d",429.,-999,-999
73,74,"Inception3/mixed_2_tower_1_conv_conv2d","Inception3/mixed_2_tower_1_conv_batchnorm",636.,668.,32.
74,75,"Inception3/mixed_2_tower_1_conv_batchnorm","Inception3/mixed_2_tower_1_conv_relu",434.,482.,48.
75,76,"Inception3/mixed_2_tower_1_conv_relu","Inception3/mixed_2_tower_1_conv_1_conv2d",429.,1336.,907.
76,77,"Inception3/mixed_2_tower_1_conv_1_conv2d","Inception3/mixed_2_tower_1_conv_1_batchnorm",1305.,1371.,66.
77,78,"Inception3/mixed_2_tower_1_conv_1_batchnorm","Inception3/mixed_2_tower_1_conv_1_relu",552.,631.,79.
78,79,"Inception3/mixed_2_tower_1_conv_1_relu","Inception3/mixed_2_tower_1_conv_2_conv2d",551.,1747.,1196.
79,80,"Inception3/mixed_2_tower_1_conv_2_conv2d","Inception3/mixed_2_tower_1_conv_2_batchnorm",1696.,1760.,64.
80,81,"Inception3/mixed_2_tower_1_conv_2_batchnorm","Inception3/mixed_2_tower_1_conv_2_relu",552.,632.,80.
81,82,"Inception3/mixed_2_tower_1_conv_2_relu","Inception3/avg_pool_mixed_2_pool",549.,-999,-999
82,83,"Inception3/avg_pool_mixed_2_pool","Inception3/mixed_2_tower_2_conv_conv2d",4372.,3928.,-444.
83,84,"Inception3/mixed_2_tower_2_conv_conv2d","Inception3/mixed_2_tower_2_conv_batchnorm",635.,674.,39.
84,85,"Inception3/mixed_2_tower_2_conv_batchnorm","Inception3/mixed_2_tower_2_conv_relu",432.,483.,51.
85,86,"Inception3/mixed_2_tower_2_conv_relu","Inception3/ch_concat_mixed_2_chconcat",426.,-999,-999
86,87,"Inception3/ch_concat_mixed_2_chconcat","Inception4/mixed_3_conv_conv2d",1294.,2500.,1206.
87,88,"Inception4/mixed_3_conv_conv2d","Inception4/mixed_3_conv_batchnorm",2530.,2315.,-215.
88,89,"Inception4/mixed_3_conv_batchnorm","Inception4/mixed_3_conv_relu",532.,600.,68.
89,90,"Inception4/mixed_3_conv_relu","Inception4/mixed_3_tower_conv_conv2d",495.,-999,-999
90,91,"Inception4/mixed_3_tower_conv_conv2d","Inception4/mixed_3_tower_conv_batchnorm",674.,715.,41.
91,92,"Inception4/mixed_3_tower_conv_batchnorm","Inception4/mixed_3_tower_conv_relu",420.,507.,87.
92,93,"Inception4/mixed_3_tower_conv_relu","Inception4/mixed_3_tower_conv_1_conv2d",400.,1557.,1157.
93,94,"Inception4/mixed_3_tower_conv_1_conv2d","Inception4/mixed_3_tower_conv_1_batchnorm",1543.,1609.,66.
94,95,"Inception4/mixed_3_tower_conv_1_batchnorm","Inception4/mixed_3_tower_conv_1_relu",562.,718.,156.
95,96,"Inception4/mixed_3_tower_conv_1_relu","Inception4/mixed_3_tower_conv_2_conv2d",522.,964.,442.
96,97,"Inception4/mixed_3_tower_conv_2_conv2d","Inception4/mixed_3_tower_conv_2_batchnorm",838.,793.,-45.
97,98,"Inception4/mixed_3_tower_conv_2_batchnorm","Inception4/mixed_3_tower_conv_2_relu",405.,316.,-89.
98,99,"Inception4/mixed_3_tower_conv_2_relu","Inception4/max_pool_mixed_3_pool",270.,-999,-999
99,100,"Inception4/max_pool_mixed_3_pool","Inception4/ch_concat_mixed_3_chconcat",1171.,-999,-999
100,101,"Inception4/ch_concat_mixed_3_chconcat","Inception5/mixed_4_conv_conv2d",856.,979.,123.
101,102,"Inception5/mixed_4_conv_conv2d","Inception5/mixed_4_conv_batchnorm",786.,816.,30.
102,103,"Inception5/mixed_4_conv_batchnorm","Inception5/mixed_4_conv_relu",357.,420.,63.
103,104,"Inception5/mixed_4_conv_relu","Inception5/mixed_4_tower_conv_conv2d",339.,-999,-999
104,105,"Inception5/mixed_4_tower_conv_conv2d","Inception5/mixed_4_tower_conv_batchnorm",636.,680.,44.
105,106,"Inception5/mixed_4_tower_conv_batchnorm","Inception5/mixed_4_tower_conv_relu",305.,363.,58.
106,107,"Inception5/mixed_4_tower_conv_relu","Inception5/mixed_4_tower_conv_1_conv2d",281.,929.,648.
107,108,"Inception5/mixed_4_tower_conv_1_conv2d","Inception5/mixed_4_tower_conv_1_batchnorm",920.,1059.,139.
108,109,"Inception5/mixed_4_tower_conv_1_batchnorm","Inception5/mixed_4_tower_conv_1_relu",307.,356.,49.
109,110,"Inception5/mixed_4_tower_conv_1_relu","Inception5/mixed_4_tower_conv_2_conv2d",299.,1053.,754.
110,111,"Inception5/mixed_4_tower_conv_2_conv2d","Inception5/mixed_4_tower_conv_2_batchnorm",1194.,1074.,-120.
111,112,"Inception5/mixed_4_tower_conv_2_batchnorm","Inception5/mixed_4_tower_conv_2_relu",372.,449.,77.
