"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
32,"Flatten","flatten_0",0,0,0,0,0,512,7,7,25088,"","","","","","","","","",355.,355.,0.,33.
32,"Flatten","flatten_0",0,0,0,0,0,512,7,7,25088,"","","","","","","","","",371.,372.,0.,31.8667
29,"Flatten","DynamicRouting/2/Net/dots_flatten",0,0,0,0,0,1152,10,"",11520,"","","","","","","","","",205.,202.,0.,26.5333
32,"Flatten","flatten_0",0,0,0,0,0,512,7,7,25088,"","","","","","","","","",359.,360.,0.,25.900000000000002
145,"Flatten","flatten_0",0,0,0,0,0,1024,1,1,1024,"","","","","","","","","",83.,83.,0.,24.
145,"Flatten","flatten_0",0,0,0,0,0,1024,1,1,1024,"","","","","","","","","",82.,82.,0.,24.
145,"Flatten","flatten_0",0,0,0,0,0,1024,1,1,1024,"","","","","","","","","",92.,89.,0.,24.
308,"Flatten","flatten",0,0,0,0,0,2048,1,1,2048,"","","","","","","","","",93.,92.,0.,22.700000000000003
7,"Flatten",7,0,0,0,0,0,50,4,4,800,"","","","","","","","","",89.,90.,0.,30.0667
345,"Flatten","flatten_0",0,0,0,0,0,2048,1,1,2048,"","","","","","","","","",111.,112.,0.,24.
515,"Flatten","flatten_0",0,0,0,0,0,2048,1,1,2048,"","","","","","","","","",102.,102.,0.,25.4667
175,"Flatten","flatten_0",0,0,0,0,0,2048,1,1,2048,"","","","","","","","","",102.,101.,0.,24.
68,"Flatten","flatten",0,0,0,0,0,1000,"","",1000,"","","","","","","","","",90.,92.,0.,24.
32,"Flatten","flatten_0",0,0,0,0,0,512,7,7,25088,"","","","","","","","","",356.,355.,0.,26.
38,"Flatten","flatten_0",0,0,0,0,0,512,7,7,25088,"","","","","","","","","",380.,381.,0.,25.7667
175,"Flatten","flatten_0",0,0,0,0,0,1024,1,1,1024,"","","","","","","","","",91.,89.,0.,24.
