"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",1,5,4,50,"1","5","1-2-3-4-5","Elementwise","Elementwise","Elementwise-Padding-Convolution-Normalization-Elementwise",126432.,126814.3,149969.,"{149969., 126643., 126551., 126531., 126868., 126934., 126845., 126907., 127500., 127210., 126872., 126819., 126562., 126852., 127306., 126718., 126642., 126684., 127156., 127129., 126924., 126881., 126843., 126999., 127708., 127079., 126630., 127415., 126616., 126657., 126650., 126432., 126609., 126728., 126515., 126658., 126854., 126528., 126543., 127152., 127453., 127376., 127105., 126563., 126977., 126570., 126845., 126678., 126654., 126738.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",6,10,4,50,"6","10","6-7-8-9-10","Convolution","Normalization","Convolution-Normalization-Elementwise-Convolution-Normalization",97462.,97694.56670000001,105928.,"{105928., 97558., 97633., 97895., 97713., 97786., 98101., 98868., 98839., 98094., 97927., 97480., 97503., 97588., 97545., 97535., 97464., 97462., 97521., 97569., 97689., 97582., 97897., 97715., 97702., 97565., 97683., 98865., 99296., 98642., 98246., 97657., 97539., 97511., 97518., 97469., 97543., 97677., 97507., 97513., 97560., 97926., 97703., 97636., 97603., 97541., 97675., 98330., 99111., 98682.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",11,15,4,50,"11","12/1/4","11-12/1/1-12/1/2-12/1/3-12/1/4","Elementwise","Elementwise","Elementwise-Padding-Convolution-Normalization-Elementwise",37914.,38057.700000000004,46629.,"{46629., 38126., 38026., 38060., 38211., 38189., 38125., 38085., 38000., 37954., 37935., 37937., 37958., 37941., 38070., 38065., 38056., 37914., 37933., 38001., 37939., 37961., 37941., 38000., 37968., 38138., 38002., 38108., 38022., 38019., 38054., 38173., 38065., 38042., 38095., 38220., 38118., 38036., 38131., 38134., 38058., 38057., 37982., 37971., 38117., 38671., 38715., 38719., 38853., 38721.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",856.,867.1333000000001,963.,"{963., 863., 858., 858., 857., 873., 864., 872., 860., 908., 859., 856., 856., 861., 874., 873., 871., 861., 900., 874., 863., 870., 860., 873., 856., 872., 871., 908., 861., 860., 871., 863., 907., 866., 876., 860., 892., 865., 875., 865., 864., 897., 861., 876., 858., 897., 865., 875., 864., 864.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",9487.,9639.566700000001,17956.,"{17956., 9577., 9662., 9917., 9762., 9638., 9691., 9723., 9693., 9606., 9538., 9705., 9580., 9562., 9613., 9587., 9552., 9837., 9807., 9658., 9604., 9614., 9630., 9558., 9578., 9557., 9570., 9532., 9532., 9535., 9524., 9648., 9665., 9814., 9820., 9837., 9836., 9849., 9920., 9844., 9845., 9795., 9593., 9574., 9571., 9528., 9548., 9550., 9500., 9487.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",27307.,27351.866700000002,27559.,"{27450., 27443., 27423., 27432., 27431., 27425., 27416., 27318., 27327., 27361., 27425., 27419., 27381., 27379., 27315., 27317., 27314., 27318., 27362., 27312., 27310., 27323., 27323., 27320., 27315., 27315., 27307., 27318., 27348., 27326., 27312., 27366., 27334., 27354., 27343., 27383., 27325., 27328., 27308., 27330., 27320., 27319., 27324., 27331., 27412., 27501., 27505., 27516., 27555., 27559.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",19,23,4,50,"12/2","13/1/4","12/2-13/1/1-13/1/2-13/1/3-13/1/4","Total","Elementwise","Total-Padding-Convolution-Normalization-Elementwise",37953.,38089.5,38836.,"{38836., 38510., 38156., 38140., 38123., 38038., 38051., 38077., 38005., 38063., 37967., 38077., 38098., 38074., 37955., 38029., 37953., 38066., 37976., 38043., 38101., 38055., 38025., 38045., 38077., 38128., 38037., 38071., 38047., 38198., 38166., 38095., 38249., 38125., 38157., 38049., 38064., 38072., 38228., 38080., 38123., 38117., 38161., 38141., 38105., 38084., 38046., 38135., 38757., 38741.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",24,24,0,50,"13/1/5","13/1/5","13/1/5","Padding","Padding","Padding",855.,869.3667,930.,"{917., 870., 926., 865., 866., 859., 863., 872., 868., 861., 861., 908., 875., 861., 855., 862., 886., 867., 861., 866., 901., 878., 865., 866., 865., 930., 867., 860., 865., 913., 866., 876., 862., 872., 905., 876., 865., 865., 898., 866., 865., 866., 875., 907., 866., 865., 864., 893., 876., 877.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",8971.,9188.2333,9756.,"{9677., 9750., 9756., 9694., 9643., 9611., 9550., 9536., 9587., 9587., 9647., 9621., 9582., 9575., 9579., 9498., 9352., 9306., 9454., 9333., 9158., 8997., 9005., 8997., 9025., 9064., 9156., 9055., 9029., 9066., 9003., 9002., 9007., 8991., 9008., 8971., 9030., 9007., 9000., 8976., 8993., 9000., 9028., 9111., 9059., 9017., 9008., 8996., 9007., 9039.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.2xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27309.,27336.100000000002,27469.,"{27469., 27445., 27379., 27388., 27370., 27399., 27372., 27323., 27327., 27388., 27449., 27382., 27351., 27328., 27325., 27314., 27309., 27354., 27351., 27367., 27321., 27317., 27317., 27314., 27323., 27332., 27331., 27321., 27351., 27336., 27330., 27318., 27323., 27332., 27318., 27311., 27326., 27377., 27322., 27349., 27342., 27367., 27357., 27321., 27328., 27320., 27317., 27318., 27331., 27324.}"
