"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,10,"conv_conv2d","pool",9,"conv_conv2d-conv_batchnorm-conv_relu-conv_1_conv2d-conv_1_batchnorm-conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool","Convolution","Pooling","List-List-List-List-List-List-List-List-List-List",617.,1102.1333,1413.,2559.,2596.4,5975.,18683.,18793.2333,19695.,18066.,17691.100000000002,18282.,16124.,16196.8333,13720.,"{1055., 1413., 1160., 1141., 1156., 1141., 1144., 1152., 1179., 1224., 1163., 1141., 1163., 1148., 1150., 1141., 1156., 1200., 1223., 1165., 1150., 1146., 1148., 1176., 1154., 1142., 1276., 1153., 1146., 1120., 1155., 1151., 1158., 1164., 1179., 1238., 1214., 694., 626., 624., 622., 620., 619., 636., 619., 617., 621., 618., 694., 713.}","{5975., 5734., 5697., 5713., 5795., 5761., 2755., 2670., 2584., 2700., 2596., 2594., 2591., 2632., 2590., 2592., 2594., 2581., 2604., 2592., 2581., 2605., 2635., 2585., 2595., 2592., 2590., 2590., 2577., 2590., 2656., 2577., 2592., 2592., 2586., 2587., 2595., 2585., 2607., 2596., 2578., 2622., 2574., 2559., 2573., 2577., 2589., 2590., 2578., 2600.}","{19695., 19113., 18915., 18920., 18924., 18785., 18719., 18808., 18782., 18922., 18860., 18798., 18866., 18779., 18703., 18777., 18770., 18815., 18866., 18811., 18870., 18828., 18712., 18777., 18781., 18731., 18983., 18770., 18754., 18883., 18777., 18747., 18879., 18759., 18772., 18832., 18783., 18789., 18762., 18696., 18715., 18783., 18778., 18843., 18701., 18725., 18776., 18683., 18769., 18713.}"
2,11,"conv_batchnorm","conv_3_conv2d",9,"conv_batchnorm-conv_relu-conv_1_conv2d-conv_1_batchnorm-conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d","BatchNormalization","Convolution","List-List-List-List-List-List-List-List-List-List",275.,282.4667,477.,142.,144.8,291.,18160.,18297.5333,19040.,17885.,18015.0667,18563.,18018.,18152.7333,18749.,"{477., 391., 302., 290., 298., 289., 288., 289., 288., 288., 288., 287., 288., 307., 288., 288., 289., 289., 288., 287., 289., 289., 285., 277., 276., 277., 276., 287., 277., 277., 275., 276., 277., 276., 275., 276., 277., 275., 275., 285., 276., 277., 290., 276., 276., 276., 276., 277., 276., 276.}","{291., 173., 147., 146., 145., 145., 145., 144., 143., 144., 144., 143., 143., 143., 144., 143., 160., 146., 143., 143., 143., 143., 143., 144., 143., 149., 143., 143., 144., 145., 145., 143., 143., 143., 142., 143., 143., 144., 177., 161., 160., 161., 174., 162., 171., 165., 144., 144., 144., 144.}","{19040., 18576., 18435., 18335., 18344., 18331., 18333., 18378., 18320., 18169., 18313., 18342., 18277., 18335., 18276., 18337., 18280., 18357., 18254., 18303., 18338., 18282., 18230., 18423., 18197., 18314., 18281., 18250., 18196., 18334., 18255., 18340., 18304., 18292., 18226., 18295., 18244., 18284., 18160., 18294., 18278., 18251., 18241., 18216., 18229., 18414., 18324., 18254., 18280., 18322.}"
3,12,"conv_relu","conv_3_batchnorm",9,"conv_relu-conv_1_conv2d-conv_1_batchnorm-conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm","Elementwise","BatchNormalization","List-List-List-List-List-List-List-List-List-List",269.,271.43330000000003,373.,182.,183.5333,319.,17954.,18027.833300000002,35194.,17685.,17756.4,34821.,17772.,17844.3,34875.,"{373., 348., 278., 285., 271., 273., 286., 272., 282., 271., 271., 269., 270., 271., 271., 271., 271., 270., 272., 271., 271., 285., 272., 272., 271., 270., 270., 271., 271., 271., 271., 271., 271., 271., 271., 285., 272., 272., 271., 272., 280., 270., 271., 270., 272., 280., 272., 271., 273., 271.}","{319., 245., 186., 185., 184., 198., 185., 184., 184., 183., 183., 183., 194., 184., 183., 186., 183., 183., 184., 182., 183., 184., 183., 183., 183., 183., 183., 196., 184., 183., 183., 184., 184., 183., 183., 184., 183., 183., 184., 183., 182., 182., 184., 183., 184., 182., 184., 183., 199., 186.}","{35194., 27053., 18163., 18104., 18171., 18079., 18005., 18011., 18048., 18036., 18067., 18104., 18040., 18096., 18034., 18135., 17954., 18021., 18139., 18016., 18007., 17998., 17975., 18104., 17975., 18095., 17991., 18001., 18066., 17993., 18006., 17995., 17978., 18043., 17957., 17991., 18008., 18005., 18064., 18009., 18069., 17986., 17963., 18051., 18009., 18018., 17991., 18025., 18016., 18000.}"
4,13,"conv_1_conv2d","conv_3_relu",9,"conv_1_conv2d-conv_1_batchnorm-conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu","Convolution","Elementwise","List-List-List-List-List-List-List-List-List-List",5854.,5953.933300000001,6501.,180.,183.16670000000002,303.,17892.,18007.4667,32983.,12038.,12053.533300000001,26482.,17712.,17824.3,32680.,"{6501., 6380., 6345., 6287., 6171., 6110., 6012., 6050., 6130., 5998., 5998., 5986., 5982., 6066., 5990., 5984., 5911., 5946., 6005., 5983., 5959., 5918., 5942., 5991., 5918., 5904., 5894., 5930., 5983., 5974., 5875., 5854., 5934., 5875., 5980., 5927., 5919., 5906., 5894., 5951., 5939., 5903., 5905., 5915., 5928., 6004., 5899., 5857., 5888., 5912.}","{303., 263., 191., 187., 187., 187., 185., 185., 185., 184., 186., 185., 185., 198., 185., 183., 184., 192., 182., 182., 182., 182., 181., 182., 182., 183., 181., 182., 183., 183., 192., 183., 183., 181., 195., 183., 180., 181., 182., 183., 182., 183., 182., 182., 182., 182., 182., 181., 181., 182.}","{32983., 18285., 18064., 18030., 18203., 18041., 18082., 18026., 17960., 18160., 17892., 18036., 17957., 17946., 18150., 17988., 18073., 18086., 17951., 18093., 17931., 18056., 18020., 17949., 18016., 17982., 18127., 18053., 17936., 18040., 17929., 18030., 18052., 17938., 18141., 17950., 17998., 18034., 17941., 18046., 17973., 18012., 17955., 17902., 17956., 17924., 17969., 17973., 17914., 18034.}"
5,14,"conv_1_batchnorm","conv_4_conv2d",9,"conv_1_batchnorm-conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d","BatchNormalization","Convolution","List-List-List-List-List-List-List-List-List-List",291.,292.43330000000003,375.,4778.,4871.433300000001,5354.,16705.,16830.,17427.,16414.,16537.5667,17052.,11927.,11958.566700000001,12073.,"{375., 345., 296., 293., 293., 292., 293., 292., 292., 293., 292., 292., 306., 293., 292., 292., 291., 292., 293., 291., 292., 292., 292., 301., 293., 303., 292., 293., 292., 292., 293., 293., 292., 292., 291., 291., 292., 292., 292., 303., 294., 292., 293., 293., 292., 293., 293., 292., 293., 292.}","{5297., 5354., 5050., 5089., 4894., 5043., 4878., 4990., 4832., 5019., 4811., 5000., 4799., 4977., 4817., 4955., 4834., 4912., 4857., 4893., 4916., 4857., 4898., 4807., 4916., 4805., 4874., 4799., 4828., 4831., 4824., 4792., 4818., 4798., 4865., 4786., 4870., 4793., 4930., 4805., 4980., 4781., 4949., 4819., 4952., 4796., 4933., 4778., 4963., 4802.}","{17427., 16973., 17104., 16737., 16805., 17043., 16705., 16888., 16897., 16789., 16855., 16809., 16756., 16855., 16769., 16910., 16763., 16728., 16933., 16794., 16786., 16983., 16708., 16781., 17095., 16839., 16876., 16876., 16767., 16825., 16845., 16782., 16834., 16758., 16805., 16800., 16771., 16909., 16784., 16713., 16983., 16944., 16903., 16993., 16786., 16862., 16865., 16739., 16776., 16824.}"
6,15,"conv_1_relu","conv_4_batchnorm",9,"conv_1_relu-conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d-conv_4_batchnorm","Elementwise","BatchNormalization","List-List-List-List-List-List-List-List-List-List",271.,272.5667,462.,384.,385.0667,593.,16695.,16824.,17633.,16424.,16551.4333,17171.,16311.,16438.9333,17040.,"{462., 431., 295., 274., 273., 273., 272., 273., 273., 273., 273., 273., 282., 273., 273., 285., 273., 272., 272., 273., 272., 271., 273., 272., 273., 272., 271., 272., 272., 283., 272., 273., 273., 272., 272., 271., 272., 272., 272., 273., 272., 271., 272., 272., 283., 273., 272., 271., 281., 273.}","{593., 528., 423., 388., 385., 396., 386., 384., 385., 385., 384., 385., 398., 385., 385., 385., 384., 384., 385., 384., 384., 385., 398., 386., 385., 385., 384., 385., 385., 384., 384., 394., 395., 386., 385., 385., 385., 384., 385., 384., 386., 385., 385., 398., 385., 384., 385., 385., 385., 385.}","{17633., 17034., 16824., 17063., 16716., 16772., 16980., 16777., 16854., 16889., 16885., 16902., 16895., 16723., 16852., 16805., 16749., 16841., 16707., 16818., 16729., 16783., 17019., 16702., 16723., 17034., 16855., 16763., 16964., 16806., 16792., 16920., 16850., 16854., 16795., 16734., 16882., 16807., 16857., 16789., 16726., 16916., 16765., 16765., 17006., 16695., 16762., 16970., 16735., 16816.}"
7,16,"conv_2_conv2d","conv_4_relu",9,"conv_2_conv2d-conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d-conv_4_batchnorm-conv_4_relu","Convolution","Elementwise","List-List-List-List-List-List-List-List-List-List",6118.,6206.5,6508.,348.,350.6,535.,16971.,17109.833300000002,17902.,10853.,10903.3333,11394.,16623.,16759.2333,17367.,"{6474., 6508., 6439., 6288., 6265., 6302., 6282., 6199., 6209., 6348., 6205., 6222., 6155., 6245., 6247., 6166., 6181., 6309., 6234., 6206., 6176., 6180., 6283., 6168., 6207., 6251., 6237., 6173., 6181., 6192., 6279., 6169., 6186., 6168., 6195., 6193., 6138., 6204., 6313., 6159., 6183., 6146., 6195., 6206., 6147., 6161., 6220., 6187., 6118., 6140.}","{535., 482., 383., 353., 352., 349., 349., 349., 365., 351., 351., 349., 349., 348., 351., 349., 351., 349., 349., 378., 351., 349., 350., 356., 350., 350., 350., 351., 349., 349., 361., 350., 350., 350., 350., 349., 350., 350., 350., 350., 349., 351., 364., 353., 352., 351., 353., 352., 354., 352.}","{17902., 17282., 17130., 17347., 17010., 17114., 17167., 17125., 17038., 17097., 17326., 17070., 17102., 17158., 17105., 17123., 17106., 17282., 16971., 17083., 17235., 17067., 17038., 17041., 17267., 16990., 17003., 17309., 16992., 17079., 17068., 17253., 17022., 16998., 17277., 17010., 17142., 17080., 17251., 17040., 17041., 17266., 17012., 17145., 17073., 17266., 17036., 17015., 17276., 17016.}"
8,17,"conv_2_batchnorm","pool1",9,"conv_2_batchnorm-conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d-conv_4_batchnorm-conv_4_relu-pool1","BatchNormalization","Pooling","List-List-List-List-List-List-List-List-List-List",527.,531.4333,775.,1834.,1850.3333,1921.,12506.,12596.7,13074.,11979.,12065.2667,12299.,10672.,10746.3667,11153.,"{775., 721., 606., 542., 531., 533., 534., 531., 543., 531., 545., 532., 531., 532., 530., 531., 530., 542., 533., 531., 531., 530., 529., 529., 530., 543., 529., 536., 528., 528., 527., 529., 545., 529., 529., 528., 528., 528., 529., 528., 541., 529., 527., 530., 527., 528., 537., 546., 533., 533.}","{1887., 1847., 1887., 1912., 1862., 1915., 1849., 1836., 1846., 1844., 1836., 1850., 1836., 1847., 1921., 1895., 1836., 1888., 1912., 1847., 1844., 1848., 1835., 1841., 1835., 1843., 1845., 1913., 1846., 1835., 1846., 1851., 1880., 1836., 1860., 1837., 1858., 1835., 1835., 1846., 1835., 1853., 1913., 1845., 1834., 1846., 1834., 1899., 1913., 1847.}","{13074., 12846., 12615., 12585., 12660., 12666., 12617., 12566., 12665., 12540., 12627., 12538., 12732., 12531., 12623., 12608., 12687., 12547., 12548., 12567., 12679., 12538., 12538., 12600., 12682., 12579., 12567., 12587., 12718., 12592., 12511., 12696., 12594., 12630., 12539., 12730., 12516., 12573., 12507., 12667., 12506., 12547., 12676., 12633., 12540., 12506., 12585., 12676., 12508., 12558.}"
9,18,"conv_2_relu","Inception1/avg_pool_mixed_pool",9,"conv_2_relu-pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d-conv_4_batchnorm-conv_4_relu-pool1-Inception1/avg_pool_mixed_pool","Elementwise","Pooling","List-List-List-List-List-List-List-List-List-List",478.,482.1,847.,2191.,2209.7000000000003,2227.,13747.,13862.5,14575.,13269.,13380.400000000001,13728.,11556.,11652.800000000001,12348.,"{847., 778., 597., 490., 481., 481., 481., 479., 490., 480., 480., 482., 480., 479., 479., 480., 493., 479., 488., 485., 479., 481., 480., 481., 492., 481., 480., 479., 480., 482., 480., 478., 497., 485., 483., 485., 483., 482., 481., 493., 488., 491., 481., 479., 480., 481., 481., 480., 480., 498.}","{2222., 2215., 2206., 2225., 2192., 2203., 2191., 2227., 2217., 2207., 2216., 2206., 2222., 2207., 2201., 2206., 2221., 2218., 2208., 2205., 2205., 2212., 2193., 2215., 2208., 2223., 2196., 2216., 2217., 2208., 2210., 2206., 2207., 2193., 2202., 2223., 2206., 2203., 2193., 2211., 2208., 2218., 2207., 2216., 2197., 2220., 2219., 2204., 2226., 2191.}","{14575., 14099., 13966., 13930., 13809., 13980., 13916., 13838., 13835., 13803., 13982., 13898., 13838., 13879., 13798., 13938., 13800., 13804., 13934., 13885., 13822., 13805., 13876., 13980., 13957., 13812., 13850., 13800., 13900., 13775., 13816., 13919., 13849., 13858., 13747., 13820., 13955., 13994., 13819., 13780., 13791., 13926., 13807., 13814., 13941., 13852., 13887., 13795., 13801., 13939.}"
10,19,"pool","Inception1/mixed_tower_2_conv_conv2d",9,"pool-conv_3_conv2d-conv_3_batchnorm-conv_3_relu-conv_4_conv2d-conv_4_batchnorm-conv_4_relu-pool1-Inception1/avg_pool_mixed_pool-Inception1/mixed_tower_2_conv_conv2d","Pooling","Convolution","List-List-List-List-List-List-List-List-List-List",2586.,2608.,2703.,"","","",13214.,13319.8333,13903.,10628.,10711.8333,11200.,"","","","{2656., 2607., 2690., 2696., 2686., 2604., 2604., 2588., 2649., 2608., 2593., 2671., 2606., 2593., 2603., 2661., 2594., 2661., 2587., 2672., 2606., 2588., 2606., 2658., 2587., 2606., 2604., 2596., 2703., 2605., 2598., 2609., 2605., 2587., 2616., 2622., 2586., 2607., 2644., 2587., 2607., 2603., 2594., 2607., 2593., 2600., 2617., 2593., 2613., 2607.}","","{13903., 13575., 13422., 13346., 13310., 13316., 13300., 13267., 13290., 13298., 13227., 13343., 13405., 13214., 13285., 13367., 13219., 13348., 13337., 13270., 13309., 13289., 13218., 13365., 13310., 13227., 13363., 13338., 13264., 13396., 13366., 13239., 13366., 13334., 13261., 13371., 13359., 13316., 13373., 13385., 13235., 13393., 13393., 13257., 13320., 13303., 13226., 13322., 13313., 13281.}"
