"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CapsNet Trained on MNIST Data","c5n.xlarge",1,2,1,50,"ReLUConv1/1","ReLUConv1/2","ReLUConv1/1-ReLUConv1/2","Convolution","Elementwise","Convolution-Elementwise",269.,275.5,400.,"{400., 283., 277., 369., 306., 278., 275., 304., 280., 280., 277., 275., 272., 275., 272., 273., 273., 272., 272., 271., 274., 291., 275., 279., 274., 299., 283., 280., 283., 289., 273., 272., 273., 272., 274., 301., 275., 274., 274., 271., 273., 274., 272., 272., 269., 271., 276., 272., 271., 287.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",3,4,1,50,"PrimaryCaps/1","PrimaryCaps/2","PrimaryCaps/1-PrimaryCaps/2","Convolution","Transpose","Convolution-Transpose",3588.,3659.6000000000004,3987.,"{3987., 3833., 3719., 3716., 3672., 3647., 3735., 3630., 3639., 3679., 3588., 3654., 3642., 3641., 3717., 3649., 3629., 3702., 3641., 3653., 3697., 3629., 3641., 3642., 3628., 3689., 3632., 3636., 3708., 3641., 3636., 3683., 3625., 3691., 3610., 3594., 3701., 3667., 3642., 3695., 3624., 3701., 3677., 3663., 3708., 3657., 3645., 3677., 3644., 3647.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",5,6,1,50,"PrimaryCaps/3","PrimaryCaps/4/1","PrimaryCaps/3-PrimaryCaps/4/1","Reshape","Elementwise","Reshape-Elementwise",33.,33.1667,71.,"{71., 37., 34., 33., 33., 33., 33., 33., 33., 33., 33., 34., 33., 34., 33., 33., 33., 33., 34., 34., 33., 34., 34., 33., 33., 34., 33., 34., 33., 33., 34., 33., 34., 33., 33., 33., 34., 33., 33., 33., 33., 33., 33., 33., 33., 34., 33., 33., 33., 33.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",7,8,1,50,"PrimaryCaps/4/2","PrimaryCaps/4/3","PrimaryCaps/4/2-PrimaryCaps/4/3","Aggregation","Elementwise","Aggregation-Elementwise",230.,230.7333,302.,"{302., 237., 232., 254., 233., 231., 230., 230., 230., 230., 231., 231., 230., 230., 230., 230., 231., 231., 231., 230., 244., 231., 231., 230., 230., 230., 230., 231., 231., 230., 230., 231., 231., 230., 240., 232., 248., 233., 231., 231., 231., 231., 231., 231., 231., 231., 231., 230., 230., 231.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",9,9,0,50,"PrimaryCaps/4/4","PrimaryCaps/4/4","PrimaryCaps/4/4","Replicate","Replicate","Replicate",294.,295.86670000000004,392.,"{354., 299., 300., 347., 318., 296., 294., 294., 295., 307., 298., 295., 295., 308., 298., 295., 294., 313., 296., 295., 294., 294., 295., 294., 392., 315., 297., 295., 294., 296., 313., 296., 295., 295., 294., 294., 294., 294., 295., 295., 294., 302., 295., 308., 295., 295., 295., 294., 295., 296.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",10,10,0,50,"PrimaryCaps/4/5","PrimaryCaps/4/5","PrimaryCaps/4/5","Threading","Threading","Threading",27.,28.0667,48.,"{48., 31., 30., 29., 29., 28., 28., 29., 28., 28., 28., 28., 28., 28., 29., 28., 27., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28., 29., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",11,11,0,50,"PrimaryPredVects/2","PrimaryPredVects/2","PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14760.,14876.2667,15240.,"{15207., 15240., 15170., 15098., 15010., 15016., 14986., 15015., 15011., 15026., 14981., 14971., 14942., 14943., 14926., 14962., 14993., 14953., 15003., 15062., 14937., 14876., 14896., 14855., 14829., 14833., 14815., 14916., 14803., 14793., 14774., 14799., 14796., 14784., 14792., 14806., 14864., 14770., 14807., 14797., 14790., 14789., 14817., 14783., 14783., 14798., 14790., 14760., 14799., 14776.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",12,12,0,50,"PrimaryPredVects/1","PrimaryPredVects/1","PrimaryPredVects/1","Replicate","Replicate","Replicate",44725.,44785.1667,45479.,"{44796., 45479., 44878., 44844., 44842., 44853., 44820., 44822., 44810., 44781., 44802., 44797., 44792., 44777., 44786., 44780., 44787., 44794., 44774., 44783., 44800., 44779., 44795., 44789., 44790., 44770., 44804., 44801., 44796., 44796., 44797., 44785., 44808., 44774., 44777., 44770., 44774., 44773., 44760., 44768., 44750., 44736., 44742., 44742., 44725., 44742., 44763., 44761., 44764., 44772.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",13,14,1,50,"PrimaryPredVects/3","PrimaryPredVects/4","PrimaryPredVects/3-PrimaryPredVects/4","Threading","Aggregation","Threading-Aggregation",30719.,30980.100000000002,31321.,"{31168., 31148., 31102., 31093., 31139., 31125., 31082., 30999., 30943., 30956., 31005., 30968., 30998., 30971., 31013., 31009., 31110., 31160., 31166., 31128., 31109., 31321., 31030., 30975., 30894., 30814., 30835., 30801., 30719., 30838., 30877., 30995., 31006., 31018., 31050., 31022., 30984., 30955., 30945., 31001., 30943., 30919., 30903., 30873., 30874., 30854., 30813., 30833., 30768., 30784.}"
"CapsNet Trained on MNIST Data","c5n.xlarge",15,15,0,50,"DynamicRouting/1","DynamicRouting/1","DynamicRouting/1","Replicate","Replicate","Replicate",10704.,10719.566700000001,10781.,"{10781., 10740., 10716., 10729., 10724., 10714., 10723., 10722., 10711., 10721., 10724., 10713., 10719., 10720., 10716., 10718., 10728., 10719., 10711., 10722., 10720., 10709., 10719., 10720., 10709., 10721., 10706., 10717., 10732., 10732., 10726., 10732., 10735., 10721., 10727., 10728., 10719., 10715., 10722., 10722., 10706., 10715., 10724., 10706., 10723., 10715., 10704., 10715., 10715., 10705.}"
