"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"Very Deep Net for Super-Resolution","c5.2xlarge",1,6,5,50,"conv1","relu4","conv1-relu2-conv2-relu3-conv3-relu4","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",97626.,99132.3333,183876.,"{183876., 97977., 97767., 97626., 97642., 97882., 98837., 98561., 99598., 99383., 100302., 99408., 99631., 99435., 99545., 98803., 98898., 98615., 99109., 98535., 99745., 98694., 98627., 99082., 98818., 98148., 98276., 99048., 99728., 99929., 100746., 100229., 98837., 98623., 99717., 99629., 98819., 99591., 98316., 98664., 98442., 99920., 100231., 99712., 99201., 99910., 99474., 99827., 99348., 98123.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",7,12,5,50,"conv4","relu7","conv4-relu5-conv5-relu6-conv6-relu7","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",137696.,139166.7667,204604.,"{204604., 139107., 138414., 139700., 139588., 138800., 137894., 137696., 140305., 139399., 138752., 139166., 138921., 139605., 138398., 138811., 139602., 138695., 138426., 138019., 138673., 139038., 139396., 139030., 138699., 139251., 139464., 139284., 138673., 140621., 140137., 140122., 139524., 139508., 139068., 140361., 139746., 138914., 139530., 140033., 138961., 139633., 139897., 138617., 138372., 138430., 139092., 139119., 139340., 139033.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",13,18,5,50,"conv7","relu10","conv7-relu8-conv8-relu9-conv9-relu10","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",136981.,138292.80000000002,204848.,"{204848., 138560., 139255., 137993., 137543., 138447., 138854., 138619., 138940., 139231., 139373., 140171., 139118., 138046., 138186., 139596., 140756., 139441., 138278., 137375., 137162., 137316., 137544., 137795., 137514., 137574., 137693., 138837., 138469., 137581., 137108., 137480., 138622., 138451., 138026., 139088., 139388., 139128., 137585., 137974., 136981., 137352., 137512., 138564., 138345., 138913., 138509., 137624., 137647., 138902.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",19,24,5,50,"conv10","relu13","conv10-relu11-conv11-relu12-conv12-relu13","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",136514.,138194.,205210.,"{205210., 138105., 137716., 137240., 138520., 139016., 137406., 137468., 138878., 138805., 138727., 139833., 139420., 137749., 136979., 137685., 138076., 137728., 136514., 137805., 138761., 138022., 138564., 138089., 137511., 138152., 139029., 139665., 139493., 138779., 139238., 137240., 137263., 137409., 137023., 138111., 138682., 138965., 139592., 137812., 138064., 137130., 138126., 137935., 137416., 139641., 139299., 138818., 137735., 137222.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",25,30,5,50,"conv13","relu16","conv13-relu14-conv14-relu15-conv15-relu16","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",137669.,139081.,143239.,"{140030., 139884., 139580., 137782., 138058., 138819., 139892., 139192., 138291., 139641., 139627., 139515., 143239., 140895., 139734., 138275., 138474., 139736., 139881., 140015., 139217., 139608., 138453., 137743., 137979., 138861., 138800., 138288., 138962., 139848., 138695., 138575., 139192., 138977., 140002., 139383., 139983., 140703., 139248., 137785., 137669., 138167., 139240., 138765., 138088., 138403., 139104., 138659., 139050., 138781.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",31,36,5,50,"conv16","relu19","conv16-relu17-conv17-relu18-conv18-relu19","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",136981.,138629.3333,140891.,"{139987., 139741., 136981., 138284., 139789., 140584., 139352., 138897., 139516., 139998., 137976., 137952., 137749., 138142., 138217., 137491., 137932., 138279., 139296., 139154., 138332., 138592., 138850., 139253., 139085., 139790., 140891., 139778., 139148., 137432., 137547., 137989., 138670., 138302., 140134., 139983., 139213., 138874., 137867., 137614., 139636., 139951., 138169., 137619., 137786., 137962., 137117., 137811., 138121., 138079.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",37,40,3,50,"conv19","transpose_final","conv19-relu20-conv20-transpose_final","Convolution","Transpose","Convolution-Elementwise-Convolution-Transpose",80116.,81172.90000000001,82189.,"{80906., 80742., 80661., 80653., 80757., 80911., 80285., 80116., 81018., 81477., 82189., 82154., 81831., 81582., 81007., 80289., 80710., 80440., 80743., 80836., 80894., 81651., 81531., 81736., 81533., 81758., 82173., 81856., 80990., 80921., 81416., 81247., 81001., 80607., 80474., 80520., 81111., 81730., 81907., 81128., 81705., 81713., 81098., 81348., 81246., 81278., 81318., 81226., 81161., 81405.}"
=======
<<<<<<< HEAD
"Very Deep Net for Super-Resolution","c5.2xlarge",1,6,5,50,"conv1","relu4","conv1-relu2-conv2-relu3-conv3-relu4","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",97855.,98721.53330000001,180590.,"{180590., 97855., 98946., 98625., 98858., 98676., 98491., 98128., 98497., 97976., 98841., 98794., 98816., 98376., 98553., 98749., 98563., 98390., 98809., 98390., 98452., 98330., 98586., 99138., 98426., 98595., 98882., 100357., 98450., 98408., 98881., 99473., 99004., 99329., 98627., 99044., 99109., 99206., 98714., 98873., 99000., 98515., 98928., 98695., 98808., 98990., 98887., 98560., 97868., 98985.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",7,12,5,50,"conv4","relu7","conv4-relu5-conv5-relu6-conv6-relu7","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",138602.,139437.5333,215331.,"{215331., 139385., 139616., 139319., 138982., 139066., 138602., 139278., 139222., 138934., 139833., 139785., 139017., 139424., 139748., 139740., 140714., 140175., 139371., 139349., 139084., 139061., 139489., 139775., 139376., 139275., 139438., 139724., 139686., 141082., 139965., 139642., 140038., 139232., 139197., 139927., 139716., 139575., 139006., 140132., 139203., 138746., 139465., 139530., 139675., 139049., 139232., 139146., 138973., 139214.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",13,18,5,50,"conv7","relu10","conv7-relu8-conv8-relu9-conv9-relu10","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",138237.,139082.6667,214694.,"{214694., 139731., 139045., 138770., 138948., 139266., 139741., 139793., 140504., 139280., 138973., 139100., 139312., 138997., 138716., 139094., 139364., 139134., 138552., 139319., 139194., 139687., 139010., 139146., 138837., 138467., 139294., 139321., 138897., 139199., 139631., 139299., 139115., 138699., 138886., 139158., 139292., 138976., 138989., 138237., 138730., 139143., 139008., 139866., 139069., 138285., 138637., 138601., 138309., 138644.}"
"Very Deep Net for Super-Resolution","c5.2xlarge",19,24,5,50,"conv10","relu13","conv10-relu11-conv11-relu12-conv12-relu13","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",137967.,138864.5333,214813.,"{214813., 138268., 138758., 138292., 138518., 138288., 138906., 138943., 138870., 138910., 138552., 138564., 138563., 138833., 138230., 138251., 138904., 138906., 138781., 139041., 139019., 138770., 138820., 137967., 138582., 138810., 138728., 138657., 139554., 139475., 139203., 140779., 138882., 139253., 139615., 139314., 139304., 139120., 138608., 139249., 139162., 139252., 139080., 138493., 138786., 138842., 138975., 138979., 138360., 138934.}"
