"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",1,4,3,50,"conv1_1","relu1_2","conv1_1-relu1_1-conv1_2-relu1_2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",55426.,55645.600000000006,115343.,"{115343., 55893., 55429., 55855., 55614., 55987., 55768., 55643., 55716., 55694., 55724., 55572., 55752., 55755., 55500., 55886., 55455., 55804., 55517., 55581., 55450., 55521., 55763., 55587., 55866., 55587., 55836., 55543., 55870., 55522., 55479., 55635., 55529., 56002., 55541., 55486., 55676., 55503., 55631., 55541., 55911., 55527., 55612., 55616., 55632., 55631., 55574., 55892., 55426., 55762.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",5,8,3,50,"pool1","conv2_2","pool1-conv2_1-relu2_1-conv2_2","Pooling","Convolution","Pooling-Convolution-Elementwise-Convolution",45782.,46282.8667,84032.,"{84032., 46697., 46791., 47005., 46327., 46575., 48849., 46470., 45976., 46362., 46367., 46121., 46598., 45908., 46271., 46256., 45935., 46430., 46126., 46125., 46383., 45943., 46503., 46049., 46146., 46350., 46222., 46256., 46337., 45964., 46449., 46078., 45862., 46375., 46141., 46322., 46493., 45887., 46560., 46216., 45882., 46469., 46007., 46170., 46371., 45782., 46490., 46307., 45915., 46535.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",9,12,3,50,"relu2_2","relu3_1","relu2_2-pool2-conv3_1-relu3_1","Elementwise","Elementwise","Elementwise-Pooling-Convolution-Elementwise",12894.,13165.8667,15169.,"{15169., 13483., 13237., 13347., 13228., 13044., 13258., 13232., 12927., 13270., 13287., 13106., 13242., 13260., 13028., 13268., 13205., 13031., 13234., 13185., 13020., 13213., 13163., 13050., 13168., 13340., 13120., 13066., 13157., 13208., 12959., 13197., 13140., 12995., 13261., 13163., 12992., 13290., 13113., 12968., 13245., 13229., 12894., 13045., 13156., 13113., 12912., 13233., 13195., 13019.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",13,16,3,50,"conv3_2","relu3_3","conv3_2-relu3_2-conv3_3-relu3_3","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",39615.,39861.2333,53352.,"{53352., 40053., 39853., 39754., 39818., 39867., 39749., 39851., 40055., 39764., 39821., 39919., 39769., 39821., 39728., 39731., 39724., 39904., 39834., 39908., 39816., 39859., 39859., 39952., 39804., 39641., 39615., 39690., 39767., 39759., 39767., 39706., 39734., 40152., 39728., 39930., 40049., 39819., 40018., 39834., 39955., 39981., 39973., 39970., 40028., 39972., 39937., 39996., 40077., 40012.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",17,20,3,50,"conv3_4","conv4_1","conv3_4-relu3_4-pool3-conv4_1","Convolution","Convolution","Convolution-Elementwise-Pooling-Convolution",28924.,29343.1667,30836.,"{30836., 29848., 29484., 29348., 29242., 29331., 29001., 29074., 29156., 29359., 29377., 29763., 30277., 30205., 30379., 30204., 29481., 29354., 29284., 29291., 29502., 29362., 29519., 29551., 29506., 29382., 29200., 29055., 28924., 28959., 29240., 29237., 29224., 29270., 29412., 29487., 29459., 29608., 29480., 29190., 29074., 29006., 28973., 29041., 29385., 29204., 29117., 29158., 29371., 29521.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",21,24,3,50,"relu4_1","conv4_3","relu4_1-conv4_2-relu4_2-conv4_3","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution",31022.,31402.333300000002,33101.,"{33101., 31610., 31423., 31685., 31440., 31573., 31444., 31330., 31116., 31173., 31430., 31334., 31161., 31427., 31394., 31046., 31375., 31905., 31599., 31752., 32013., 31602., 31708., 31865., 31705., 32205., 31436., 31452., 31520., 31446., 31493., 31421., 31418., 31141., 31150., 31228., 31422., 31228., 31390., 31580., 31269., 31086., 31082., 31254., 31320., 31112., 31022., 31361., 31288., 31131.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",25,28,3,50,"relu4_3","pool4","relu4_3-conv4_4-relu4_4-pool4","Elementwise","Pooling","Elementwise-Convolution-Elementwise-Pooling",16093.,16307.3333,17512.,"{17512., 16948., 16563., 16460., 16502., 16371., 16363., 16545., 16294., 16549., 16354., 16421., 16539., 16184., 16270., 16478., 16176., 16256., 16171., 16197., 16502., 16171., 16501., 16647., 16146., 16279., 16365., 16229., 16320., 16144., 16195., 16405., 16095., 16205., 16194., 16305., 16407., 16183., 16198., 16466., 16159., 16290., 16370., 16163., 16220., 16166., 16164., 16521., 16093., 16264.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",29,32,3,50,"conv5_1","relu5_2","conv5_1-relu5_1-conv5_2-relu5_2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",8341.,8630.6667,9021.,"{9021., 8741., 8597., 8683., 8683., 8466., 8618., 8699., 8628., 8560., 8678., 8699., 8424., 8458., 8666., 8641., 8629., 8632., 8672., 8535., 8463., 8664., 8689., 8679., 8578., 8678., 8628., 8341., 8651., 8728., 8627., 8647., 8664., 8614., 8345., 8570., 8625., 8626., 8583., 8665., 8646., 8412., 8514., 8633., 8609., 8626., 8726., 8672., 8593., 8407.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",33,36,3,50,"conv5_3","relu5_4","conv5_3-relu5_3-conv5_4-relu5_4","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",8344.,8644.1333,8830.,"{8666., 8641., 8670., 8698., 8663., 8693., 8766., 8371., 8528., 8617., 8726., 8595., 8830., 8678., 8481., 8498., 8639., 8722., 8674., 8591., 8716., 8636., 8344., 8585., 8737., 8633., 8609., 8708., 8687., 8373., 8534., 8707., 8649., 8537., 8691., 8776., 8602., 8519., 8707., 8669., 8689., 8627., 8630., 8587., 8364., 8637., 8687., 8618., 8601., 8662.}"
"VGG-19 Trained on ImageNet Competition Data","g4dn.xlarge",37,40,3,50,"pool5","relu6","pool5-flatten_0-fc6-relu6","Pooling","Elementwise","Pooling-Flatten-Linear-Elementwise",15315.,15520.9333,16073.,"{16073., 15870., 15859., 15717., 15762., 15716., 15706., 15724., 15663., 15690., 15589., 15650., 15550., 15644., 15685., 15666., 15621., 15480., 15604., 15512., 15545., 15441., 15536., 15741., 15508., 15540., 15412., 15518., 15433., 15503., 15405., 15469., 15358., 15512., 15442., 15428., 15497., 15368., 15417., 15315., 15438., 15334., 15470., 15332., 15437., 15389., 15412., 15418., 15339., 15387.}"
