"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CapsNet Trained on MNIST Data","g4dn.xlarge",1,6,5,50,"ReLUConv1/1","PrimaryCaps/4/1","ReLUConv1/1-ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3-PrimaryCaps/4/1","Convolution","Elementwise","Convolution-Elementwise-Convolution-Transpose-Reshape-Elementwise",3586.,3702.7333000000003,8586.,"{8586., 3802., 3978., 3618., 3619., 3828., 3602., 3896., 3614., 3608., 3937., 3619., 3612., 3885., 3604., 3898., 3621., 3604., 3927., 3606., 3586., 3864., 3597., 3827., 3681., 3616., 3942., 3628., 3663., 3884., 3607., 3826., 3684., 3596., 3884., 3588., 3598., 3884., 3599., 3788., 3746., 3603., 3892., 3619., 3606., 3845., 3600., 3726., 3830., 3607.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",7,7,0,50,"PrimaryCaps/4/2","PrimaryCaps/4/2","PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",218.,221.8667,400.,"{276., 224., 221., 220., 220., 221., 222., 221., 222., 221., 220., 221., 221., 220., 221., 228., 221., 221., 220., 220., 221., 221., 221., 219., 225., 243., 225., 226., 230., 228., 231., 218., 219., 227., 219., 219., 219., 218., 218., 219., 220., 219., 219., 219., 227., 398., 398., 398., 400., 399.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",8,8,0,50,"PrimaryCaps/4/3","PrimaryCaps/4/3","PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",34.,35.2333,84.,"{84., 38., 36., 35., 37., 38., 36., 36., 36., 36., 74., 36., 36., 38., 47., 34., 35., 34., 35., 35., 35., 36., 35., 34., 35., 35., 35., 35., 35., 35., 35., 35., 34., 35., 35., 35., 34., 36., 35., 34., 35., 35., 34., 34., 35., 36., 35., 34., 35., 35.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",9,9,0,50,"PrimaryCaps/4/4","PrimaryCaps/4/4","PrimaryCaps/4/4","Replicate","Replicate","Replicate",308.,311.93330000000003,363.,"{363., 312., 310., 312., 310., 310., 326., 310., 309., 311., 311., 310., 336., 318., 317., 321., 325., 308., 314., 312., 308., 308., 310., 309., 308., 309., 312., 311., 312., 311., 310., 317., 312., 311., 312., 310., 310., 311., 311., 311., 312., 311., 312., 321., 336., 319., 319., 329., 313., 312.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",10,10,0,50,"PrimaryCaps/4/5","PrimaryCaps/4/5","PrimaryCaps/4/5","Threading","Threading","Threading",21.,24.2333,41.,"{41., 27., 26., 26., 26., 26., 26., 23., 27., 26., 26., 26., 26., 26., 26., 21., 26., 27., 26., 23., 23., 23., 23., 21., 25., 23., 24., 24., 24., 23., 23., 21., 25., 23., 24., 24., 23., 24., 23., 21., 24., 23., 24., 23., 24., 24., 24., 21., 24., 23.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",11,11,0,50,"PrimaryPredVects/2","PrimaryPredVects/2","PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",15621.,15688.4667,20209.,"{20209., 15757., 15788., 15799., 15689., 15799., 15752., 15784., 15733., 15665., 15717., 15665., 15715., 15627., 15706., 15673., 15644., 15894., 15695., 15712., 15635., 15704., 15709., 15666., 15689., 15624., 15692., 15622., 15704., 15649., 15665., 15704., 15639., 15696., 15637., 15711., 15637., 15677., 15698., 15632., 15706., 15621., 15693., 15631., 15721., 15695., 15659., 15698., 15631., 15719.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",12,12,0,50,"PrimaryPredVects/1","PrimaryPredVects/1","PrimaryPredVects/1","Replicate","Replicate","Replicate",47738.,47806.9,48013.,"{47850., 47806., 47805., 47755., 47822., 47815., 47827., 47745., 47800., 47818., 48013., 47804., 47750., 47813., 47816., 47824., 47808., 47772., 47818., 47799., 47800., 47738., 47813., 47814., 47808., 47773., 47784., 47801., 47811., 47816., 47739., 47986., 47810., 47818., 47811., 47739., 47802., 47818., 47817., 47775., 47801., 47870., 47832., 47835., 47752., 47811., 47811., 47811., 47791., 47767.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",13,13,0,50,"PrimaryPredVects/3","PrimaryPredVects/3","PrimaryPredVects/3","Threading","Threading","Threading",745.,757.6333000000001,1220.,"{1220., 1196., 953., 780., 759., 761., 774., 755., 758., 785., 759., 801., 764., 763., 759., 756., 755., 776., 751., 748., 750., 750., 788., 750., 765., 760., 750., 766., 761., 756., 749., 750., 760., 748., 750., 775., 747., 780., 754., 745., 750., 750., 745., 765., 751., 748., 752., 749., 789., 749.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",14,14,0,50,"PrimaryPredVects/4","PrimaryPredVects/4","PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",31874.,31908.833300000002,32141.,"{32141., 31987., 31929., 31895., 31920., 31879., 31961., 31895., 31898., 31900., 31885., 31965., 31926., 31885., 31904., 31887., 31931., 31920., 31888., 31889., 31874., 31906., 31975., 31874., 31911., 31895., 31928., 31964., 31899., 31912., 31896., 32099., 31918., 31892., 31918., 31906., 31912., 31931., 31919., 31901., 31885., 31909., 31924., 31920., 31885., 31895., 31899., 31907., 31940., 31911.}"
"CapsNet Trained on MNIST Data","g4dn.xlarge",15,15,0,50,"DynamicRouting/1","DynamicRouting/1","DynamicRouting/1","Replicate","Replicate","Replicate",11370.,11430.2333,11640.,"{11533., 11427., 11430., 11429., 11431., 11436., 11438., 11493., 11422., 11426., 11444., 11423., 11428., 11454., 11468., 11419., 11421., 11420., 11431., 11441., 11455., 11466., 11424., 11423., 11420., 11424., 11419., 11451., 11464., 11426., 11431., 11422., 11420., 11370., 11640., 11467., 11426., 11425., 11422., 11384., 11410., 11406., 11466., 11424., 11427., 11421., 11425., 11420., 11461., 11463.}"
