"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",1,2,1,50,"conv1_1","relu1_1","conv1_1-relu1_1","Convolution","Elementwise","Convolution-Elementwise",4644.,4731.166700000001,5743.,"{5743., 4928., 4782., 4734., 4721., 4703., 4695., 4751., 4738., 4663., 4750., 4760., 4728., 4745., 4748., 4891., 4723., 4773., 4736., 4737., 4682., 4732., 4711., 4692., 4708., 4708., 4644., 4730., 4656., 4717., 4820., 4744., 4780., 4781., 4761., 4726., 4769., 4786., 4742., 4703., 4708., 4719., 4710., 4657., 4740., 4685., 4733., 4677., 4725., 4747.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",3,4,1,50,"conv1_2","relu1_2","conv1_2-relu1_2","Convolution","Elementwise","Convolution-Elementwise",36334.,36672.0667,38548.,"{36380., 36572., 36461., 36546., 36641., 36414., 36400., 36356., 36784., 36334., 36799., 36656., 36439., 36825., 36625., 36742., 36629., 36607., 36600., 36594., 36861., 36545., 36500., 36913., 36710., 36532., 36545., 36738., 36605., 36572., 36714., 36665., 36645., 36634., 36657., 36768., 36672., 36556., 36806., 36705., 37577., 37226., 37289., 37445., 38380., 36689., 37291., 37743., 37421., 38548.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",5,6,1,50,"pool1","conv2_1","pool1-conv2_1","Pooling","Convolution","Pooling-Convolution",13783.,13949.3333,16230.,"{15308., 16230., 13934., 13920., 14025., 13897., 13988., 14058., 13830., 13985., 13951., 13986., 13952., 13965., 13989., 14042., 13949., 14044., 13783., 14040., 13916., 13924., 13854., 13783., 13901., 13948., 13937., 13876., 13864., 13953., 13941., 13828., 14043., 13875., 13964., 13810., 13795., 13938., 14132., 14086., 13871., 13941., 14054., 13930., 14405., 13817., 13935., 13978., 13943., 13999.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",7,8,1,50,"relu2_1","conv2_2","relu2_1-conv2_2","Elementwise","Convolution","Elementwise-Convolution",19914.,20188.5,20427.,"{20318., 20141., 19914., 20099., 20082., 20116., 20322., 20187., 20354., 20156., 20190., 20195., 20351., 20377., 20087., 20270., 20156., 20327., 20278., 20106., 20312., 20128., 20149., 20172., 20130., 20427., 20172., 20316., 20255., 20162., 20265., 20095., 20263., 20176., 20235., 20100., 20055., 20340., 20224., 19968., 20136., 20004., 20322., 19992., 20155., 20040., 20074., 20263., 20182., 20282.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",9,10,1,50,"relu2_2","pool2","relu2_2-pool2","Elementwise","Pooling","Elementwise-Pooling",2415.,2431.9,3019.,"{3019., 2732., 2477., 2595., 2443., 2430., 2438., 2418., 2445., 2419., 2426., 2432., 2430., 2437., 2434., 2418., 2440., 2415., 2428., 2432., 2432., 2460., 2420., 2426., 2445., 2416., 2433., 2420., 2442., 2434., 2418., 2437., 2420., 2440., 2437., 2417., 2431., 2441., 2419., 2429., 2417., 2438., 2433., 2418., 2439., 2434., 2431., 2436., 2417., 2441.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",11,12,1,50,"conv3_1","relu3_1","conv3_1-relu3_1","Convolution","Elementwise","Convolution-Elementwise",6147.,6635.1333,33564.,"{9939., 6560., 7239., 33564., 27679., 11793., 6602., 6258., 15662., 6391., 15096., 8744., 11409., 6264., 7499., 16348., 6316., 13440., 6284., 13551., 7857., 6293., 6225., 6251., 6462., 6197., 6302., 6466., 6740., 6267., 6510., 6257., 6231., 6893., 6488., 7020., 6413., 6314., 6308., 6285., 6282., 6423., 6147., 6657., 6395., 6220., 6320., 6460., 6174., 6240.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",13,14,1,50,"conv3_2","relu3_2","conv3_2-relu3_2","Convolution","Elementwise","Convolution-Elementwise",12019.,12278.9667,15099.,"{15099., 12724., 12840., 12971., 12256., 14004., 12321., 12256., 12422., 12432., 12446., 12284., 12419., 12549., 12252., 12263., 12177., 12207., 12319., 12251., 12067., 12084., 12373., 12340., 12227., 12158., 12315., 12360., 12263., 12049., 12248., 12286., 12385., 12097., 12095., 12294., 12298., 12276., 12160., 12163., 12381., 12324., 12121., 12019., 12239., 12262., 12299., 12044., 12070., 12290.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",15,16,1,50,"conv3_3","relu3_3","conv3_3-relu3_3","Convolution","Elementwise","Convolution-Elementwise",12037.,12231.5,12617.,"{12617., 12307., 12284., 12360., 12491., 12213., 12244., 12351., 12332., 12145., 12137., 12174., 12336., 12231., 12037., 12231., 12159., 12345., 12176., 12113., 12232., 12314., 12194., 12087., 12294., 12163., 12398., 12409., 12171., 12287., 12208., 12318., 12124., 12189., 12237., 12268., 12109., 12206., 12407., 12210., 12194., 12123., 12218., 12252., 12306., 12126., 12277., 12203., 12146., 12185.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",17,18,1,50,"pool3","conv4_1","pool3-conv4_1","Pooling","Convolution","Pooling-Convolution",6016.,6112.166700000001,6571.,"{6571., 6369., 6134., 6045., 6233., 6053., 6127., 6130., 6099., 6168., 6031., 6062., 6097., 6123., 6151., 6077., 6029., 6180., 6038., 6261., 6084., 6038., 6151., 6191., 6107., 6083., 6120., 6147., 6046., 6065., 6154., 6019., 6221., 6073., 6016., 6189., 6032., 6149., 6070., 6105., 6204., 6095., 6127., 6117., 6088., 6164., 6174., 6069., 6189., 6055.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",19,20,1,50,"relu4_1","conv4_2","relu4_1-conv4_2","Elementwise","Convolution","Elementwise-Convolution",10304.,10509.7667,10898.,"{10898., 10636., 10495., 10395., 10512., 10651., 10594., 10577., 10534., 10581., 10533., 10527., 10645., 10595., 10578., 10506., 10461., 10417., 10383., 10347., 10326., 10304., 10374., 10382., 10467., 10540., 10529., 10523., 10533., 10532., 10626., 10607., 10585., 10532., 10544., 10569., 10523., 10481., 10506., 10357., 10324., 10349., 10341., 10417., 10442., 10554., 10520., 10467., 10569., 10510.}"
