"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Very Deep Net for Super-Resolution","c5.xlarge",1,4,3,50,"conv1","relu3","conv1-relu2-conv2-relu3","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",101450.,101829.56670000001,181848.,"{181848., 101800., 101995., 101959., 101661., 101990., 101793., 101766., 101471., 101547., 101915., 101772., 101960., 102110., 102030., 101519., 101891., 101594., 101669., 102127., 101548., 104803., 101797., 101874., 102134., 102050., 101675., 101760., 101852., 102012., 101510., 101450., 101886., 101843., 101883., 101678., 101721., 101651., 101911., 101844., 101703., 101665., 102205., 102285., 102049., 101723., 101593., 105875., 101452., 101859.}"
"Very Deep Net for Super-Resolution","c5.xlarge",5,8,3,50,"conv3","relu5","conv3-relu4-conv4-relu5","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",186316.,187426.8333,253476.,"{253476., 187345., 186641., 186316., 186541., 186640., 186737., 186907., 186917., 186617., 186687., 187714., 195031., 187740., 187767., 186807., 186977., 187298., 187996., 187991., 186865., 187368., 187934., 187195., 187140., 187466., 187514., 187301., 187667., 187294., 187175., 187194., 187605., 188359., 188060., 187760., 187374., 187246., 187900., 187761., 187619., 187690., 187518., 187703., 188599., 188023., 187614., 187542., 187394., 186852.}"
"Very Deep Net for Super-Resolution","c5.xlarge",9,12,3,50,"conv5","relu7","conv5-relu6-conv6-relu7","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",193144.,193741.73330000002,260255.,"{260255., 193691., 194258., 193892., 193849., 193804., 193368., 193667., 195257., 193960., 193651., 193598., 193408., 194331., 194160., 193411., 193265., 193269., 193729., 193552., 193502., 194063., 193528., 193562., 193863., 194440., 193671., 193392., 193792., 195098., 193838., 193208., 193243., 193481., 193733., 194038., 193639., 193656., 193743., 194036., 193796., 193865., 193442., 193144., 193775., 193970., 193951., 193894., 193564., 194570.}"
"Very Deep Net for Super-Resolution","c5.xlarge",13,16,3,50,"conv7","relu9","conv7-relu8-conv8-relu9","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",188218.,189194.30000000002,346562.,"{346562., 189237., 189275., 189570., 189348., 189359., 189173., 189095., 189109., 189711., 190024., 189365., 189605., 189272., 189721., 189754., 189572., 189329., 189492., 189664., 189653., 189693., 189429., 189193., 189339., 189304., 188906., 188562., 188299., 188415., 189000., 189461., 188723., 188754., 188516., 188712., 189119., 188615., 188468., 188497., 188464., 189077., 188827., 192840., 189115., 188849., 189822., 189191., 188741., 188218.}"
"Very Deep Net for Super-Resolution","c5.xlarge",17,20,3,50,"conv9","relu11","conv9-relu10-conv10-relu11","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",189857.,191050.6667,191870.,"{190959., 190986., 190608., 190575., 190380., 190086., 190973., 191063., 190271., 189933., 190343., 190106., 190109., 189857., 190455., 190590., 191293., 190862., 190993., 190795., 190462., 190611., 190601., 190964., 190963., 191240., 191222., 191011., 191455., 191339., 191364., 190842., 191870., 191647., 191399., 190926., 190947., 191462., 191343., 191662., 191523., 191311., 191546., 191505., 191828., 191510., 191329., 191799., 191494., 191700.}"
"Very Deep Net for Super-Resolution","c5.xlarge",21,24,3,50,"conv11","relu13","conv11-relu12-conv12-relu13","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",186162.,187077.3333,191480.,"{188169., 187514., 187421., 187361., 186449., 186707., 186868., 186409., 186735., 186856., 186874., 186843., 186456., 186881., 191480., 190977., 187647., 187871., 187075., 186992., 188822., 186887., 186669., 187371., 187129., 186753., 186870., 186984., 186646., 188665., 190372., 188110., 187154., 186482., 188578., 187706., 187597., 186916., 186715., 186727., 186946., 186446., 186739., 187651., 186767., 186162., 188263., 187160., 186941., 186955.}"
"Very Deep Net for Super-Resolution","c5.xlarge",25,28,3,50,"conv13","relu15","conv13-relu14-conv14-relu15","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",193010.,194182.,196608.,"{193973., 193766., 193914., 193680., 194131., 193914., 193868., 194300., 194761., 194279., 193984., 194638., 195715., 195209., 195722., 195315., 195660., 195405., 194655., 194958., 194606., 194705., 194750., 194478., 194480., 194611., 194677., 194348., 194157., 194067., 194416., 194420., 194011., 193755., 193695., 195590., 193010., 193733., 193666., 193372., 193252., 193241., 193435., 193553., 193163., 193235., 196608., 193053., 193783., 193401.}"
"Very Deep Net for Super-Resolution","c5.xlarge",29,32,3,50,"conv15","relu17","conv15-relu16-conv16-relu17","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",188384.,189014.7,190408.,"{189330., 188701., 188637., 189076., 188919., 188851., 188679., 189096., 189206., 188820., 188667., 188553., 188633., 188944., 189049., 188549., 188512., 188776., 188883., 188775., 188633., 188433., 188384., 189606., 189264., 188837., 188539., 188818., 189299., 188909., 188713., 188599., 188945., 189057., 189794., 189728., 189548., 189057., 189078., 189532., 190408., 189636., 189440., 189230., 189541., 189251., 189429., 189837., 189707., 189342.}"
"Very Deep Net for Super-Resolution","c5.xlarge",33,36,3,50,"conv17","relu19","conv17-relu18-conv18-relu19","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",189803.,190953.7667,195459.,"{191658., 191729., 191729., 191876., 191710., 191440., 191513., 195459., 195287., 190798., 191262., 190838., 190252., 190217., 190142., 190454., 190063., 190453., 189803., 190102., 190627., 190042., 191669., 193792., 190430., 191008., 190810., 193775., 191564., 190619., 190882., 190459., 190723., 191190., 190602., 190804., 191140., 192352., 192409., 191129., 190570., 191021., 190918., 190593., 190350., 190288., 191189., 190800., 191168., 190712.}"
"Very Deep Net for Super-Resolution","c5.xlarge",37,40,3,50,"conv19","transpose_final","conv19-relu20-conv20-transpose_final","Convolution","Transpose","Convolution-Elementwise-Convolution-Transpose",130397.,131598.30000000002,136718.,"{131902., 130889., 131737., 131585., 131297., 130588., 130828., 130773., 130397., 130828., 130521., 130464., 130732., 131238., 131272., 131035., 131830., 131201., 133475., 132310., 131603., 131621., 131532., 131223., 131750., 131616., 131611., 131245., 131708., 131520., 131577., 131270., 131833., 131540., 132063., 131980., 131865., 132009., 131894., 131710., 131637., 131748., 135520., 132110., 131973., 136718., 131843., 132112., 131568., 132582.}"
