"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",1,6,5,50,"56","34","56-50-41-43-45-34","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise",39586.,40300.0333,56824.,"{56824., 40552., 40625., 40635., 40601., 40567., 40807., 40758., 40791., 40718., 40690., 40699., 40711., 40545., 40582., 40745., 40644., 40684., 40575., 40569., 40523., 40702., 40802., 40694., 40703., 40310., 40147., 40121., 40048., 40244., 40188., 39878., 39944., 39876., 39682., 39756., 39648., 39847., 39777., 39731., 39905., 39690., 39726., 39807., 39608., 39723., 39759., 39586., 39949., 39775.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",7,12,5,50,"36","20","36-38-27-29-31-20","Convolution","Elementwise","Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",31555.,31720.4,36413.,"{36413., 31898., 31708., 31783., 31761., 31659., 31613., 31841., 31748., 31751., 31663., 31676., 31710., 31761., 31697., 31695., 31752., 31681., 31766., 31716., 31881., 31685., 31619., 31610., 31606., 31650., 31656., 31732., 32002., 31662., 31675., 31835., 31853., 31761., 31652., 31927., 31744., 31859., 31866., 31790., 31555., 31658., 31661., 31763., 31719., 31798., 31695., 31666., 31617., 31734.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",13,18,5,50,"22","4","22-24-12-14-16-4","Convolution","Elementwise","Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",7005.,7147.9667,8693.,"{8693., 7189., 7158., 7124., 7070., 7173., 7178., 7143., 7079., 7109., 7151., 7060., 7200., 7139., 7084., 7170., 7192., 7196., 7045., 7198., 7168., 7078., 7128., 7090., 7167., 7124., 7202., 7150., 7048., 7209., 7091., 7198., 7005., 7161., 7237., 7158., 7243., 7172., 7123., 7077., 7199., 7162., 7020., 7197., 7276., 7170., 7072., 7163., 7130., 7069.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",19,24,5,50,"6","5","6-8-1-2-3-5","Convolution","Deconvolution","Convolution-Normalization-Elementwise-Convolution-Elementwise-Deconvolution",3166.,3259.2667,5281.,"{5281., 3365., 3326., 3342., 3293., 3291., 3265., 3268., 3292., 3329., 3266., 3240., 3263., 3220., 3237., 3384., 3246., 3166., 3290., 3280., 3207., 3320., 3249., 3169., 3247., 3279., 3216., 3232., 3237., 3249., 3244., 3334., 3230., 3230., 3230., 3217., 3246., 3278., 3220., 3224., 3384., 3235., 3253., 3281., 3195., 3178., 3338., 3258., 3249., 3355.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",145.,147.26670000000001,177.,"{177., 149., 148., 147., 169., 148., 148., 148., 148., 148., 148., 148., 148., 148., 148., 148., 149., 148., 157., 148., 147., 148., 148., 148., 148., 148., 147., 148., 146., 147., 147., 146., 146., 146., 145., 146., 146., 146., 145., 146., 146., 146., 147., 146., 153., 146., 146., 146., 146., 146.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",19.,19.666700000000002,57.,"{57., 23., 20., 21., 20., 20., 19., 20., 20., 19., 20., 19., 20., 20., 20., 19., 20., 19., 20., 19., 19., 20., 19., 20., 19., 19., 20., 20., 19., 20., 20., 20., 20., 19., 19., 19., 20., 19., 20., 19., 20., 20., 19., 19., 20., 20., 20., 19., 19., 20.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",27,27,0,50,"10","10","10","Catenate","Catenate","Catenate",34.,35.,58.,"{58., 36., 36., 35., 35., 36., 35., 35., 36., 35., 35., 35., 35., 35., 35., 35., 35., 36., 35., 35., 35., 34., 34., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 34., 36., 34., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 46., 38., 36.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",28,28,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",19.,19.8333,41.,"{37., 22., 21., 20., 20., 19., 19., 20., 20., 20., 20., 19., 20., 20., 20., 19., 20., 20., 19., 20., 19., 20., 19., 20., 41., 21., 21., 20., 20., 20., 20., 20., 19., 20., 20., 19., 20., 19., 20., 19., 20., 20., 19., 20., 19., 20., 20., 19., 19., 20.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",29,29,0,50,"13","13","13","Deconvolution","Deconvolution","Deconvolution",8080.,8287.2,10518.,"{10518., 8388., 8249., 8369., 8324., 8279., 8214., 8244., 8200., 8384., 8226., 8241., 8417., 8289., 8246., 8267., 8254., 8284., 8125., 8080., 8212., 8371., 8397., 8214., 8254., 8350., 8227., 8276., 8342., 8199., 8247., 8149., 8165., 8383., 8315., 8186., 8299., 8304., 8201., 8365., 8394., 8266., 8240., 8493., 8320., 8357., 8185., 8383., 8570., 8469.}"
"Pix2pix Street-Map-to-Photo Translation","c5.xlarge",30,30,0,50,"15","15","15","Normalization","Normalization","Normalization",437.,441.36670000000004,494.,"{471., 440., 439., 438., 438., 438., 437., 450., 437., 437., 447., 452., 440., 448., 439., 439., 494., 441., 440., 439., 440., 460., 442., 441., 441., 456., 441., 441., 441., 441., 441., 441., 441., 462., 442., 443., 443., 441., 441., 441., 441., 442., 450., 459., 442., 442., 440., 441., 441., 442.}"
