"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",1,9,8,50,"1/1/blockNet4/conv1a/1","1/1/blockNet4/conv2b/2","1/1/blockNet4/conv1a/1-1/1/blockNet4/conv1a/2-1/1/blockNet4/conv1b/1-1/1/blockNet4/conv1b/2-1/1/blockNet4/pool1-1/1/blockNet4/conv2a/1-1/1/blockNet4/conv2a/2-1/1/blockNet4/conv2b/1-1/1/blockNet4/conv2b/2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",1.278765e6,1.2805842667e6,1.572767e6,"{1.572767*^6, 1.283126*^6, 1.280129*^6, 1.281129*^6, 1.279223*^6, 1.280264*^6, 1.279336*^6, 1.284182*^6, 1.282038*^6, 1.279356*^6, 1.278936*^6, 1.279809*^6, 1.282277*^6, 1.288126*^6, 1.291482*^6, 1.282584*^6, 1.284164*^6, 1.281574*^6, 1.279668*^6, 1.282301*^6, 1.283139*^6, 1.278765*^6, 1.279353*^6, 1.279698*^6, 1.27956*^6, 1.280501*^6, 1.279646*^6, 1.280397*^6, 1.279704*^6, 1.27953*^6, 1.279658*^6, 1.281367*^6, 1.280279*^6, 1.284976*^6, 1.280257*^6, 1.279096*^6, 1.280597*^6, 1.279976*^6, 1.282369*^6, 1.282225*^6, 1.286733*^6, 1.279962*^6, 1.279535*^6, 1.281765*^6, 1.279207*^6, 1.281985*^6, 1.279563*^6, 1.278896*^6, 1.279087*^6, 1.279765*^6}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",10,18,8,50,"1/1/blockNet4/pool2","1/1/blockNet4/conv4a/1","1/1/blockNet4/pool2-1/1/blockNet4/conv3a/1-1/1/blockNet4/conv3a/2-1/1/blockNet4/conv3b/1-1/1/blockNet4/conv3b/2-1/1/blockNet4/conv3c/1-1/1/blockNet4/conv3c/2-1/1/blockNet4/pool3-1/1/blockNet4/conv4a/1","Pooling","Convolution","Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution",678206.,680177.5667000001,781889.,"{781889., 680216., 680486., 680636., 678206., 678730., 679513., 679907., 681554., 680562., 681624., 681275., 680021., 682651., 679795., 681149., 680668., 680131., 680012., 679698., 679341., 683490., 679995., 678938., 680345., 679848., 678919., 679882., 679964., 680004., 680398., 679106., 679609., 679728., 680409., 680116., 679759., 679349., 680012., 679126., 679408., 681707., 679322., 682910., 682331., 682239., 680762., 681920., 678861., 681019.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",19,27,8,50,"1/1/blockNet4/conv4a/2","1/1/blockNet7/conv5b/1","1/1/blockNet4/conv4a/2-1/1/blockNet4/conv4b/1-1/1/blockNet4/conv4b/2-1/1/blockNet4/conv4c/1-1/1/blockNet4/conv4c/2-1/1/blockNet7/pool4-1/1/blockNet7/conv5a/1-1/1/blockNet7/conv5a/2-1/1/blockNet7/conv5b/1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",380840.,381839.26670000004,417063.,"{417063., 381509., 382678., 382644., 382367., 382956., 382876., 381857., 382018., 382799., 382918., 382707., 381011., 381020., 381168., 380843., 381811., 381597., 380840., 381481., 381809., 382637., 382695., 381278., 381532., 382328., 381978., 381311., 380971., 383552., 383531., 383134., 383371., 382372., 382018., 382391., 381722., 381784., 381598., 381425., 381095., 380933., 381092., 380928., 381244., 381427., 381608., 381484., 381407., 381092.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",28,36,8,50,"1/1/blockNet7/conv5b/2","1/1/blockNet8/conv8a/1","1/1/blockNet7/conv5b/2-1/1/blockNet7/conv5c/1-1/1/blockNet7/conv5c/2-1/1/blockNet7/pool5-1/1/blockNet7/conv6/1-1/1/blockNet7/conv6/2-1/1/blockNet7/conv7/1-1/1/blockNet7/conv7/2-1/1/blockNet8/conv8a/1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution",118987.,119145.1333,127543.,"{127543., 119654., 119387., 119227., 119148., 119165., 119231., 119174., 119192., 119220., 119287., 119079., 119203., 119026., 119068., 119207., 119036., 119126., 119102., 119067., 119138., 119232., 119118., 119081., 119102., 119130., 119104., 119117., 119096., 119177., 119082., 119073., 119046., 119041., 119154., 119215., 119097., 119315., 119113., 119103., 119209., 119221., 118987., 119137., 119205., 119155., 119142., 119142., 119292., 119071.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",37,45,8,50,"1/1/blockNet8/conv8a/2","1/1/multiboxLayer4/multiboxClasses/2","1/1/blockNet8/conv8a/2-1/1/blockNet8/conv8b/1-1/1/blockNet8/conv8b/2-1/1/blockNet9/conv9a/1-1/1/blockNet9/conv9a/2-1/1/blockNet9/conv9b/1-1/1/blockNet9/conv9b/2-1/1/multiboxLayer4/multiboxClasses/1-1/1/multiboxLayer4/multiboxClasses/2","Elementwise","Reshape","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Reshape",6440.,6515.5667,6822.,"{6822., 6521., 6499., 6441., 6478., 6506., 6488., 6518., 6508., 6480., 6515., 6589., 6623., 6575., 6473., 6490., 6540., 6454., 6524., 6520., 6462., 6569., 6548., 6453., 6511., 6445., 6500., 6523., 6467., 6535., 6523., 6444., 6526., 6522., 6440., 6507., 6495., 6557., 6673., 6624., 6541., 6575., 6529., 6543., 6532., 6476., 6530., 6548., 6458., 6539.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",46,46,0,50,"1/1/multiboxLayer4/multiboxClasses/3","1/1/multiboxLayer4/multiboxClasses/3","1/1/multiboxLayer4/multiboxClasses/3","Softmax","Softmax","Softmax",665.,676.5,722.,"{722., 675., 671., 670., 721., 694., 668., 666., 665., 666., 701., 676., 670., 667., 698., 669., 705., 676., 669., 668., 668., 708., 682., 674., 673., 672., 675., 705., 708., 674., 675., 673., 674., 709., 678., 673., 674., 673., 704., 678., 676., 673., 674., 690., 712., 679., 674., 673., 674., 674.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",47,47,0,50,"1/1/multiboxLayer4/multiboxClasses/4","1/1/multiboxLayer4/multiboxClasses/4","1/1/multiboxLayer4/multiboxClasses/4","Part","Part","Part",78.,78.5,128.,"{128., 82., 80., 80., 79., 79., 78., 79., 78., 79., 78., 79., 78., 78., 78., 78., 78., 79., 78., 78., 78., 115., 88., 80., 79., 78., 79., 79., 79., 78., 79., 79., 79., 78., 78., 79., 79., 78., 79., 78., 78., 78., 79., 78., 78., 79., 78., 78., 78., 78.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",48,48,0,50,"1/1/multiboxLayer4/multiboxLocs/convloc/1","1/1/multiboxLayer4/multiboxLocs/convloc/1","1/1/multiboxLayer4/multiboxLocs/convloc/1","Convolution","Convolution","Convolution",298.,300.5667,371.,"{371., 307., 303., 301., 300., 349., 307., 302., 300., 300., 300., 300., 300., 299., 299., 299., 299., 334., 307., 300., 301., 301., 300., 300., 299., 300., 299., 299., 321., 342., 307., 300., 318., 302., 298., 299., 299., 299., 300., 300., 299., 326., 308., 299., 299., 299., 300., 299., 299., 300.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",49,49,0,50,"1/1/multiboxLayer4/multiboxLocs/reshape","1/1/multiboxLayer4/multiboxLocs/reshape","1/1/multiboxLayer4/multiboxLocs/reshape","Reshape","Reshape","Reshape",49.,50.7333,105.,"{105., 57., 82., 58., 52., 51., 52., 51., 51., 50., 50., 51., 51., 51., 51., 50., 51., 51., 50., 52., 51., 51., 51., 50., 51., 50., 49., 50., 51., 50., 51., 50., 50., 50., 51., 50., 52., 50., 51., 50., 51., 51., 50., 51., 51., 50., 51., 51., 50., 51.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",50,58,8,50,"1/1/blockNet10/conv10a/1","1/1/blockNet12/conv12a/1","1/1/blockNet10/conv10a/1-1/1/blockNet10/conv10a/2-1/1/blockNet10/conv10b/1-1/1/blockNet10/conv10b/2-1/1/blockNet11/conv11a/1-1/1/blockNet11/conv11a/2-1/1/blockNet11/conv11b/1-1/1/blockNet11/conv11b/2-1/1/blockNet12/conv12a/1","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",388.,393.90000000000003,489.,"{489., 438., 396., 392., 391., 390., 424., 391., 388., 389., 388., 426., 393., 390., 389., 389., 388., 389., 389., 388., 388., 427., 390., 392., 389., 388., 388., 388., 388., 388., 432., 416., 395., 397., 396., 398., 397., 397., 396., 397., 483., 402., 398., 398., 399., 399., 397., 397., 397., 405.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",59,59,0,50,"1/1/blockNet12/conv12a/2","1/1/blockNet12/conv12a/2","1/1/blockNet12/conv12a/2","Elementwise","Elementwise","Elementwise",56.,58.3667,84.,"{77., 64., 60., 61., 59., 60., 59., 58., 58., 59., 59., 58., 58., 58., 58., 59., 58., 58., 57., 57., 57., 59., 57., 56., 59., 57., 57., 57., 58., 58., 57., 57., 58., 57., 58., 84., 62., 59., 58., 59., 59., 59., 59., 58., 58., 59., 58., 59., 59., 58.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",60,60,0,50,"1/1/blockNet12/conv12b/1","1/1/blockNet12/conv12b/1","1/1/blockNet12/conv12b/1","Convolution","Convolution","Convolution",126.,128.13330000000002,232.,"{232., 136., 131., 130., 129., 128., 129., 140., 129., 128., 129., 128., 126., 128., 127., 128., 128., 128., 127., 127., 128., 128., 128., 128., 128., 128., 127., 128., 127., 130., 127., 126., 127., 127., 128., 150., 130., 129., 128., 128., 129., 129., 129., 127., 128., 128., 128., 128., 127., 128.}"
"SSD-VGG-512 Trained on MS-COCO Data","c4.xlarge",61,61,0,50,"1/1/blockNet12/conv12b/2","1/1/blockNet12/conv12b/2","1/1/blockNet12/conv12b/2","Elementwise","Elementwise","Elementwise",57.,58.166700000000006,76.,"{76., 63., 61., 61., 58., 59., 58., 60., 58., 58., 58., 59., 59., 58., 59., 58., 58., 58., 60., 62., 60., 58., 57., 58., 57., 58., 58., 58., 58., 59., 58., 58., 58., 58., 58., 59., 59., 58., 57., 58., 58., 58., 57., 58., 58., 57., 58., 58., 58., 58.}"
