"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",1,5,4,50,"contract_1/conv_1","contract_1/cropping","contract_1/conv_1-contract_1/relu_1-contract_1/conv_2-contract_1/relu_2-contract_1/cropping","Convolution","Part","Convolution-Elementwise-Convolution-Elementwise-Part",363593.,365538.7333,739934.,"{739934., 364511., 365291., 364661., 364569., 365169., 364126., 364619., 364807., 364979., 365190., 365700., 364772., 365598., 365029., 363593., 364858., 364494., 365058., 365726., 365023., 365163., 365763., 365409., 366157., 366386., 366527., 367223., 367952., 368151., 366394., 366323., 365976., 366868., 366734., 365733., 367014., 366398., 365563., 365915., 365987., 365639., 364898., 365453., 365110., 366223., 365635., 365358., 365633., 365075.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",6,10,4,50,"contract_1/pooling","contract_2/relu_2","contract_1/pooling-contract_2/conv_1-contract_2/relu_1-contract_2/conv_2-contract_2/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",315085.,317388.6333,588861.,"{588861., 318186., 320148., 320879., 318380., 321007., 316978., 319260., 316404., 317326., 318469., 317981., 315523., 317628., 322434., 319149., 318081., 316101., 316139., 316643., 316786., 316610., 318793., 316503., 316568., 317063., 317091., 315621., 316261., 317525., 317717., 315547., 315649., 318255., 315837., 315333., 315085., 317801., 315364., 317973., 315510., 318411., 318649., 319750., 316088., 316941., 319735., 319380., 317715., 316681.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",11,11,0,50,"contract_2/cropping","contract_2/cropping","contract_2/cropping","Part","Part","Part",8291.,8449.9333,28249.,"{28249., 8993., 8775., 8788., 8704., 8662., 8613., 8595., 8522., 8570., 8535., 8544., 8562., 8527., 8487., 8516., 8518., 8504., 8476., 8429., 8409., 8406., 8397., 8436., 8538., 8592., 8529., 8454., 8454., 8388., 8362., 8360., 8387., 8341., 8352., 8374., 8400., 8313., 8377., 8380., 8401., 8436., 8380., 8352., 8305., 8336., 8291., 8360., 8370., 8331.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",12,16,4,50,"contract_2/pooling","contract_3/relu_2","contract_2/pooling-contract_3/conv_1-contract_3/relu_1-contract_3/conv_2-contract_3/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",213307.,214810.8667,352748.,"{352748., 213931., 213688., 213307., 214067., 213511., 213568., 213762., 213469., 213745., 214125., 213595., 213672., 214385., 214131., 215368., 215950., 215244., 216112., 215862., 215449., 216169., 215689., 216091., 219901., 216862., 216128., 219367., 216048., 215928., 216012., 216032., 215461., 216515., 214060., 214026., 213791., 214290., 214347., 214282., 214339., 213998., 213968., 213844., 213647., 214574., 224372., 214239., 218109., 214795.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",17,17,0,50,"contract_3/cropping","contract_3/cropping","contract_3/cropping","Part","Part","Part",3839.,3955.6667,10823.,"{10823., 4566., 4355., 4218., 4150., 4158., 4133., 4127., 4027., 4049., 4031., 3935., 4031., 4003., 3976., 3936., 3985., 4028., 3901., 3946., 3973., 4017., 4022., 3949., 3967., 3916., 3881., 3994., 3939., 3920., 3908., 3880., 3860., 3849., 3851., 3916., 3844., 3839., 3854., 3868., 3857., 3914., 3952., 3952., 3935., 3914., 3892., 3903., 3982., 3937.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",18,22,4,50,"contract_3/pooling","contract_4/relu_2","contract_3/pooling-contract_4/conv_1-contract_4/relu_1-contract_4/conv_2-contract_4/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",135312.,135765.3667,201015.,"{201015., 135585., 135498., 135870., 135383., 135523., 135870., 135479., 135312., 135437., 135466., 135445., 136150., 136491., 137803., 135590., 135628., 135706., 135435., 135510., 135513., 135566., 135357., 135399., 135694., 135867., 135784., 135699., 136012., 135984., 135754., 135683., 135379., 135664., 137823., 136568., 136189., 136558., 136115., 137355., 136517., 135961., 137395., 136128., 136023., 135856., 135506., 135659., 135327., 136084.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",23,23,0,50,"contract_4/drop","contract_4/drop","contract_4/drop","Dropout","Dropout","Dropout",919.,967.8000000000001,2162.,"{2162., 1349., 1186., 1076., 1017., 994., 1017., 1020., 1035., 1045., 1052., 1035., 1036., 1021., 1025., 966., 951., 957., 976., 938., 960., 948., 986., 942., 941., 942., 956., 941., 936., 938., 936., 958., 964., 939., 919., 958., 935., 926., 937., 962., 937., 939., 950., 996., 952., 952., 958., 1044., 944., 941.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",24,24,0,50,"contract_4/cropping","contract_4/cropping","contract_4/cropping","Part","Part","Part",1870.,1912.4,2520.,"{2520., 2264., 2038., 1978., 1952., 1934., 1909., 1916., 1907., 1903., 1886., 1880., 1897., 1897., 1892., 1880., 1898., 1883., 1912., 1910., 1932., 1921., 1966., 1933., 1991., 1928., 1945., 1925., 1955., 1944., 1940., 1904., 1914., 1876., 1925., 1878., 1909., 1871., 1902., 1919., 1898., 1935., 1902., 1905., 1885., 1895., 1870., 1898., 1877., 1912.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",25,29,4,50,"contract_4/pooling","ubase/ramp_2","contract_4/pooling-ubase/conv_1-ubase/ramp_1-ubase/conv_2-ubase/ramp_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",94858.,95771.40000000001,97492.,"{96347., 95599., 95772., 95641., 95814., 95581., 96074., 95924., 96095., 95757., 95826., 95889., 96091., 95928., 96113., 95927., 95897., 96033., 95963., 97492., 95878., 95967., 95803., 95972., 96040., 95983., 95854., 95866., 95968., 95981., 95571., 95485., 95406., 95359., 95657., 95785., 95807., 95536., 95641., 95620., 95808., 95304., 94868., 95002., 95075., 94931., 94858., 94923., 95066., 94973.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.xlarge",30,30,0,50,"ubase/drop","ubase/drop","ubase/drop","Dropout","Dropout","Dropout",299.,303.4667,417.,"{417., 367., 316., 305., 303., 314., 303., 303., 304., 303., 303., 302., 302., 302., 302., 300., 308., 301., 309., 312., 301., 300., 300., 300., 311., 301., 300., 299., 299., 300., 413., 306., 301., 302., 301., 300., 301., 300., 304., 303., 304., 305., 305., 327., 306., 306., 306., 306., 317., 305.}"
