"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,8,"conv1_1","conv2_2",7,"conv1_1-relu1_1-conv1_2-relu1_2-pool1-conv2_1-relu2_1-conv2_2","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",2671.,2713.,3616.,18978.,19162.2667,19613.,74314.,74616.8333,74975.,71643.,71903.8333,71359.,55336.,55454.5667,55362.,"{3616., 3106., 2970., 2806., 2769., 2754., 2752., 2724., 2694., 2821., 2736., 2700., 2707., 2818., 2712., 2682., 2727., 2728., 2684., 2698., 2789., 2696., 2708., 2682., 2766., 2704., 2694., 2699., 2721., 2702., 2694., 2765., 2711., 2682., 2687., 2797., 2673., 2700., 2691., 2708., 2675., 2674., 2746., 2677., 2679., 2680., 2788., 2700., 2673., 2671.}","{19613., 19240., 19185., 19168., 19162., 19165., 19076., 19132., 19161., 19169., 19202., 19231., 19195., 19153., 19162., 19205., 19121., 19283., 19174., 19108., 19080., 19122., 19194., 19199., 19127., 19147., 19123., 19185., 19165., 19243., 19061., 19041., 19082., 19161., 19179., 19155., 19126., 19173., 19290., 19216., 19191., 19191., 19126., 19058., 18978., 19113., 19114., 19157., 19289., 19200.}","{74398., 74472., 74388., 74690., 74314., 74834., 74626., 74700., 74742., 74806., 74710., 74756., 74538., 74666., 74529., 74524., 74564., 74553., 74574., 74568., 74975., 74480., 74844., 74686., 74766., 74691., 74672., 74431., 74640., 74440., 74593., 74795., 74402., 74652., 74374., 74896., 74589., 74870., 74544., 74754., 74420., 74667., 74483., 74337., 74712., 74399., 74686., 74585., 74756., 74615.}"
2,9,"relu1_1","relu2_2",7,"relu1_1-conv1_2-relu1_2-pool1-conv2_1-relu2_1-conv2_2-relu2_2","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",1490.,1515.6000000000001,2147.,554.,561.9333,1043.,72300.,72490.3,72752.,70810.,70974.7,70605.,71746.,71928.3667,71709.,"{2147., 2099., 1931., 1690., 1631., 1594., 1582., 1590., 1554., 1546., 1523., 1512., 1531., 1507., 1510., 1542., 1513., 1526., 1503., 1516., 1516., 1520., 1521., 1514., 1498., 1512., 1500., 1506., 1522., 1495., 1520., 1511., 1497., 1508., 1511., 1513., 1531., 1498., 1517., 1501., 1498., 1520., 1498., 1490., 1511., 1496., 1515., 1504., 1499., 1512.}","{1043., 972., 779., 591., 569., 577., 580., 563., 561., 559., 570., 560., 559., 572., 556., 560., 556., 554., 558., 555., 577., 562., 561., 573., 565., 560., 562., 573., 557., 562., 557., 556., 558., 555., 573., 562., 559., 557., 559., 559., 568., 574., 557., 557., 559., 555., 557., 556., 556., 574.}","{72510., 72404., 72523., 72383., 72516., 72606., 72525., 72598., 72533., 72394., 72409., 72587., 72580., 72624., 72410., 72564., 72327., 72718., 72300., 72633., 72682., 72307., 72472., 72676., 72373., 72530., 72500., 72559., 72554., 72401., 72393., 72581., 72358., 72451., 72367., 72577., 72307., 72663., 72406., 72573., 72429., 72615., 72489., 72752., 72380., 72464., 72502., 72417., 72456., 72360.}"
3,10,"conv1_2","pool2",7,"conv1_2-relu1_2-pool1-conv2_1-relu2_1-conv2_2-relu2_2-pool2","Convolution","Pooling","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Pooling",34126.,34239.3667,48467.,1895.,2133.5,4054.,72548.,72875.40000000001,86020.,38422.,38636.0333,37553.,70653.,70741.90000000001,81966.,"{34196., 34183., 34154., 34430., 34282., 34322., 34185., 34214., 34173., 34183., 34302., 34333., 34233., 34129., 34234., 34164., 34194., 34305., 34227., 34306., 34298., 34222., 34319., 34298., 48467., 34191., 34275., 34260., 34203., 34223., 34270., 34392., 34261., 34242., 34313., 34208., 34177., 34326., 34167., 34237., 34126., 34348., 34169., 34162., 34472., 34317., 34196., 34215., 34142., 34225.}","{2039., 2022., 1945., 1944., 1906., 1913., 1899., 1909., 1908., 1920., 1898., 1912., 1895., 1921., 1908., 1915., 1898., 1907., 1907., 1906., 1905., 1916., 1911., 1895., 1927., 1895., 1913., 1899., 1908., 1907., 1920., 1899., 1913., 1896., 1920., 1905., 1919., 4045., 4028., 4024., 4027., 4032., 4022., 4054., 4028., 4020., 4046., 4034., 4027., 4022.}","{72742., 72741., 72574., 72840., 72719., 72660., 72787., 72878., 72548., 72848., 72807., 72580., 72929., 72634., 73019., 72735., 72583., 72910., 72915., 72962., 72715., 72885., 86020., 72897., 73021., 72912., 72898., 73148., 72915., 72859., 73099., 72838., 72875., 73153., 72903., 72926., 72941., 73142., 72885., 72782., 72977., 72744., 72899., 72921., 73133., 72936., 72974., 73130., 72831., 72823.}"
4,11,"relu1_2","conv3_1",7,"relu1_2-pool1-conv2_1-relu2_1-conv2_2-relu2_2-pool2-conv3_1","Elementwise","Convolution","Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution",1455.,1482.7,2656.,5588.,5678.0333,6458.,45001.,45340.1,58243.,43546.,43857.4,55587.,39413.,39662.0667,51785.,"{2656., 2502., 1847., 1654., 1547., 1529., 1528., 1505., 1499., 1497., 1480., 1498., 1485., 1483., 1479., 1473., 1463., 1485., 1489., 1486., 1466., 1472., 1478., 1485., 1490., 1487., 1476., 1467., 1503., 1472., 1492., 1479., 1474., 1489., 1466., 1478., 1474., 1458., 1490., 1478., 1481., 1490., 1469., 1455., 1487., 1476., 1478., 1469., 1472., 1470.}","{6458., 6016., 5850., 5845., 5768., 5844., 5681., 5754., 5640., 5682., 5769., 5684., 5789., 5629., 5708., 5613., 5636., 5694., 5634., 5759., 5612., 5725., 5616., 5630., 5664., 5671., 5786., 5607., 5746., 5588., 5615., 5645., 5627., 5769., 5591., 5783., 5594., 5610., 5596., 5606., 5773., 5628., 5778., 5614., 5664., 5616., 5605., 5696., 5627., 5750.}","{58243., 45465., 45184., 45440., 45246., 45545., 45001., 45585., 45189., 45354., 45283., 45211., 45350., 45368., 45482., 45220., 45651., 45230., 45691., 45485., 45379., 45133., 45410., 45103., 45306., 45414., 45181., 45500., 45232., 45503., 45258., 45552., 45248., 45485., 45077., 45599., 45047., 45345., 45252., 45195., 45322., 45280., 45310., 45304., 45616., 45298., 45568., 45167., 45613., 45223.}"
5,12,"pool1","relu3_1",7,"pool1-conv2_1-relu2_1-conv2_2-relu2_2-pool2-conv3_1-relu3_1","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise",3824.,3853.0667000000003,4264.,280.,281.90000000000003,549.,43309.,43650.7333,44214.,39485.,39797.6667,39950.,43029.,43368.833300000006,43665.,"{4264., 4245., 4009., 3890., 3879., 3854., 3864., 3844., 3895., 3867., 3849., 3859., 3844., 3848., 3860., 3851., 3844., 3861., 3847., 3859., 3848., 3844., 3864., 3824., 3850., 3894., 3851., 3866., 3843., 3851., 3857., 3848., 3858., 3846., 3839., 3858., 3844., 3859., 3841., 3841., 3854., 3846., 3841., 3856., 3837., 3864., 3839., 3840., 3854., 3938.}","{549., 460., 298., 303., 281., 281., 281., 280., 281., 281., 280., 280., 280., 281., 281., 280., 282., 296., 286., 281., 280., 281., 281., 280., 281., 281., 280., 281., 281., 281., 281., 296., 283., 283., 283., 283., 292., 282., 283., 284., 284., 283., 283., 283., 283., 295., 281., 282., 281., 291.}","{44214., 43585., 43321., 43896., 43516., 43469., 43850., 43665., 43721., 43681., 43471., 43838., 43533., 43309., 43772., 43641., 43464., 43847., 43586., 43744., 43730., 43507., 43981., 43543., 43382., 43990., 43466., 43538., 43930., 43565., 43840., 43574., 43578., 43817., 43539., 43368., 43839., 43743., 43637., 43768., 43496., 43979., 43598., 43383., 43854., 43649., 43456., 43792., 43684., 43643.}"
6,13,"conv2_1","conv3_2",7,"conv2_1-relu2_1-conv2_2-relu2_2-pool2-conv3_1-relu3_1-conv3_2","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",9545.,9699.533300000001,10138.,11610.,11746.9333,12249.,50628.,50959.2667,51863.,41083.,41259.7333,41725.,39018.,39212.3333,39614.,"{10138., 9917., 9815., 9831., 9778., 9785., 9815., 9803., 9785., 9787., 9731., 9723., 9738., 9762., 9766., 9737., 9733., 9665., 9664., 9571., 9579., 9586., 9605., 9548., 9620., 9568., 9590., 9620., 9642., 9654., 9614., 9605., 9610., 9664., 9709., 9695., 9730., 9706., 9738., 9746., 9757., 9725., 9737., 9752., 9717., 9711., 9668., 9652., 9588., 9545.}","{12249., 11974., 11763., 11671., 11816., 11876., 11790., 11794., 11639., 11635., 11878., 11831., 11794., 11709., 11611., 11649., 11847., 11794., 11828., 11669., 11665., 11728., 11840., 11791., 11784., 11684., 11610., 11774., 11778., 11754., 11725., 11670., 11673., 11848., 11789., 11783., 11647., 11617., 11650., 11861., 11826., 11840., 11659., 11636., 11713., 11808., 11763., 11763., 11624., 11624.}","{51863., 51298., 51257., 51107., 50789., 51090., 50828., 50665., 50883., 51010., 51404., 51327., 51112., 50960., 50847., 50759., 50916., 50648., 50852., 50908., 51393., 51436., 51345., 50870., 50928., 50907., 50734., 50659., 51031., 50935., 51184., 51202., 51247., 50821., 50875., 50872., 50651., 50628., 50668., 50864., 50984., 51204., 51423., 51137., 50799., 50939., 50860., 50713., 50635., 51064.}"
7,14,"relu2_1","relu3_2",7,"relu2_1-conv2_2-relu2_2-pool2-conv3_1-relu3_1-conv3_2-relu3_2","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",544.,553.3000000000001,1011.,281.,282.2333,518.,41412.,41663.966700000004,42074.,40868.,41110.6667,41063.,41131.,41381.7333,41556.,"{1011., 942., 747., 584., 554., 553., 550., 566., 548., 567., 547., 547., 547., 544., 547., 564., 564., 549., 560., 554., 550., 552., 552., 566., 550., 563., 551., 551., 550., 549., 562., 550., 547., 558., 547., 550., 554., 550., 565., 549., 550., 549., 554., 559., 565., 565., 550., 547., 547., 548.}","{518., 446., 300., 283., 283., 282., 282., 282., 282., 282., 282., 283., 294., 283., 282., 296., 289., 281., 282., 282., 282., 282., 282., 282., 281., 282., 282., 291., 281., 295., 283., 282., 281., 283., 282., 282., 282., 282., 282., 282., 282., 283., 282., 294., 281., 282., 282., 291., 281., 282.}","{41985., 41784., 41783., 41742., 41659., 41534., 41749., 41771., 41794., 41830., 41424., 41481., 41548., 41875., 41839., 41630., 41506., 41489., 41487., 41751., 41885., 41764., 41497., 41534., 41624., 41857., 41836., 41690., 41494., 41613., 41537., 41887., 42074., 41558., 41651., 41412., 41590., 41772., 41949., 41553., 41539., 41415., 41517., 41907., 41804., 41679., 41549., 41425., 41623., 41747.}"
8,15,"conv2_2","conv3_3",7,"conv2_2-relu2_2-pool2-conv3_1-relu3_1-conv3_2-relu3_2-conv3_3","Convolution","Convolution","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution",19118.,19227.9667,19619.,11568.,11711.033300000001,12148.,52045.,52368.600000000006,53123.,32927.,33140.6333,33504.,40477.,40657.5667,40975.,"{19619., 19272., 19270., 19225., 19244., 19199., 19210., 19172., 19189., 19193., 19264., 19147., 19187., 19153., 19251., 19271., 19241., 19251., 19159., 19202., 19247., 19237., 19319., 19223., 19162., 19118., 19179., 19240., 19161., 19209., 19230., 19223., 19218., 19285., 19287., 19332., 19324., 19124., 19132., 19174., 19239., 19251., 19229., 19217., 19210., 19281., 19341., 19313., 19286., 19218.}","{12148., 11868., 11880., 11826., 11788., 11694., 11610., 11597., 11785., 11831., 11788., 11665., 11594., 11623., 11773., 11789., 11805., 11620., 11600., 11666., 11752., 11722., 11764., 11603., 11624., 11632., 11805., 11744., 11737., 11576., 11585., 11684., 11740., 11771., 11811., 11643., 11675., 11759., 11747., 11783., 11700., 11584., 11568., 11720., 11699., 11736., 11717., 11595., 11611., 11757.}","{53123., 52219., 52214., 52477., 52545., 52274., 52295., 52373., 52696., 52345., 52213., 52338., 52632., 52365., 52258., 52485., 52577., 52356., 52176., 52404., 52687., 52479., 52051., 52312., 52404., 52432., 52322., 52208., 52425., 52561., 52224., 52225., 52319., 52582., 52290., 52130., 52382., 52590., 52542., 52183., 52332., 52583., 52509., 52137., 52045., 52499., 52516., 52211., 52195., 52443.}"
9,16,"relu2_2","relu3_3",7,"relu2_2-pool2-conv3_1-relu3_1-conv3_2-relu3_2-conv3_3-relu3_3","Elementwise","Elementwise","Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",557.,566.1333000000001,1039.,290.,291.3,526.,33332.,33577.1,33897.,32775.,33010.966700000004,32858.,33042.,33285.8,33371.,"{1039., 995., 789., 605., 576., 576., 570., 583., 565., 566., 566., 560., 561., 563., 578., 563., 562., 573., 561., 561., 564., 576., 563., 559., 563., 560., 561., 562., 582., 570., 564., 565., 568., 563., 575., 579., 568., 563., 562., 562., 564., 557., 578., 563., 562., 564., 562., 564., 562., 575.}","{526., 466., 317., 293., 291., 306., 291., 291., 290., 290., 299., 291., 290., 291., 291., 290., 291., 291., 291., 304., 292., 291., 291., 291., 291., 291., 291., 291., 291., 290., 290., 291., 293., 291., 291., 291., 290., 291., 290., 290., 290., 291., 291., 291., 298., 291., 309., 296., 295., 295.}","{33897., 33668., 33739., 33420., 33784., 33460., 33485., 33765., 33344., 33664., 33690., 33347., 33631., 33661., 33467., 33744., 33573., 33476., 33737., 33511., 33486., 33813., 33332., 33618., 33803., 33375., 33546., 33644., 33385., 33534., 33628., 33408., 33753., 33449., 33448., 33737., 33438., 33506., 33768., 33401., 33646., 33675., 33377., 33566., 33567., 33480., 33740., 33583., 33410., 33762.}"
10,17,"pool2","pool3",7,"pool2-conv3_1-relu3_1-conv3_2-relu3_2-conv3_3-relu3_3-pool3","Pooling","Pooling","Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Pooling",1903.,1919.0333,2002.,1002.,1013.5667000000001,1058.,33412.,33691.966700000004,38265.,31509.,31772.9333,36263.,32410.,32678.4,37207.,"{1991., 1971., 1909., 1923., 1903., 1935., 1909., 1927., 1910., 1924., 1909., 1934., 1922., 1927., 1911., 1926., 1921., 1928., 1909., 1925., 1909., 1936., 1910., 1922., 1909., 1909., 1948., 1911., 1923., 1909., 1925., 1919., 1925., 1907., 1925., 1907., 1925., 1921., 1924., 1910., 1923., 1906., 1935., 1909., 1925., 1910., 1922., 1926., 2002., 1909.}","{1058., 1042., 1009., 1003., 1002., 1022., 1019., 1006., 1014., 1008., 1006., 1005., 1017., 1007., 1004., 1005., 1050., 1009., 1004., 1004., 1026., 1029., 1012., 1011., 1027., 1009., 1020., 1012., 1027., 1011., 1009., 1010., 1025., 1010., 1009., 1020., 1022., 1012., 1011., 1021., 1027., 1011., 1010., 1010., 1026., 1021., 1011., 1010., 1026., 1012.}","{34604., 33579., 33741., 33967., 33585., 33741., 33660., 33557., 33918., 33549., 33631., 33876., 33509., 33678., 33785., 33668., 33782., 33565., 38265., 33680., 33714., 33755., 33652., 33979., 33526., 33613., 33990., 33575., 33756., 33697., 33729., 33849., 33545., 33639., 33869., 33552., 33706., 33797., 33591., 33739., 33588., 33542., 33959., 33412., 33787., 33805., 33521., 33814., 33608., 33664.}"
