"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",1,10,9,50,"1/conv1","2_2/1/conv2_2_expand_bn","1/conv1-1/conv1_bn-1/relu1-2_1/1/conv2_1_dwise-2_1/1/conv2_1_dwise_bn-2_1/1/relu2_1_dwise-2_1/2/conv2_1_linear-2_1/2/conv2_1_linear_bn-2_2/1/conv2_2_expand-2_2/1/conv2_2_expand_bn","Convolution","BatchNormalization","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization",11441.,11534.1,11803.,"{11687., 11533., 11487., 11622., 11467., 11458., 11668., 11567., 11554., 11618., 11589., 11449., 11522., 11532., 11628., 11492., 11477., 11476., 11476., 11502., 11449., 11610., 11569., 11539., 11564., 11516., 11508., 11518., 11551., 11475., 11518., 11555., 11566., 11556., 11471., 11479., 11538., 11764., 11635., 11737., 11499., 11548., 11510., 11523., 11544., 11519., 11531., 11441., 11803., 11594.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",11,20,9,50,"2_2/1/relu2_2_expand","3_1/2/conv3_1_dwise","2_2/1/relu2_2_expand-2_2/2/conv2_2_dwise-2_2/2/conv2_2_dwise_bn-2_2/2/relu2_2_dwise-2_2/3/conv2_2_linear-2_2/3/conv2_2_linear_bn-3_1/1/conv3_1_expand-3_1/1/conv3_1_expand_bn-3_1/1/relu3_1_expand-3_1/2/conv3_1_dwise","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Elementwise-Convolution",17319.,17442.6333,17748.,"{17476., 17475., 17454., 17452., 17442., 17577., 17628., 17694., 17388., 17397., 17429., 17480., 17635., 17376., 17590., 17383., 17469., 17530., 17440., 17422., 17416., 17355., 17423., 17382., 17722., 17691., 17476., 17401., 17408., 17449., 17441., 17364., 17385., 17408., 17401., 17319., 17400., 17358., 17364., 17459., 17748., 17558., 17470., 17506., 17623., 17465., 17509., 17323., 17408., 17365.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",21,21,0,50,"3_1/2/conv3_1_dwise_bn","3_1/2/conv3_1_dwise_bn","3_1/2/conv3_1_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",295.,299.73330000000004,377.,"{377., 303., 300., 299., 299., 298., 296., 297., 335., 304., 300., 317., 297., 296., 296., 295., 297., 296., 297., 296., 297., 313., 301., 298., 297., 295., 309., 296., 296., 296., 296., 298., 295., 336., 314., 305., 302., 317., 303., 301., 300., 301., 300., 318., 303., 300., 334., 302., 301., 300.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",22,22,0,50,"3_1/2/relu3_1_dwise","3_1/2/relu3_1_dwise","3_1/2/relu3_1_dwise","Elementwise","Elementwise","Elementwise",564.,583.,616.,"{605., 616., 577., 573., 583., 599., 564., 572., 615., 579., 572., 573., 584., 572., 587., 601., 585., 572., 583., 574., 572., 572., 600., 581., 590., 580., 587., 581., 613., 581., 588., 579., 579., 578., 578., 614., 583., 583., 584., 583., 583., 584., 608., 585., 583., 583., 582., 594., 607., 583.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",23,23,0,50,"3_1/3/conv3_1_linear","3_1/3/conv3_1_linear","3_1/3/conv3_1_linear","Convolution","Convolution","Convolution",395.,398.3,471.,"{471., 401., 399., 436., 400., 398., 397., 397., 397., 406., 398., 397., 397., 419., 397., 398., 397., 397., 396., 396., 397., 396., 440., 400., 397., 396., 397., 397., 396., 397., 397., 395., 436., 402., 399., 400., 399., 398., 399., 403., 400., 401., 435., 399., 397., 397., 397., 409., 397., 422.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",24,24,0,50,"3_1/3/conv3_1_linear_bn","3_1/3/conv3_1_linear_bn","3_1/3/conv3_1_linear_bn","BatchNormalization","BatchNormalization","BatchNormalization",98.,100.03330000000001,125.,"{125., 106., 102., 102., 100., 101., 101., 100., 99., 100., 100., 99., 101., 100., 100., 99., 100., 100., 100., 100., 100., 100., 99., 101., 100., 99., 100., 100., 100., 100., 100., 100., 100., 100., 123., 101., 100., 100., 100., 100., 100., 99., 100., 100., 98., 100., 99., 100., 101., 99.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",25,34,9,50,"3_1/4","4_1/1/conv4_1_expand","3_1/4-3_2/1/conv3_2_expand-3_2/1/conv3_2_expand_bn-3_2/1/relu3_2_expand-3_2/2/conv3_2_dwise-3_2/2/conv3_2_dwise_bn-3_2/2/relu3_2_dwise-3_2/3/conv3_2_linear-3_2/3/conv3_2_linear_bn-4_1/1/conv4_1_expand","Threading","Convolution","Threading-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution",4223.,4296.2667,4452.,"{4402., 4284., 4270., 4265., 4247., 4258., 4251., 4231., 4264., 4236., 4246., 4237., 4243., 4261., 4432., 4318., 4259., 4238., 4248., 4269., 4271., 4261., 4260., 4246., 4256., 4260., 4245., 4251., 4245., 4265., 4223., 4255., 4241., 4386., 4387., 4396., 4365., 4369., 4374., 4408., 4397., 4362., 4404., 4399., 4361., 4445., 4452., 4437., 4439., 4369.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",35,35,0,50,"4_1/1/conv4_1_expand_bn","4_1/1/conv4_1_expand_bn","4_1/1/conv4_1_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization",153.,154.2333,213.,"{213., 160., 157., 156., 155., 155., 155., 155., 154., 154., 154., 155., 154., 155., 171., 156., 154., 153., 154., 154., 154., 155., 154., 154., 155., 154., 153., 154., 153., 154., 154., 154., 153., 153., 154., 154., 154., 154., 175., 157., 156., 154., 154., 154., 154., 154., 154., 154., 153., 154.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",36,36,0,50,"4_1/1/relu4_1_expand","4_1/1/relu4_1_expand","4_1/1/relu4_1_expand","Elementwise","Elementwise","Elementwise",259.,262.,301.,"{295., 268., 263., 263., 265., 266., 265., 261., 261., 265., 260., 261., 260., 260., 295., 264., 261., 264., 259., 264., 266., 265., 260., 260., 262., 261., 260., 261., 260., 301., 266., 266., 261., 261., 261., 261., 260., 260., 262., 266., 261., 260., 260., 289., 264., 261., 261., 260., 260., 261.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",37,37,0,50,"4_1/2/conv4_1_dwise","4_1/2/conv4_1_dwise","4_1/2/conv4_1_dwise","Convolution","Convolution","Convolution",2674.,2708.6667,2744.,"{2744., 2712., 2730., 2675., 2706., 2734., 2713., 2712., 2718., 2697., 2724., 2710., 2674., 2728., 2717., 2686., 2700., 2725., 2674., 2732., 2717., 2706., 2689., 2721., 2707., 2682., 2722., 2725., 2677., 2708., 2702., 2683., 2725., 2720., 2677., 2734., 2718., 2690., 2708., 2713., 2684., 2730., 2718., 2678., 2709., 2712., 2685., 2693., 2710., 2702.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",38,38,0,50,"4_1/2/conv4_1_dwise_bn","4_1/2/conv4_1_dwise_bn","4_1/2/conv4_1_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",162.,163.13330000000002,197.,"{197., 169., 165., 170., 165., 164., 183., 166., 165., 163., 163., 163., 163., 162., 162., 163., 163., 163., 163., 163., 163., 163., 165., 163., 162., 162., 162., 163., 162., 176., 166., 163., 163., 163., 164., 163., 162., 163., 163., 162., 163., 163., 163., 163., 163., 162., 163., 163., 163., 162.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",39,39,0,50,"4_1/2/relu4_1_dwise","4_1/2/relu4_1_dwise","4_1/2/relu4_1_dwise","Elementwise","Elementwise","Elementwise",257.,261.5667,295.,"{279., 270., 262., 266., 258., 261., 261., 261., 284., 265., 267., 266., 264., 263., 261., 262., 261., 269., 261., 260., 260., 260., 261., 295., 264., 262., 261., 261., 261., 261., 261., 261., 261., 265., 257., 261., 261., 260., 293., 262., 261., 261., 261., 261., 261., 260., 261., 260., 261., 262.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",40,40,0,50,"4_1/3/conv4_1_linear","4_1/3/conv4_1_linear","4_1/3/conv4_1_linear","Convolution","Convolution","Convolution",233.,237.5,302.,"{302., 244., 240., 239., 238., 238., 237., 256., 240., 248., 237., 238., 237., 237., 239., 238., 238., 237., 236., 237., 237., 237., 237., 253., 239., 237., 237., 236., 236., 236., 236., 237., 236., 236., 236., 253., 236., 235., 236., 257., 237., 233., 259., 240., 242., 236., 236., 237., 243., 236.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",41,41,0,50,"4_1/3/conv4_1_linear_bn","4_1/3/conv4_1_linear_bn","4_1/3/conv4_1_linear_bn","BatchNormalization","BatchNormalization","BatchNormalization",75.,76.1667,100.,"{100., 82., 78., 77., 76., 76., 76., 76., 77., 76., 91., 80., 76., 77., 76., 76., 77., 76., 76., 77., 76., 76., 75., 75., 79., 76., 76., 77., 76., 76., 76., 76., 76., 76., 76., 76., 77., 76., 76., 76., 75., 76., 76., 76., 77., 76., 76., 75., 77., 76.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",42,42,0,50,"4_1/4","4_1/4","4_1/4","Threading","Threading","Threading",75.,76.3,96.,"{96., 82., 78., 77., 77., 77., 77., 77., 77., 76., 75., 76., 76., 76., 76., 76., 76., 77., 77., 76., 78., 77., 77., 76., 76., 75., 75., 75., 76., 76., 77., 76., 77., 76., 75., 76., 76., 76., 75., 76., 76., 76., 76., 77., 75., 83., 78., 76., 76., 76.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",43,43,0,50,"4_2/1/conv4_2_expand","4_2/1/conv4_2_expand","4_2/1/conv4_2_expand","Convolution","Convolution","Convolution",299.,302.5667,357.,"{357., 312., 305., 305., 303., 304., 303., 302., 326., 304., 308., 303., 318., 302., 301., 302., 300., 301., 301., 301., 321., 305., 303., 302., 303., 301., 301., 300., 302., 302., 301., 301., 301., 325., 319., 302., 302., 299., 302., 300., 301., 301., 305., 301., 314., 303., 341., 304., 302., 301.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",44,44,0,50,"4_2/1/conv4_2_expand_bn","4_2/1/conv4_2_expand_bn","4_2/1/conv4_2_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization",162.,162.8333,192.,"{185., 169., 164., 165., 189., 166., 164., 163., 162., 163., 162., 163., 163., 162., 192., 177., 163., 163., 162., 162., 163., 162., 162., 163., 164., 163., 163., 176., 165., 163., 163., 162., 163., 163., 162., 162., 163., 162., 163., 162., 164., 162., 163., 162., 163., 162., 162., 162., 162., 163.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",45,45,0,50,"4_2/1/relu4_2_expand","4_2/1/relu4_2_expand","4_2/1/relu4_2_expand","Elementwise","Elementwise","Elementwise",257.,261.43330000000003,292.,"{278., 269., 263., 266., 261., 267., 257., 266., 267., 262., 261., 261., 260., 260., 260., 265., 261., 260., 260., 260., 260., 260., 292., 268., 262., 263., 261., 260., 260., 261., 261., 270., 263., 261., 261., 260., 260., 284., 263., 261., 260., 264., 261., 260., 261., 266., 260., 257., 260., 260.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",46,46,0,50,"4_2/2/conv4_2_dwise","4_2/2/conv4_2_dwise","4_2/2/conv4_2_dwise","Convolution","Convolution","Convolution",2661.,2703.5,2787.,"{2787., 2683., 2712., 2704., 2669., 2706., 2717., 2669., 2718., 2709., 2685., 2675., 2713., 2703., 2684., 2734., 2710., 2687., 2708., 2700., 2689., 2711., 2721., 2692., 2700., 2725., 2681., 2719., 2706., 2700., 2702., 2717., 2676., 2740., 2707., 2666., 2730., 2713., 2661., 2682., 2718., 2725., 2665., 2723., 2726., 2668., 2690., 2724., 2693., 2709.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",47,47,0,50,"4_2/2/conv4_2_dwise_bn","4_2/2/conv4_2_dwise_bn","4_2/2/conv4_2_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",221.,225.13330000000002,272.,"{272., 227., 222., 222., 249., 226., 221., 222., 223., 222., 221., 222., 222., 221., 221., 221., 250., 235., 229., 233., 228., 229., 229., 228., 231., 228., 229., 228., 229., 228., 229., 229., 259., 235., 227., 224., 222., 221., 221., 221., 222., 222., 222., 221., 221., 222., 222., 226., 230., 223.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",48,48,0,50,"4_2/2/relu4_2_dwise","4_2/2/relu4_2_dwise","4_2/2/relu4_2_dwise","Elementwise","Elementwise","Elementwise",427.,435.2667,470.,"{464., 437., 431., 429., 470., 441., 433., 436., 437., 433., 433., 438., 432., 463., 436., 430., 430., 427., 429., 427., 451., 435., 470., 443., 438., 433., 433., 434., 434., 432., 436., 465., 440., 433., 432., 432., 432., 435., 433., 432., 469., 442., 437., 435., 436., 442., 442., 435., 435., 434.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",49,49,0,50,"4_2/3/conv4_2_linear","4_2/3/conv4_2_linear","4_2/3/conv4_2_linear","Convolution","Convolution","Convolution",232.,379.36670000000004,464.,"{464., 386., 405., 387., 383., 380., 376., 374., 375., 374., 396., 384., 415., 387., 378., 379., 380., 376., 377., 377., 376., 379., 408., 386., 381., 373., 381., 380., 378., 380., 385., 383., 380., 391., 379., 380., 377., 377., 382., 379., 380., 379., 380., 325., 249., 236., 235., 233., 232., 232.}"
"MobileNet V2 Trained on ImageNet Competition Data","c4.xlarge",50,50,0,50,"4_2/3/conv4_2_linear_bn","4_2/3/conv4_2_linear_bn","4_2/3/conv4_2_linear_bn","BatchNormalization","BatchNormalization","BatchNormalization",71.,73.0667,107.,"{96., 78., 73., 72., 71., 71., 71., 72., 72., 72., 72., 82., 73., 72., 72., 73., 73., 73., 73., 72., 107., 79., 83., 74., 73., 74., 74., 74., 74., 73., 74., 73., 73., 73., 73., 73., 73., 73., 74., 73., 73., 73., 73., 73., 73., 72., 74., 73., 73., 73.}"
