"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution-Normalization",179353.,180182.5667,204930.,"{204930., 180149., 180125., 179721., 179353., 180170., 180298., 180308., 180312., 179887., 179701., 180297., 180476., 179810., 179796., 180014., 180267., 180346., 180075., 180374., 180190., 180230., 180237., 180050., 180282., 180435., 180302., 179936., 180058., 180301., 180550., 180328., 180071., 180365., 180382., 180384., 180167., 180308., 179842., 179945., 180510., 180289., 179850., 179811., 180033., 180087., 179919., 179948., 180354., 180898.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",8,14,6,50,"8","12/1/3","8-9-10-11-12/1/1-12/1/2-12/1/3","Elementwise","Normalization","Elementwise-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",66805.,67525.06670000001,80568.,"{80568., 67875., 67818., 68138., 68426., 68184., 67688., 67011., 66903., 67811., 67619., 67669., 67844., 67889., 67802., 67489., 67241., 67089., 67199., 67050., 67294., 67286., 67639., 67590., 67609., 67647., 67457., 67472., 67132., 66906., 66830., 67181., 67989., 67965., 67791., 68025., 67838., 67671., 67462., 67446., 67436., 67307., 67264., 67158., 66870., 66805., 66876., 67544., 67748., 67576.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",15,15,0,50,"12/1/4","12/1/4","12/1/4","Elementwise","Elementwise","Elementwise",198.,199.3333,337.,"{337., 281., 216., 202., 201., 200., 200., 199., 200., 200., 200., 198., 199., 198., 199., 199., 228., 200., 199., 199., 198., 200., 200., 199., 199., 199., 199., 200., 199., 199., 199., 199., 199., 211., 224., 199., 198., 198., 199., 198., 198., 199., 200., 199., 198., 200., 199., 198., 198., 207.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",682.,687.1,720.,"{720., 705., 686., 685., 684., 708., 685., 684., 684., 684., 707., 684., 684., 683., 696., 695., 708., 685., 684., 684., 683., 683., 707., 685., 684., 683., 683., 682., 707., 698., 687., 686., 686., 713., 689., 687., 687., 687., 685., 711., 688., 687., 687., 697., 689., 707., 683., 682., 682., 682.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",8265.,8414.7333,17384.,"{17384., 8862., 8703., 8504., 8453., 8436., 8432., 8455., 8925., 8846., 8495., 8388., 8569., 8709., 8605., 8435., 8334., 10149., 8322., 8302., 8376., 8370., 8417., 8271., 8301., 8309., 8379., 8432., 8582., 8610., 8466., 8372., 8310., 8426., 8499., 8470., 8425., 8368., 8359., 8385., 8413., 8380., 8265., 8316., 8319., 8365., 8382., 8335., 8286., 8313.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",26088.,26177.333300000002,26226.,"{26195., 26214., 26204., 26194., 26199., 26197., 26198., 26191., 26196., 26202., 26223., 26193., 26201., 26184., 26193., 26162., 26161., 26165., 26167., 26147., 26136., 26159., 26125., 26145., 26088., 26121., 26127., 26123., 26124., 26144., 26160., 26168., 26184., 26226., 26197., 26159., 26150., 26184., 26168., 26200., 26180., 26191., 26191., 26221., 26202., 26211., 26171., 26170., 26138., 26146.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",19,25,6,50,"12/2","13/1/6","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5-13/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45037.,45761.6667,54584.,"{54584., 46196., 46242., 46096., 45528., 45682., 45319., 45339., 45747., 45319., 45636., 46067., 46446., 46196., 46154., 46283., 46243., 46386., 46474., 46439., 46372., 45894., 45551., 45846., 45971., 45436., 45454., 45392., 45468., 45684., 45563., 45619., 45898., 45859., 45648., 45724., 45618., 45510., 45682., 45372., 45160., 45134., 45037., 45275., 45187., 45713., 45972., 45943., 45843., 45848.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",26098.,26164.333300000002,26253.,"{26253., 26174., 26195., 26214., 26218., 26187., 26209., 26183., 26174., 26190., 26155., 26184., 26162., 26183., 26166., 26148., 26118., 26155., 26125., 26169., 26163., 26147., 26159., 26142., 26164., 26100., 26147., 26140., 26098., 26145., 26115., 26107., 26144., 26124., 26174., 26158., 26161., 26179., 26178., 26174., 26128., 26169., 26158., 26202., 26165., 26148., 26200., 26177., 26204., 26167.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",27,33,6,50,"13/2","14/1/6","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5-14/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45303.,45988.700000000004,46876.,"{46588., 45867., 45506., 45388., 45398., 45443., 45667., 45784., 45912., 46080., 46055., 45807., 45932., 45950., 46073., 46033., 46020., 45806., 46162., 46295., 46135., 45926., 45755., 46031., 46159., 46084., 46175., 46156., 46367., 46566., 46876., 46863., 46455., 46271., 46018., 45899., 45720., 45825., 46166., 46320., 46167., 45550., 45303., 45397., 45389., 45831., 45576., 45965., 46388., 46168.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c5n.xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26127.,26178.033300000003,26228.,"{26188., 26215., 26202., 26156., 26176., 26196., 26208., 26180., 26160., 26170., 26155., 26150., 26141., 26153., 26127., 26157., 26143., 26163., 26130., 26137., 26179., 26166., 26196., 26163., 26178., 26169., 26167., 26200., 26185., 26211., 26139., 26190., 26211., 26147., 26198., 26174., 26186., 26195., 26153., 26160., 26198., 26220., 26199., 26179., 26197., 26177., 26210., 26184., 26228., 26208.}"
