"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",1,2,1,50,"conv1_1","relu1_1","conv1_1-relu1_1","Convolution","Elementwise","Convolution-Elementwise",5311.,5600.6,6754.,"{6754., 5785., 5645., 5715., 5658., 5725., 5582., 5583., 5669., 5714., 5701., 5866., 5797., 5651., 5621., 5647., 5634., 5685., 5628., 5712., 5685., 5876., 5705., 5642., 5688., 5684., 5758., 5738., 5553., 5439., 5376., 5398., 5361., 5364., 5377., 5375., 5586., 5633., 5442., 5468., 5411., 5380., 5375., 5326., 5311., 5460., 5651., 5653., 5488., 5414.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",3,4,1,50,"conv1_2","relu1_2","conv1_2-relu1_2","Convolution","Elementwise","Convolution-Elementwise",46754.,47034.600000000006,47312.,"{47118., 47089., 47217., 47312., 47230., 47269., 47096., 47037., 47107., 47149., 47030., 47089., 47245., 46884., 47036., 47073., 46985., 47071., 47013., 47009., 47054., 47040., 46925., 46920., 47146., 47035., 46990., 47156., 46983., 47097., 46943., 46998., 47144., 46992., 46972., 46970., 46993., 46972., 46754., 46913., 46814., 47016., 46889., 47017., 46954., 47019., 47051., 47020., 47116., 47038.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",5,6,1,50,"pool1","conv2_1","pool1-conv2_1","Pooling","Convolution","Pooling-Convolution",17676.,17955.7,18653.,"{18653., 18190., 18084., 18137., 18036., 17943., 17909., 17854., 17792., 17843., 17821., 17816., 17762., 17808., 17819., 17854., 17815., 17761., 17831., 18028., 18088., 18197., 18128., 18093., 18083., 18083., 18033., 18023., 17992., 18022., 18033., 17972., 17994., 18037., 18086., 18097., 18200., 18212., 18062., 18026., 17874., 17854., 17826., 17817., 17988., 17844., 17704., 17760., 17676., 17766.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",7,8,1,50,"relu2_1","conv2_2","relu2_1-conv2_2","Elementwise","Convolution","Elementwise-Convolution",27744.,27899.4667,28604.,"{28604., 27919., 27850., 27986., 28237., 28094., 28185., 28013., 27996., 27969., 28002., 28094., 27837., 27926., 28182., 27985., 27849., 27930., 27920., 27842., 27752., 27872., 27744., 27807., 27921., 27850., 27825., 27747., 27827., 27912., 27802., 27834., 27781., 27813., 27770., 27916., 27834., 27848., 27898., 27945., 27937., 27768., 27838., 27969., 27869., 27980., 27847., 27886., 28003., 27988.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",9,10,1,50,"relu2_2","pool2","relu2_2-pool2","Elementwise","Pooling","Elementwise-Pooling",2548.,2584.7333000000003,3082.,"{3082., 2945., 2690., 2608., 2603., 2607., 2582., 2616., 2604., 2567., 2604., 2600., 2559., 2589., 2565., 2579., 2580., 2563., 2598., 2582., 2566., 2595., 2605., 2562., 2590., 2580., 2564., 2601., 2582., 2549., 2594., 2554., 2575., 2591., 2568., 2576., 2588., 2579., 2593., 2591., 2560., 2600., 2594., 2562., 2579., 2593., 2548., 2574., 2550., 2591.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",11,12,1,50,"conv3_1","relu3_1","conv3_1-relu3_1","Convolution","Elementwise","Convolution-Elementwise",10029.,10153.6,11251.,"{11251., 10400., 10284., 10272., 10255., 10229., 10302., 10163., 10177., 10135., 10119., 10134., 10206., 10110., 10054., 10134., 10131., 10115., 10029., 10057., 10101., 10057., 10063., 10141., 10106., 10167., 10181., 10196., 10253., 10218., 10231., 10134., 10192., 10154., 10177., 10093., 10263., 10205., 10122., 10180., 10110., 10100., 10090., 10191., 10116., 10112., 10083., 10150., 10192., 10140.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",13,14,1,50,"conv3_2","relu3_2","conv3_2-relu3_2","Convolution","Elementwise","Convolution-Elementwise",19762.,19936.5667,20274.,"{20274., 20062., 19964., 19852., 19861., 19933., 19974., 20070., 20005., 20007., 19945., 19944., 19996., 19932., 19872., 19959., 19843., 19932., 19887., 19925., 19978., 19897., 19869., 19955., 19924., 19882., 19932., 19893., 19945., 19873., 19890., 19858., 19873., 20191., 20010., 19930., 20062., 19928., 20016., 19992., 19992., 19901., 19916., 19762., 19764., 19984., 19820., 20054., 19981., 19913.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",15,16,1,50,"conv3_3","relu3_3","conv3_3-relu3_3","Convolution","Elementwise","Convolution-Elementwise",19724.,19934.100000000002,20228.,"{20228., 19876., 19843., 19771., 19866., 19775., 19889., 19811., 19858., 19773., 19816., 19769., 19724., 19826., 19805., 20037., 20017., 20101., 20080., 20015., 19994., 20014., 20089., 19985., 20003., 20192., 20209., 20141., 20016., 20054., 19994., 20039., 20124., 20068., 20084., 19911., 19920., 19914., 19876., 19867., 19872., 19858., 19841., 19862., 19863., 19870., 19870., 19935., 19800., 20064.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",17,18,1,50,"pool3","conv4_1","pool3-conv4_1","Pooling","Convolution","Pooling-Convolution",8818.,8952.9333,9364.,"{9364., 9120., 9046., 8972., 8987., 8961., 8927., 8920., 8932., 8948., 8852., 8877., 8886., 8888., 8925., 8897., 8897., 8897., 8936., 8879., 8818., 8862., 8906., 8939., 8937., 8911., 8937., 8920., 8939., 8893., 8915., 8937., 8955., 8900., 9038., 9080., 9133., 9180., 9352., 9224., 8947., 8836., 9026., 9045., 9059., 8992., 9040., 9029., 9035., 8983.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI and Looking at People Data","c5n.xlarge",19,20,1,50,"relu4_1","conv4_2","relu4_1-conv4_2","Elementwise","Convolution","Elementwise-Convolution",15917.,16157.400000000001,16386.,"{16269., 16230., 16154., 16219., 16219., 16125., 16110., 16168., 16098., 16114., 16074., 16094., 16073., 16045., 16089., 15917., 16051., 16206., 16088., 16126., 16329., 16145., 16208., 16051., 16356., 16277., 16114., 16077., 15982., 15923., 15982., 16052., 16386., 16344., 16345., 16194., 16120., 16151., 16250., 16216., 16138., 16213., 16160., 16202., 16017., 16300., 16260., 16168., 16252., 16292.}"
