"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",1,6,5,50,"1","4/1/1/2/1/2","1-2-3-4/1/1/1-4/1/1/2/1/1-4/1/1/2/1/2","Convolution","BatchNormalization","Convolution-BatchNormalization-Elementwise-Pooling-Convolution-BatchNormalization",55696.,56342.6667,100685.,"{100685., 56375., 56254., 56454., 56375., 56405., 56076., 55858., 55816., 56002., 56460., 56484., 56247., 56146., 55896., 55939., 56001., 55696., 56060., 55713., 55882., 56126., 55741., 55968., 56161., 56281., 56071., 55778., 56342., 56861., 56184., 56397., 56168., 56616., 56283., 56650., 56607., 57087., 57146., 56755., 56660., 56931., 56879., 57001., 56686., 56385., 56569., 56779., 56958., 56911.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",7,7,0,50,"4/1/1/2/1/3","4/1/1/2/1/3","4/1/1/2/1/3","Elementwise","Elementwise","Elementwise",318.,320.86670000000004,1887.,"{1887., 446., 340., 321., 319., 319., 319., 320., 318., 322., 331., 320., 320., 352., 321., 321., 320., 322., 321., 321., 319., 320., 321., 321., 320., 354., 322., 321., 320., 321., 321., 319., 322., 322., 319., 321., 321., 348., 322., 323., 330., 320., 319., 318., 321., 320., 319., 321., 320., 350.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",8,13,5,50,"4/1/1/2/2/1","4/1/1/2/2/6","4/1/1/2/2/1-4/1/1/2/2/2-4/1/1/2/2/3-4/1/1/2/2/4-4/1/1/2/2/5-4/1/1/2/2/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",9500.,9860.1,21523.,"{21523., 9915., 9857., 9816., 9806., 9781., 9767., 9792., 9789., 9849., 9869., 9798., 9732., 9778., 9868., 10097., 10028., 9739., 9573., 9562., 9573., 9500., 9569., 9602., 9574., 9702., 9746., 9704., 9931., 9914., 9899., 9894., 9915., 9945., 9918., 9951., 9983., 9973., 9949., 9982., 9976., 9917., 9975., 10019., 9898., 9909., 9847., 9889., 9926., 9882.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",14,19,5,50,"4/1/1/2/3/1","4/1/1/2/3/6","4/1/1/2/3/1-4/1/1/2/3/2-4/1/1/2/3/3-4/1/1/2/3/4-4/1/1/2/3/5-4/1/1/2/3/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",22181.,22497.6333,69939.,"{69939., 22880., 22998., 22754., 22735., 22543., 22660., 22606., 22650., 22607., 22628., 22478., 22304., 22292., 22280., 22505., 22668., 22600., 22596., 22584., 22769., 22698., 22451., 22539., 22521., 22557., 22551., 22583., 22718., 22688., 22461., 22704., 23058., 22413., 22367., 22364., 22286., 22290., 22181., 22353., 22259., 22371., 22286., 22305., 22230., 22272., 22229., 22338., 22325., 22313.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",20,25,5,50,"4/1/1/2/4/1","4/1/1/2/4/6","4/1/1/2/4/1-4/1/1/2/4/2-4/1/1/2/4/3-4/1/1/2/4/4-4/1/1/2/4/5-4/1/1/2/4/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",40653.,41185.1,103232.,"{103232., 41266., 41124., 41328., 41207., 41370., 41294., 41182., 41032., 41150., 41074., 40943., 40853., 40913., 41294., 41848., 41428., 41537., 41740., 41629., 41531., 41679., 41845., 41582., 41192., 41018., 40871., 40794., 40678., 40749., 40843., 41150., 40828., 40735., 40784., 40653., 40756., 41096., 41090., 41383., 41074., 41575., 41381., 41266., 41151., 41078., 41378., 41390., 41211., 41219.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",26,26,0,50,"4/1/1/2/5","4/1/1/2/5","4/1/1/2/5","Catenate","Catenate","Catenate",928.,959.5,7226.,"{7226., 1818., 1723., 1453., 1315., 1264., 1278., 1252., 1236., 1069., 1011., 963., 968., 1012., 959., 959., 951., 967., 938., 945., 953., 976., 938., 942., 950., 974., 935., 938., 940., 979., 959., 951., 946., 970., 937., 937., 930., 969., 942., 938., 942., 945., 963., 933., 944., 939., 978., 941., 947., 928.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",27,27,0,50,"4/1/1/3/1/1","4/1/1/3/1/1","4/1/1/3/1/1","Convolution","Convolution","Convolution",965.,988.6,2415.,"{2415., 2139., 1896., 1820., 1724., 1755., 1724., 1309., 1001., 977., 1023., 1026., 969., 977., 987., 1001., 971., 969., 970., 1000., 1025., 982., 981., 987., 988., 970., 994., 971., 970., 965., 1023., 971., 965., 977., 1013., 974., 970., 968., 993., 1000., 1003., 965., 992., 981., 983., 969., 996., 970., 970., 1002.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",28,28,0,50,"4/1/1/3/1/2","4/1/1/3/1/2","4/1/1/3/1/2","BatchNormalization","BatchNormalization","BatchNormalization",250.,255.06670000000003,377.,"{377., 313., 263., 254., 251., 250., 295., 253., 255., 255., 255., 255., 254., 255., 255., 255., 255., 255., 255., 256., 255., 280., 252., 255., 254., 265., 252., 255., 255., 255., 256., 255., 254., 256., 256., 255., 278., 253., 256., 256., 252., 252., 251., 266., 253., 256., 256., 255., 255., 255.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",29,29,0,50,"4/1/1/3/1/3","4/1/1/3/1/3","4/1/1/3/1/3","Elementwise","Elementwise","Elementwise",232.,237.,336.,"{336., 283., 248., 235., 239., 237., 263., 235., 238., 238., 237., 236., 237., 238., 238., 236., 237., 238., 238., 240., 233., 238., 265., 235., 233., 235., 234., 233., 234., 233., 233., 234., 232., 234., 232., 233., 234., 233., 260., 237., 239., 240., 250., 237., 239., 240., 239., 240., 239., 239.}"
"Single-Image Depth Perception Net Trained on Depth in the Wild Data","c5n.xlarge",30,35,5,50,"4/1/1/3/2/1","4/1/1/3/2/6","4/1/1/3/2/1-4/1/1/3/2/2-4/1/1/3/2/3-4/1/1/3/2/4-4/1/1/3/2/5-4/1/1/3/2/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",9560.,9813.2333,19014.,"{19014., 11832., 9885., 9835., 9882., 10021., 10038., 10036., 9952., 9875., 9862., 9807., 9821., 9839., 9880., 9823., 9785., 9737., 9713., 10018., 9842., 9739., 9841., 9937., 9881., 9949., 9857., 9716., 9734., 9968., 10057., 9987., 9880., 9854., 9747., 9745., 9740., 9725., 9783., 9683., 9667., 9645., 9622., 9582., 9644., 9625., 9573., 9560., 9601., 9609.}"
