"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"YOLO V2 Trained on MS-COCO Data","c5.large",1,1,0,50,"Conv/conv32/1","Conv/conv32/1","Conv/conv32/1","Convolution","Convolution","Convolution",12941.,13279.033300000001,33512.,"{33512., 13184., 13256., 13191., 12947., 13264., 13272., 13152., 13088., 13168., 13257., 13229., 13138., 13078., 13241., 13395., 13380., 13190., 13330., 12941., 13020., 13520., 13080., 13130., 13284., 13401., 13493., 13314., 13244., 13809., 13709., 13301., 13518., 13030., 13256., 12997., 13530., 13323., 13434., 13377., 13087., 13446., 13192., 13454., 13075., 13480., 13508., 13081., 13694., 13795.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",2,2,0,50,"Conv/conv32/2","Conv/conv32/2","Conv/conv32/2","BatchNormalization","BatchNormalization","BatchNormalization",3442.,3547.,12509.,"{12509., 3866., 3708., 3727., 3675., 3614., 3596., 3561., 3556., 3516., 3481., 3515., 3483., 3489., 3517., 3576., 3582., 3647., 3644., 3596., 3577., 3500., 3456., 3535., 3505., 3498., 3515., 3480., 3515., 3531., 3461., 3561., 3562., 3507., 3533., 3554., 3554., 3546., 3547., 3499., 3503., 3442., 3533., 3589., 3591., 3587., 3593., 3540., 3542., 3567.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",3,3,0,50,"Conv/conv32/3","Conv/conv32/3","Conv/conv32/3","Elementwise","Elementwise","Elementwise",14163.,14410.166700000002,23224.,"{23224., 14583., 14474., 14594., 16215., 15948., 14709., 14771., 14528., 14337., 14383., 14392., 14348., 14545., 14537., 14386., 14366., 14358., 14357., 14343., 14301., 14514., 14497., 14283., 14262., 14394., 14414., 14406., 14647., 14421., 14404., 14409., 14367., 14452., 14391., 14323., 14465., 14163., 14320., 14214., 14356., 14281., 14378., 14231., 14472., 14527., 14324., 14319., 14347., 14495.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",4,4,0,50,"Conv/conv64/1","Conv/conv64/1","Conv/conv64/1","Padding","Padding","Padding",4339.,4430.9667,13965.,"{13965., 4495., 4463., 4480., 4417., 4432., 4419., 4432., 4339., 4378., 4369., 4397., 4418., 4389., 4412., 4394., 4394., 4383., 4432., 4437., 4424., 4452., 4424., 4466., 4464., 4472., 4451., 4441., 4456., 4453., 4490., 4448., 4429., 4410., 4411., 4434., 4421., 4481., 4409., 4490., 4412., 4461., 4408., 4410., 4417., 4409., 4453., 4426., 4477., 4425.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",5,5,0,50,"Conv/conv64/2","Conv/conv64/2","Conv/conv64/2","Pooling","Pooling","Pooling",8312.,8455.9333,8658.,"{8658., 8439., 8483., 8428., 8426., 8537., 8352., 8324., 8312., 8377., 8332., 8387., 8351., 8407., 8448., 8478., 8453., 8468., 8469., 8439., 8422., 8383., 8415., 8394., 8414., 8420., 8468., 8525., 8500., 8505., 8478., 8418., 8493., 8497., 8468., 8426., 8443., 8464., 8526., 8499., 8546., 8526., 8503., 8461., 8505., 8511., 8492., 8463., 8442., 8464.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",6,6,0,50,"Conv/conv64/3","Conv/conv64/3","Conv/conv64/3","Convolution","Convolution","Convolution",26087.,26222.100000000002,47587.,"{47587., 26169., 26225., 26328., 26241., 26336., 26336., 26228., 26259., 26268., 26271., 26178., 26091., 26256., 26240., 26180., 26087., 26138., 26300., 26233., 26089., 26101., 26236., 26344., 26098., 26145., 26187., 26383., 26136., 26251., 26225., 26274., 26282., 26222., 26211., 26296., 26297., 26091., 26109., 26222., 26306., 26170., 26110., 26161., 26377., 26138., 26112., 26478., 26301., 26160.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",7,7,0,50,"Conv/conv64/4","Conv/conv64/4","Conv/conv64/4","BatchNormalization","BatchNormalization","BatchNormalization",1266.,1351.9333000000001,1910.,"{1907., 1910., 1686., 1698., 1509., 1437., 1460., 1380., 1403., 1355., 1371., 1389., 1368., 1329., 1341., 1316., 1294., 1388., 1347., 1364., 1393., 1358., 1348., 1385., 1351., 1366., 1353., 1298., 1295., 1344., 1322., 1323., 1394., 1339., 1324., 1374., 1318., 1319., 1368., 1320., 1362., 1373., 1335., 1330., 1332., 1281., 1266., 1301., 1272., 1294.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",8,8,0,50,"Conv/conv64/5","Conv/conv64/5","Conv/conv64/5","Elementwise","Elementwise","Elementwise",6306.,6594.933300000001,7334.,"{7334., 6778., 6543., 6463., 6475., 6529., 6578., 6511., 6564., 6482., 6610., 6306., 6588., 6598., 6536., 6707., 6714., 6491., 6555., 6721., 6609., 6697., 6675., 6580., 6547., 6558., 6467., 6543., 6388., 6539., 6640., 6614., 6589., 6754., 6689., 6825., 6646., 6407., 6494., 6693., 6653., 6386., 6713., 6657., 6653., 6473., 6489., 6669., 7275., 7043.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",9,9,0,50,"Conv/conv128/1","Conv/conv128/1","Conv/conv128/1","Padding","Padding","Padding",2013.,2122.7000000000003,2394.,"{2392., 2394., 2270., 2236., 2211., 2154., 2138., 2092., 2145., 2114., 2171., 2141., 2091., 2136., 2088., 2123., 2090., 2136., 2074., 2099., 2074., 2175., 2159., 2233., 2164., 2228., 2244., 2191., 2258., 2176., 2229., 2139., 2180., 2077., 2076., 2082., 2047., 2095., 2027., 2081., 2051., 2080., 2047., 2064., 2013., 2073., 2038., 2103., 2064., 2111.}"
"YOLO V2 Trained on MS-COCO Data","c5.large",10,10,0,50,"Conv/conv128/2","Conv/conv128/2","Conv/conv128/2","Pooling","Pooling","Pooling",3620.,3686.9,4059.,"{4059., 4031., 3914., 3899., 3791., 3697., 3631., 3688., 3647., 3694., 3637., 3674., 3737., 3676., 3681., 3665., 3653., 3651., 3661., 3673., 3686., 3652., 3622., 3768., 3768., 3811., 3846., 3778., 3760., 3687., 3622., 3643., 3626., 3647., 3689., 3673., 3666., 3700., 3695., 3693., 3620., 3633., 3670., 3664., 3675., 3664., 3643., 3700., 3773., 3775.}"
