"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,7,"conv1_7x7_s2","conv2_relu_3x3_reduce",6,"conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce","Convolution","Elementwise","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise",2172.,2806.2667,4707.,96.,97.,139.,8773.,8844.4,9194.,6601.,6038.1333,4487.,8677.,8747.4,9055.,"{4707., 4578., 4239., 4150., 4155., 4149., 4122., 4112., 4192., 4099., 4084., 4139., 4134., 4235., 4094., 4098., 4078., 4090., 4194., 2673., 2217., 2210., 2286., 2181., 2215., 2179., 2272., 2213., 2219., 2172., 2200., 2305., 2180., 2200., 2184., 2217., 2221., 2211., 2183., 2176., 2290., 2181., 2197., 2179., 2196., 2222., 2210., 2181., 2198., 2305.}","{139., 108., 98., 97., 96., 97., 97., 97., 96., 96., 105., 98., 97., 97., 97., 97., 97., 97., 96., 110., 98., 97., 97., 96., 97., 97., 98., 102., 97., 97., 97., 97., 97., 97., 97., 96., 97., 97., 97., 97., 97., 97., 97., 97., 97., 97., 97., 98., 97., 97.}","{9194., 9054., 8970., 8889., 8841., 8876., 8869., 8773., 8944., 8804., 8836., 8814., 8826., 8823., 8866., 8895., 8864., 8928., 8824., 8805., 8814., 8814., 8872., 8873., 8867., 8915., 8882., 8789., 8796., 8808., 8797., 8783., 8839., 8866., 8977., 8796., 8856., 8810., 8832., 8866., 8874., 8853., 8829., 8926., 8809., 8804., 8796., 8817., 8901., 8823.}"
2,8,"conv1_relu_7x7","conv2_3x3",6,"conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3","Elementwise","Convolution","Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution",277.,278.3333,444.,2592.,2631.3333000000002,2956.,9063.,9140.300000000001,18846.,8786.,8861.9667,18402.,6471.,6508.9667,15890.,"{444., 378., 285., 279., 278., 277., 278., 290., 286., 278., 278., 278., 278., 278., 278., 278., 286., 278., 278., 278., 278., 291., 280., 278., 278., 286., 278., 277., 277., 278., 278., 280., 277., 278., 278., 289., 279., 278., 279., 278., 277., 278., 277., 278., 278., 279., 278., 279., 279., 291.}","{2940., 2956., 2692., 2636., 2616., 2710., 2643., 2609., 2611., 2694., 2609., 2613., 2652., 2657., 2614., 2604., 2712., 2682., 2600., 2605., 2756., 2617., 2592., 2617., 2692., 2602., 2613., 2622., 2660., 2610., 2612., 2643., 2668., 2607., 2610., 2757., 2630., 2604., 2621., 2734., 2604., 2612., 2597., 2666., 2633., 2622., 2638., 2677., 2621., 2615.}","{18846., 18218., 9246., 9256., 9218., 9168., 9207., 9206., 9120., 9158., 9084., 9120., 9159., 9158., 9063., 9210., 9176., 9160., 9243., 9170., 9143., 9135., 9087., 9104., 9085., 9095., 9083., 9131., 9148., 9199., 9244., 9213., 9109., 9078., 9089., 9076., 9106., 9072., 9067., 9182., 9132., 9193., 9168., 9110., 9138., 9127., 9107., 9109., 9087., 9089.}"
3,9,"pool1_3x3_s2_pad","conv2_relu_3x3",6,"pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3","Padding","Elementwise","Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise",898.,1533.8000000000002,1813.,226.,227.70000000000002,380.,9062.,9195.7,9523.,8164.,7661.900000000001,7710.,8836.,8968.,9143.,"{1813., 1754., 1750., 1731., 1729., 1748., 1729., 1745., 1728., 1746., 1731., 1751., 1730., 1731., 1745., 1729., 1743., 1738., 1744., 1730., 1727., 1742., 1735., 1743., 1727., 1748., 1731., 1731., 1747., 1727., 1744., 1731., 1473., 925., 905., 901., 924., 903., 904., 912., 909., 916., 901., 909., 898., 915., 900., 903., 898., 898.}","{380., 320., 240., 228., 226., 227., 227., 242., 228., 227., 227., 227., 227., 228., 228., 228., 228., 234., 228., 226., 227., 227., 227., 227., 240., 230., 228., 228., 227., 238., 228., 228., 228., 228., 228., 228., 228., 228., 227., 228., 227., 242., 228., 228., 227., 228., 227., 228., 227., 227.}","{9523., 9363., 9256., 9244., 9245., 9248., 9224., 9369., 9330., 9335., 9200., 9153., 9159., 9167., 9149., 9144., 9140., 9198., 9264., 9213., 9301., 9299., 9153., 9143., 9145., 9138., 9062., 9167., 9161., 9177., 9240., 9217., 9319., 9314., 9191., 9120., 9111., 9247., 9174., 9123., 9111., 9143., 9216., 9194., 9230., 9291., 9209., 9138., 9111., 9129.}"
4,10,"pool1_3x3_s2","conv2_norm2",6,"pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2","Pooling","LocalResponseNormalization","Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization",1523.,1673.5333,2736.,10254.,10424.633300000001,10544.,18532.,18725.5,30962.,17009.,17051.9667,28226.,8278.,8300.8667,20418.,"{2539., 2668., 2475., 2459., 2627., 2458., 2736., 2505., 2466., 2470., 2473., 2460., 2564., 2465., 1559., 1551., 1552., 1553., 1534., 1547., 1534., 1549., 1548., 1551., 1549., 1563., 1551., 1534., 1548., 1549., 1552., 1540., 1524., 1523., 1561., 1562., 1552., 1549., 1534., 1548., 1534., 1548., 1573., 1553., 1548., 1533., 1533., 1549., 1548., 1551.}","{10500., 10449., 10311., 10446., 10435., 10446., 10443., 10441., 10453., 10428., 10440., 10478., 10428., 10410., 10336., 10460., 10439., 10418., 10438., 10294., 10426., 10434., 10388., 10453., 10440., 10425., 10424., 10366., 10386., 10381., 10428., 10435., 10301., 10430., 10399., 10353., 10370., 10544., 10448., 10416., 10422., 10411., 10413., 10432., 10426., 10316., 10427., 10254., 10428., 10429.}","{30962., 19289., 18881., 18857., 18833., 18722., 18747., 18766., 18729., 18700., 18733., 18712., 18857., 18554., 18690., 18748., 18649., 18709., 18717., 18760., 18903., 18773., 18741., 18694., 18704., 18738., 18727., 18761., 18817., 18532., 18677., 18736., 18667., 18664., 18771., 18813., 18770., 18578., 18667., 18691., 18684., 18714., 18802., 18812., 18658., 18671., 18648., 18696., 18647., 18682.}"
5,11,"pool1_norm1","pool2_3x3_s2_pad",6,"pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad","LocalResponseNormalization","Padding","LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding",3366.,3482.3,3509.,663.,667.7333,721.,17709.,17845.0333,18111.,14343.,14362.7333,14602.,17046.,17177.3,17390.,"{3437., 3499., 3463., 3475., 3503., 3479., 3477., 3506., 3477., 3461., 3500., 3477., 3476., 3503., 3419., 3459., 3496., 3464., 3494., 3485., 3476., 3496., 3503., 3477., 3483., 3366., 3476., 3503., 3479., 3476., 3502., 3478., 3461., 3502., 3382., 3478., 3504., 3479., 3476., 3505., 3463., 3482., 3497., 3477., 3496., 3486., 3476., 3509., 3470., 3476.}","{721., 679., 683., 665., 664., 663., 663., 663., 681., 678., 665., 663., 663., 673., 681., 664., 664., 664., 663., 663., 680., 665., 663., 663., 676., 664., 681., 665., 674., 670., 670., 665., 683., 666., 666., 666., 665., 665., 681., 678., 666., 665., 665., 674., 699., 670., 666., 666., 666., 666.}","{18111., 18038., 17929., 17970., 17936., 17826., 17780., 17883., 17932., 17826., 17775., 17817., 17918., 17951., 17809., 17783., 17814., 17897., 17907., 17751., 17830., 17828., 17928., 17817., 17778., 17771., 17796., 17940., 17807., 17831., 17709., 17874., 17856., 17811., 17805., 17887., 17977., 17821., 17810., 17754., 17885., 17909., 17798., 17801., 17828., 17890., 17856., 17787., 17790., 17914.}"
6,12,"conv2_3x3_reduce","pool2_3x3_s2",6,"conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding-Pooling",223.,225.8667,348.,1191.,1200.7,1235.,15448.,15568.7,26003.,15225.,15342.8333,25655.,14257.,14368.,24768.,"{348., 233., 228., 226., 225., 240., 228., 226., 226., 225., 224., 224., 224., 227., 226., 225., 226., 226., 226., 226., 225., 226., 225., 238., 227., 224., 228., 228., 225., 226., 224., 224., 225., 225., 226., 223., 225., 268., 248., 250., 264., 249., 224., 226., 224., 226., 225., 225., 225., 223.}","{1235., 1223., 1196., 1194., 1193., 1210., 1203., 1193., 1208., 1207., 1193., 1207., 1194., 1192., 1203., 1208., 1193., 1192., 1216., 1197., 1195., 1208., 1214., 1199., 1192., 1207., 1206., 1210., 1213., 1194., 1192., 1215., 1194., 1193., 1206., 1207., 1192., 1191., 1206., 1201., 1191., 1219., 1195., 1207., 1194., 1209., 1193., 1202., 1211., 1195.}","{26003., 15773., 15677., 15600., 15583., 15594., 15521., 15637., 15517., 15722., 15500., 15638., 15560., 15599., 15545., 15570., 15640., 15477., 15618., 15553., 15621., 15540., 15551., 15518., 15448., 15660., 15462., 15669., 15516., 15616., 15540., 15582., 15557., 15498., 15678., 15479., 15643., 15520., 15527., 15514., 15562., 15551., 15540., 15686., 15479., 15610., 15496., 15667., 15525., 15526.}"
7,13,"conv2_relu_3x3_reduce","inception_3a/pool",6,"conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2-inception_3a/pool","Elementwise","Pooling","Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding-Pooling-Pooling",124.,126.10000000000001,170.,1175.,1204.3333,1236.,16326.,16449.333300000002,30811.,16202.,16323.233300000002,30641.,15151.,15245.,29575.,"{170., 140., 127., 135., 127., 127., 127., 127., 127., 127., 127., 127., 127., 127., 127., 126., 127., 128., 127., 127., 127., 128., 126., 127., 127., 146., 126., 125., 125., 124., 125., 125., 125., 124., 125., 125., 124., 126., 125., 126., 125., 124., 125., 125., 125., 124., 125., 125., 125., 124.}","{1194., 1210., 1223., 1210., 1208., 1183., 1221., 1209., 1175., 1225., 1209., 1175., 1189., 1187., 1210., 1208., 1229., 1176., 1208., 1190., 1209., 1208., 1227., 1219., 1209., 1175., 1195., 1209., 1208., 1208., 1205., 1224., 1198., 1177., 1175., 1209., 1191., 1179., 1191., 1236., 1209., 1175., 1225., 1178., 1212., 1211., 1225., 1216., 1191., 1226.}","{30811., 16710., 16580., 16494., 16448., 16463., 16430., 16527., 16486., 16445., 16524., 16428., 16326., 16540., 16430., 16410., 16512., 16437., 16434., 16457., 16445., 16353., 16408., 16427., 16419., 16419., 16433., 16568., 16451., 16384., 16553., 16516., 16392., 16496., 16452., 16350., 16455., 16429., 16472., 16475., 16426., 16492., 16404., 16396., 16477., 16372., 16382., 16519., 16430., 16396.}"
8,14,"conv2_3x3","inception_3a/pool_proj",6,"conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2-inception_3a/pool-inception_3a/pool_proj","Convolution","Convolution","Convolution-Elementwise-LocalResponseNormalization-Padding-Pooling-Pooling-Convolution",2578.,2632.6,2905.,"","","",16316.,16490.1333,34800.,13738.,13857.533300000001,31895.,"","","","{2905., 2883., 2741., 2676., 2654., 2787., 2627., 2610., 2630., 2685., 2625., 2618., 2587., 2681., 2616., 2602., 2682., 2652., 2596., 2607., 2741., 2601., 2612., 2606., 2725., 2616., 2616., 2578., 2675., 2587., 2632., 2645., 2663., 2626., 2618., 2669., 2660., 2618., 2595., 2792., 2627., 2605., 2597., 2711., 2606., 2622., 2612., 2653., 2606., 2597.}","","{34759., 34108., 33913., 34800., 21353., 16504., 16560., 16452., 16431., 16587., 16435., 16473., 16655., 16467., 16375., 16471., 16524., 16555., 16487., 16451., 16485., 16425., 16443., 16544., 16448., 16448., 16510., 16444., 16316., 16599., 16454., 16459., 16582., 16491., 16451., 16478., 16492., 16598., 16377., 16462., 16420., 16432., 16442., 16563., 16440., 16537., 16632., 16436., 16423., 16666.}"
9,15,"conv2_relu_3x3","inception_3a/relu_pool_proj",6,"conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2-inception_3a/pool-inception_3a/pool_proj-inception_3a/relu_pool_proj","Elementwise","Elementwise","Elementwise-LocalResponseNormalization-Padding-Pooling-Pooling-Convolution-Elementwise",320.,323.86670000000004,421.,"","","",13465.,13709.400000000001,28692.,13145.,13385.533300000001,28271.,"","","","{421., 362., 325., 323., 322., 321., 320., 334., 322., 323., 323., 324., 320., 322., 321., 324., 322., 322., 321., 322., 336., 326., 324., 333., 324., 324., 324., 324., 323., 323., 324., 326., 338., 324., 325., 323., 325., 325., 325., 325., 325., 327., 323., 325., 338., 323., 324., 325., 323., 322.}","","{28692., 28464., 28650., 28371., 28402., 19813., 13748., 13766., 13652., 13708., 13676., 13698., 13594., 13681., 13718., 13721., 13692., 13738., 13685., 13465., 13711., 13699., 13770., 13779., 13690., 13690., 13660., 13688., 13692., 13729., 13671., 13790., 13695., 13770., 13699., 13673., 13730., 13690., 13694., 13714., 13749., 13710., 13734., 13663., 13554., 13520., 13733., 13673., 13700., 13704.}"
10,16,"conv2_norm2","inception_3a/5x5_reduce",6,"conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2-inception_3a/pool-inception_3a/pool_proj-inception_3a/relu_pool_proj-inception_3a/5x5_reduce","LocalResponseNormalization","Convolution","LocalResponseNormalization-Padding-Pooling-Pooling-Convolution-Elementwise-Convolution",10165.,10407.6667,10453.,"","","","","","","","","","","","","{10332., 10361., 10453., 10389., 10432., 10424., 10330., 10429., 10415., 10448., 10426., 10418., 10445., 10411., 10428., 10407., 10429., 10404., 10424., 10428., 10388., 10407., 10404., 10388., 10413., 10388., 10414., 10409., 10388., 10416., 10388., 10425., 10419., 10397., 10206., 10399., 10421., 10410., 10405., 10343., 10395., 10411., 10412., 10408., 10425., 10408., 10401., 10165., 10356., 10330.}","",""
