"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",1,1,0,50,"embedding/part1","embedding/part1","embedding/part1","Part","Part","Part",26.,26.6,64.,"{64., 29., 27., 27., 27., 26., 26., 27., 26., 27., 26., 27., 26., 26., 27., 39., 27., 27., 26., 27., 26., 27., 27., 27., 27., 26., 27., 26., 26., 26., 26., 27., 26., 27., 26., 26., 27., 26., 27., 26., 27., 27., 26., 26., 26., 26., 27., 27., 27., 27.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",2,2,0,50,"embedding/embeddingtokens","embedding/embeddingtokens","embedding/embeddingtokens","Embedding","Embedding","Embedding",21.,28.7667,106.,"{106., 23., 21., 22., 21., 29., 29., 29., 21., 29., 29., 29., 29., 29., 29., 29., 29., 28., 29., 28., 28., 21., 30., 29., 29., 29., 29., 29., 21., 29., 30., 29., 29., 29., 28., 28., 21., 21., 28., 29., 29., 29., 29., 29., 29., 29., 29., 28., 29., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",3,3,0,50,"embedding/posembed","embedding/posembed","embedding/posembed","SequenceIndices","SequenceIndices","SequenceIndices",27.,28.,1088.,"{1088., 31., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 29., 28., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 27., 27., 28., 28., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",4,4,0,50,"embedding/embeddingpos","embedding/embeddingpos","embedding/embeddingpos","Embedding","Embedding","Embedding",20.,24.3333,41.,"{41., 22., 22., 21., 20., 28., 28., 27., 20., 21., 28., 20., 27., 28., 28., 28., 21., 27., 21., 21., 27., 26., 27., 20., 27., 21., 27., 21., 21., 27., 22., 27., 21., 26., 22., 21., 27., 28., 22., 21., 20., 27., 21., 27., 21., 27., 27., 28., 28., 22.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",5,5,0,50,"embedding/part2","embedding/part2","embedding/part2","Part","Part","Part",19.,19.3,38.,"{38., 21., 19., 20., 20., 20., 20., 19., 19., 19., 20., 20., 19., 19., 19., 20., 19., 23., 20., 19., 19., 19., 20., 20., 19., 19., 19., 19., 20., 19., 19., 19., 19., 20., 19., 19., 19., 19., 20., 19., 19., 19., 19., 20., 20., 19., 20., 19., 19., 19.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",6,6,0,50,"embedding/Clip","embedding/Clip","embedding/Clip","Elementwise","Elementwise","Elementwise",19.,20.,34.,"{34., 23., 20., 20., 20., 20., 20., 21., 20., 20., 20., 20., 19., 21., 19., 19., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 21., 33., 20., 19., 21., 20., 19.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",7,7,0,50,"embedding/embeddingsegments","embedding/embeddingsegments","embedding/embeddingsegments","Embedding","Embedding","Embedding",19.,20.,37.,"{37., 22., 20., 20., 21., 20., 20., 20., 21., 20., 20., 20., 20., 21., 20., 20., 20., 20., 20., 20., 31., 21., 20., 20., 20., 20., 21., 20., 20., 20., 20., 19., 21., 19., 20., 20., 20., 21., 20., 20., 20., 19., 20., 20., 20., 20., 20., 20., 20., 20.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",8,8,0,50,"embedding/inputCombine","embedding/inputCombine","embedding/inputCombine","Threading","Threading","Threading",20.,21.1,39.,"{39., 23., 22., 21., 21., 21., 21., 22., 20., 21., 20., 21., 21., 22., 21., 21., 21., 28., 22., 21., 21., 22., 22., 20., 21., 28., 21., 27., 21., 21., 21., 20., 20., 20., 20., 21., 21., 20., 20., 29., 21., 28., 21., 20., 29., 20., 21., 20., 21., 22.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",9,9,0,50,"embedding/normalize","embedding/normalize","embedding/normalize","Normalization","Normalization","Normalization",161.,162.13330000000002,1328.,"{1328., 199., 166., 165., 165., 162., 161., 162., 162., 161., 162., 162., 162., 162., 162., 161., 162., 171., 164., 165., 162., 161., 164., 165., 162., 162., 161., 162., 162., 162., 162., 162., 162., 162., 161., 163., 161., 162., 161., 162., 170., 163., 161., 161., 162., 162., 162., 162., 162., 162.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",10,10,0,50,"embedding/dropout","embedding/dropout","embedding/dropout","Dropout","Dropout","Dropout",19.,19.166700000000002,38.,"{38., 21., 20., 20., 20., 19., 20., 19., 20., 20., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 20., 20., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 19., 20., 19., 19., 19.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",11,11,0,50,"encoder/1/1/attention/1/key/Net","encoder/1/1/attention/1/key/Net","encoder/1/1/attention/1/key/Net","Linear","Linear","Linear",27.,29.8,8695.,"{8695., 48., 31., 29., 29., 28., 27., 28., 28., 28., 28., 29., 29., 31., 30., 30., 29., 30., 31., 30., 30., 30., 29., 30., 29., 30., 30., 30., 30., 29., 30., 30., 30., 30., 29., 30., 30., 30., 30., 30., 30., 30., 29., 30., 30., 39., 31., 30., 31., 30.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",12,12,0,50,"encoder/1/1/attention/1/query/Net","encoder/1/1/attention/1/query/Net","encoder/1/1/attention/1/query/Net","Linear","Linear","Linear",29.,30.,63.,"{63., 35., 31., 30., 30., 30., 30., 31., 30., 30., 40., 30., 30., 48., 31., 30., 31., 30., 31., 30., 30., 30., 30., 30., 29., 30., 30., 30., 30., 29., 30., 30., 30., 30., 30., 30., 30., 29., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",13,13,0,50,"encoder/1/1/attention/1/elem","encoder/1/1/attention/1/elem","encoder/1/1/attention/1/elem","Elementwise","Elementwise","Elementwise",44.,45.2333,78.,"{78., 54., 48., 46., 46., 45., 45., 46., 45., 45., 46., 45., 44., 45., 44., 45., 45., 44., 46., 45., 44., 45., 45., 45., 45., 46., 45., 45., 46., 45., 45., 45., 45., 45., 44., 45., 45., 63., 63., 47., 46., 46., 45., 45., 45., 45., 45., 46., 46., 45.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",14,14,0,50,"encoder/1/1/attention/1/value/Net","encoder/1/1/attention/1/value/Net","encoder/1/1/attention/1/value/Net","Linear","Linear","Linear",59.,70.2667,4224.,"{4224., 90., 82., 74., 71., 71., 71., 69., 70., 75., 72., 69., 71., 70., 70., 71., 71., 70., 70., 71., 70., 69., 70., 70., 70., 70., 70., 71., 69., 69., 70., 70., 70., 70., 69., 70., 70., 70., 70., 128., 59., 72., 70., 71., 69., 71., 70., 69., 70., 69.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",15,15,0,50,"encoder/1/1/attention/1/attention/ScoringNet/1","encoder/1/1/attention/1/attention/ScoringNet/1","encoder/1/1/attention/1/attention/ScoringNet/1","Dot","Dot","Dot",46.,47.566700000000004,89.,"{89., 56., 51., 48., 48., 48., 47., 47., 47., 47., 48., 47., 47., 47., 47., 47., 47., 47., 48., 48., 46., 47., 47., 47., 48., 49., 48., 48., 47., 89., 65., 56., 49., 48., 48., 48., 48., 47., 48., 47., 48., 48., 48., 47., 48., 46., 47., 46., 46., 49.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",16,16,0,50,"encoder/1/1/attention/2/key/Net","encoder/1/1/attention/2/key/Net","encoder/1/1/attention/2/key/Net","Linear","Linear","Linear",27.,27.8667,4003.,"{4003., 35., 29., 28., 28., 29., 28., 28., 28., 28., 28., 27., 27., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 27., 27., 29., 28., 28., 27., 28., 29., 27., 27., 27., 27., 28., 28., 28., 27., 28., 29., 27., 27., 28., 28., 27., 29., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",17,17,0,50,"encoder/1/1/attention/2/query/Net","encoder/1/1/attention/2/query/Net","encoder/1/1/attention/2/query/Net","Linear","Linear","Linear",26.,27.5,57.,"{57., 32., 29., 29., 37., 28., 27., 27., 27., 27., 28., 28., 28., 29., 28., 28., 28., 27., 27., 28., 28., 28., 28., 28., 27., 27., 27., 27., 27., 28., 28., 29., 26., 28., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",18,18,0,50,"encoder/1/1/attention/2/elem","encoder/1/1/attention/2/elem","encoder/1/1/attention/2/elem","Elementwise","Elementwise","Elementwise",20.,20.6,36.,"{36., 23., 21., 21., 21., 20., 20., 21., 20., 21., 20., 21., 20., 21., 21., 20., 21., 20., 21., 20., 21., 20., 21., 20., 21., 20., 21., 20., 21., 21., 20., 21., 20., 21., 20., 20., 21., 20., 22., 20., 21., 20., 21., 21., 20., 21., 20., 21., 20., 21.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",19,19,0,50,"encoder/1/1/attention/2/value/Net","encoder/1/1/attention/2/value/Net","encoder/1/1/attention/2/value/Net","Linear","Linear","Linear",27.,28.,58.,"{58., 31., 29., 29., 28., 28., 28., 28., 28., 30., 43., 28., 28., 28., 28., 28., 28., 29., 28., 28., 27., 28., 28., 28., 28., 27., 28., 27., 28., 27., 28., 28., 27., 28., 27., 29., 27., 28., 28., 28., 29., 27., 28., 27., 27., 28., 28., 28., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",20,20,0,50,"encoder/1/1/attention/2/attention/ScoringNet/1","encoder/1/1/attention/2/attention/ScoringNet/1","encoder/1/1/attention/2/attention/ScoringNet/1","Dot","Dot","Dot",22.,22.166700000000002,40.,"{40., 25., 23., 23., 23., 22., 22., 23., 22., 22., 23., 22., 22., 22., 22., 22., 22., 23., 22., 22., 22., 22., 22., 22., 22., 23., 22., 23., 22., 23., 22., 22., 22., 23., 22., 23., 22., 23., 22., 22., 22., 22., 22., 22., 22., 22., 23., 22., 22., 22.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",21,21,0,50,"encoder/1/1/attention/3/key/Net","encoder/1/1/attention/3/key/Net","encoder/1/1/attention/3/key/Net","Linear","Linear","Linear",27.,27.8333,58.,"{58., 31., 29., 28., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 27., 28., 27., 28., 28., 27., 28., 28., 27., 27., 28., 28., 27., 27., 28., 27., 28., 28., 27., 27., 28., 27., 29., 28., 27., 27., 28., 28., 28., 28., 27., 27., 28., 28., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",22,22,0,50,"encoder/1/1/attention/3/query/Net","encoder/1/1/attention/3/query/Net","encoder/1/1/attention/3/query/Net","Linear","Linear","Linear",27.,27.633300000000002,49.,"{49., 41., 28., 28., 28., 28., 28., 28., 28., 27., 27., 28., 27., 28., 28., 27., 27., 27., 28., 28., 27., 28., 28., 27., 27., 28., 27., 28., 44., 28., 27., 28., 27., 28., 27., 28., 27., 27., 28., 27., 27., 27., 27., 28., 28., 27., 28., 27., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",23,23,0,50,"encoder/1/1/attention/3/elem","encoder/1/1/attention/3/elem","encoder/1/1/attention/3/elem","Elementwise","Elementwise","Elementwise",20.,20.7333,36.,"{36., 23., 21., 22., 21., 21., 21., 21., 20., 21., 21., 20., 21., 20., 21., 21., 21., 21., 20., 20., 21., 20., 21., 21., 20., 21., 20., 20., 21., 20., 20., 21., 20., 21., 20., 21., 21., 20., 21., 21., 20., 21., 21., 20., 21., 20., 21., 20., 21., 21.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",24,24,0,50,"encoder/1/1/attention/3/value/Net","encoder/1/1/attention/3/value/Net","encoder/1/1/attention/3/value/Net","Linear","Linear","Linear",27.,27.8333,59.,"{59., 31., 28., 28., 28., 28., 27., 28., 28., 27., 28., 28., 28., 27., 28., 27., 28., 28., 28., 28., 27., 27., 27., 27., 28., 28., 27., 28., 27., 27., 28., 27., 28., 28., 27., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 27., 28., 28., 28.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",25,25,0,50,"encoder/1/1/attention/3/attention/ScoringNet/1","encoder/1/1/attention/3/attention/ScoringNet/1","encoder/1/1/attention/3/attention/ScoringNet/1","Dot","Dot","Dot",21.,22.2,41.,"{41., 25., 23., 22., 23., 23., 22., 23., 23., 22., 23., 22., 23., 22., 23., 22., 23., 22., 22., 23., 22., 22., 22., 22., 28., 22., 23., 22., 22., 22., 22., 22., 22., 22., 23., 23., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 21.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",26,26,0,50,"encoder/1/1/attention/4/key/Net","encoder/1/1/attention/4/key/Net","encoder/1/1/attention/4/key/Net","Linear","Linear","Linear",26.,27.5333,60.,"{60., 31., 28., 28., 28., 46., 29., 28., 28., 28., 28., 28., 28., 28., 27., 28., 27., 27., 27., 27., 27., 27., 28., 28., 28., 28., 27., 28., 28., 28., 28., 28., 27., 28., 27., 27., 27., 27., 28., 27., 27., 27., 27., 26., 27., 27., 27., 27., 27., 27.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",27,27,0,50,"encoder/1/1/attention/4/query/Net","encoder/1/1/attention/4/query/Net","encoder/1/1/attention/4/query/Net","Linear","Linear","Linear",27.,28.,59.,"{59., 32., 29., 29., 27., 28., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 27., 29., 28., 28., 27., 28., 29., 28., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 27., 27., 28., 28., 28., 27.}"
"BERT Trained on BookCorpus and English Wikipedia Data","c5.2xlarge",28,28,0,50,"encoder/1/1/attention/4/elem","encoder/1/1/attention/4/elem","encoder/1/1/attention/4/elem","Elementwise","Elementwise","Elementwise",20.,20.666700000000002,39.,"{35., 22., 21., 21., 21., 21., 20., 21., 20., 20., 21., 21., 20., 21., 20., 20., 21., 20., 21., 21., 20., 21., 21., 20., 21., 21., 20., 21., 21., 20., 21., 20., 21., 20., 21., 20., 21., 21., 20., 21., 20., 21., 21., 20., 21., 20., 20., 39., 20., 21.}"
