"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Inception V1 Trained on Places365 Data","c4.2xlarge",1,2,1,50,"conv1_7x7_s2","conv1_relu_7x7","conv1_7x7_s2-conv1_relu_7x7","Convolution","Elementwise","Convolution-Elementwise",3296.,3331.3667,3410.,"{3410., 3341., 3326., 3324., 3303., 3328., 3337., 3341., 3311., 3333., 3313., 3341., 3311., 3407., 3336., 3309., 3339., 3305., 3315., 3345., 3349., 3310., 3346., 3321., 3330., 3359., 3349., 3314., 3333., 3296., 3329., 3360., 3346., 3329., 3366., 3354., 3314., 3346., 3339., 3329., 3316., 3319., 3323., 3357., 3328., 3330., 3374., 3307., 3309., 3343.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",3,4,1,50,"pool1_3x3_s2_pad","pool1_3x3_s2","pool1_3x3_s2_pad-pool1_3x3_s2","Padding","Pooling","Padding-Pooling",2837.,2852.9,2911.,"{2911., 2875., 2868., 2843., 2858., 2858., 2842., 2840., 2863., 2857., 2842., 2857., 2856., 2842., 2841., 2858., 2855., 2840., 2868., 2856., 2843., 2840., 2851., 2860., 2841., 2856., 2856., 2848., 2843., 2858., 2857., 2841., 2855., 2856., 2858., 2839., 2856., 2856., 2858., 2856., 2855., 2857., 2837., 2855., 2857., 2840., 2853., 2854., 2857., 2838.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",5,6,1,50,"pool1_norm1","conv2_3x3_reduce","pool1_norm1-conv2_3x3_reduce","LocalResponseNormalization","Convolution","LocalResponseNormalization-Convolution",4308.,4324.7,4354.,"{4351., 4323., 4324., 4314., 4328., 4336., 4329., 4327., 4336., 4320., 4316., 4326., 4323., 4326., 4334., 4309., 4327., 4328., 4326., 4309., 4323., 4308., 4314., 4320., 4334., 4327., 4335., 4325., 4316., 4317., 4311., 4329., 4337., 4310., 4332., 4318., 4326., 4313., 4326., 4335., 4335., 4325., 4327., 4330., 4354., 4326., 4311., 4309., 4328., 4323.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",7,8,1,50,"conv2_relu_3x3_reduce","conv2_3x3","conv2_relu_3x3_reduce-conv2_3x3","Elementwise","Convolution","Elementwise-Convolution",4143.,4173.,4274.,"{4274., 4242., 4167., 4213., 4165., 4168., 4179., 4176., 4258., 4211., 4201., 4196., 4174., 4197., 4176., 4193., 4160., 4187., 4200., 4180., 4191., 4168., 4164., 4163., 4161., 4192., 4176., 4152., 4168., 4163., 4172., 4159., 4178., 4184., 4152., 4161., 4147., 4175., 4146., 4158., 4150., 4179., 4177., 4145., 4143., 4176., 4152., 4154., 4170., 4181.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",9,10,1,50,"conv2_relu_3x3","conv2_norm2","conv2_relu_3x3-conv2_norm2","Elementwise","LocalResponseNormalization","Elementwise-LocalResponseNormalization",12252.,12286.400000000001,12471.,"{12471., 12333., 12276., 12271., 12259., 12252., 12256., 12263., 12278., 12300., 12299., 12279., 12266., 12274., 12309., 12299., 12293., 12289., 12332., 12346., 12344., 12302., 12311., 12316., 12357., 12365., 12336., 12387., 12339., 12275., 12253., 12262., 12283., 12299., 12268., 12253., 12255., 12275., 12302., 12283., 12298., 12275., 12269., 12278., 12311., 12274., 12259., 12253., 12255., 12277.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",11,12,1,50,"pool2_3x3_s2_pad","pool2_3x3_s2","pool2_3x3_s2_pad-pool2_3x3_s2","Padding","Pooling","Padding-Pooling",2284.,2296.3667,2379.,"{2379., 2288., 2315., 2287., 2317., 2286., 2303., 2307., 2290., 2305., 2286., 2301., 2286., 2285., 2308., 2286., 2308., 2287., 2301., 2300., 2288., 2303., 2287., 2304., 2286., 2305., 2303., 2285., 2306., 2286., 2304., 2287., 2301., 2305., 2286., 2307., 2285., 2305., 2291., 2284., 2302., 2290., 2307., 2284., 2304., 2304., 2288., 2304., 2285., 2301.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",13,14,1,50,"inception_3a/1x1","inception_3a/relu_1x1","inception_3a/1x1-inception_3a/relu_1x1","Convolution","Elementwise","Convolution-Elementwise",187.,188.3,316.,"{316., 195., 191., 191., 189., 189., 189., 188., 188., 189., 188., 188., 188., 188., 232., 192., 188., 188., 190., 188., 188., 188., 187., 188., 188., 188., 188., 188., 188., 188., 189., 189., 188., 188., 206., 191., 188., 188., 188., 188., 189., 189., 189., 188., 187., 188., 188., 189., 188., 187.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",15,16,1,50,"inception_3a/3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/3x3_reduce-inception_3a/relu_3x3_reduce","Convolution","Elementwise","Convolution-Elementwise",248.,249.26670000000001,324.,"{324., 256., 253., 251., 250., 250., 249., 297., 256., 250., 250., 250., 249., 249., 249., 250., 250., 249., 249., 248., 249., 248., 258., 250., 248., 250., 253., 249., 249., 248., 250., 248., 248., 248., 248., 249., 248., 249., 275., 252., 250., 249., 249., 250., 248., 249., 248., 248., 248., 248.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",17,18,1,50,"inception_3a/3x3","inception_3a/relu_3x3","inception_3a/3x3-inception_3a/relu_3x3","Convolution","Elementwise","Convolution-Elementwise",1379.,1393.4667000000002,1445.,"{1445., 1435., 1392., 1382., 1407., 1388., 1379., 1416., 1392., 1392., 1416., 1389., 1386., 1412., 1392., 1386., 1419., 1388., 1405., 1396., 1386., 1418., 1390., 1387., 1412., 1390., 1387., 1414., 1388., 1387., 1411., 1386., 1386., 1445., 1388., 1396., 1388., 1381., 1402., 1389., 1391., 1400., 1384., 1379., 1413., 1387., 1386., 1413., 1380., 1379.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",19,20,1,50,"inception_3a/5x5_reduce","inception_3a/relu_5x5_reduce","inception_3a/5x5_reduce-inception_3a/relu_5x5_reduce","Convolution","Elementwise","Convolution-Elementwise",105.,106.33330000000001,152.,"{152., 113., 109., 109., 107., 107., 108., 106., 122., 111., 107., 106., 106., 106., 107., 106., 106., 106., 107., 106., 106., 106., 106., 107., 106., 106., 105., 111., 106., 106., 107., 106., 106., 106., 106., 106., 106., 107., 107., 106., 106., 106., 122., 109., 106., 107., 106., 106., 106., 106.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",21,22,1,50,"inception_3a/5x5","inception_3a/relu_5x5","inception_3a/5x5-inception_3a/relu_5x5","Convolution","Elementwise","Convolution-Elementwise",448.,450.5667,495.,"{495., 457., 452., 463., 452., 450., 450., 449., 449., 450., 463., 482., 452., 449., 450., 449., 451., 450., 449., 449., 487., 451., 449., 449., 449., 448., 449., 449., 476., 452., 450., 449., 449., 449., 450., 449., 450., 479., 451., 453., 449., 449., 448., 448., 450., 449., 476., 459., 458., 457.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",23,24,1,50,"inception_3a/pool","inception_3a/pool_proj","inception_3a/pool-inception_3a/pool_proj","Pooling","Convolution","Pooling-Convolution",1462.,1492.8667,1522.,"{1462., 1479., 1503., 1483., 1512., 1478., 1487., 1502., 1489., 1473., 1504., 1479., 1502., 1476., 1473., 1509., 1493., 1473., 1520., 1503., 1502., 1485., 1482., 1522., 1501., 1486., 1505., 1494., 1514., 1489., 1494., 1504., 1484., 1481., 1495., 1480., 1501., 1484., 1505., 1518., 1493., 1491., 1513., 1496., 1512., 1482., 1478., 1498., 1485., 1493.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",25,25,0,50,"inception_3a/relu_pool_proj","inception_3a/relu_pool_proj","inception_3a/relu_pool_proj","Elementwise","Elementwise","Elementwise",65.,66.,86.,"{86., 70., 68., 67., 66., 67., 67., 66., 67., 67., 67., 67., 66., 66., 66., 66., 66., 66., 66., 66., 66., 65., 66., 65., 66., 66., 67., 66., 65., 65., 65., 65., 66., 65., 65., 66., 66., 65., 66., 66., 66., 66., 66., 65., 66., 66., 66., 66., 65., 66.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",26,27,1,50,"inception_3a/output","inception_3b/1x1","inception_3a/output-inception_3b/1x1","Catenate","Convolution","Catenate-Convolution",378.,380.73330000000004,447.,"{447., 387., 384., 383., 380., 380., 380., 380., 380., 405., 383., 381., 402., 381., 381., 380., 393., 380., 380., 410., 383., 381., 380., 380., 380., 381., 380., 381., 379., 390., 381., 379., 380., 380., 380., 380., 380., 380., 388., 380., 393., 382., 383., 380., 379., 379., 380., 378., 381., 378.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",28,28,0,50,"inception_3b/relu_1x1","inception_3b/relu_1x1","inception_3b/relu_1x1","Elementwise","Elementwise","Elementwise",93.,94.4,120.,"{120., 98., 97., 96., 96., 95., 99., 95., 95., 94., 97., 95., 95., 95., 94., 94., 94., 94., 94., 94., 95., 94., 95., 94., 94., 94., 94., 94., 94., 94., 93., 94., 94., 94., 95., 94., 94., 94., 94., 94., 94., 95., 94., 95., 115., 95., 94., 94., 95., 95.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",29,30,1,50,"inception_3b/3x3_reduce","inception_3b/relu_3x3_reduce","inception_3b/3x3_reduce-inception_3b/relu_3x3_reduce","Convolution","Elementwise","Convolution-Elementwise",342.,344.2,439.,"{439., 356., 347., 362., 348., 345., 345., 344., 344., 344., 344., 356., 347., 346., 343., 343., 358., 344., 343., 344., 344., 344., 344., 360., 344., 343., 343., 343., 342., 342., 344., 342., 342., 343., 388., 346., 345., 344., 344., 344., 343., 343., 343., 344., 343., 372., 347., 343., 343., 344.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",31,32,1,50,"inception_3b/3x3","inception_3b/relu_3x3","inception_3b/3x3-inception_3b/relu_3x3","Convolution","Elementwise","Convolution-Elementwise",2153.,2190.4,2242.,"{2238., 2194., 2183., 2205., 2155., 2180., 2173., 2191., 2177., 2191., 2228., 2179., 2229., 2186., 2215., 2185., 2206., 2188., 2173., 2208., 2204., 2185., 2159., 2184., 2161., 2168., 2153., 2222., 2184., 2213., 2200., 2192., 2196., 2154., 2212., 2180., 2242., 2185., 2195., 2202., 2188., 2207., 2184., 2166., 2165., 2204., 2178., 2214., 2158., 2206.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",33,34,1,50,"inception_3b/5x5_reduce","inception_3b/relu_5x5_reduce","inception_3b/5x5_reduce-inception_3b/relu_5x5_reduce","Convolution","Elementwise","Convolution-Elementwise",158.,159.63330000000002,209.,"{209., 167., 162., 161., 160., 161., 160., 161., 161., 160., 159., 175., 164., 160., 160., 159., 159., 159., 160., 161., 159., 159., 159., 159., 159., 158., 160., 160., 160., 159., 159., 159., 178., 163., 160., 164., 160., 159., 158., 159., 159., 160., 159., 159., 160., 158., 159., 159., 159., 159.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",35,36,1,50,"inception_3b/5x5","inception_3b/relu_5x5","inception_3b/5x5-inception_3b/relu_5x5","Convolution","Elementwise","Convolution-Elementwise",1148.,1161.5667,1221.,"{1221., 1157., 1152., 1187., 1152., 1151., 1183., 1155., 1148., 1182., 1163., 1155., 1162., 1180., 1156., 1153., 1182., 1161., 1164., 1153., 1183., 1155., 1154., 1169., 1154., 1202., 1178., 1161., 1154., 1154., 1174., 1156., 1154., 1179., 1161., 1174., 1154., 1180., 1154., 1152., 1182., 1157., 1160., 1172., 1162., 1155., 1154., 1182., 1157., 1154.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",37,38,1,50,"inception_3b/pool","inception_3b/pool_proj","inception_3b/pool-inception_3b/pool_proj","Pooling","Convolution","Pooling-Convolution",1978.,1997.3000000000002,2029.,"{2006., 1999., 2029., 1979., 2016., 1987., 2024., 1989., 2023., 1980., 2011., 1978., 2004., 2000., 2011., 1985., 2022., 1984., 2002., 1992., 2014., 2003., 2004., 1993., 2012., 1981., 2010., 1982., 2014., 1988., 1997., 1983., 1998., 1994., 1997., 1979., 1997., 1981., 2010., 1987., 1996., 2022., 2004., 1980., 1999., 1992., 2001., 1983., 2005., 1985.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",39,39,0,50,"inception_3b/relu_pool_proj","inception_3b/relu_pool_proj","inception_3b/relu_pool_proj","Elementwise","Elementwise","Elementwise",75.,76.1333,104.,"{100., 104., 82., 77., 77., 77., 77., 77., 76., 76., 76., 76., 75., 76., 76., 76., 77., 76., 76., 76., 76., 75., 76., 75., 76., 76., 76., 76., 76., 77., 76., 76., 76., 77., 76., 76., 75., 77., 76., 76., 76., 76., 75., 75., 76., 75., 75., 94., 79., 76.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",40,41,1,50,"inception_3b/output","pool3_3x3_s2_pad","inception_3b/output-pool3_3x3_s2_pad","Catenate","Padding","Catenate-Padding",674.,677.1667,796.,"{796., 680., 705., 677., 675., 674., 676., 674., 708., 676., 674., 674., 674., 674., 705., 676., 675., 675., 674., 701., 676., 678., 674., 674., 675., 704., 675., 675., 676., 675., 675., 708., 680., 677., 678., 681., 678., 696., 679., 677., 679., 677., 680., 681., 678., 677., 678., 678., 695., 678.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",42,43,1,50,"pool3_3x3_s2","inception_4a/1x1","pool3_3x3_s2-inception_4a/1x1","Pooling","Convolution","Pooling-Convolution",1164.,1175.1333,1237.,"{1235., 1237., 1171., 1168., 1199., 1167., 1166., 1207., 1169., 1164., 1165., 1204., 1169., 1165., 1196., 1167., 1166., 1200., 1174., 1171., 1172., 1192., 1171., 1173., 1220., 1174., 1170., 1192., 1177., 1172., 1168., 1195., 1169., 1172., 1189., 1170., 1169., 1179., 1175., 1173., 1172., 1191., 1178., 1169., 1192., 1170., 1170., 1169., 1192., 1169.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",44,44,0,50,"inception_4a/relu_1x1","inception_4a/relu_1x1","inception_4a/relu_1x1","Elementwise","Elementwise","Elementwise",61.,71.10000000000001,96.,"{96., 76., 73., 73., 72., 71., 71., 72., 72., 71., 71., 72., 71., 72., 71., 71., 71., 71., 71., 71., 61., 72., 72., 71., 70., 71., 71., 71., 71., 70., 71., 72., 72., 71., 71., 71., 71., 70., 71., 71., 71., 71., 71., 71., 71., 70., 71., 71., 71., 71.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",45,46,1,50,"inception_4a/3x3_reduce","inception_4a/relu_3x3_reduce","inception_4a/3x3_reduce-inception_4a/relu_3x3_reduce","Convolution","Elementwise","Convolution-Elementwise",184.,185.60000000000002,253.,"{253., 193., 188., 186., 186., 187., 185., 187., 186., 185., 185., 186., 185., 186., 184., 184., 203., 190., 187., 186., 186., 186., 185., 186., 185., 185., 185., 185., 184., 186., 186., 185., 186., 185., 198., 184., 192., 191., 189., 185., 184., 185., 187., 185., 185., 185., 185., 185., 185., 185.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",47,48,1,50,"inception_4a/3x3","inception_4a/relu_3x3","inception_4a/3x3-inception_4a/relu_3x3","Convolution","Elementwise","Convolution-Elementwise",525.,528.9,586.,"{586., 535., 530., 540., 528., 528., 562., 533., 529., 529., 528., 530., 528., 539., 532., 528., 526., 525., 526., 527., 527., 563., 531., 528., 528., 529., 528., 528., 556., 531., 530., 528., 526., 527., 527., 528., 541., 528., 528., 526., 543., 528., 525., 557., 530., 529., 527., 528., 529., 528.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",49,50,1,50,"inception_4a/5x5_reduce","inception_4a/relu_5x5_reduce","inception_4a/5x5_reduce-inception_4a/relu_5x5_reduce","Convolution","Elementwise","Convolution-Elementwise",91.,92.6667,135.,"{135., 100., 95., 94., 94., 94., 94., 94., 93., 93., 93., 92., 93., 92., 92., 93., 92., 92., 91., 93., 113., 94., 94., 93., 92., 92., 92., 92., 92., 92., 94., 93., 93., 92., 92., 92., 92., 92., 92., 92., 92., 92., 93., 93., 93., 93., 92., 93., 95., 92.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",51,52,1,50,"inception_4a/5x5","inception_4a/relu_5x5","inception_4a/5x5-inception_4a/relu_5x5","Convolution","Elementwise","Convolution-Elementwise",193.,194.16670000000002,243.,"{243., 201., 197., 196., 196., 196., 195., 195., 194., 194., 194., 196., 195., 194., 193., 194., 239., 198., 195., 193., 194., 194., 195., 193., 193., 194., 194., 194., 194., 194., 193., 194., 193., 194., 194., 204., 197., 194., 193., 194., 194., 194., 194., 193., 194., 193., 193., 194., 193., 193.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",53,54,1,50,"inception_4a/pool","inception_4a/pool_proj","inception_4a/pool-inception_4a/pool_proj","Pooling","Convolution","Pooling-Convolution",976.,984.7,1017.,"{995., 988., 1014., 985., 980., 980., 1012., 981., 978., 977., 1009., 982., 980., 979., 1007., 982., 978., 976., 1017., 985., 985., 983., 1004., 982., 983., 984., 1001., 983., 982., 981., 1003., 983., 981., 982., 1000., 984., 982., 981., 1003., 983., 984., 981., 1006., 985., 983., 987., 1001., 983., 980., 980.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",55,55,0,50,"inception_4a/relu_pool_proj","inception_4a/relu_pool_proj","inception_4a/relu_pool_proj","Elementwise","Elementwise","Elementwise",59.,60.066700000000004,80.,"{80., 66., 62., 61., 61., 61., 60., 60., 61., 60., 60., 61., 62., 64., 61., 60., 60., 60., 59., 59., 60., 59., 60., 59., 60., 60., 60., 60., 60., 60., 60., 60., 60., 60., 60., 60., 60., 61., 60., 59., 59., 60., 60., 60., 60., 60., 59., 60., 60., 59.}"
"Inception V1 Trained on Places365 Data","c4.2xlarge",56,57,1,50,"inception_4a/output","inception_4b/1x1","inception_4a/output-inception_4b/1x1","Catenate","Convolution","Catenate-Convolution",295.,298.0333,370.,"{370., 306., 302., 299., 298., 298., 315., 300., 298., 296., 298., 297., 296., 297., 298., 296., 296., 297., 297., 316., 297., 297., 297., 296., 296., 311., 300., 300., 298., 296., 300., 316., 303., 297., 301., 296., 295., 297., 297., 296., 296., 297., 295., 297., 321., 303., 298., 297., 301., 301.}"
