"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",1,5,4,50,"encoder_content/1","encoder_content/5","encoder_content/1-encoder_content/2-encoder_content/3-encoder_content/4-encoder_content/5","Padding","Convolution","Padding-Convolution-Elementwise-Padding-Convolution",239306.,241050.5,564811.,"{564811., 242955., 241202., 240453., 241643., 240470., 240381., 242135., 239970., 241159., 241172., 240730., 240055., 240482., 240345., 240332., 240768., 240439., 240660., 241744., 242319., 241880., 242701., 242158., 241270., 239306., 240519., 240210., 241443., 240470., 242301., 241082., 239550., 240375., 241101., 240703., 240010., 239532., 240391., 240377., 242184., 241394., 242621., 243110., 242650., 242638., 241556., 240993., 240556., 243868.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",6,10,4,50,"encoder_content/6","encoder_content/10","encoder_content/6-encoder_content/7-encoder_content/8-encoder_content/9-encoder_content/10","Elementwise","Elementwise","Elementwise-Pooling-Padding-Convolution-Elementwise",106193.,108069.8,207590.,"{207590., 107987., 107440., 107917., 107828., 111876., 108289., 110532., 110334., 107626., 106790., 110091., 112232., 111615., 106967., 107259., 112158., 108923., 107237., 108511., 108804., 107039., 107024., 107147., 111355., 107324., 106925., 111314., 106732., 107783., 108362., 108026., 107691., 106960., 107964., 109644., 108454., 112840., 107777., 112503., 108011., 106751., 112349., 107143., 106634., 106769., 106239., 106890., 106193., 106794.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",11,15,4,50,"encoder_content/11","encoder_content/15","encoder_content/11-encoder_content/12-encoder_content/13-encoder_content/14-encoder_content/15","Padding","Padding","Padding-Convolution-Elementwise-Pooling-Padding",139839.,142151.80000000002,292270.,"{292270., 140868., 143331., 142445., 144479., 141714., 139839., 142553., 143517., 140477., 141779., 144426., 141999., 141461., 142439., 140881., 142397., 141281., 141301., 141811., 143174., 142556., 141269., 142098., 142042., 144093., 141683., 141176., 141805., 144240., 144894., 143388., 141034., 142355., 144340., 142849., 142292., 143382., 142333., 142604., 142002., 142018., 141491., 143531., 141715., 141473., 141083., 141337., 140325., 142115.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",16,20,4,50,"encoder_content/16","encoder_content/20","encoder_content/16-encoder_content/17-encoder_content/18-encoder_content/19-encoder_content/20","Convolution","Elementwise","Convolution-Elementwise-Padding-Convolution-Elementwise",113909.,114782.6333,228569.,"{228569., 115062., 114422., 114479., 113909., 114207., 114013., 114065., 114335., 115233., 114909., 116709., 114821., 114312., 114574., 115158., 114639., 114453., 115293., 114257., 114630., 115483., 116537., 116462., 114665., 114057., 114337., 113911., 114424., 114489., 115855., 116143., 116384., 115384., 114686., 116499., 115498., 114160., 115178., 115844., 115069., 115834., 114244., 115139., 114606., 114577., 114850., 114160., 114411., 114363.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",21,25,4,50,"encoder_content/21","encoder_content/25","encoder_content/21-encoder_content/22-encoder_content/23-encoder_content/24-encoder_content/25","Padding","Convolution","Padding-Convolution-Elementwise-Padding-Convolution",150739.,152562.5,157522.,"{151757., 152345., 153251., 152270., 151813., 151271., 152488., 152321., 151160., 151563., 153233., 153350., 153074., 151460., 150739., 151432., 151401., 151867., 154132., 153514., 150879., 151494., 153903., 152754., 153263., 153534., 153936., 157522., 152898., 155508., 152890., 153148., 152367., 151242., 151229., 151289., 152798., 152575., 151062., 152809., 152231., 153521., 153544., 154646., 153002., 151157., 153172., 155038., 154034., 152215.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",26,30,4,50,"encoder_content/26","encoder_content/30","encoder_content/26-encoder_content/27-encoder_content/28-encoder_content/29-encoder_content/30","Elementwise","Elementwise","Elementwise-Pooling-Padding-Convolution-Elementwise",38740.,39317.,72270.,"{40470., 38826., 38922., 39180., 38740., 38871., 39009., 38900., 39164., 39246., 39064., 39646., 39451., 39140., 39443., 39669., 38941., 39391., 39507., 39191., 39190., 39272., 39867., 39265., 39391., 39171., 39268., 39498., 39413., 39281., 39026., 70745., 70794., 71427., 71708., 70828., 72270., 52946., 38929., 38952., 39407., 39645., 39603., 39830., 39368., 39144., 39127., 38908., 38934., 39340.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",31,35,4,50,"encoder_style/1","encoder_style/5","encoder_style/1-encoder_style/2-encoder_style/3-encoder_style/4-encoder_style/5","Padding","Convolution","Padding-Convolution-Elementwise-Padding-Convolution",241114.,242736.8333,543660.,"{543660., 241294., 244279., 242699., 241606., 242877., 243821., 243363., 243239., 241475., 242991., 242898., 241149., 241114., 243068., 243110., 241870., 241471., 244181., 243026., 241224., 241738., 243284., 244910., 242188., 241374., 242603., 241337., 241566., 244359., 243428., 245470., 243736., 244262., 242098., 243288., 241646., 243312., 245138., 241844., 241582., 242595., 245887., 243157., 242733., 242158., 243623., 242085., 243625., 242217.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",36,40,4,50,"encoder_style/6","encoder_style/10","encoder_style/6-encoder_style/7-encoder_style/8-encoder_style/9-encoder_style/10","Elementwise","Elementwise","Elementwise-Pooling-Padding-Convolution-Elementwise",105489.,107599.76670000001,130472.,"{130472., 106202., 107294., 106404., 111425., 107921., 111645., 105489., 106454., 110257., 110648., 107524., 107471., 107089., 110662., 109180., 107107., 105997., 106535., 107732., 106287., 106531., 107292., 107048., 107653., 106772., 110651., 106733., 106952., 111782., 107566., 111061., 107482., 108748., 107177., 107667., 108305., 113560., 111246., 106900., 106214., 105672., 105678., 105749., 109053., 107097., 107321., 110579., 105814., 106553.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",41,45,4,50,"encoder_style/11","encoder_style/15","encoder_style/11-encoder_style/12-encoder_style/13-encoder_style/14-encoder_style/15","Padding","Padding","Padding-Convolution-Elementwise-Pooling-Padding",139644.,141702.3333,146366.,"{146366., 140941., 140427., 142827., 142984., 142304., 141549., 144225., 142922., 140536., 140763., 140718., 141290., 143832., 142278., 140709., 140614., 140988., 140985., 142293., 142780., 141856., 139947., 139996., 140989., 140698., 140131., 143346., 141668., 141132., 142184., 141019., 140203., 142178., 143184., 139644., 140554., 142928., 142839., 143095., 143318., 141419., 141235., 142418., 141793., 141172., 141035., 142447., 142956., 142339.}"
"AdaIN-Style Trained on MS-COCO and Painter by Numbers Data","c5.2xlarge",46,50,4,50,"encoder_style/16","encoder_style/20","encoder_style/16-encoder_style/17-encoder_style/18-encoder_style/19-encoder_style/20","Convolution","Elementwise","Convolution-Elementwise-Padding-Convolution-Elementwise",114323.,115255.03330000001,117071.,"{115064., 114567., 115426., 116150., 115524., 116102., 116910., 115418., 115273., 114549., 114675., 115881., 116013., 114889., 117071., 114592., 115835., 116201., 116749., 115855., 114985., 115028., 115200., 115789., 114503., 115032., 114787., 114436., 114404., 114332., 114323., 115736., 115297., 115498., 116152., 116119., 114726., 114562., 114545., 115510., 115733., 114929., 114703., 115140., 115047., 114803., 115170., 115023., 115675., 116436.}"
