"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",1,13,12,50,"conv1_7x7_s2","inception_3a/1x1","conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2-inception_3a/1x1","Convolution","Convolution","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding-Pooling-Convolution",67247.,67578.40000000001,78231.,"{78231., 67848., 67495., 67738., 67841., 67692., 67321., 67573., 67621., 67480., 67389., 67445., 67590., 67574., 67513., 67398., 67506., 67545., 67642., 67616., 67499., 67260., 67800., 67411., 67524., 67324., 67736., 67247., 67432., 67338., 67770., 67727., 68007., 67637., 67760., 67286., 67573., 67673., 67599., 67375., 67640., 67506., 67673., 67465., 67563., 67814., 67531., 68049., 67563., 67719.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",14,14,0,50,"inception_3a/relu_1x1","inception_3a/relu_1x1","inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",30.,30.7667,61.,"{61., 36., 32., 31., 30., 30., 31., 31., 31., 31., 31., 31., 31., 31., 30., 31., 31., 31., 31., 31., 31., 31., 31., 31., 30., 31., 31., 31., 30., 31., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 30., 31., 31., 30., 47., 36., 31., 30., 31., 31.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",15,15,0,50,"inception_3a/3x3_reduce","inception_3a/3x3_reduce","inception_3a/3x3_reduce","Convolution","Convolution","Convolution",154.,155.3333,254.,"{254., 163., 158., 156., 156., 154., 154., 154., 155., 154., 155., 155., 155., 156., 156., 155., 154., 154., 154., 154., 226., 238., 216., 202., 199., 200., 156., 154., 154., 156., 155., 155., 155., 155., 157., 155., 155., 155., 155., 155., 155., 154., 155., 155., 155., 170., 158., 155., 155., 155.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",16,16,0,50,"inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","Elementwise","Elementwise","Elementwise",39.,40.1,69.,"{69., 45., 41., 41., 41., 40., 41., 40., 69., 48., 40., 40., 40., 41., 40., 40., 40., 40., 56., 41., 39., 40., 40., 39., 40., 40., 40., 40., 39., 40., 41., 40., 41., 40., 39., 40., 40., 40., 40., 40., 39., 40., 40., 40., 40., 40., 40., 40., 40., 40.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",17,17,0,50,"inception_3a/3x3","inception_3a/3x3","inception_3a/3x3","Convolution","Convolution","Convolution",1311.,1336.1000000000001,1632.,"{1508., 1394., 1396., 1328., 1315., 1333., 1532., 1471., 1323., 1312., 1312., 1337., 1315., 1383., 1551., 1349., 1338., 1321., 1313., 1334., 1314., 1632., 1340., 1324., 1318., 1330., 1324., 1311., 1616., 1405., 1323., 1332., 1319., 1319., 1326., 1492., 1483., 1322., 1318., 1316., 1333., 1315., 1386., 1565., 1321., 1340., 1321., 1316., 1333., 1318.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",18,18,0,50,"inception_3a/relu_3x3","inception_3a/relu_3x3","inception_3a/relu_3x3","Elementwise","Elementwise","Elementwise",50.,51.2333,92.,"{92., 60., 53., 53., 52., 52., 61., 52., 52., 51., 51., 51., 52., 51., 51., 51., 51., 51., 50., 52., 52., 51., 51., 51., 51., 51., 51., 51., 52., 51., 51., 51., 50., 51., 51., 52., 52., 51., 52., 51., 51., 51., 51., 50., 51., 51., 51., 51., 52., 51.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",19,19,0,50,"inception_3a/5x5_reduce","inception_3a/5x5_reduce","inception_3a/5x5_reduce","Convolution","Convolution","Convolution",43.,44.1,149.,"{149., 55., 46., 44., 45., 45., 44., 44., 45., 45., 44., 45., 45., 44., 44., 44., 44., 45., 44., 44., 43., 43., 44., 44., 44., 45., 47., 44., 44., 44., 44., 44., 44., 43., 43., 43., 44., 44., 44., 44., 43., 43., 44., 44., 45., 44., 44., 44., 44., 44.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",20,20,0,50,"inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","Elementwise","Elementwise","Elementwise",19.,20.,36.,"{35., 22., 20., 20., 20., 19., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 19., 19., 20., 20., 20., 20., 21., 20., 20., 20., 20., 19., 20., 20., 20., 21., 20., 20., 20., 36., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",21,21,0,50,"inception_3a/5x5","inception_3a/5x5","inception_3a/5x5","Convolution","Convolution","Convolution",405.,417.4667,550.,"{530., 428., 434., 422., 422., 418., 417., 419., 421., 416., 415., 426., 417., 413., 412., 469., 544., 550., 416., 417., 427., 423., 412., 414., 413., 408., 409., 406., 405., 412., 440., 414., 415., 416., 416., 415., 408., 414., 483., 535., 537., 412., 414., 416., 418., 415., 415., 420., 412., 420.}"
"Inception V1 Trained on Places365 Data","g4dn.xlarge",22,22,0,50,"inception_3a/relu_5x5","inception_3a/relu_5x5","inception_3a/relu_5x5","Elementwise","Elementwise","Elementwise",24.,25.,44.,"{44., 28., 26., 25., 37., 25., 25., 25., 25., 25., 25., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 24., 25., 25., 24., 25., 25., 24., 25., 25., 24., 25., 25., 25., 25., 25., 25., 24., 38., 25., 25., 25., 25., 25., 24.}"
