"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CapsNet Trained on MNIST Data","c5.large",1,5,4,50,"ReLUConv1/1","PrimaryCaps/3","ReLUConv1/1-ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3","Convolution","Reshape","Convolution-Elementwise-Convolution-Transpose-Reshape",4626.,4738.933300000001,9809.,"{9809., 4930., 4753., 4759., 4733., 4636., 4650., 4711., 4789., 4792., 4743., 4725., 4813., 4819., 4754., 4779., 4775., 4808., 4826., 4817., 4759., 4801., 4782., 4760., 4744., 4688., 4761., 4694., 4784., 4722., 4729., 4666., 4668., 4626., 4706., 4692., 4806., 4725., 4718., 4794., 4695., 4707., 4680., 4721., 4698., 4735., 4710., 4705., 4655., 4687.}"
"CapsNet Trained on MNIST Data","c5.large",6,6,0,50,"PrimaryCaps/4/1","PrimaryCaps/4/1","PrimaryCaps/4/1","Elementwise","Elementwise","Elementwise",18.,19.3,59.,"{48., 23., 22., 19., 26., 26., 20., 19., 25., 27., 19., 19., 19., 19., 19., 20., 19., 19., 21., 19., 19., 59., 21., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 18., 26., 20., 19., 19.}"
"CapsNet Trained on MNIST Data","c5.large",7,7,0,50,"PrimaryCaps/4/2","PrimaryCaps/4/2","PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",208.,208.5333,254.,"{254., 212., 210., 208., 208., 219., 210., 208., 208., 208., 208., 209., 208., 209., 208., 209., 208., 238., 210., 209., 208., 208., 208., 208., 208., 208., 208., 208., 209., 208., 208., 208., 208., 226., 211., 226., 210., 221., 210., 208., 209., 208., 208., 208., 217., 209., 208., 208., 208., 209.}"
"CapsNet Trained on MNIST Data","c5.large",8,8,0,50,"PrimaryCaps/4/3","PrimaryCaps/4/3","PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",40.,41.066700000000004,3112.,"{3112., 52., 42., 42., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 51., 44., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 42., 41., 41., 41., 41., 41., 41., 42., 41., 41., 41., 40., 41., 41., 41., 41., 41., 42., 41., 87., 52., 61.}"
"CapsNet Trained on MNIST Data","c5.large",9,9,0,50,"PrimaryCaps/4/4","PrimaryCaps/4/4","PrimaryCaps/4/4","Replicate","Replicate","Replicate",291.,295.,381.,"{381., 299., 293., 293., 292., 293., 293., 292., 292., 291., 292., 292., 301., 295., 318., 301., 298., 295., 295., 294., 302., 295., 295., 295., 295., 295., 295., 310., 296., 295., 294., 294., 294., 295., 295., 294., 294., 295., 294., 295., 309., 296., 294., 294., 294., 307., 298., 295., 299., 297.}"
"CapsNet Trained on MNIST Data","c5.large",10,10,0,50,"PrimaryCaps/4/5","PrimaryCaps/4/5","PrimaryCaps/4/5","Threading","Threading","Threading",28.,28.2333,46.,"{46., 31., 30., 29., 29., 28., 29., 29., 28., 28., 33., 29., 28., 28., 29., 28., 29., 28., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 29., 28., 28., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28.}"
"CapsNet Trained on MNIST Data","c5.large",11,11,0,50,"PrimaryPredVects/2","PrimaryPredVects/2","PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14951.,15074.5,20246.,"{20246., 15126., 15206., 15082., 15024., 14992., 14990., 14955., 14994., 14984., 15048., 15046., 15054., 15197., 15061., 15078., 15118., 15047., 15037., 15013., 14993., 14951., 14992., 15014., 15095., 15055., 15077., 15077., 15114., 15109., 15071., 15063., 15193., 15189., 15193., 15173., 15141., 15159., 15263., 15157., 15125., 15095., 15051., 15018., 15067., 15113., 15079., 15035., 15086., 15043.}"
"CapsNet Trained on MNIST Data","c5.large",12,12,0,50,"PrimaryPredVects/1","PrimaryPredVects/1","PrimaryPredVects/1","Replicate","Replicate","Replicate",44847.,44877.8667,46102.,"{45407., 44866., 44897., 44872., 44875., 44916., 44879., 44889., 44887., 44876., 44854., 44917., 44848., 44935., 44920., 44886., 44876., 44877., 44867., 44870., 44856., 44859., 44869., 44879., 44847., 44898., 44853., 44893., 44872., 44859., 44876., 44899., 44879., 44883., 44898., 44885., 44886., 44868., 44880., 44873., 44864., 44879., 44868., 44869., 44903., 44859., 44858., 44874., 46102., 44886.}"
"CapsNet Trained on MNIST Data","c5.large",13,13,0,50,"PrimaryPredVects/3","PrimaryPredVects/3","PrimaryPredVects/3","Threading","Threading","Threading",901.,956.7667,1499.,"{1499., 1487., 1291., 1113., 1118., 1070., 1018., 1014., 997., 1034., 978., 979., 953., 1047., 963., 945., 941., 977., 933., 920., 905., 951., 1009., 943., 966., 925., 945., 901., 906., 935., 983., 915., 928., 918., 973., 920., 932., 937., 979., 931., 928., 929., 938., 973., 950., 981., 947., 974., 933., 927.}"
"CapsNet Trained on MNIST Data","c5.large",14,14,0,50,"PrimaryPredVects/4","PrimaryPredVects/4","PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",29793.,29845.800000000003,32139.,"{30216., 29838., 29813., 29794., 29827., 29878., 29832., 29832., 29857., 29842., 29859., 29870., 32139., 30005., 29835., 29862., 29847., 29832., 29810., 29865., 29866., 29867., 29842., 29840., 30205., 29833., 29875., 29859., 29836., 29859., 29856., 30686., 29869., 29868., 29855., 29839., 29843., 29806., 29855., 29844., 29815., 29854., 29809., 29827., 29808., 29793., 29838., 29833., 29806., 29806.}"
