"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",1,1,0,50,"conv1_1","conv1_1","conv1_1","Convolution","Convolution","Convolution",3671.,3782.5333,7458.,"{7281., 7458., 7130., 6965., 7030., 6840., 6790., 6720., 5702., 3873., 3732., 3711., 3757., 3756., 3796., 3748., 3671., 3714., 3712., 3776., 3728., 3748., 3716., 3749., 3789., 3760., 3698., 3707., 3730., 3705., 3692., 3735., 3890., 3860., 3716., 3825., 3804., 3877., 3802., 3782., 3843., 3825., 3758., 3757., 3762., 3809., 3861., 3764., 3680., 3754.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",2,2,0,50,"relu1_1","relu1_1","relu1_1","Elementwise","Elementwise","Elementwise",1407.,1478.1667,2136.,"{2136., 2023., 1845., 1716., 1657., 1570., 1575., 1510., 1510., 1520., 1459., 1489., 1471., 1461., 1487., 1427., 1435., 1459., 1414., 1461., 1521., 1575., 1620., 1606., 1561., 1555., 1485., 1504., 1446., 1438., 1466., 1424., 1437., 1455., 1436., 1446., 1417., 1427., 1475., 1455., 1454., 1495., 1442., 1469., 1465., 1407., 1473., 1446., 1444., 1461.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",3,3,0,50,"conv1_2","conv1_2","conv1_2","Convolution","Convolution","Convolution",44859.,45037.2333,45356.,"{45226., 44976., 45031., 45088., 45071., 45132., 45143., 45056., 45063., 44986., 45211., 45109., 44905., 45096., 44946., 44986., 44918., 45019., 44947., 45356., 45058., 45021., 44859., 45117., 44893., 45092., 45100., 45086., 45078., 44967., 45048., 45077., 45028., 45064., 45115., 45030., 45050., 45007., 44960., 44919., 45114., 45072., 45145., 45005., 45186., 44905., 44937., 44934., 44895., 44940.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",4,4,0,50,"relu1_2","relu1_2","relu1_2","Elementwise","Elementwise","Elementwise",1423.,1480.2667000000001,2068.,"{2068., 1989., 1794., 1725., 1687., 1641., 1653., 1602., 1581., 1577., 1508., 1521., 1485., 1475., 1532., 1469., 1513., 1471., 1484., 1516., 1457., 1487., 1507., 1460., 1446., 1478., 1447., 1485., 1434., 1428., 1472., 1444., 1457., 1477., 1446., 1477., 1461., 1471., 1476., 1435., 1436., 1486., 1434., 1437., 1470., 1423., 1467., 1448., 1466., 1485.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",5,5,0,50,"pool1","pool1","pool1","Pooling","Pooling","Pooling",4143.,4188.8,4490.,"{4463., 4418., 4374., 4414., 4408., 4455., 4490., 4463., 4440., 4383., 4319., 4278., 4238., 4199., 4164., 4177., 4161., 4178., 4160., 4143., 4192., 4149., 4177., 4183., 4176., 4167., 4171., 4170., 4196., 4201., 4180., 4145., 4169., 4174., 4187., 4160., 4151., 4170., 4181., 4218., 4182., 4189., 4149., 4150., 4169., 4153., 4166., 4155., 4172., 4151.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",6,6,0,50,"conv2_1","conv2_1","conv2_1","Convolution","Convolution","Convolution",13389.,13555.6667,14354.,"{14354., 13789., 13671., 13676., 13630., 13645., 13665., 13679., 13601., 13548., 13671., 13656., 13637., 13604., 13635., 13644., 13586., 13566., 13541., 13599., 13509., 13494., 13711., 13479., 13472., 13485., 13406., 13457., 13492., 13458., 13472., 13467., 13444., 13438., 13481., 13474., 13390., 13445., 13448., 13389., 13449., 13491., 13397., 13630., 13535., 13660., 13628., 13603., 13608., 13731.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",7,7,0,50,"relu2_1","relu2_1","relu2_1","Elementwise","Elementwise","Elementwise",537.,560.3333,970.,"{970., 866., 727., 639., 610., 606., 626., 588., 584., 584., 592., 575., 595., 557., 555., 554., 560., 562., 561., 592., 562., 556., 554., 554., 551., 552., 574., 559., 546., 542., 538., 546., 549., 551., 616., 550., 544., 546., 544., 545., 545., 570., 540., 537., 538., 549., 537., 539., 571., 553.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",8,8,0,50,"conv2_2","conv2_2","conv2_2","Convolution","Convolution","Convolution",26614.,26833.6333,27653.,"{27493., 27161., 27087., 27506., 27238., 27301., 27361., 27653., 27452., 27292., 26945., 26748., 26697., 27037., 26699., 26891., 26712., 26757., 26686., 26693., 26697., 26683., 26668., 26614., 26710., 26769., 26801., 26857., 26912., 26926., 26902., 26933., 26912., 26831., 26941., 26806., 26700., 26849., 26840., 26827., 26803., 26929., 26683., 26707., 26710., 26675., 26641., 26733., 26735., 27116.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",9,9,0,50,"relu2_2","relu2_2","relu2_2","Elementwise","Elementwise","Elementwise",540.,557.6,937.,"{937., 904., 748., 636., 607., 589., 581., 592., 600., 574., 568., 568., 568., 566., 557., 583., 558., 556., 559., 554., 554., 558., 577., 555., 550., 554., 563., 554., 550., 571., 547., 549., 545., 545., 547., 544., 569., 543., 546., 542., 544., 540., 543., 565., 556., 543., 545., 545., 545., 543.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",10,10,0,50,"pool2","pool2","pool2","Pooling","Pooling","Pooling",2020.,2038.8333,2114.,"{2114., 2102., 2045., 2048., 2041., 2050., 2026., 2049., 2025., 2059., 2024., 2048., 2024., 2049., 2035., 2047., 2023., 2046., 2023., 2061., 2024., 2050., 2022., 2046., 2034., 2045., 2024., 2045., 2021., 2057., 2030., 2045., 2024., 2043., 2034., 2040., 2053., 2021., 2045., 2035., 2046., 2022., 2045., 2032., 2051., 2022., 2045., 2020., 2055., 2022.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",11,11,0,50,"conv3_1","conv3_1","conv3_1","Convolution","Convolution","Convolution",9586.,9763.3333,16824.,"{10300., 9868., 9852., 9773., 9845., 9799., 9756., 9794., 9739., 9815., 9772., 9799., 9794., 9823., 9749., 9696., 9666., 10183., 10213., 9944., 9846., 9746., 9801., 9837., 9815., 9721., 9803., 9763., 9776., 9701., 9759., 9833., 9762., 9803., 9739., 9706., 9676., 9732., 9636., 9647., 16824., 9690., 9731., 9639., 9704., 9696., 9612., 9696., 9665., 9586.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",12,12,0,50,"relu3_1","relu3_1","relu3_1","Elementwise","Elementwise","Elementwise",299.,300.9667,429.,"{429., 390., 330., 305., 301., 329., 318., 302., 302., 301., 311., 301., 301., 299., 301., 300., 300., 322., 300., 299., 301., 300., 300., 300., 300., 301., 300., 301., 300., 300., 321., 301., 300., 300., 300., 300., 301., 300., 312., 301., 300., 300., 302., 320., 302., 301., 300., 301., 302., 301.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",13,13,0,50,"conv3_2","conv3_2","conv3_2","Convolution","Convolution","Convolution",19213.,19507.9333,19888.,"{19731., 19607., 19447., 19463., 19379., 19322., 19373., 19400., 19292., 19311., 19213., 19266., 19277., 19343., 19317., 19462., 19538., 19501., 19554., 19489., 19490., 19681., 19508., 19611., 19648., 19578., 19499., 19583., 19502., 19477., 19563., 19618., 19441., 19745., 19888., 19579., 19535., 19660., 19587., 19588., 19606., 19515., 19549., 19505., 19668., 19539., 19456., 19289., 19478., 19427.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",14,14,0,50,"relu3_2","relu3_2","relu3_2","Elementwise","Elementwise","Elementwise",299.,303.2,420.,"{420., 361., 322., 304., 303., 301., 301., 301., 301., 301., 299., 301., 325., 301., 301., 299., 301., 300., 301., 301., 301., 301., 300., 301., 301., 326., 314., 305., 305., 305., 304., 306., 304., 305., 304., 304., 307., 304., 326., 305., 304., 303., 304., 304., 304., 305., 305., 304., 303., 304.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",15,15,0,50,"conv3_3","conv3_3","conv3_3","Convolution","Convolution","Convolution",19289.,19477.1333,19864.,"{19660., 19534., 19597., 19366., 19423., 19444., 19372., 19365., 19470., 19378., 19305., 19423., 19518., 19555., 19527., 19546., 19531., 19435., 19491., 19468., 19429., 19393., 19486., 19534., 19417., 19389., 19423., 19590., 19728., 19638., 19566., 19715., 19568., 19491., 19449., 19442., 19372., 19352., 19289., 19378., 19289., 19300., 19400., 19468., 19643., 19526., 19611., 19732., 19791., 19864.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5n.xlarge",16,16,0,50,"relu3_3","relu3_3","relu3_3","Elementwise","Elementwise","Elementwise",284.,286.9667,443.,"{443., 377., 303., 297., 286., 285., 285., 285., 287., 314., 286., 289., 289., 288., 288., 289., 288., 289., 289., 289., 288., 289., 303., 290., 286., 285., 287., 285., 286., 286., 286., 286., 294., 285., 286., 286., 313., 296., 285., 285., 286., 284., 285., 285., 286., 285., 286., 286., 286., 286.}"
