"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Street-Map-to-Photo Translation","c5.large",1,5,4,50,"56","45","56-50-41-43-45","Elementwise","Normalization","Elementwise-Convolution-Elementwise-Convolution-Normalization",54058.,54717.933300000004,69948.,"{69948., 54609., 54177., 54504., 54446., 54875., 54063., 54348., 54342., 54058., 54483., 54963., 54869., 55477., 54511., 54573., 54475., 56114., 54556., 54901., 54801., 54496., 54285., 54904., 54148., 54295., 54976., 54265., 54201., 54410., 54239., 55010., 55128., 54713., 55190., 55899., 55708., 55557., 54365., 54698., 54883., 54894., 54742., 55095., 55302., 54467., 54698., 55643., 55145., 55756.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",6,10,4,50,"34","29","34-36-38-27-29","Elementwise","Convolution","Elementwise-Convolution-Normalization-Elementwise-Convolution",32924.,33205.3,37957.,"{37957., 33461., 33560., 33897., 33466., 33260., 33493., 34025., 33914., 33648., 33241., 33382., 33347., 33189., 32948., 32936., 32997., 33015., 33025., 33171., 33048., 32991., 33013., 32924., 33165., 33059., 33341., 33141., 33272., 33067., 33030., 33232., 33184., 33157., 33199., 33661., 33774., 33421., 33185., 33371., 33419., 33071., 33165., 33145., 33076., 33019., 33071., 33022., 32998., 33264.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",11,15,4,50,"31","12","31-20-22-24-12","Normalization","Elementwise","Normalization-Elementwise-Convolution-Normalization-Elementwise",13656.,13826.400000000001,15649.,"{14305., 13872., 13785., 13698., 14026., 13958., 13908., 13915., 14004., 13738., 13908., 13829., 13853., 13942., 13825., 13806., 13857., 13899., 13807., 13795., 13720., 13843., 13730., 13747., 13675., 13668., 13693., 13798., 13792., 13826., 13829., 13693., 13656., 13863., 13875., 13856., 13688., 13877., 13860., 13807., 13861., 13946., 15649., 13860., 13950., 13781., 13763., 13781., 13762., 13775.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",16,20,4,50,"14","8","14-16-4-6-8","Convolution","Normalization","Convolution-Normalization-Elementwise-Convolution-Normalization",4720.,4887.6333,5296.,"{5296., 5065., 4946., 4917., 4957., 5169., 4912., 4928., 4877., 4848., 4831., 4931., 4966., 4932., 4837., 4884., 4729., 4720., 4907., 4799., 4942., 5020., 5015., 4921., 4857., 4821., 4860., 4806., 4920., 4985., 4952., 4823., 4904., 4794., 4796., 4837., 4897., 4884., 4884., 4834., 4924., 4908., 4887., 4725., 4767., 4806., 4925., 4886., 4844., 4888.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",21,25,4,50,"1","7","1-2-3-5-7","Elementwise","Normalization","Elementwise-Convolution-Elementwise-Deconvolution-Normalization",2829.,2941.8667,3406.,"{3406., 3194., 3216., 3035., 3004., 3056., 3057., 3014., 3003., 2881., 2872., 2855., 2943., 2878., 2915., 2957., 2926., 2946., 2907., 2880., 2879., 2952., 2960., 2936., 2849., 2969., 2880., 2873., 2858., 2927., 2865., 2882., 2984., 2911., 2863., 2829., 2934., 2975., 2964., 2962., 2984., 2943., 2958., 2918., 2943., 2993., 2993., 2930., 3012., 3062.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",25.,25.6,64.,"{64., 29., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 25., 25., 25., 25., 26., 60., 28., 25., 25., 25., 25., 25., 25., 26., 25., 25., 26., 26., 25., 25., 26., 26., 25., 26., 25., 25., 26., 25., 26., 25., 26., 25., 26., 25., 26.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",27,31,4,50,"10","17","10-11-13-15-17","Catenate","Dropout","Catenate-Elementwise-Deconvolution-Normalization-Dropout",13617.,13810.033300000001,14327.,"{14327., 14270., 13676., 13995., 13919., 14167., 14227., 13923., 13674., 13713., 13855., 13767., 13792., 13862., 13760., 13679., 13852., 13773., 13767., 13737., 13647., 13865., 13936., 13811., 13865., 13852., 13679., 13881., 13882., 13854., 13800., 13746., 13803., 13664., 13807., 13652., 13678., 13756., 13791., 13632., 13652., 13939., 13862., 13862., 13745., 13722., 13617., 13954., 13921., 14136.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",32,36,4,50,"18","25","18-19-21-23-25","Catenate","Dropout","Catenate-Elementwise-Deconvolution-Normalization-Dropout",19941.,20223.2333,20649.,"{20484., 20303., 20099., 19941., 20085., 20290., 20091., 20254., 20149., 20071., 20044., 20212., 20503., 20414., 20353., 20209., 20030., 20225., 20299., 20142., 20200., 20165., 20107., 20194., 20264., 20228., 20152., 20233., 20165., 20354., 20383., 20302., 20511., 20188., 20243., 20347., 20151., 20267., 20107., 20016., 20087., 20104., 20499., 20649., 20503., 20387., 20107., 20482., 20515., 20052.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",37,37,0,50,"26","26","26","Catenate","Catenate","Catenate",52.,52.2333,88.,"{88., 59., 54., 53., 53., 52., 53., 52., 52., 53., 53., 52., 53., 53., 52., 52., 52., 52., 52., 52., 53., 52., 52., 52., 52., 53., 53., 52., 52., 52., 52., 52., 52., 52., 53., 52., 52., 52., 52., 52., 52., 53., 52., 53., 52., 52., 52., 52., 52., 86.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",38,38,0,50,"28","28","28","Elementwise","Elementwise","Elementwise",43.,43.8333,79.,"{79., 48., 45., 44., 44., 44., 44., 44., 44., 44., 44., 44., 43., 44., 43., 44., 44., 44., 43., 44., 44., 44., 44., 63., 47., 44., 43., 44., 44., 44., 44., 44., 44., 44., 43., 43., 43., 43., 43., 44., 44., 44., 44., 44., 43., 43., 43., 43., 43., 43.}"
"Pix2pix Street-Map-to-Photo Translation","c5.large",39,39,0,50,"30","30","30","Deconvolution","Deconvolution","Deconvolution",52723.,53542.833300000006,54795.,"{53795., 53543., 53372., 53545., 53477., 53521., 53115., 53423., 53632., 53812., 53782., 54495., 54398., 54287., 54693., 52845., 53710., 52906., 53299., 53552., 53976., 53445., 54039., 53412., 53293., 53138., 54157., 53846., 53591., 54237., 53169., 54007., 53372., 52723., 52814., 53599., 53289., 54795., 53873., 53406., 53142., 54241., 53343., 53173., 53193., 53030., 53304., 53472., 53401., 54416.}"
