"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",1,6,5,50,"1","6","1-2-3-4-5-6","Elementwise","Convolution","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution",133357.,133886.2,159922.,"{159922., 133848., 134072., 133476., 134819., 134285., 133563., 134328., 135106., 134535., 133575., 133988., 134120., 133859., 134272., 135035., 134899., 133966., 134149., 133827., 133715., 133937., 133781., 135089., 134146., 133897., 133845., 133819., 133887., 133476., 133458., 133839., 133482., 134199., 134147., 133621., 133987., 133447., 133357., 133779., 133559., 133707., 133817., 133567., 133948., 133579., 133535., 134051., 133515., 133914.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",7,12,5,50,"7","12/1/1","7-8-9-10-11-12/1/1","Normalization","Padding","Normalization-Elementwise-Convolution-Normalization-Elementwise-Padding",89764.,89877.7333,90592.,"{90592., 90121., 89938., 89941., 90052., 89842., 89810., 89805., 89866., 89824., 90171., 89909., 89889., 89815., 89764., 89841., 89789., 89830., 89788., 89776., 89955., 89898., 89830., 89807., 89814., 89792., 90023., 90111., 90124., 90359., 90110., 89908., 90077., 89859., 89987., 89821., 89892., 89814., 89897., 89801., 89834., 89828., 89815., 90199., 89928., 89882., 89832., 89864., 89873., 89897.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",13,18,5,50,"12/1/2","12/1/7","12/1/2-12/1/3-12/1/4-12/1/5-12/1/6-12/1/7","Convolution","Normalization","Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",73518.,73907.26670000001,83365.,"{83365., 74094., 74141., 73761., 74003., 74132., 74018., 73931., 73812., 73935., 73833., 73804., 74010., 73644., 73945., 73837., 73705., 74180., 73867., 74046., 73983., 73634., 74065., 73839., 73778., 73960., 73635., 73922., 73944., 73806., 73974., 73813., 74049., 73869., 73708., 74086., 73576., 73830., 73913., 73518., 74109., 73868., 73862., 74140., 73636., 73911., 74195., 73821., 74035., 73668.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",19,24,5,50,"12/2","13/1/5","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",38354.,38564.1333,47772.,"{47772., 38994., 38788., 38694., 38486., 38428., 38486., 38613., 38632., 38662., 38609., 38445., 38364., 38426., 38521., 38630., 38629., 38585., 38549., 38422., 38442., 38619., 38721., 38584., 38483., 38354., 38409., 38396., 38647., 38875., 38801., 38653., 38496., 38453., 38439., 38570., 38623., 38591., 38476., 38424., 38498., 38454., 38619., 38784., 38586., 38625., 38501., 38599., 38823., 39051.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",8217.,8479.,9618.,"{9618., 8840., 8793., 8736., 8646., 8511., 8373., 8402., 8377., 8764., 8846., 8822., 8817., 8512., 8475., 8522., 8767., 9057., 8895., 8791., 8574., 8332., 8311., 8295., 8569., 8540., 8534., 8217., 8293., 8257., 8452., 8515., 8528., 8285., 8312., 8286., 8324., 8571., 8507., 8377., 8297., 8265., 8266., 8528., 8528., 8435., 8270., 8260., 8273., 8523.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27850.,27924.566700000003,28084.,"{28021., 27927., 27957., 27947., 27981., 27925., 27906., 27949., 27959., 27941., 27908., 28084., 27938., 27936., 27929., 27899., 27887., 27967., 27931., 27932., 27891., 27895., 27933., 27931., 27933., 27860., 27921., 27929., 27927., 27934., 27850., 27926., 27934., 27929., 27929., 27863., 27919., 27917., 27918., 27897., 27887., 27920., 27921., 27921., 27887., 27891., 27992., 27990., 27926., 27888.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",27,32,5,50,"13/2","14/1/5","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",38562.,38800.6333,47474.,"{47474., 38853., 38826., 38773., 38916., 39103., 38966., 38900., 38709., 38657., 38671., 38645., 38802., 38813., 38833., 38776., 38639., 38909., 38774., 38698., 38707., 38833., 39076., 38866., 38837., 38690., 38917., 38743., 38656., 38805., 38854., 38922., 38956., 38738., 38587., 38640., 38607., 38681., 38888., 38851., 38955., 38784., 38691., 38562., 38573., 38744., 38921., 38808., 38980., 39114.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",33,33,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",8237.,8462.1667,9513.,"{9513., 8926., 8692., 8656., 8764., 8737., 8670., 8525., 8449., 8411., 8458., 8585., 8597., 8577., 8428., 8359., 8380., 8375., 8559., 8553., 8598., 8237., 8345., 8347., 8439., 8540., 8551., 8301., 8397., 8334., 8311., 8519., 8572., 8440., 8346., 8324., 8288., 8546., 8571., 8530., 8319., 8397., 8361., 8341., 8564., 8531., 8430., 8365., 8326., 8289.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",27847.,27923.066700000003,28092.,"{28074., 28001., 27985., 28023., 28015., 28016., 27968., 27909., 27924., 27919., 27918., 27856., 27924., 27930., 28092., 27928., 27857., 28026., 28021., 27928., 27929., 27860., 27925., 27924., 27933., 27919., 27860., 27925., 27921., 27919., 27899., 27881., 27928., 27926., 27918., 27888., 27890., 27925., 27935., 27919., 27847., 27917., 27922., 27921., 27916., 27855., 27922., 27933., 27924., 27911.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","g4dn.xlarge",35,40,5,50,"14/2","15/1/5","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",38284.,38535.200000000004,39891.,"{39891., 39163., 38852., 38639., 38543., 38437., 38547., 38698., 38643., 38590., 38440., 38362., 38361., 38535., 38654., 38604., 38425., 38360., 38342., 38424., 38605., 38620., 38535., 38284., 38368., 38441., 38539., 38707., 38811., 38560., 38354., 38601., 38501., 38511., 38607., 38635., 38565., 38347., 38373., 38393., 38615., 38595., 38547., 38480., 38390., 38402., 38477., 38664., 38720., 38653.}"
