"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",1,15,14,50,"56","12","56-50-41-43-45-34-36-38-27-29-31-20-22-24-12","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",78680.,79204.3333,93644.,"{93644., 79167., 79279., 79226., 79404., 79498., 79214., 79439., 79208., 78680., 78724., 79139., 78985., 79032., 79271., 79249., 79578., 79584., 79394., 79309., 79358., 79097., 78974., 78779., 78890., 79186., 79186., 79019., 79479., 79250., 79557., 79548., 79056., 79113., 79080., 78721., 78944., 79396., 78949., 79027., 79261., 79477., 79402., 79432., 79203., 79159., 79252., 78864., 78816., 79208.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",16,16,0,50,"14","14","14","Convolution","Convolution","Convolution",981.,1005.2,1236.,"{1234., 1235., 1091., 997., 1029., 993., 984., 990., 998., 993., 1063., 1236., 991., 990., 993., 1017., 989., 988., 990., 1013., 1141., 1147., 993., 1015., 992., 981., 991., 1006., 991., 992., 1230., 1068., 989., 987., 1011., 991., 987., 983., 1003., 1083., 1158., 989., 1022., 992., 997., 1000., 1018., 1004., 1003., 1178.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",17,17,0,50,"16","16","16","Normalization","Normalization","Normalization",457.,461.90000000000003,510.,"{510., 474., 468., 467., 467., 466., 467., 465., 473., 467., 495., 475., 484., 458., 457., 458., 457., 465., 458., 457., 458., 458., 458., 458., 457., 468., 460., 457., 457., 457., 457., 482., 475., 474., 482., 460., 460., 460., 460., 459., 460., 460., 468., 462., 460., 459., 460., 460., 459., 460.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",18,18,0,50,"4","4","4","Elementwise","Elementwise","Elementwise",33.,33.4,52.,"{52., 35., 33., 34., 34., 34., 33., 33., 33., 33., 33., 33., 33., 33., 33., 33., 46., 34., 34., 34., 34., 33., 33., 33., 34., 34., 34., 33., 33., 33., 33., 33., 33., 33., 33., 34., 34., 33., 33., 33., 34., 34., 34., 33., 34., 34., 33., 34., 33., 34.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",19,19,0,50,"6","6","6","Convolution","Convolution","Convolution",815.,833.5333,1014.,"{976., 845., 826., 823., 858., 829., 827., 822., 817., 837., 959., 959., 868., 851., 854., 821., 820., 815., 837., 821., 818., 853., 1014., 884., 857., 818., 819., 839., 819., 819., 819., 818., 840., 930., 971., 822., 824., 843., 823., 820., 820., 841., 822., 819., 817., 993., 940., 869., 823., 821.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",20,20,0,50,"8","8","8","Normalization","Normalization","Normalization",148.,149.4333,173.,"{173., 152., 150., 149., 149., 148., 149., 165., 149., 149., 149., 156., 170., 154., 154., 154., 153., 154., 154., 163., 149., 148., 149., 148., 149., 149., 149., 149., 148., 149., 149., 149., 156., 149., 149., 149., 148., 148., 148., 149., 149., 149., 149., 148., 149., 149., 149., 149., 149., 149.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",21,21,0,50,"1","1","1","Elementwise","Elementwise","Elementwise",21.,23.5,40.,"{40., 24., 22., 21., 21., 21., 21., 22., 33., 39., 22., 22., 21., 22., 22., 22., 24., 24., 24., 24., 24., 24., 23., 24., 23., 24., 24., 23., 24., 24., 23., 24., 24., 24., 24., 23., 24., 24., 23., 23., 23., 23., 24., 24., 24., 24., 23., 24., 23., 24.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",22,22,0,50,"2","2","2","Convolution","Convolution","Convolution",428.,436.8333,561.,"{561., 485., 448., 454., 441., 515., 504., 499., 434., 434., 472., 448., 433., 434., 435., 432., 429., 433., 433., 428., 442., 433., 429., 434., 429., 432., 430., 496., 489., 500., 438., 434., 456., 429., 432., 432., 431., 430., 449., 432., 434., 431., 430., 433., 429., 431., 429., 442., 430., 493.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",23,23,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",16.,18.0333,39.,"{39., 19., 18., 17., 17., 17., 18., 17., 17., 17., 18., 17., 16., 17., 17., 17., 16., 17., 17., 16., 17., 17., 17., 17., 17., 17., 19., 18., 19., 19., 19., 18., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 18., 19., 19., 18., 19., 19., 19., 19.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",24,24,0,50,"5","5","5","Deconvolution","Deconvolution","Deconvolution",967.,995.0333,1328.,"{1128., 1048., 987., 1012., 1004., 1004., 973., 996., 1328., 1014., 1032., 1038., 1000., 967., 983., 968., 970., 1065., 1178., 975., 975., 974., 997., 976., 976., 974., 992., 1126., 1133., 973., 1008., 998., 993., 997., 1004., 975., 974., 1204., 1081., 974., 974., 973., 985., 975., 973., 976., 1041., 1240., 1005., 985.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",148.,149.16670000000002,174.,"{171., 151., 166., 150., 149., 148., 149., 149., 149., 149., 149., 149., 149., 149., 148., 148., 149., 148., 149., 148., 174., 154., 153., 154., 154., 153., 153., 171., 149., 149., 149., 149., 149., 148., 148., 148., 148., 148., 148., 148., 149., 149., 149., 148., 148., 149., 149., 171., 151., 149.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",16.,17.,39.,"{39., 20., 18., 18., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 16., 17., 17., 17., 17., 17., 17., 17., 17., 17., 17., 16., 17., 17., 17., 17., 17., 16., 17., 17., 17., 17., 17.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",27,27,0,50,"10","10","10","Catenate","Catenate","Catenate",31.,31.200000000000003,63.,"{63., 34., 32., 31., 31., 31., 32., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 32., 31., 31., 31., 31., 32., 32., 31., 31., 31., 31., 32., 31., 31., 31., 31., 31., 32., 31., 31., 31., 31., 32., 32., 31., 31., 32., 32., 32., 32., 32., 31.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",28,28,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",17.,17.7333,34.,"{34., 20., 19., 19., 18., 17., 18., 18., 18., 18., 17., 17., 18., 18., 18., 17., 18., 18., 18., 17., 18., 17., 17., 18., 18., 18., 17., 18., 18., 18., 18., 18., 17., 18., 18., 17., 17., 18., 18., 17., 17., 18., 18., 18., 18., 17., 17., 17., 17., 17.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",29,29,0,50,"13","13","13","Deconvolution","Deconvolution","Deconvolution",6255.,6500.400000000001,9124.,"{7767., 6623., 6557., 6380., 8669., 6630., 6582., 6448., 6658., 6734., 6477., 6678., 7006., 6531., 6574., 6532., 6295., 6532., 6398., 6332., 6422., 6360., 6364., 6444., 6347., 6510., 6432., 6255., 6406., 6447., 6326., 6424., 6316., 6302., 6389., 6337., 6395., 6603., 6373., 6486., 9124., 6634., 6431., 6589., 6487., 6618., 6860., 6814., 6680., 6696.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",30,30,0,50,"15","15","15","Normalization","Normalization","Normalization",457.,464.73330000000004,895.,"{511., 478., 488., 463., 462., 462., 462., 462., 461., 461., 470., 519., 889., 895., 886., 476., 470., 458., 494., 473., 477., 457., 458., 458., 471., 460., 458., 457., 457., 457., 457., 457., 481., 470., 458., 458., 458., 457., 457., 489., 475., 495., 460., 460., 460., 460., 459., 459., 460., 484.}"
"Pix2pix Street-Map-to-Photo Translation","g4dn.xlarge",31,31,0,50,"17","17","17","Dropout","Dropout","Dropout",17.,17.9333,34.,"{33., 21., 18., 19., 19., 18., 18., 19., 18., 18., 18., 19., 18., 18., 18., 18., 18., 18., 18., 18., 18., 17., 18., 18., 17., 18., 18., 18., 18., 17., 17., 17., 17., 18., 18., 18., 18., 17., 17., 17., 18., 18., 18., 17., 17., 18., 34., 18., 17., 18.}"
