"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",1,5,4,50,"1","5","1-2-3-4-5","Elementwise","Elementwise","Elementwise-Padding-Convolution-Normalization-Elementwise",126185.,126511.26670000001,158606.,"{158606., 126384., 126192., 126185., 126205., 126301., 126463., 126331., 126236., 126189., 126324., 126453., 126484., 127307., 127080., 126731., 126612., 126556., 126363., 126379., 126392., 126355., 126405., 126401., 126402., 126346., 126372., 126588., 126821., 127349., 127288., 127320., 127378., 126475., 126636., 126584., 126533., 126543., 126548., 126317., 126539., 126547., 126597., 126605., 127293., 127179., 126547., 126725., 126556., 126563.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",6,10,4,50,"6","10","6-7-8-9-10","Convolution","Normalization","Convolution-Normalization-Elementwise-Convolution-Normalization",97716.,97958.8,105830.,"{105830., 97982., 97721., 97716., 97793., 97857., 98074., 98206., 97887., 97961., 97931., 97928., 98186., 99109., 99143., 99150., 98855., 98137., 97865., 97866., 97862., 98018., 97952., 98032., 97909., 97948., 97893., 97873., 97934., 97932., 98039., 98179., 98031., 98893., 99282., 99071., 98644., 98052., 97886., 97894., 97866., 97920., 97804., 97820., 97793., 97809., 97870., 97794., 97821., 97818.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",11,15,4,50,"11","12/1/4","11-12/1/1-12/1/2-12/1/3-12/1/4","Elementwise","Elementwise","Elementwise-Padding-Convolution-Normalization-Elementwise",37918.,38084.0667,46314.,"{46314., 38079., 37946., 37977., 38021., 38071., 37983., 37963., 38429., 38763., 38744., 38696., 38820., 38737., 38771., 38734., 38709., 38460., 38289., 38346., 38170., 37985., 37941., 38119., 37989., 38004., 37992., 38026., 37978., 37918., 37975., 37990., 37946., 37984., 38193., 38148., 38075., 38210., 38162., 37987., 38039., 37950., 38023., 37954., 37993., 37997., 37987., 38145., 38092., 37994.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",853.,871.8000000000001,900.,"{892., 862., 854., 857., 885., 859., 874., 853., 895., 857., 863., 863., 862., 893., 875., 859., 863., 873., 889., 863., 859., 872., 899., 874., 862., 863., 873., 887., 878., 867., 878., 900., 879., 877., 879., 868., 866., 878., 856., 857., 894., 878., 877., 863., 879., 877., 878., 876., 876., 899.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",9533.,9830.300000000001,18182.,"{18182., 9609., 9538., 9549., 9540., 9557., 9554., 9626., 9627., 9534., 9533., 9541., 9539., 9558., 9721., 9746., 9564., 9618., 9683., 9657., 9688., 9601., 9598., 9687., 9661., 9738., 9735., 9688., 9671., 9674., 9697., 9621., 9715., 9915., 10416., 10396., 10439., 10449., 10432., 10476., 10406., 10231., 10337., 10326., 10374., 10393., 10375., 10365., 10361., 10415.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",27318.,27342.9333,27650.,"{27632., 27650., 27619., 27535., 27480., 27443., 27402., 27318., 27336., 27361., 27354., 27335., 27348., 27343., 27345., 27325., 27330., 27331., 27332., 27322., 27390., 27331., 27328., 27344., 27348., 27359., 27393., 27372., 27340., 27329., 27321., 27321., 27339., 27333., 27320., 27326., 27325., 27340., 27367., 27407., 27395., 27358., 27342., 27335., 27328., 27319., 27321., 27339., 27324., 27324.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",19,23,4,50,"12/2","13/1/4","12/2-13/1/1-13/1/2-13/1/3-13/1/4","Total","Elementwise","Total-Padding-Convolution-Normalization-Elementwise",38116.,38272.433300000004,39176.,"{38384., 38163., 38162., 38198., 38258., 38292., 38167., 38415., 38919., 38657., 38246., 38716., 38832., 38877., 38945., 38832., 38871., 39176., 39000., 38934., 38687., 38346., 38454., 38313., 38308., 38187., 38225., 38183., 38116., 38140., 38251., 38211., 38279., 38181., 38158., 38171., 38135., 38227., 38220., 38197., 38190., 38133., 38154., 38209., 38180., 38168., 38152., 38133., 38188., 38181.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",24,24,0,50,"13/1/5","13/1/5","13/1/5","Padding","Padding","Padding",854.,875.5,1193.,"{1193., 1109., 866., 878., 897., 867., 875., 875., 854., 898., 865., 864., 874., 889., 865., 874., 873., 866., 903., 880., 871., 879., 893., 880., 858., 879., 879., 908., 869., 880., 858., 902., 864., 869., 879., 858., 907., 869., 868., 878., 895., 870., 867., 870., 880., 907., 869., 869., 867., 904.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",9183.,9258.4,9636.,"{9384., 9327., 9304., 9267., 9274., 9234., 9234., 9215., 9212., 9235., 9209., 9219., 9209., 9253., 9210., 9211., 9221., 9281., 9323., 9312., 9336., 9303., 9239., 9239., 9277., 9259., 9257., 9237., 9230., 9199., 9204., 9215., 9187., 9203., 9183., 9254., 9208., 9308., 9312., 9274., 9272., 9303., 9261., 9265., 9298., 9352., 9350., 9480., 9609., 9636.}"
"CycleGAN Horse-to-Zebra Translation Trained on ImageNet Competition Data","c4.2xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27319.,27349.2667,27622.,"{27595., 27586., 27574., 27554., 27558., 27558., 27622., 27590., 27534., 27519., 27381., 27353., 27319., 27331., 27324., 27334., 27336., 27359., 27349., 27355., 27321., 27334., 27345., 27358., 27330., 27328., 27381., 27331., 27327., 27332., 27332., 27351., 27401., 27402., 27362., 27335., 27323., 27323., 27338., 27326., 27331., 27336., 27346., 27338., 27330., 27346., 27357., 27345., 27325., 27349.}"
