"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",1,7,6,50,"1/1","1/7","1/1-1/2-1/3-1/4-1/5-1/6-1/7","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",31907.,32552.833300000002,87177.,"{87177., 62996., 62311., 61915., 34439., 32404., 32369., 32298., 32419., 31981., 32180., 32237., 31994., 31907., 32113., 32350., 32422., 32427., 32658., 32730., 32800., 32446., 32511., 32511., 32597., 33032., 33520., 33301., 33708., 33225., 32656., 32321., 32384., 32938., 33496., 33441., 33753., 33167., 32375., 32493., 32267., 32316., 32497., 32233., 32201., 32170., 31978., 31980., 32115., 32188.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",8,14,6,50,"1/8","1/14","1/8-1/9-1/10-1/11-1/12-1/13-1/14","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",29361.,29917.2333,37159.,"{37159., 30348., 30077., 29949., 30031., 29950., 30096., 29930., 30138., 29938., 30129., 29742., 30279., 30265., 30321., 29825., 29361., 29697., 29591., 29536., 31458., 29639., 29559., 29506., 29697., 29781., 30000., 29711., 29653., 29669., 29680., 30121., 30015., 29968., 29938., 30021., 29916., 29934., 29833., 30015., 30019., 30077., 30033., 30180., 29713., 29941., 29723., 29784., 29942., 29918.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",15,15,0,50,"1/15","1/15","1/15","Convolution","Convolution","Convolution",9480.,9721.4667,16408.,"{16408., 9982., 9866., 9708., 9657., 9620., 9629., 9663., 9668., 9595., 9656., 9590., 9727., 9814., 9748., 9756., 9609., 9611., 9523., 9547., 9585., 9480., 9485., 9499., 9524., 9531., 9508., 9672., 9735., 9733., 9804., 9779., 9886., 9887., 9870., 9743., 9729., 9700., 9597., 9607., 9711., 9864., 10060., 10274., 10149., 10050., 9951., 9985., 9971., 9898.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",16,16,0,50,"1/16","1/16","1/16","Elementwise","Elementwise","Elementwise",99.,100.5,155.,"{155., 119., 104., 101., 101., 100., 101., 100., 101., 101., 125., 103., 101., 100., 100., 100., 101., 101., 100., 100., 100., 101., 100., 100., 100., 100., 100., 100., 99., 100., 100., 100., 99., 101., 101., 101., 99., 100., 100., 101., 101., 101., 100., 100., 100., 101., 119., 101., 101., 101.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",17,23,6,50,"2/1","2/7","2/1-2/2-2/3-2/4-2/5-2/6-2/7","Resize","Elementwise","Resize-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",23816.,24349.9,38273.,"{38273., 24878., 25025., 25033., 25103., 25115., 24970., 24599., 24681., 24714., 24961., 25128., 24679., 24520., 24176., 24010., 23913., 23865., 23926., 23888., 23968., 23852., 23858., 23966., 24042., 24095., 24431., 24614., 24474., 24229., 24408., 24212., 24316., 24219., 24293., 24391., 24458., 24469., 24524., 24321., 24777., 25008., 24309., 24668., 23864., 23934., 23869., 24000., 23919., 23816.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",24,30,6,50,"2/8","2/14","2/8-2/9-2/10-2/11-2/12-2/13-2/14","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",28017.,28300.800000000003,28932.,"{28932., 28340., 28034., 28077., 28070., 28017., 28113., 28023., 28023., 28143., 28499., 28320., 28429., 28303., 28334., 28249., 28185., 28168., 28387., 28237., 28332., 28357., 28398., 28119., 28519., 28268., 28164., 28033., 28134., 28230., 28156., 28245., 28343., 28450., 28470., 28356., 28439., 28389., 28428., 28383., 28315., 28401., 28611., 28580., 28317., 28792., 28395., 28222., 28303., 28356.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",31,37,6,50,"2/15","2/21","2/15-2/16-2/17-2/18-2/19-2/20-2/21","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",8004.,8093.6333,8366.,"{8366., 8184., 8071., 8117., 8097., 8143., 8099., 8007., 8158., 8184., 8147., 8140., 8110., 8101., 8118., 8124., 8098., 8102., 8033., 8097., 8108., 8065., 8093., 8109., 8058., 8173., 8146., 8103., 8071., 8074., 8210., 8135., 8090., 8074., 8004., 8061., 8079., 8103., 8114., 8049., 8004., 8075., 8072., 8076., 8049., 8008., 8066., 8071., 8097., 8039.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",38,44,6,50,"2/22","2/28","2/22-2/23-2/24-2/25-2/26-2/27-2/28","Flatten","Elementwise","Flatten-Linear-Elementwise-Linear-Elementwise-Linear-Elementwise",3670.,3787.2000000000003,4167.,"{4167., 4067., 4030., 4006., 4061., 3928., 3927., 3880., 3850., 3872., 3838., 3851., 3850., 3815., 3823., 3774., 3793., 3828., 3774., 3773., 3741., 3719., 3746., 3700., 3691., 3760., 3720., 3722., 3716., 3710., 3723., 3670., 3701., 3793., 3755., 3797., 3773., 3748., 3799., 3782., 3807., 3858., 3800., 3789., 3744., 3694., 3814., 3775., 3759., 3742.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",45,45,0,50,"2/29","2/29","2/29","Replicate","Replicate","Replicate",5875.,5891.5667,5919.,"{5919., 5907., 5899., 5897., 5890., 5897., 5888., 5908., 5886., 5888., 5894., 5889., 5898., 5885., 5884., 5884., 5898., 5889., 5891., 5901., 5899., 5890., 5895., 5890., 5897., 5892., 5895., 5883., 5898., 5890., 5897., 5901., 5882., 5894., 5888., 5890., 5898., 5901., 5879., 5887., 5885., 5883., 5879., 5904., 5879., 5895., 5884., 5882., 5890., 5875.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",46,52,6,50,"3","4/6","3-4/1-4/2-4/3-4/4-4/5-4/6","Catenate","Convolution","Catenate-Convolution-Elementwise-Convolution-Elementwise-Resize-Convolution",12382.,12562.,13759.,"{13759., 13068., 12723., 12688., 12620., 12520., 12463., 12585., 12579., 12507., 12643., 12662., 12640., 12482., 12468., 12492., 12548., 12411., 12382., 12462., 12504., 12385., 12445., 12503., 12563., 12463., 12512., 12553., 12888., 12659., 12558., 12551., 12520., 12497., 12516., 12573., 12572., 12572., 12601., 12690., 12604., 12531., 12609., 12718., 12609., 12575., 12592., 12645., 12513., 12590.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5n.xlarge",53,59,6,50,"4/7","4/13","4/7-4/8-4/9-4/10-4/11-4/12-4/13","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Resize-Convolution-Elementwise-Convolution",21659.,22084.6333,23349.,"{22867., 21942., 22125., 22060., 22065., 22041., 22122., 21857., 21706., 21705., 21661., 21705., 21659., 21838., 21855., 21825., 21858., 22028., 22193., 22240., 22327., 22208., 22135., 22202., 22192., 22140., 22192., 22091., 21859., 21870., 21985., 21943., 22036., 22067., 22018., 22384., 23349., 22925., 22711., 22791., 22854., 22898., 22946., 23067., 22705., 22248., 21975., 21976., 21954., 21921.}"
