"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",1,6,5,50,"Conv/conv32/1","Conv/conv64/3","Conv/conv32/1-Conv/conv32/2-Conv/conv32/3-Conv/conv64/1-Conv/conv64/2-Conv/conv64/3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Padding-Pooling-Convolution",58691.,58890.8,104570.,"{104570., 60133., 59271., 58769., 58935., 59101., 59047., 60159., 59221., 58952., 58740., 58811., 58954., 58697., 58868., 59068., 59418., 58864., 59190., 58779., 58720., 58729., 58876., 58960., 59011., 59807., 58854., 58845., 58755., 58950., 58801., 58805., 58892., 58783., 58787., 59272., 59144., 58715., 58691., 58802., 58895., 58798., 58808., 58880., 58764., 58838., 58926., 58916., 58803., 58894.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",7,12,5,50,"Conv/conv64/4","Conv/conv128/4","Conv/conv64/4-Conv/conv64/5-Conv/conv128/1-Conv/conv128/2-Conv/conv128/3-Conv/conv128/4","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Padding-Pooling-Convolution-BatchNormalization",24943.,25210.7333,46407.,"{46407., 25410., 25675., 25191., 25381., 25279., 25314., 25084., 25304., 25030., 25257., 25016., 25253., 24967., 25222., 25221., 25324., 25213., 25198., 25297., 25125., 25248., 25212., 25412., 25011., 25302., 24946., 25297., 25019., 25286., 24968., 25318., 25007., 25243., 24946., 25226., 24943., 25264., 25023., 25210., 25165., 25214., 26160., 25885., 25823., 25080., 25227., 25004., 25376., 24977.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",13,18,5,50,"Conv/conv128/5","Conv/conv128/10","Conv/conv128/5-Conv/conv128/6-Conv/conv128/7-Conv/conv128/8-Conv/conv128/9-Conv/conv128/10","Elementwise","BatchNormalization","Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization",17092.,17474.1333,29203.,"{29203., 17543., 17297., 17700., 17642., 17340., 17239., 17644., 17646., 17287., 17187., 17610., 17590., 17218., 17289., 17740., 17532., 17122., 17335., 17875., 17642., 17210., 17223., 17794., 17489., 17163., 17329., 17749., 17454., 17092., 17484., 17762., 17621., 17170., 17421., 17665., 17487., 17207., 17574., 17832., 17427., 17118., 17497., 17673., 17772., 17323., 17451., 17724., 17470., 17166.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",19,24,5,50,"Conv/conv128/11","Conv/conv256/5","Conv/conv128/11-Conv/conv256/1-Conv/conv256/2-Conv/conv256/3-Conv/conv256/4-Conv/conv256/5","Elementwise","Elementwise","Elementwise-Padding-Pooling-Convolution-BatchNormalization-Elementwise",15665.,15957.2667,19625.,"{18389., 15965., 16132., 15805., 16112., 16177., 15819., 16001., 15787., 15967., 15971., 15789., 16077., 15750., 15942., 15889., 15764., 16003., 19625., 15781., 16056., 15826., 15960., 16077., 15764., 15989., 15832., 16038., 16080., 15665., 16100., 15872., 15984., 16040., 15721., 16074., 15749., 15956., 15992., 15714., 16057., 15901., 16156., 16218., 16031., 16077., 15755., 16020., 15998., 15728.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",25,30,5,50,"Conv/conv256/6","Conv/conv256/11","Conv/conv256/6-Conv/conv256/7-Conv/conv256/8-Conv/conv256/9-Conv/conv256/10-Conv/conv256/11","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise",11673.,11913.,12536.,"{12536., 12023., 12243., 12085., 12304., 11752., 11994., 12044., 12087., 12023., 11760., 11810., 12074., 11985., 12035., 11714., 11750., 12045., 11922., 11912., 11726., 11681., 12007., 12005., 11917., 11848., 11749., 11861., 11914., 11931., 11956., 11786., 11774., 11977., 11943., 11938., 11673., 11704., 11988., 11888., 11877., 11814., 11701., 11911., 11992., 11941., 11926., 11707., 11789., 12001.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",31,36,5,50,"Conv/conv512/1","Conv/conv512/6","Conv/conv512/1-Conv/conv512/2-Conv/conv512/3-Conv/conv512/4-Conv/conv512/5-Conv/conv512/6","Padding","Convolution","Padding-Pooling-Convolution-BatchNormalization-Elementwise-Convolution",9932.,9979.3667,10952.,"{10952., 10258., 10108., 9974., 9972., 9935., 9970., 9947., 9954., 9941., 10210., 9932., 10064., 9937., 10004., 9955., 10005., 9985., 9988., 9977., 9996., 9935., 9994., 9941., 10006., 9958., 9982., 9980., 9978., 9950., 9954., 9946., 9943., 9955., 9960., 9991., 10029., 9985., 9992., 10010., 9976., 10013., 9983., 10152., 9977., 9963., 10029., 9973., 9990., 10004.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",37,42,5,50,"Conv/conv512/7","Conv/conv512/12","Conv/conv512/7-Conv/conv512/8-Conv/conv512/9-Conv/conv512/10-Conv/conv512/11-Conv/conv512/12","BatchNormalization","Convolution","BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution",8519.,8788.9,9601.,"{9601., 9140., 9028., 8974., 8746., 8711., 8673., 8553., 8834., 8838., 8877., 8855., 8841., 8872., 8580., 8676., 8804., 8880., 8829., 8812., 8847., 8735., 8519., 8665., 8737., 8833., 8861., 8858., 8939., 8732., 8577., 8681., 8691., 8893., 8834., 8863., 8876., 8756., 8647., 8675., 8637., 8833., 8857., 8873., 8822., 8673., 8692., 8603., 8594., 8869.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",43,48,5,50,"Conv/conv512/13","Conv/conv_final_2/1","Conv/conv512/13-Conv/conv512/14-Conv/conv512/15-Conv/conv512/16-Conv/conv512/17-Conv/conv_final_2/1","BatchNormalization","Convolution","BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution",8058.,8326.6,8820.,"{8820., 8484., 8545., 8432., 8401., 8327., 8058., 8262., 8418., 8395., 8371., 8255., 8065., 8219., 8410., 8402., 8358., 8239., 8176., 8232., 8418., 8383., 8394., 8276., 8186., 8194., 8450., 8400., 8388., 8264., 8140., 8212., 8425., 8469., 8397., 8301., 8158., 8213., 8443., 8363., 8405., 8319., 8127., 8187., 8396., 8364., 8383., 8269., 8135., 8200.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",49,49,0,50,"Conv/conv_final_2/2","Conv/conv_final_2/2","Conv/conv_final_2/2","BatchNormalization","BatchNormalization","BatchNormalization",33.,34.,58.,"{58., 37., 34., 35., 34., 34., 34., 34., 33., 33., 33., 33., 33., 34., 34., 34., 34., 34., 33., 33., 33., 33., 33., 34., 34., 33., 54., 58., 36., 35., 34., 34., 34., 34., 34., 34., 35., 34., 34., 34., 35., 35., 35., 34., 34., 34., 34., 34., 34., 34.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",50,50,0,50,"Conv/conv_final_2/3","Conv/conv_final_2/3","Conv/conv_final_2/3","Elementwise","Elementwise","Elementwise",89.,91.10000000000001,116.,"{116., 94., 91., 91., 105., 91., 90., 90., 90., 91., 91., 91., 91., 90., 91., 90., 91., 90., 91., 90., 89., 90., 91., 97., 111., 93., 92., 94., 92., 94., 92., 94., 93., 92., 92., 94., 102., 90., 89., 90., 90., 90., 90., 91., 91., 103., 90., 90., 90., 90.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",51,51,0,50,"Conv/reshape/1","Conv/reshape/1","Conv/reshape/1","Reshape","Reshape","Reshape",22.,23.133300000000002,65.,"{65., 29., 26., 26., 26., 26., 25., 24., 23., 23., 23., 24., 22., 23., 23., 23., 23., 23., 24., 23., 23., 23., 22., 23., 23., 23., 23., 23., 23., 23., 22., 22., 22., 23., 23., 23., 23., 23., 23., 22., 22., 24., 24., 39., 24., 23., 23., 23., 23., 23.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",52,52,0,50,"Conv/reshape/2","Conv/reshape/2","Conv/reshape/2","Transpose","Transpose","Transpose",471.,474.16670000000005,661.,"{522., 475., 473., 488., 473., 471., 472., 503., 487., 499., 473., 484., 475., 473., 473., 473., 473., 473., 472., 471., 480., 471., 472., 471., 472., 472., 471., 471., 513., 488., 492., 471., 472., 661., 475., 472., 483., 472., 471., 472., 471., 471., 471., 471., 478., 472., 471., 471., 503., 489.}"
"YOLO V2 Trained on MS-COCO Data","g4dn.xlarge",53,53,0,50,"Conv/reshape/3","Conv/reshape/3","Conv/reshape/3","Reshape","Reshape","Reshape",23.,24.3333,45.,"{45., 30., 28., 27., 28., 28., 27., 26., 26., 25., 25., 25., 24., 25., 25., 25., 24., 24., 24., 24., 24., 24., 24., 24., 25., 24., 24., 24., 25., 24., 24., 24., 25., 24., 24., 23., 24., 24., 24., 24., 24., 25., 24., 24., 25., 24., 24., 24., 24., 24.}"
