"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",1,2,1,50,"1","2","1-2","Elementwise","Padding","Elementwise-Padding",455.,462.73330000000004,1332.,"{1332., 469., 478., 479., 459., 456., 456., 455., 487., 466., 457., 456., 456., 456., 455., 456., 456., 480., 469., 456., 455., 455., 456., 455., 461., 461., 478., 472., 463., 463., 462., 463., 462., 463., 484., 464., 464., 463., 464., 466., 463., 463., 484., 465., 464., 470., 469., 468., 463., 464.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",3,4,1,50,"3","4","3-4","Convolution","Normalization","Convolution-Normalization",131258.,131565.,155526.,"{155526., 131942., 132306., 131531., 131465., 131550., 131472., 131564., 131598., 131709., 131586., 131523., 131383., 131495., 131345., 131361., 131412., 131758., 131574., 131465., 131534., 131508., 131708., 131258., 131405., 131389., 131980., 131923., 131616., 131908., 132021., 131413., 131436., 131576., 131405., 131408., 131449., 131627., 131525., 131535., 131401., 131517., 131774., 131945., 133498., 132000., 131954., 131466., 131538., 131530.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",5,6,1,50,"5","6","5-6","Elementwise","Padding","Elementwise-Padding",4093.,4119.8667000000005,4344.,"{4344., 4144., 4140., 4131., 4109., 4119., 4117., 4109., 4138., 4120., 4135., 4119., 4098., 4110., 4116., 4130., 4122., 4116., 4107., 4108., 4125., 4103., 4113., 4115., 4128., 4186., 4135., 4125., 4127., 4128., 4125., 4115., 4122., 4130., 4119., 4148., 4103., 4117., 4093., 4119., 4125., 4112., 4107., 4102., 4128., 4139., 4116., 4118., 4108., 4111.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",7,8,1,50,"7","8","7-8","Convolution","Normalization","Convolution-Normalization",70491.,70836.7,94920.,"{78108., 70617., 70491., 70972., 70665., 70770., 70844., 70791., 70589., 70667., 70559., 70710., 70847., 70567., 70707., 70662., 70822., 70883., 70909., 70762., 71189., 71345., 70862., 70765., 70793., 73203., 70643., 71245., 70811., 71085., 71136., 77109., 94920., 80878., 71447., 70865., 70644., 71032., 70773., 70621., 71066., 70707., 70809., 70639., 70948., 70748., 70756., 70811., 70785., 71200.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",9,10,1,50,"9","10","9-10","Elementwise","Padding","Elementwise-Padding",2042.,2084.4333,2287.,"{2287., 2133., 2070., 2105., 2067., 2109., 2053., 2094., 2079., 2095., 2095., 2107., 2045., 2084., 2097., 2079., 2099., 2080., 2088., 2073., 2096., 2060., 2096., 2042., 2111., 2061., 2089., 2056., 2090., 2075., 2123., 2129., 2070., 2087., 2079., 2107., 2055., 2092., 2081., 2096., 2057., 2103., 2052., 2106., 2055., 2082., 2064., 2104., 2068., 2046.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",11,12,1,50,"11","12","11-12","Convolution","Normalization","Convolution-Normalization",34282.,34507.1667,37540.,"{37540., 34501., 34448., 34520., 34600., 34401., 34348., 34282., 34394., 34321., 34368., 34380., 34402., 34565., 34448., 34480., 34534., 34507., 34467., 34464., 34411., 34587., 34684., 36573., 34532., 34532., 34395., 35012., 34459., 34397., 34452., 34759., 34687., 34853., 34498., 34508., 34608., 34650., 34662., 34557., 34516., 34509., 34487., 34497., 34501., 34564., 34492., 34457., 34583., 34539.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",13,14,1,50,"13","14/1/1","13-14/1/1","Elementwise","Padding","Elementwise-Padding",1040.,2154.4333,2313.,"{1314., 1056., 1040., 2313., 2201., 2190., 2165., 2165., 2179., 2138., 2165., 2144., 2177., 2146., 2163., 2125., 2152., 2136., 2169., 2117., 2144., 2149., 2122., 2144., 2123., 2172., 2127., 2176., 2145., 2172., 2149., 2176., 2146., 2119., 2180., 2122., 2173., 2119., 2179., 2146., 2175., 2146., 2172., 2149., 2149., 2177., 2140., 2170., 2146., 2176.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",15,16,1,50,"14/1/2","14/1/3","14/1/2-14/1/3","Convolution","Normalization","Convolution-Normalization",41343.,41601.7333,87750.,"{87750., 74771., 74724., 74905., 74726., 74590., 53222., 41442., 41548., 41398., 41467., 41637., 41424., 41348., 41358., 41657., 41620., 41511., 41516., 41446., 41393., 41343., 41561., 41377., 41907., 43337., 41495., 41400., 42002., 41393., 41473., 41465., 42110., 41433., 42226., 41860., 41498., 41568., 41478., 41696., 41733., 41726., 41744., 41590., 41541., 41546., 41612., 41596., 41639., 41478.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",17,18,1,50,"14/1/4","14/1/5","14/1/4-14/1/5","Elementwise","Padding","Elementwise-Padding",1038.,1052.0333,1126.,"{1126., 1053., 1043., 1040., 1039., 1066., 1038., 1064., 1042., 1068., 1041., 1046., 1071., 1081., 1053., 1042., 1099., 1040., 1043., 1056., 1074., 1057., 1039., 1040., 1075., 1042., 1066., 1040., 1069., 1044., 1043., 1067., 1041., 1040., 1041., 1085., 1046., 1060., 1042., 1076., 1043., 1041., 1041., 1083., 1057., 1069., 1080., 1050., 1049., 1058.}"
"CycleGAN Photo-to-Cezanne Translation","c4.xlarge",19,20,1,50,"14/1/6","14/1/7","14/1/6-14/1/7","Convolution","Normalization","Convolution-Normalization",40963.,41210.8,47959.,"{41240., 41067., 41103., 41092., 41192., 41038., 40963., 41309., 41991., 41108., 41022., 41289., 41593., 41292., 41254., 41236., 41211., 41477., 41354., 41178., 44386., 41279., 41152., 41640., 41035., 41142., 41133., 41898., 41477., 44381., 47720., 47959., 47752., 47411., 41155., 41353., 41330., 41139., 41064., 41058., 41070., 41055., 41085., 41004., 41037., 41073., 41319., 41104., 41111., 41042.}"
