"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",1,1,0,50,"contract_1/conv_1","contract_1/conv_1","contract_1/conv_1","Convolution","Convolution","Convolution",21107.,21293.1333,44892.,"{44892., 23906., 21184., 21362., 21428., 21353., 21438., 21237., 21221., 21333., 21428., 21404., 21356., 21403., 21213., 21166., 21185., 21129., 21254., 21190., 21197., 21113., 21269., 21187., 21712., 21482., 21317., 21360., 21135., 21158., 21375., 21164., 21107., 21229., 21245., 21380., 21267., 21543., 21385., 21255., 21254., 21258., 21220., 21357., 21282., 21611., 21247., 21282., 21399., 21294.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",2,2,0,50,"contract_1/relu_1","contract_1/relu_1","contract_1/relu_1","Elementwise","Elementwise","Elementwise",15239.,15384.6,46972.,"{46972., 15746., 15762., 15761., 15865., 15758., 15610., 15471., 15666., 15709., 15417., 15368., 15402., 15300., 15317., 15322., 15269., 15266., 15371., 15607., 15567., 15548., 15445., 15398., 15341., 15412., 15416., 15361., 15314., 15273., 15423., 15486., 15384., 15315., 15298., 15348., 15265., 15403., 15483., 15316., 15315., 15321., 15305., 15275., 15281., 15239., 15243., 15285., 15346., 15323.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",3,3,0,50,"contract_1/conv_2","contract_1/conv_2","contract_1/conv_2","Convolution","Convolution","Convolution",210320.,210750.13330000002,542187.,"{542187., 210972., 210658., 210792., 210986., 210675., 210363., 210397., 211051., 210472., 210775., 210838., 210320., 211042., 211988., 211746., 211099., 210688., 210784., 210620., 210836., 211084., 210347., 211362., 210878., 210543., 210505., 210425., 210993., 210641., 210701., 210798., 210435., 210730., 210692., 210479., 210437., 211045., 212957., 211490., 210447., 210673., 210661., 210712., 210694., 210616., 210999., 211062., 210478., 210328.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",4,4,0,50,"contract_1/relu_2","contract_1/relu_2","contract_1/relu_2","Elementwise","Elementwise","Elementwise",15182.,15310.166700000002,45641.,"{45641., 15459., 15310., 15319., 15315., 15325., 15381., 15275., 15219., 15314., 15535., 15478., 15326., 15279., 15269., 15221., 15214., 15201., 15289., 15292., 15200., 15182., 15198., 15256., 15289., 15252., 15248., 15274., 15452., 15375., 15321., 15370., 15321., 15287., 15500., 15375., 15299., 15325., 15298., 15354., 15402., 15371., 15308., 15404., 15395., 15315., 15272., 15245., 15330., 15201.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",5,5,0,50,"contract_1/cropping","contract_1/cropping","contract_1/cropping","Part","Part","Part",18233.,18451.,54913.,"{54913., 18849., 18664., 18618., 19081., 18928., 18913., 18724., 18616., 18523., 18544., 18572., 18486., 18517., 18533., 18425., 18369., 18339., 18494., 18420., 18310., 18233., 18253., 18464., 18392., 18412., 18323., 18325., 18488., 18457., 18518., 18494., 18562., 18392., 18339., 18329., 18287., 18348., 18492., 18361., 18489., 18560., 18468., 18465., 18382., 18262., 18380., 18399., 18357., 18253.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",6,6,0,50,"contract_1/pooling","contract_1/pooling","contract_1/pooling","Pooling","Pooling","Pooling",29310.,30970.7,39077.,"{39077., 29537., 29310., 29434., 29601., 31650., 31857., 31743., 31674., 31366., 31297., 31262., 31230., 30825., 30887., 30885., 30933., 30925., 31023., 31011., 31046., 31023., 31026., 31044., 30971., 30979., 30994., 30870., 30971., 31048., 30998., 30955., 30909., 31034., 30947., 31023., 30994., 30990., 30916., 31077., 31054., 30987., 30936., 30912., 30830., 30774., 30746., 30790., 30794., 30743.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",7,7,0,50,"contract_2/conv_1","contract_2/conv_1","contract_2/conv_1","Convolution","Convolution","Convolution",65720.,66161.7333,151864.,"{151864., 65940., 65987., 66475., 66038., 65969., 65894., 65720., 66178., 65997., 66060., 66082., 66016., 65918., 66215., 65942., 65878., 65995., 66248., 66102., 66513., 66144., 65997., 65985., 66335., 66272., 66486., 67230., 66973., 66437., 66144., 66217., 66138., 66221., 66535., 66051., 66176., 66352., 66352., 66475., 66155., 65965., 66187., 66146., 66285., 66409., 66234., 66184., 65967., 66344.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",8,8,0,50,"contract_2/relu_1","contract_2/relu_1","contract_2/relu_1","Elementwise","Elementwise","Elementwise",7239.,7397.9667,22530.,"{22530., 7579., 7435., 7438., 7532., 7504., 7536., 7497., 7457., 7423., 7385., 7352., 7373., 7460., 7528., 7586., 7607., 7553., 7450., 7482., 7399., 7469., 7423., 7353., 7341., 7276., 7251., 7286., 7320., 7418., 7361., 7400., 7420., 7408., 7373., 7349., 7343., 7322., 7295., 7319., 7317., 7324., 7465., 7327., 7300., 7239., 7290., 7354., 7403., 7432.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",9,9,0,50,"contract_2/conv_2","contract_2/conv_2","contract_2/conv_2","Convolution","Convolution","Convolution",123599.,124210.90000000001,287316.,"{287316., 123941., 124912., 123792., 124265., 123702., 124097., 123599., 123955., 123714., 124267., 123731., 124171., 124267., 124499., 124367., 124574., 124319., 125460., 124870., 124671., 124812., 124280., 124221., 124441., 124140., 125870., 124923., 124732., 124227., 124385., 123959., 124355., 124105., 124125., 124093., 124905., 124073., 124052., 124259., 123779., 123858., 124006., 124177., 124686., 123745., 123906., 123816., 124130., 123879.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c5.2xlarge",10,10,0,50,"contract_2/relu_2","contract_2/relu_2","contract_2/relu_2","Elementwise","Elementwise","Elementwise",6980.,7114.733300000001,29689.,"{29689., 7484., 7295., 7290., 7306., 7231., 7305., 7189., 7157., 7102., 7103., 7101., 7041., 7069., 7070., 7236., 7253., 7185., 7098., 7130., 7101., 7098., 7092., 7105., 7206., 7289., 7326., 7316., 7244., 7138., 7105., 7044., 7077., 7117., 7011., 7057., 7010., 7006., 7040., 7079., 7074., 7091., 7059., 7022., 7003., 7043., 7036., 6980., 6984., 6987.}"
