"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",1,6,5,50,"1","6","1-2-3-4-5-6","Elementwise","Convolution","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution",128123.,128486.70000000001,154929.,"{154929., 128677., 128564., 128569., 128436., 128179., 128559., 128315., 128868., 128474., 128594., 128382., 128279., 128656., 128573., 128263., 128607., 128384., 128649., 128476., 128595., 128653., 128219., 128123., 128604., 128250., 128454., 128357., 128604., 128489., 128493., 128320., 128428., 128433., 128222., 128323., 128164., 128518., 128464., 128445., 128465., 128431., 128380., 128421., 128483., 128721., 129021., 128596., 128979., 128830.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",7,12,5,50,"7","12/1/1","7-8-9-10-11-12/1/1","Normalization","Padding","Normalization-Elementwise-Convolution-Normalization-Elementwise-Padding",84412.,84903.53330000001,89324.,"{89324., 84855., 84703., 84837., 84978., 84911., 84883., 84785., 85012., 84965., 85052., 85101., 84890., 85051., 85103., 85034., 85764., 85106., 84875., 85026., 84868., 84971., 85035., 84974., 85098., 84964., 84921., 85070., 85124., 85201., 85051., 85040., 84958., 84763., 84578., 84757., 84664., 84626., 84603., 84853., 84800., 84865., 84589., 84552., 84709., 84772., 84661., 84620., 84472., 84412.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",13,18,5,50,"12/1/2","12/1/7","12/1/2-12/1/3-12/1/4-12/1/5-12/1/6-12/1/7","Convolution","Normalization","Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",70697.,71003.1,80112.,"{80112., 71173., 71001., 71073., 70999., 70812., 70815., 70971., 70845., 71214., 71067., 70882., 70940., 71077., 70910., 71175., 70875., 71444., 71467., 71117., 70938., 71123., 70988., 70843., 70857., 70697., 70779., 70950., 71072., 70890., 70981., 70836., 70874., 70871., 70903., 71263., 71487., 71011., 71510., 71211., 71037., 71241., 71030., 70924., 71188., 71136., 71074., 70903., 70817., 70999.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",19,24,5,50,"12/2","13/1/5","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",36947.,37130.6333,46118.,"{46118., 37386., 37179., 37199., 37115., 37176., 37104., 37090., 37040., 37154., 37027., 37016., 37111., 37271., 37104., 36974., 37092., 37129., 36951., 37128., 37035., 36947., 37111., 37156., 37096., 37211., 37150., 37037., 37001., 37094., 37032., 37142., 37286., 37126., 37075., 37146., 37090., 37302., 37043., 37230., 37153., 37185., 37120., 37006., 37274., 37325., 37170., 37251., 37360., 37472.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",8432.,8641.033300000001,9765.,"{9765., 9353., 9072., 8953., 8919., 8854., 8814., 8779., 8822., 8697., 8618., 8652., 8636., 8713., 9154., 8994., 8906., 8803., 8687., 8713., 8697., 8583., 8693., 8621., 8607., 8540., 8632., 8689., 8596., 8591., 8549., 8535., 8499., 8467., 8599., 8598., 8642., 8584., 8551., 8432., 8663., 8450., 8595., 8545., 8544., 8464., 8523., 8527., 8510., 8521.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",25966.,26062.600000000002,26191.,"{26161., 26099., 26033., 26120., 26064., 26133., 26020., 26191., 26172., 26074., 26111., 26017., 26104., 26066., 26018., 25988., 26091., 26095., 26115., 26046., 26077., 26065., 26080., 26048., 26042., 26035., 25966., 26104., 26037., 26010., 26040., 26047., 26062., 25980., 25968., 26086., 26062., 26079., 26031., 26051., 26091., 25989., 26110., 26041., 26060., 26082., 26117., 25989., 26025., 26065.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",27,32,5,50,"13/2","14/1/5","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",36996.,37158.1667,46208.,"{46208., 37441., 37285., 37241., 37260., 37067., 37103., 37224., 37202., 37189., 37113., 37183., 37118., 37045., 37034., 37142., 37107., 37038., 36996., 37067., 37047., 37327., 37391., 37214., 37077., 37118., 37161., 37170., 37135., 37133., 37162., 37191., 37289., 37131., 37067., 37294., 37191., 37214., 37115., 37077., 37080., 37097., 37328., 37167., 37132., 37225., 37261., 37228., 37148., 37111.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",33,33,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",8430.,8564.800000000001,9749.,"{9749., 9280., 9096., 8911., 8849., 8758., 8709., 8656., 8645., 8560., 8598., 8577., 8677., 8920., 8744., 8618., 8524., 8657., 8552., 8535., 8544., 8529., 8516., 8469., 8557., 8500., 8501., 8498., 8533., 8501., 8540., 8474., 8587., 8481., 8537., 8460., 8451., 8436., 8460., 8518., 8666., 8578., 8430., 8437., 8551., 8540., 8588., 8623., 8615., 8494.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",25997.,26077.300000000003,26217.,"{26217., 26206., 26114., 26109., 26180., 26088., 26157., 26047., 26080., 26080., 26075., 26097., 25997., 26089., 26054., 26082., 26038., 26048., 26061., 26041., 26018., 26093., 26041., 26094., 26081., 26029., 26108., 26084., 26029., 26104., 26046., 26083., 26084., 26085., 26109., 26108., 26034., 26055., 26048., 26083., 26041., 26063., 26100., 26053., 26099., 26050., 26107., 26119., 26002., 26106.}"
"CycleGAN Apple-to-Orange Translation Trained on ImageNet Competition Data","c5.xlarge",35,40,5,50,"14/2","15/1/5","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",37409.,37876.5,38201.,"{38102., 37562., 37572., 37566., 37586., 37567., 37813., 37544., 37409., 37555., 37765., 37700., 37661., 37929., 37903., 37863., 37844., 37689., 37820., 37661., 37556., 37656., 37735., 37651., 37566., 37897., 38117., 37892., 37961., 37956., 38075., 38070., 37972., 37935., 37992., 38055., 38109., 37997., 38120., 38201., 38008., 38057., 38059., 38057., 38042., 37961., 37916., 37936., 38106., 38028.}"
