"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,4,"ReLUConv1/1","PrimaryCaps/2",3,"ReLUConv1/1-ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2","Convolution","Transpose","List-List-List-List",213.,216.13330000000002,337.,106.,106.9333,127.,2298.,2345.7667,4634.,2085.,2129.6333,4297.,2192.,2238.8333000000002,4507.,"{337., 224., 218., 216., 216., 215., 220., 244., 220., 233., 219., 213., 215., 215., 216., 215., 215., 215., 215., 215., 214., 215., 215., 213., 216., 215., 246., 242., 257., 238., 237., 231., 215., 215., 214., 214., 215., 217., 213., 215., 214., 216., 213., 213., 214., 215., 230., 215., 217., 214.}","{127., 110., 119., 108., 107., 107., 107., 107., 107., 106., 106., 106., 107., 107., 107., 107., 107., 107., 107., 107., 106., 106., 107., 107., 107., 107., 106., 106., 107., 107., 107., 106., 106., 107., 107., 107., 107., 106., 107., 117., 107., 107., 107., 107., 107., 106., 107., 107., 106., 107.}","{4634., 4205., 3239., 2487., 2328., 2337., 2300., 2462., 2298., 2339., 2307., 2411., 2384., 2309., 2337., 2334., 2420., 2314., 2307., 2321., 2452., 2328., 2336., 2305., 2467., 2305., 2328., 2317., 2425., 2393., 2307., 2352., 2338., 2413., 2328., 2313., 2320., 2443., 2323., 2341., 2301., 2458., 2310., 2330., 2318., 2412., 2354., 2303., 2318., 2376.}"
2,5,"ReLUConv1/2","PrimaryCaps/3",3,"ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3","Elementwise","Reshape","List-List-List-List",57.,60.2,103.,26.,26.8667,54.,2153.,2196.6667,2407.,2096.,2136.4667,2304.,2127.,2169.8,2353.,"{103., 69., 60., 60., 70., 61., 60., 59., 59., 59., 58., 59., 58., 59., 58., 58., 58., 58., 59., 58., 58., 58., 58., 57., 58., 58., 58., 58., 59., 59., 58., 58., 72., 72., 64., 63., 63., 63., 62., 63., 62., 62., 63., 63., 62., 63., 63., 63., 62., 62.}","{54., 30., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 26., 26., 42., 27., 27., 27., 27., 26., 26., 27., 27., 27., 27., 27., 27., 27., 27., 26., 27., 27., 27., 26., 26., 26., 27., 27., 26., 27., 26., 26., 26., 27., 27., 27., 26., 26., 27., 27.}","{2407., 2243., 2170., 2188., 2251., 2228., 2185., 2171., 2182., 2294., 2190., 2169., 2344., 2280., 2230., 2190., 2161., 2184., 2290., 2191., 2162., 2195., 2253., 2207., 2186., 2163., 2208., 2306., 2178., 2162., 2189., 2220., 2240., 2184., 2170., 2185., 2296., 2189., 2170., 2187., 2194., 2244., 2187., 2171., 2180., 2291., 2188., 2170., 2186., 2153.}"
3,6,"PrimaryCaps/1","PrimaryCaps/4/1",3,"PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3-PrimaryCaps/4/1","Convolution","Elementwise","List-List-List-List",2023.,2065.1,2256.,27.,27.3667,53.,2113.,2150.4,2290.,90.,85.3,34.,2086.,2123.0333,2237.,"{2137., 2133., 2170., 2098., 2056., 2034., 2049., 2190., 2061., 2064., 2054., 2038., 2183., 2030., 2060., 2037., 2053., 2181., 2056., 2033., 2052., 2076., 2128., 2037., 2061., 2056., 2110., 2121., 2034., 2057., 2023., 2175., 2055., 2047., 2026., 2058., 2180., 2070., 2073., 2047., 2030., 2191., 2034., 2055., 2050., 2256., 2113., 2046., 2052., 2036.}","{53., 30., 28., 28., 28., 28., 27., 28., 27., 28., 27., 27., 27., 27., 28., 27., 28., 27., 28., 27., 28., 28., 27., 28., 27., 27., 28., 27., 28., 29., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 28., 27., 27., 27., 27., 27., 28., 27., 27., 28.}","{2257., 2169., 2161., 2134., 2289., 2124., 2145., 2135., 2225., 2196., 2124., 2142., 2123., 2255., 2129., 2151., 2133., 2185., 2206., 2124., 2138., 2113., 2275., 2140., 2150., 2122., 2141., 2265., 2143., 2126., 2145., 2232., 2192., 2143., 2132., 2141., 2290., 2143., 2127., 2176., 2148., 2230., 2137., 2122., 2137., 2242., 2162., 2117., 2131., 2116.}"
4,7,"PrimaryCaps/2","PrimaryCaps/4/2",3,"PrimaryCaps/2-PrimaryCaps/3-PrimaryCaps/4/1-PrimaryCaps/4/2","Transpose","Aggregation","List-List-List-List",106.,106.53330000000001,120.,212.,217.10000000000002,231.,299.,299.6667,324.,193.,193.13330000000002,204.,87.,82.5667,93.,"{120., 109., 108., 108., 107., 106., 106., 106., 106., 117., 107., 107., 107., 108., 106., 106., 107., 106., 107., 107., 106., 106., 107., 107., 106., 106., 107., 106., 107., 106., 106., 120., 108., 107., 106., 107., 106., 106., 107., 106., 106., 107., 106., 106., 107., 106., 106., 107., 106., 107.}","{231., 220., 226., 230., 218., 217., 218., 217., 217., 216., 217., 217., 217., 216., 217., 217., 217., 217., 217., 217., 218., 217., 228., 218., 217., 218., 217., 217., 217., 217., 217., 217., 217., 217., 218., 217., 217., 217., 217., 217., 228., 214., 212., 212., 213., 212., 213., 219., 213., 213.}","{324., 303., 301., 300., 299., 300., 299., 299., 300., 312., 301., 300., 300., 299., 300., 300., 299., 300., 300., 299., 299., 299., 299., 313., 300., 299., 300., 299., 307., 300., 299., 299., 299., 300., 299., 299., 310., 301., 300., 299., 300., 300., 299., 300., 300., 299., 300., 300., 299., 309.}"
5,8,"PrimaryCaps/3","PrimaryCaps/4/3",3,"PrimaryCaps/3-PrimaryCaps/4/1-PrimaryCaps/4/2-PrimaryCaps/4/3","Reshape","Elementwise","List-List-List-List",25.,25.8333,45.,46.,47.066700000000004,69.,243.,244.26670000000001,276.,218.,218.4333,231.,197.,197.20000000000002,207.,"{45., 29., 27., 27., 26., 26., 26., 26., 25., 25., 25., 26., 26., 26., 25., 25., 26., 26., 26., 26., 26., 25., 25., 26., 26., 25., 25., 25., 26., 26., 26., 26., 26., 27., 26., 26., 26., 25., 25., 26., 26., 26., 26., 25., 25., 26., 26., 26., 25., 26.}","{69., 51., 49., 48., 47., 47., 47., 47., 47., 47., 47., 47., 46., 47., 47., 47., 47., 47., 47., 47., 47., 48., 47., 47., 47., 47., 47., 47., 47., 47., 47., 57., 48., 47., 48., 47., 47., 47., 58., 48., 47., 47., 47., 48., 47., 48., 47., 47., 47., 47.}","{276., 249., 246., 244., 245., 244., 258., 245., 245., 244., 244., 244., 245., 243., 244., 244., 244., 251., 248., 244., 244., 244., 255., 245., 243., 244., 244., 244., 251., 245., 244., 244., 244., 244., 245., 244., 244., 244., 254., 245., 244., 244., 245., 244., 244., 244., 244., 243., 244., 244.}"
6,9,"PrimaryCaps/4/1","PrimaryCaps/4/4",3,"PrimaryCaps/4/1-PrimaryCaps/4/2-PrimaryCaps/4/3-PrimaryCaps/4/4","Elementwise","Replicate","List-List-List-List",25.,26.,45.,296.,297.90000000000003,320.,506.,507.5333,540.,481.,481.5333,495.,210.,209.63330000000002,220.,"{45., 29., 27., 26., 26., 27., 26., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26.}","{316., 302., 298., 298., 298., 298., 298., 298., 298., 312., 320., 306., 298., 298., 298., 297., 298., 298., 296., 296., 297., 298., 307., 299., 298., 298., 297., 297., 306., 299., 298., 297., 297., 297., 297., 298., 308., 299., 297., 298., 297., 298., 297., 298., 298., 298., 297., 298., 297., 307.}","{540., 512., 509., 507., 507., 507., 521., 509., 508., 507., 507., 507., 507., 514., 518., 508., 507., 507., 508., 507., 507., 508., 517., 508., 507., 508., 507., 508., 507., 517., 508., 507., 507., 514., 507., 507., 507., 518., 508., 508., 506., 507., 507., 507., 507., 516., 507., 508., 507., 508.}"
7,10,"PrimaryCaps/4/2","PrimaryCaps/4/5",3,"PrimaryCaps/4/2-PrimaryCaps/4/3-PrimaryCaps/4/4-PrimaryCaps/4/5","Aggregation","Threading","List-List-List-List",214.,215.0667,243.,26.,26.933300000000003,47.,"","","","","","","","","","{243., 219., 216., 216., 215., 215., 216., 215., 215., 215., 216., 215., 216., 215., 215., 215., 215., 214., 225., 216., 215., 215., 215., 215., 215., 215., 214., 215., 215., 215., 215., 215., 215., 215., 215., 215., 215., 225., 216., 215., 215., 215., 215., 215., 224., 214., 215., 215., 215., 215.}","{47., 30., 28., 27., 27., 27., 27., 27., 27., 27., 26., 26., 27., 27., 27., 26., 27., 27., 27., 26., 27., 27., 26., 26., 26., 27., 27., 27., 26., 27., 27., 27., 26., 27., 27., 27., 27., 27., 26., 27., 27., 26., 27., 27., 27., 27., 27., 26., 27., 27.}",""
8,11,"PrimaryCaps/4/3","PrimaryPredVects/1",3,"PrimaryCaps/4/3-PrimaryCaps/4/4-PrimaryCaps/4/5-PrimaryPredVects/1","Elementwise","Replicate","List-List-List-List",46.,47.2,66.,44696.,44714.3667,44869.,"","","","","","","","","","{66., 51., 49., 48., 47., 47., 47., 48., 47., 48., 47., 47., 47., 48., 47., 47., 48., 47., 47., 48., 47., 47., 47., 48., 47., 47., 47., 47., 48., 47., 47., 47., 48., 47., 47., 47., 46., 47., 47., 47., 47., 48., 47., 48., 47., 47., 48., 47., 47., 48.}","{44761., 44722., 44724., 44712., 44718., 44717., 44724., 44730., 44707., 44711., 44723., 44712., 44708., 44711., 44745., 44711., 44809., 44714., 44710., 44713., 44705., 44869., 44711., 44713., 44710., 44707., 44719., 44708., 44715., 44707., 44721., 44697., 44719., 44708., 44714., 44735., 44726., 44704., 44843., 44724., 44714., 44696., 44712., 44711., 44718., 44703., 44705., 44714., 44715., 44711.}",""
9,12,"PrimaryCaps/4/4","",3,"PrimaryCaps/4/4-PrimaryCaps/4/5-PrimaryPredVects/1-","Replicate","Missing","List-List-List-Missing",298.,299.2667,317.,"","","","","","","","","","","","","{317., 302., 300., 299., 299., 299., 299., 299., 299., 298., 299., 309., 312., 300., 300., 299., 299., 299., 300., 299., 299., 299., 299., 299., 299., 309., 300., 299., 299., 300., 299., 299., 305., 300., 299., 300., 299., 299., 312., 300., 299., 299., 299., 299., 305., 300., 299., 299., 299., 299.}","",""
10,13,"PrimaryCaps/4/5","PrimaryPredVects/2",3,"PrimaryCaps/4/5-PrimaryPredVects/1--PrimaryPredVects/2","Threading","ConstantArray","List-List-Missing-List",27.,27.8667,48.,"","","","","","","","","","","","","{48., 30., 29., 28., 28., 28., 28., 28., 28., 27., 28., 27., 27., 28., 28., 28., 28., 27., 28., 28., 28., 27., 27., 28., 28., 27., 27., 28., 28., 35., 28., 28., 28., 28., 28., 27., 28., 28., 28., 27., 37., 35., 28., 28., 27., 27., 28., 27., 27., 28.}","",""
