"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",1,11,10,50,"1","11","1-2-3-4-5-6-7-8-9-10-11","Elementwise","Elementwise","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",238341.,238974.06670000002,263916.,"{263916., 239052., 238849., 239271., 238952., 238881., 238786., 239267., 238740., 239031., 238823., 238839., 239236., 238917., 239625., 238694., 238636., 238856., 238841., 239201., 238341., 238605., 238470., 238863., 239455., 238688., 238845., 239019., 239385., 239688., 239044., 238906., 239196., 238988., 238959., 238975., 239090., 239027., 239094., 238806., 239278., 238837., 238792., 239123., 238981., 238787., 238759., 240224., 239726., 239199.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",12,12,0,50,"12/1/1","12/1/1","12/1/1","Padding","Padding","Padding",853.,876.8333,923.,"{923., 878., 881., 860., 872., 854., 853., 914., 890., 871., 867., 917., 879., 854., 899., 874., 918., 884., 878., 893., 911., 879., 876., 872., 860., 884., 877., 875., 875., 902., 880., 874., 859., 879., 869., 860., 877., 860., 910., 879., 860., 875., 914., 861., 874., 878., 860., 904., 879., 875.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",13,13,0,50,"12/1/2","12/1/2","12/1/2","Convolution","Convolution","Convolution",16487.,16718.4,25877.,"{25877., 16844., 16782., 16740., 16801., 16817., 16737., 16649., 16654., 16649., 16623., 16691., 16750., 16604., 16704., 16742., 16707., 16812., 16746., 16629., 16530., 16591., 16661., 16675., 16779., 16608., 16487., 16536., 16638., 17741., 16867., 16863., 16975., 16571., 16715., 16755., 16600., 17547., 16702., 16667., 16663., 17047., 16715., 16860., 16560., 16645., 17063., 17309., 17341., 16613.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",14,14,0,50,"12/1/3","12/1/3","12/1/3","Normalization","Normalization","Normalization",27442.,27474.9,27544.,"{27544., 27494., 27527., 27514., 27539., 27493., 27495., 27485., 27464., 27455., 27482., 27470., 27458., 27490., 27473., 27458., 27458., 27463., 27486., 27444., 27462., 27475., 27484., 27506., 27484., 27453., 27444., 27453., 27479., 27454., 27468., 27459., 27459., 27494., 27479., 27509., 27492., 27474., 27462., 27465., 27457., 27475., 27467., 27490., 27498., 27486., 27453., 27442., 27471., 27504.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",15,15,0,50,"12/1/4","12/1/4","12/1/4","Elementwise","Elementwise","Elementwise",234.,236.5,295.,"{295., 238., 244., 235., 235., 235., 235., 235., 269., 242., 237., 236., 236., 235., 236., 236., 236., 236., 235., 235., 234., 235., 236., 235., 262., 241., 236., 235., 246., 235., 235., 236., 235., 235., 235., 235., 235., 235., 250., 236., 253., 244., 240., 248., 239., 238., 238., 238., 238., 238.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",826.,838.3000000000001,876.,"{875., 835., 831., 829., 864., 849., 859., 846., 835., 863., 830., 826., 829., 829., 871., 837., 833., 833., 871., 832., 850., 835., 832., 874., 833., 832., 832., 847., 876., 866., 835., 834., 872., 840., 828., 828., 827., 861., 829., 828., 827., 842., 861., 829., 847., 836., 857., 829., 828., 828.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",13444.,13536.900000000001,21873.,"{21873., 13578., 13483., 13525., 13613., 13557., 13540., 13544., 13506., 13482., 13511., 13496., 13539., 13548., 13487., 13444., 13515., 13487., 13499., 13479., 13594., 13489., 13860., 13564., 13545., 13562., 13576., 13623., 13525., 13520., 13509., 13488., 13555., 13522., 13945., 13693., 13528., 13552., 13516., 13499., 13541., 13511., 13592., 13514., 13501., 13605., 13549., 13563., 13844., 13786.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",27448.,27469.7333,27560.,"{27560., 27514., 27509., 27509., 27517., 27518., 27503., 27490., 27452., 27469., 27461., 27466., 27454., 27472., 27472., 27466., 27475., 27469., 27476., 27457., 27462., 27463., 27455., 27459., 27469., 27453., 27491., 27481., 27465., 27458., 27457., 27452., 27483., 27464., 27477., 27469., 27462., 27469., 27462., 27507., 27448., 27475., 27473., 27525., 27471., 27448., 27470., 27477., 27456., 27467.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",19,19,0,50,"12/2","12/2","12/2","Total","Total","Total",369.,370.0333,469.,"{469., 375., 372., 370., 370., 370., 370., 369., 369., 412., 370., 369., 369., 393., 373., 372., 370., 370., 370., 406., 371., 370., 369., 387., 370., 369., 370., 369., 371., 370., 389., 370., 369., 369., 369., 370., 370., 369., 369., 380., 402., 370., 370., 369., 370., 370., 370., 370., 369., 369.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c4.xlarge",20,20,0,50,"13/1/1","13/1/1","13/1/1","Padding","Padding","Padding",828.,843.4333,887.,"{851., 832., 868., 850., 829., 835., 829., 885., 833., 829., 829., 876., 833., 829., 828., 829., 863., 833., 829., 887., 829., 882., 852., 862., 848., 862., 833., 848., 832., 832., 880., 850., 847., 852., 852., 863., 834., 848., 848., 860., 832., 847., 854., 832., 863., 835., 845., 831., 831., 867.}"
