"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",1,9,8,50,"56","27","56-50-41-43-45-34-36-38-27","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",60666.,60942.5667,76814.,"{76814., 61215., 60909., 61036., 60910., 60857., 61190., 61005., 60882., 60996., 60928., 60861., 60797., 60666., 60672., 60949., 60872., 60995., 60947., 60987., 61079., 60928., 60848., 60882., 60773., 60869., 60893., 60877., 60988., 60852., 61223., 61060., 61126., 60896., 60764., 60767., 61046., 60792., 60950., 60933., 60809., 61310., 60894., 61039., 61408., 61228., 60988., 60941., 61060., 60959.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",10,18,8,50,"29","4","29-31-20-22-24-12-14-16-4","Convolution","Elementwise","Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise",18551.,18971.7667,19616.,"{19405., 18712., 18702., 18854., 19132., 19340., 19202., 19021., 18638., 18796., 18704., 18555., 18835., 18942., 19149., 19150., 19024., 18697., 18743., 18680., 18551., 18882., 18991., 19109., 19111., 19051., 18658., 18876., 19007., 19012., 19173., 19257., 19426., 19180., 19332., 19469., 19478., 19616., 19476., 18886., 18776., 18869., 18604., 18673., 18901., 19050., 19104., 19089., 18917., 18811.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",19,19,0,50,"6","6","6","Convolution","Convolution","Convolution",820.,839.5,1044.,"{1044., 872., 837., 847., 831., 879., 862., 845., 829., 827., 941., 976., 845., 831., 825., 826., 873., 824., 829., 826., 823., 842., 1041., 875., 824., 825., 836., 825., 867., 826., 848., 831., 823., 934., 986., 830., 825., 826., 825., 845., 865., 827., 822., 820., 844., 1031., 892., 824., 825., 843.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",20,20,0,50,"8","8","8","Normalization","Normalization","Normalization",151.,152.63330000000002,180.,"{173., 155., 153., 152., 152., 153., 152., 153., 153., 152., 177., 157., 158., 157., 157., 157., 157., 165., 152., 163., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 152., 153., 152., 152., 152., 152., 152., 152., 152., 151., 159., 152., 152., 153., 152., 180.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",21,21,0,50,"1","1","1","Elementwise","Elementwise","Elementwise",25.,26.633300000000002,45.,"{45., 28., 26., 26., 26., 26., 26., 25., 27., 28., 28., 27., 28., 36., 28., 27., 27., 28., 27., 27., 27., 27., 27., 39., 26., 26., 26., 26., 26., 27., 27., 26., 26., 27., 27., 26., 27., 27., 27., 26., 26., 26., 26., 27., 26., 27., 27., 27., 26., 26.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",22,22,0,50,"2","2","2","Convolution","Convolution","Convolution",432.,439.5333,535.,"{535., 453., 441., 523., 500., 497., 476., 436., 438., 434., 437., 436., 435., 436., 435., 449., 436., 435., 435., 434., 433., 434., 435., 433., 451., 525., 491., 497., 433., 435., 434., 433., 433., 443., 434., 459., 433., 435., 434., 433., 432., 433., 445., 433., 433., 434., 434., 533., 496., 489.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",23,23,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",19.,20.7667,41.,"{41., 23., 20., 21., 21., 20., 20., 20., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 20., 20., 20., 36., 22., 23., 22., 22., 22., 22., 22., 21., 22., 22., 22., 21., 22., 22., 22., 22., 22., 22.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",24,24,0,50,"5","5","5","Deconvolution","Deconvolution","Deconvolution",966.,1002.0667000000001,1360.,"{1100., 1031., 989., 1028., 1014., 1006., 987., 1206., 1121., 985., 995., 1002., 999., 996., 976., 967., 1016., 1278., 997., 983., 1019., 1006., 981., 966., 1013., 983., 1061., 1360., 1008., 983., 995., 993., 1007., 983., 996., 994., 1253., 1046., 984., 1015., 982., 967., 983., 1013., 982., 1072., 1188., 1022., 1003., 982.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",152.,152.7333,190.,"{172., 155., 153., 153., 152., 153., 153., 153., 152., 152., 169., 152., 177., 158., 158., 157., 190., 160., 158., 169., 152., 153., 152., 152., 152., 152., 152., 152., 152., 153., 152., 152., 152., 152., 163., 154., 153., 152., 152., 153., 153., 152., 152., 153., 152., 152., 152., 152., 153., 152.}"
"Pix2pix Photo-to-Street-Map Translation","g4dn.xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",19.,20.400000000000002,41.,"{41., 23., 21., 21., 20., 21., 21., 21., 21., 21., 21., 21., 21., 20., 20., 20., 20., 20., 20., 20., 21., 21., 21., 20., 20., 20., 20., 20., 20., 21., 20., 20., 20., 20., 20., 20., 19., 21., 21., 20., 20., 20., 20., 21., 20., 20., 20., 33., 39., 21.}"
