"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",1,5,4,50,"contract_1/conv_1","contract_1/cropping","contract_1/conv_1-contract_1/relu_1-contract_1/conv_2-contract_1/relu_2-contract_1/cropping","Convolution","Part","Convolution-Elementwise-Convolution-Elementwise-Part",347432.,350245.7333,694451.,"{694451., 347897., 349232., 350056., 352057., 348579., 348708., 347475., 349121., 352353., 354182., 351311., 349243., 349199., 349459., 353126., 352069., 351665., 350798., 351592., 352273., 353444., 350727., 350927., 351076., 351557., 351811., 352552., 348808., 347935., 348005., 347908., 352279., 353847., 351339., 347966., 347432., 348444., 353157., 349136., 347782., 350339., 348553., 349498., 352017., 347841., 347719., 349064., 348714., 352910.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",6,10,4,50,"contract_1/pooling","contract_2/relu_2","contract_1/pooling-contract_2/conv_1-contract_2/relu_1-contract_2/conv_2-contract_2/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",302280.,303978.7,550515.,"{550515., 302996., 302936., 303255., 307079., 305470., 302280., 302883., 302826., 302648., 304832., 307309., 303366., 303273., 303216., 303429., 303220., 307065., 306333., 303123., 303482., 302783., 303384., 304491., 307632., 305052., 303811., 303402., 303490., 303464., 306432., 306753., 306401., 303678., 303805., 303913., 304544., 306029., 303181., 303907., 303110., 303503., 303687., 306757., 306856., 305733., 302864., 303386., 303045., 303902.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",11,11,0,50,"contract_2/cropping","contract_2/cropping","contract_2/cropping","Part","Part","Part",9180.,9253.9667,28130.,"{28130., 9482., 9369., 9423., 9410., 9459., 9471., 9441., 9346., 9386., 9456., 9469., 9423., 9331., 9286., 9218., 9192., 9197., 9201., 9291., 9183., 9219., 9227., 9202., 9218., 9231., 9235., 9211., 9219., 9195., 9188., 9230., 9180., 9221., 9239., 9265., 9213., 9235., 9247., 9236., 9197., 9246., 9220., 9227., 9208., 9279., 9194., 9250., 9248., 9268.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",12,16,4,50,"contract_2/pooling","contract_3/relu_2","contract_2/pooling-contract_3/conv_1-contract_3/relu_1-contract_3/conv_2-contract_3/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",194998.,196466.1,316822.,"{316822., 195569., 195501., 195419., 195610., 198169., 198735., 198009., 195688., 195352., 195899., 195828., 195633., 195589., 195383., 197282., 199165., 198217., 197173., 194998., 195712., 195296., 195753., 196113., 195991., 197347., 198476., 197184., 195663., 198779., 195805., 195612., 196303., 195993., 195966., 196491., 199102., 198616., 196528., 195891., 196323., 199439., 198254., 196432., 195748., 196446., 198606., 198553., 196530., 195588.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",17,17,0,50,"contract_3/cropping","contract_3/cropping","contract_3/cropping","Part","Part","Part",4327.,4471.3667000000005,4691.,"{4632., 4519., 4451., 4512., 4452., 4516., 4529., 4416., 4439., 4350., 4398., 4513., 4431., 4420., 4377., 4399., 4381., 4366., 4432., 4401., 4530., 4498., 4480., 4536., 4506., 4517., 4464., 4429., 4640., 4517., 4613., 4541., 4450., 4440., 4511., 4425., 4631., 4572., 4493., 4596., 4691., 4532., 4621., 4463., 4418., 4414., 4424., 4357., 4374., 4327.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",18,22,4,50,"contract_3/pooling","contract_4/relu_2","contract_3/pooling-contract_4/conv_1-contract_4/relu_1-contract_4/conv_2-contract_4/relu_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",133582.,134359.96670000002,186396.,"{186396., 133701., 133975., 133892., 133969., 135880., 137225., 137417., 137452., 135591., 134332., 134088., 134054., 134073., 134050., 134335., 134202., 134131., 133905., 134364., 136358., 137420., 136996., 135683., 133878., 133636., 133582., 133657., 133762., 133997., 133870., 134053., 133812., 133968., 134335., 136765., 137852., 136774., 136225., 134265., 134124., 134089., 133696., 133666., 133932., 134529., 133959., 134450., 134260., 134089.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",23,23,0,50,"contract_4/drop","contract_4/drop","contract_4/drop","Dropout","Dropout","Dropout",839.,1247.6333,1594.,"{1547., 1483., 1594., 1479., 1346., 1286., 1227., 1271., 1325., 1305., 1307., 1316., 1296., 1308., 1474., 1385., 1343., 1386., 1423., 1522., 1473., 1313., 1288., 1518., 1516., 1475., 1405., 1430., 1417., 1268., 1158., 1213., 1132., 1072., 1109., 1082., 1108., 979., 878., 839., 894., 847., 913., 907., 873., 918., 958., 973., 880., 911.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",24,24,0,50,"contract_4/cropping","contract_4/cropping","contract_4/cropping","Part","Part","Part",2214.,2307.8,2506.,"{2506., 2399., 2295., 2345., 2295., 2403., 2338., 2248., 2304., 2214., 2271., 2293., 2321., 2353., 2358., 2394., 2294., 2352., 2342., 2244., 2328., 2242., 2318., 2328., 2316., 2325., 2259., 2318., 2225., 2303., 2271., 2265., 2366., 2270., 2321., 2272., 2295., 2281., 2239., 2354., 2278., 2348., 2349., 2261., 2307., 2259., 2317., 2264., 2328., 2347.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",25,29,4,50,"contract_4/pooling","ubase/ramp_2","contract_4/pooling-ubase/conv_1-ubase/ramp_1-ubase/conv_2-ubase/ramp_2","Pooling","Elementwise","Pooling-Convolution-Elementwise-Convolution-Elementwise",91340.,91784.56670000001,93855.,"{92669., 92564., 91910., 91504., 93249., 91566., 91542., 91584., 91555., 91689., 91616., 91743., 91674., 91653., 91731., 91710., 91640., 91748., 92488., 92596., 93855., 92572., 92359., 91837., 91552., 91522., 91435., 91527., 91476., 92267., 91557., 91670., 91452., 91487., 91601., 91538., 92301., 91690., 92608., 91719., 92397., 92540., 92698., 92591., 92081., 91592., 91340., 91352., 91394., 91378.}"
"U-Net Trained on Glioblastoma-Astrocytoma U373 Cells on a Polyacrylamide Substrate Data","c4.2xlarge",30,30,0,50,"ubase/drop","ubase/drop","ubase/drop","Dropout","Dropout","Dropout",305.,306.93330000000003,529.,"{529., 316., 309., 307., 307., 306., 307., 307., 306., 306., 307., 307., 331., 309., 307., 306., 307., 307., 307., 307., 307., 307., 310., 308., 306., 308., 307., 307., 306., 306., 305., 306., 311., 307., 307., 306., 306., 331., 308., 307., 307., 307., 307., 307., 306., 307., 306., 307., 306., 335.}"
