"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",1,3,2,50,"1","3","1-2-3","Elementwise","Convolution","Elementwise-Padding-Convolution",23125.,23381.6667,43494.,"{43494., 23377., 23521., 23353., 23297., 23424., 23396., 23369., 23474., 23385., 23442., 23377., 23387., 23257., 23462., 23518., 23386., 23302., 23511., 23472., 23375., 23331., 23427., 23418., 23270., 23403., 23328., 23373., 23340., 23337., 23496., 23292., 23333., 23310., 23377., 23335., 23434., 23279., 23337., 23383., 23417., 23286., 23342., 23469., 23396., 23436., 23476., 23315., 23432., 23125.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",4,6,2,50,"4","6","4-5-6","Normalization","Convolution","Normalization-Elementwise-Convolution",126661.,127059.2333,136265.,"{136265., 127420., 126853., 127030., 127028., 126888., 127679., 127300., 127014., 126880., 126983., 126786., 127513., 126995., 127440., 127119., 127414., 127039., 127155., 126878., 126907., 126948., 127580., 127282., 127308., 127039., 126979., 126885., 126984., 126881., 127779., 127078., 127153., 126978., 126832., 127331., 127079., 126768., 127088., 126804., 127241., 127001., 127092., 127536., 126851., 126661., 127456., 126713., 126966., 127006.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",7,9,2,50,"7","9","7-8-9","Normalization","Convolution","Normalization-Elementwise-Convolution",62062.,62186.833300000006,66390.,"{66390., 62193., 62197., 62217., 62103., 62162., 62163., 62164., 62536., 62212., 62159., 62190., 62264., 62366., 62249., 62177., 62140., 62184., 62173., 62156., 62338., 62117., 62496., 62134., 62550., 62136., 62157., 62105., 62327., 62300., 62187., 62095., 62062., 62130., 62118., 62290., 62109., 62131., 62144., 62085., 62432., 62307., 62170., 62135., 62218., 62298., 62313., 62143., 62067., 62162.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",10,12,2,50,"10","12/1/1","10-11-12/1/1","Normalization","Padding","Normalization-Elementwise-Padding",28421.,28495.4,28652.,"{28622., 28563., 28651., 28584., 28594., 28519., 28495., 28506., 28507., 28492., 28524., 28488., 28494., 28540., 28652., 28511., 28528., 28553., 28515., 28511., 28487., 28471., 28540., 28511., 28494., 28575., 28638., 28578., 28492., 28448., 28427., 28439., 28426., 28437., 28427., 28457., 28423., 28497., 28484., 28446., 28432., 28422., 28460., 28464., 28421., 28461., 28475., 28428., 28492., 28585.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",13,15,2,50,"12/1/2","12/1/4","12/1/2-12/1/3-12/1/4","Convolution","Elementwise","Convolution-Normalization-Elementwise",43410.,43717.3,52364.,"{52364., 43775., 43812., 43965., 43836., 43827., 44084., 43690., 44448., 43621., 43451., 43410., 44219., 43494., 44692., 43750., 43542., 43916., 43541., 43646., 43745., 43657., 44566., 43721., 43829., 43632., 43616., 43510., 43793., 44423., 43610., 43686., 43854., 43489., 43482., 43881., 43438., 44331., 43646., 43722., 43556., 43499., 44184., 43546., 43644., 45069., 43683., 43497., 43572., 43746.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",16,18,2,50,"12/1/5","12/1/7","12/1/5-12/1/6-12/1/7","Padding","Normalization","Padding-Convolution-Normalization",41786.,52291.6667,76931.,"{41997., 41947., 42134., 41889., 41922., 41882., 76395., 76494., 76931., 76378., 76285., 76523., 76823., 76476., 76384., 76345., 76531., 71592., 64052., 63974., 68994., 76405., 76514., 76450., 76379., 76362., 43321., 42004., 42032., 41923., 41897., 41963., 42044., 41907., 42217., 41894., 41903., 41786., 41910., 41863., 42185., 42165., 42286., 41998., 41957., 41923., 41938., 41921., 41984., 42065.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",19,21,2,50,"12/2","13/1/2","12/2-13/1/1-13/1/2","Total","Convolution","Total-Padding-Convolution",16783.,16954.366700000002,17892.,"{17477., 16870., 16908., 16849., 17212., 16935., 16833., 16858., 17250., 17892., 17063., 16909., 17106., 17314., 16883., 16833., 16834., 17674., 17887., 16928., 17020., 16889., 16941., 17114., 16937., 16881., 16962., 16869., 16938., 16893., 16813., 16783., 16903., 17152., 16861., 16925., 17405., 17277., 17423., 16995., 17050., 16888., 16881., 16856., 16942., 16835., 16874., 16962., 16820., 17152.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",22,24,2,50,"13/1/3","13/1/5","13/1/3-13/1/4-13/1/5","Normalization","Padding","Normalization-Elementwise-Padding",28399.,28514.533300000003,28664.,"{28610., 28580., 28585., 28602., 28664., 28532., 28506., 28426., 28428., 28399., 28483., 28510., 28542., 28514., 28515., 28575., 28492., 28541., 28496., 28518., 28485., 28480., 28505., 28473., 28512., 28548., 28535., 28662., 28493., 28476., 28469., 28496., 28517., 28498., 28503., 28471., 28467., 28470., 28542., 28619., 28553., 28551., 28530., 28479., 28461., 28497., 28488., 28620., 28585., 28616.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",13391.,13677.566700000001,22099.,"{22099., 13511., 13551., 13688., 13536., 13709., 13950., 13991., 13568., 13426., 13462., 13649., 13723., 13709., 13607., 13839., 13660., 13525., 13940., 14143., 14112., 14186., 14288., 14163., 14479., 14454., 14393., 14295., 14267., 13915., 13519., 13472., 13449., 13438., 13410., 13450., 13532., 13411., 13950., 13581., 13506., 13391., 13505., 13463., 13421., 13451., 13551., 13460., 13446., 14270.}"
"CycleGAN Winter-to-Summer Translation","c4.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27391.,27469.7667,27626.,"{27626., 27462., 27468., 27430., 27429., 27417., 27425., 27416., 27394., 27423., 27397., 27406., 27517., 27557., 27511., 27441., 27431., 27431., 27470., 27391., 27418., 27434., 27471., 27566., 27475., 27484., 27506., 27413., 27421., 27463., 27508., 27513., 27543., 27528., 27511., 27559., 27586., 27534., 27547., 27477., 27469., 27458., 27429., 27455., 27477., 27509., 27488., 27556., 27505., 27446.}"
