"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Cezanne Translation","c5.large",1,6,5,50,"1","6","1-2-3-4-5-6","Elementwise","Padding","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",131611.,131814.1667,157914.,"{157914., 131949., 131827., 131871., 131726., 131946., 131907., 131914., 131975., 131921., 131997., 131851., 131919., 131733., 131908., 131834., 131904., 131854., 131933., 131736., 131843., 131935., 131807., 131698., 131723., 131838., 131806., 131708., 131693., 131754., 131753., 131655., 131611., 131853., 131819., 131712., 131639., 131665., 131689., 131813., 131954., 131707., 131953., 131796., 131783., 131725., 131654., 131911., 131797., 131644.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",7,12,5,50,"7","12","7-8-9-10-11-12","Convolution","Normalization","Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",112789.,114761.6,123339.,"{123339., 114431., 114489., 113697., 113752., 116345., 115431., 116629., 115767., 114924., 113324., 114052., 116141., 115673., 115858., 114627., 114721., 115383., 115618., 114799., 116190., 113724., 112789., 114107., 113689., 117666., 116560., 115263., 113366., 113292., 117801., 113881., 114398., 117406., 114540., 115162., 116680., 115342., 114315., 115728., 114865., 114867., 114062., 113891., 113698., 114143., 114089., 114670., 113335., 113516.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",13,18,5,50,"13","14/1/5","13-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5","Elementwise","Padding","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",52045.,52565.200000000004,61977.,"{61977., 52500., 52932., 52269., 52985., 53154., 53388., 52582., 52583., 52785., 52458., 53337., 52277., 52260., 52145., 52045., 52521., 52388., 52727., 52783., 53624., 52693., 52371., 52789., 52885., 52511., 52546., 52423., 52429., 52872., 52593., 53282., 52595., 52738., 52209., 52119., 52457., 52557., 52822., 52164., 52584., 52124., 52299., 52825., 53259., 52572., 52225., 52407., 52106., 52164.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",23838.,24303.6333,33675.,"{33675., 24083., 24125., 24293., 24223., 24147., 24457., 24592., 24159., 23962., 25166., 24290., 24636., 24553., 24898., 24594., 23838., 24252., 24191., 24557., 24821., 24087., 23865., 24315., 24924., 24175., 24015., 24271., 24623., 25566., 24608., 24473., 24795., 24400., 24074., 24129., 24145., 24100., 24388., 24198., 24139., 24267., 24140., 24327., 24049., 24737., 24509., 23990., 24054., 24092.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26133.,26160.1667,26231.,"{26231., 26197., 26160., 26169., 26149., 26164., 26154., 26164., 26151., 26169., 26165., 26173., 26174., 26163., 26142., 26139., 26192., 26148., 26170., 26138., 26140., 26169., 26159., 26138., 26140., 26174., 26144., 26167., 26133., 26176., 26139., 26177., 26150., 26141., 26141., 26166., 26180., 26155., 26176., 26155., 26209., 26145., 26159., 26150., 26161., 26162., 26150., 26180., 26185., 26166.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",21,26,5,50,"14/2","15/1/5","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",52514.,53064.600000000006,54310.,"{54310., 53109., 53075., 52741., 52826., 52546., 53262., 53407., 53531., 53969., 53456., 52767., 52859., 52992., 52691., 52798., 52826., 52782., 52662., 52956., 52514., 52997., 53444., 52802., 52696., 52672., 52887., 53366., 54293., 53020., 52854., 53557., 52777., 53143., 52873., 53344., 53870., 54195., 53922., 53679., 53432., 53368., 53206., 53412., 52770., 52567., 53024., 53273., 53054., 52528.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",27,27,0,50,"15/1/6","15/1/6","15/1/6","Convolution","Convolution","Convolution",23868.,24236.033300000003,25753.,"{25753., 24577., 24386., 24391., 24165., 24764., 24737., 24038., 23932., 24249., 24241., 24162., 23961., 23977., 24413., 24020., 24340., 24375., 24232., 25045., 24457., 24370., 24825., 24596., 24270., 23918., 24098., 24072., 24108., 24201., 24315., 24006., 24057., 24099., 23925., 24101., 24490., 24446., 24418., 24355., 24124., 23967., 24636., 24795., 24165., 23868., 24312., 24061., 24041., 24057.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",28,28,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",26109.,26164.2,26216.,"{26196., 26216., 26149., 26160., 26182., 26168., 26174., 26156., 26129., 26177., 26154., 26160., 26186., 26145., 26181., 26125., 26156., 26175., 26144., 26180., 26126., 26153., 26151., 26109., 26166., 26140., 26166., 26161., 26169., 26138., 26167., 26149., 26191., 26150., 26194., 26145., 26160., 26154., 26170., 26212., 26190., 26179., 26171., 26179., 26167., 26175., 26156., 26162., 26164., 26177.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",29,34,5,50,"15/2","16/1/5","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",52443.,52871.7667,54125.,"{53917., 52684., 52453., 53200., 52953., 52496., 52468., 52690., 53349., 53017., 53185., 52545., 52957., 52838., 53108., 52622., 52832., 52754., 52550., 52717., 53055., 53938., 53482., 53118., 53142., 52663., 52595., 52716., 52848., 52775., 52793., 52796., 52895., 53862., 53315., 53138., 52951., 52796., 52911., 52795., 52626., 52524., 52745., 53210., 52475., 52658., 52443., 54125., 53093., 53089.}"
"CycleGAN Photo-to-Cezanne Translation","c5.large",35,35,0,50,"16/1/6","16/1/6","16/1/6","Convolution","Convolution","Convolution",23650.,24250.300000000003,25863.,"{25578., 23881., 24031., 24793., 24107., 24529., 24029., 24121., 24329., 24136., 23999., 24536., 24998., 25564., 24907., 24146., 24596., 24524., 24914., 23704., 24487., 25863., 24904., 25007., 23966., 23959., 23771., 23650., 23865., 24674., 23936., 24264., 23656., 23711., 24243., 24605., 23661., 24394., 24450., 24689., 25291., 24387., 24144., 23915., 24520., 23934., 23849., 23795., 23978., 23654.}"
