"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",1,3,2,50,"1","3","1-2-3","Elementwise","Convolution","Elementwise-Padding-Convolution",13294.,13616.033300000001,36382.,"{36382., 13911., 13490., 13691., 13704., 13587., 13602., 13688., 13476., 13873., 13402., 13311., 13793., 13600., 13479., 13681., 13308., 13547., 13696., 13585., 13503., 13697., 13882., 14155., 13873., 13744., 13920., 13622., 13790., 13648., 13301., 13628., 13541., 13620., 13867., 13294., 13509., 13672., 13468., 13724., 13407., 13474., 13652., 13506., 13360., 13799., 13597., 13537., 13548., 13593.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",4,6,2,50,"4","6","4-5-6","Normalization","Convolution","Normalization-Elementwise-Convolution",121213.,121383.90000000001,131028.,"{131028., 121438., 121309., 121347., 121457., 121699., 121398., 121384., 121311., 121335., 121214., 121279., 121791., 121451., 121363., 121393., 121285., 121422., 121340., 121597., 121443., 121411., 121361., 121238., 121468., 121322., 121398., 121482., 121422., 121395., 121213., 121242., 121284., 121224., 121697., 121648., 121341., 121496., 121341., 121244., 121319., 121453., 121545., 121326., 121309., 121318., 121273., 121460., 121504., 121733.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",7,9,2,50,"7","9","7-8-9","Normalization","Convolution","Normalization-Elementwise-Convolution",61084.,61335.6667,65899.,"{65899., 61282., 61244., 61389., 61589., 61290., 61170., 61279., 61346., 61218., 61199., 61661., 61444., 61328., 61277., 61249., 61323., 61272., 61589., 61508., 61320., 61206., 61526., 61400., 61317., 61656., 61488., 61219., 61296., 61312., 61246., 61278., 61455., 61606., 61218., 61257., 61371., 61218., 61222., 61508., 61590., 61324., 61313., 61146., 61316., 61084., 61285., 61437., 61598., 61424.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",10,12,2,50,"10","12/1/1","10-11-12/1/1","Normalization","Padding","Normalization-Elementwise-Padding",28939.,29008.9333,29171.,"{29168., 29107., 29078., 29064., 29065., 29038., 29171., 29062., 29010., 29010., 29003., 29015., 29108., 29055., 29013., 28973., 28948., 28988., 28995., 28994., 28993., 29005., 29009., 29020., 29001., 28978., 28948., 29001., 28992., 29011., 29006., 28987., 29107., 28996., 29008., 28969., 28939., 29002., 29019., 28986., 29050., 28999., 29008., 28987., 29011., 28986., 28978., 29082., 29021., 29008.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",13,15,2,50,"12/1/2","12/1/4","12/1/2-12/1/3-12/1/4","Convolution","Elementwise","Convolution-Normalization-Elementwise",37023.,37250.3667,46052.,"{46052., 37884., 37449., 37108., 37209., 37422., 37247., 37160., 37316., 37398., 37122., 37147., 37437., 37230., 37084., 37245., 37403., 37207., 37170., 37226., 37334., 37256., 37096., 37335., 37392., 37108., 37196., 37235., 37305., 37115., 37179., 37294., 37059., 37228., 37305., 37413., 37023., 37289., 37367., 37495., 37180., 37160., 37409., 37059., 37173., 37344., 37317., 37052., 37134., 37331.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",16,18,2,50,"12/1/5","12/1/7","12/1/5-12/1/6-12/1/7","Padding","Normalization","Padding-Convolution-Normalization",37524.,37704.9,38561.,"{38561., 38038., 37765., 37607., 37596., 38101., 38382., 38410., 37855., 37796., 37850., 37961., 37634., 37581., 37591., 37779., 37968., 37578., 37705., 37744., 37723., 37577., 37660., 37789., 37625., 37796., 37547., 37657., 37718., 37655., 37644., 37579., 37722., 37758., 37587., 37563., 37690., 37764., 37695., 37525., 37556., 37820., 37834., 37532., 37629., 37743., 37744., 37524., 37677., 38041.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",19,21,2,50,"12/2","13/1/2","12/2-13/1/1-13/1/2","Total","Convolution","Total-Padding-Convolution",9837.,9971.6667,11057.,"{11057., 10330., 10144., 10153., 9953., 9907., 10015., 10063., 9955., 9932., 9898., 10000., 9907., 10096., 9980., 9977., 10021., 9935., 9866., 10049., 10008., 10148., 9895., 9878., 9849., 9913., 10042., 9979., 9984., 9920., 9926., 9883., 10021., 10069., 9979., 9913., 9885., 9837., 9929., 10012., 10123., 10008., 10029., 9910., 9895., 10024., 10018., 9995., 9958., 9879.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",22,24,2,50,"13/1/3","13/1/5","13/1/3-13/1/4-13/1/5","Normalization","Padding","Normalization-Elementwise-Padding",28938.,29009.9,29248.,"{29210., 29135., 29084., 29059., 29091., 29085., 29133., 29012., 28975., 29008., 29002., 29013., 28980., 28966., 28982., 29020., 28996., 29004., 29019., 29023., 29119., 29044., 29007., 29003., 28967., 29020., 29044., 29029., 29011., 29010., 28998., 28993., 29000., 28969., 28957., 28996., 28994., 29248., 29018., 29000., 29108., 29005., 29019., 28975., 28938., 28995., 29009., 28990., 29000., 29005.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",25,25,0,50,"13/1/6","13/1/6","13/1/6","Convolution","Convolution","Convolution",8369.,8603.3667,17767.,"{17767., 9053., 8932., 8813., 8563., 8695., 8561., 8502., 8739., 8786., 8721., 8523., 8576., 8493., 8481., 8789., 8779., 8672., 8634., 8377., 8431., 8527., 8559., 8719., 8751., 8692., 8369., 8447., 8461., 8589., 8665., 8719., 8760., 8410., 8462., 8400., 8517., 8649., 8704., 8808., 8393., 8490., 8435., 8411., 8732., 8744., 8705., 8397., 8500., 8507.}"
"CycleGAN Winter-to-Summer Translation","g4dn.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",27857.,27926.4333,28112.,"{28112., 28067., 27994., 28005., 28011., 28046., 28017., 27904., 27916., 27996., 27928., 27929., 27857., 27917., 27922., 27909., 27919., 27858., 27929., 27923., 27921., 27936., 27857., 27926., 28017., 27935., 27907., 27919., 27930., 27926., 27921., 27897., 27897., 27943., 27926., 27946., 27884., 27899., 27917., 27920., 27932., 27864., 27926., 27932., 27935., 28044., 27870., 27935., 27936., 27932.}"
