"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",1,7,6,50,"1/1/blockNet4/conv1a/1","1/1/blockNet4/conv2a/2","1/1/blockNet4/conv1a/1-1/1/blockNet4/conv1a/2-1/1/blockNet4/conv1b/1-1/1/blockNet4/conv1b/2-1/1/blockNet4/pool1-1/1/blockNet4/conv2a/1-1/1/blockNet4/conv2a/2","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise",306519.,307669.60000000003,620366.,"{620366., 308210., 308196., 308125., 311081., 308019., 307886., 309663., 307603., 307349., 307391., 306935., 306751., 307161., 307468., 307412., 307520., 307193., 307083., 308165., 307079., 308334., 307771., 307881., 307618., 308135., 311590., 311426., 308020., 307151., 308501., 307278., 306519., 306829., 308055., 307830., 311156., 307964., 307943., 307603., 307066., 307549., 307282., 307316., 307055., 307146., 307975., 308082., 307343., 306980.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",8,14,6,50,"1/1/blockNet4/conv2b/1","1/1/blockNet4/conv3b/2","1/1/blockNet4/conv2b/1-1/1/blockNet4/conv2b/2-1/1/blockNet4/pool2-1/1/blockNet4/conv3a/1-1/1/blockNet4/conv3a/2-1/1/blockNet4/conv3b/1-1/1/blockNet4/conv3b/2","Convolution","Elementwise","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",230144.,231031.56670000002,364255.,"{364255., 231264., 231284., 231899., 230353., 230893., 230931., 230144., 231342., 231304., 231422., 231697., 231149., 231214., 231189., 231602., 230709., 230897., 231182., 231477., 230958., 230582., 231991., 231150., 230915., 230689., 230451., 230971., 231533., 231432., 231031., 230731., 230305., 230727., 230983., 230470., 230981., 230772., 231161., 230916., 231235., 231073., 231156., 230945., 230498., 230706., 230838., 231351., 230712., 231043.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",15,21,6,50,"1/1/blockNet4/conv3c/1","1/1/blockNet4/conv4b/2","1/1/blockNet4/conv3c/1-1/1/blockNet4/conv3c/2-1/1/blockNet4/pool3-1/1/blockNet4/conv4a/1-1/1/blockNet4/conv4a/2-1/1/blockNet4/conv4b/1-1/1/blockNet4/conv4b/2","Convolution","Elementwise","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",155813.,156155.1667,225237.,"{225237., 156023., 156989., 156751., 156858., 156027., 156073., 155964., 156227., 156353., 156092., 156031., 156187., 156230., 156117., 156171., 156044., 155813., 156187., 156292., 156170., 156254., 156987., 156581., 156197., 156028., 156057., 156056., 156441., 156912., 156052., 156226., 156315., 156029., 156097., 156158., 156293., 156149., 156306., 156067., 156354., 156076., 156238., 156036., 156022., 156035., 156167., 156046., 156075., 155896.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",22,28,6,50,"1/1/blockNet4/conv4c/1","1/1/blockNet7/conv5b/2","1/1/blockNet4/conv4c/1-1/1/blockNet4/conv4c/2-1/1/blockNet7/pool4-1/1/blockNet7/conv5a/1-1/1/blockNet7/conv5a/2-1/1/blockNet7/conv5b/1-1/1/blockNet7/conv5b/2","Convolution","Elementwise","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",84371.,84588.26670000001,116526.,"{116526., 84652., 84874., 84509., 84609., 84553., 84878., 84955., 84571., 84588., 84531., 84723., 84648., 84513., 84400., 84554., 84394., 84865., 84545., 84589., 84640., 84564., 84825., 84872., 85651., 84825., 84598., 84611., 84724., 84734., 84473., 84527., 84605., 84410., 84523., 84563., 84688., 84465., 84470., 84602., 84564., 84427., 84736., 84482., 84470., 84371., 84461., 84532., 84569., 84537.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",29,35,6,50,"1/1/blockNet7/conv5c/1","1/1/blockNet7/conv7/2","1/1/blockNet7/conv5c/1-1/1/blockNet7/conv5c/2-1/1/blockNet7/pool5-1/1/blockNet7/conv6/1-1/1/blockNet7/conv6/2-1/1/blockNet7/conv7/1-1/1/blockNet7/conv7/2","Convolution","Elementwise","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise",45073.,45215.6,45730.,"{45730., 45261., 45187., 45091., 45158., 45273., 45368., 45281., 45190., 45142., 45501., 45254., 45182., 45229., 45192., 45082., 45188., 45093., 45238., 45206., 45126., 45111., 45170., 45323., 45093., 45193., 45073., 45247., 45391., 45701., 45653., 45291., 45192., 45181., 45076., 45151., 45120., 45123., 45286., 45280., 45231., 45226., 45276., 45254., 45380., 45211., 45234., 45092., 45229., 45407.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",36,42,6,50,"1/1/blockNet8/conv8a/1","1/1/blockNet9/conv9b/1","1/1/blockNet8/conv8a/1-1/1/blockNet8/conv8a/2-1/1/blockNet8/conv8b/1-1/1/blockNet8/conv8b/2-1/1/blockNet9/conv9a/1-1/1/blockNet9/conv9a/2-1/1/blockNet9/conv9b/1","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",3358.,3419.2000000000003,3887.,"{3887., 3594., 3463., 3385., 3445., 3413., 3375., 3435., 3384., 3389., 3506., 3427., 3425., 3429., 3405., 3368., 3450., 3428., 3380., 3478., 3369., 3358., 3438., 3419., 3417., 3461., 3413., 3386., 3459., 3391., 3421., 3488., 3383., 3430., 3425., 3418., 3428., 3435., 3405., 3475., 3399., 3385., 3453., 3364., 3388., 3501., 3421., 3392., 3449., 3402.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",43,43,0,50,"1/1/blockNet9/conv9b/2","1/1/blockNet9/conv9b/2","1/1/blockNet9/conv9b/2","Elementwise","Elementwise","Elementwise",33.,33.4333,53.,"{53., 36., 34., 34., 34., 34., 33., 33., 36., 34., 33., 34., 34., 34., 33., 33., 33., 33., 33., 34., 33., 33., 33., 33., 33., 34., 34., 33., 33., 33., 34., 34., 33., 33., 33., 33., 33., 34., 33., 33., 34., 34., 34., 34., 33., 33., 34., 34., 33., 33.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",44,44,0,50,"1/1/multiboxLayer4/multiboxClasses/1","1/1/multiboxLayer4/multiboxClasses/1","1/1/multiboxLayer4/multiboxClasses/1","Convolution","Convolution","Convolution",529.,536.5333,662.,"{662., 560., 536., 533., 535., 532., 531., 549., 537., 532., 530., 532., 552., 549., 556., 555., 533., 580., 548., 544., 533., 532., 552., 535., 532., 529., 531., 531., 530., 556., 533., 531., 531., 531., 531., 568., 570., 549., 532., 536., 532., 531., 531., 531., 559., 538., 534., 535., 535., 535.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",45,45,0,50,"1/1/multiboxLayer4/multiboxClasses/2","1/1/multiboxLayer4/multiboxClasses/2","1/1/multiboxLayer4/multiboxClasses/2","Reshape","Reshape","Reshape",33.,33.4,70.,"{70., 38., 35., 34., 51., 36., 34., 34., 34., 33., 33., 33., 33., 33., 33., 33., 33., 33., 33., 33., 34., 34., 33., 33., 33., 33., 33., 33., 34., 34., 33., 33., 34., 34., 34., 34., 33., 33., 33., 33., 34., 33., 33., 34., 34., 33., 34., 34., 33., 33.}"
"SSD-VGG-512 Trained on MS-COCO Data","c5.2xlarge",46,46,0,50,"1/1/multiboxLayer4/multiboxClasses/3","1/1/multiboxLayer4/multiboxClasses/3","1/1/multiboxLayer4/multiboxClasses/3","Softmax","Softmax","Softmax",538.,540.0333,570.,"{570., 551., 541., 560., 542., 540., 540., 540., 540., 539., 555., 541., 539., 539., 539., 540., 539., 539., 553., 540., 547., 540., 539., 539., 540., 553., 541., 539., 539., 540., 539., 539., 553., 540., 539., 539., 539., 539., 546., 553., 541., 539., 539., 539., 538., 540., 539., 553., 541., 539.}"
