"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,5,"1","5",4,"1-2-3-4-5","Convolution","Elementwise","List-List-List-List-List",55.,58.7667,110.,24.,25.,44.,131.,133.0667,194.,76.,74.3,84.,107.,108.06670000000001,150.,"{110., 63., 58., 56., 57., 56., 56., 57., 56., 56., 56., 56., 56., 56., 55., 56., 57., 56., 56., 57., 56., 56., 84., 73., 64., 64., 63., 64., 64., 63., 64., 63., 64., 63., 63., 63., 63., 63., 64., 70., 56., 57., 56., 56., 56., 57., 57., 57., 57., 57.}","{44., 28., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 25., 38., 26., 25., 25., 25., 24., 24., 25., 24., 24., 25., 25., 25., 25., 25., 24., 24., 24., 25., 25., 25., 25., 25.}","{194., 141., 135., 136., 135., 133., 133., 132., 132., 133., 132., 134., 134., 133., 133., 132., 133., 132., 132., 147., 134., 134., 133., 133., 134., 133., 133., 133., 132., 134., 132., 133., 132., 132., 134., 134., 133., 133., 133., 132., 133., 134., 133., 132., 133., 131., 133., 132., 145., 133.}"
2,6,"2","6",4,"2-3-4-5-6","Elementwise","Pooling","List-List-List-List-List",25.,26.0667,46.,34.,35.7667,65.,108.,111.4,167.,83.,85.33330000000001,121.,74.,75.6333,102.,"{46., 30., 27., 27., 26., 26., 26., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 27., 26., 26., 26., 26., 27., 26., 26., 26., 26., 27., 26., 26., 26., 27., 26., 26., 26., 25., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26.}","{48., 37., 35., 35., 34., 35., 35., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 35., 65., 45., 38., 38., 38., 38., 38., 37., 37., 37., 39., 38., 38., 37., 38., 38., 37., 38., 39., 38., 37., 37.}","{167., 119., 112., 111., 110., 111., 109., 109., 110., 109., 124., 110., 110., 111., 109., 109., 109., 110., 109., 110., 110., 109., 110., 143., 125., 123., 124., 124., 124., 124., 124., 133., 110., 111., 110., 109., 110., 110., 109., 108., 109., 109., 108., 109., 125., 113., 111., 111., 110., 110.}"
3,7,"3","7",4,"3-4-5-6-7","Pooling","Flatten","List-List-List-List-List",57.,57.7,77.,28.,29.,44.,166.,168.,228.,109.,110.30000000000001,151.,138.,139.,184.,"{77., 59., 58., 59., 58., 58., 58., 58., 57., 58., 57., 57., 57., 58., 57., 58., 58., 57., 58., 58., 58., 58., 58., 58., 57., 57., 58., 57., 57., 58., 57., 57., 58., 57., 57., 58., 58., 58., 58., 57., 69., 59., 57., 58., 57., 57., 58., 58., 58., 57.}","{44., 30., 30., 30., 29., 29., 30., 29., 28., 29., 29., 29., 29., 29., 28., 29., 29., 28., 28., 29., 29., 30., 29., 29., 29., 28., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 28., 29., 29., 28., 28., 28., 29., 29., 29., 29.}","{228., 171., 168., 169., 167., 169., 168., 168., 170., 166., 170., 168., 167., 167., 167., 172., 168., 167., 167., 170., 167., 167., 168., 168., 167., 168., 169., 167., 168., 167., 167., 167., 168., 169., 166., 168., 213., 187., 191., 186., 186., 193., 167., 169., 168., 166., 167., 169., 167., 167.}"
4,8,"4","8",4,"4-5-6-7-8","Convolution","Linear","List-List-List-List-List",120.,121.4333,159.,46.,47.2333,86.,155.,158.13330000000002,239.,35.,36.7,80.,109.,110.9,153.,"{159., 125., 124., 122., 122., 123., 122., 122., 121., 124., 124., 122., 120., 120., 121., 121., 122., 121., 120., 121., 122., 122., 121., 122., 121., 121., 120., 121., 122., 120., 121., 122., 122., 121., 121., 121., 120., 123., 120., 120., 121., 122., 127., 123., 121., 120., 121., 120., 121., 122.}","{86., 50., 47., 47., 48., 48., 47., 48., 48., 47., 48., 47., 48., 47., 47., 47., 48., 47., 47., 47., 48., 47., 47., 47., 47., 48., 47., 47., 48., 47., 47., 47., 47., 47., 47., 47., 47., 48., 47., 48., 48., 47., 47., 47., 48., 47., 47., 47., 46., 70.}","{239., 174., 161., 158., 157., 157., 159., 157., 158., 156., 157., 158., 158., 173., 159., 157., 158., 158., 155., 159., 156., 157., 182., 175., 174., 173., 172., 174., 187., 157., 157., 158., 156., 157., 157., 158., 156., 168., 159., 157., 157., 155., 158., 158., 157., 157., 156., 158., 156., 157.}"
5,9,"5","9",4,"5-6-7-8-9","Elementwise","Elementwise","List-List-List-List-List",20.,26.3333,45.,19.,20.,42.,58.,58.8333,108.,38.,32.5,63.,39.,38.8333,66.,"{45., 23., 29., 22., 20., 29., 22., 21., 22., 28., 29., 22., 29., 21., 29., 22., 28., 28., 28., 22., 28., 29., 29., 28., 29., 28., 35., 22., 28., 22., 28., 29., 28., 29., 29., 22., 22., 27., 29., 28., 28., 22., 28., 22., 21., 28., 22., 28., 21., 28.}","{42., 23., 21., 21., 20., 20., 20., 20., 20., 20., 20., 20., 19., 19., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 19., 20., 20., 20., 19., 20., 19., 26., 20., 20., 20., 21., 20., 19., 20., 20., 20., 20., 20., 29., 20., 20., 19., 20., 20.}","{108., 62., 62., 60., 58., 59., 59., 59., 58., 59., 58., 60., 58., 58., 58., 59., 59., 59., 59., 58., 59., 58., 59., 59., 58., 59., 59., 59., 59., 59., 59., 59., 59., 58., 59., 59., 60., 58., 59., 59., 59., 60., 58., 58., 59., 58., 59., 59., 59., 58.}"
6,10,"6","10",4,"6-7-8-9-10","Pooling","Linear","List-List-List-List-List",35.,38.7667,51.,24.,25.966700000000003,43.,63.,66.36670000000001,126.,28.,27.6,75.,39.,40.4,83.,"{47., 38., 35., 35., 35., 36., 36., 35., 35., 36., 36., 36., 36., 35., 35., 51., 40., 39., 40., 40., 48., 45., 44., 40., 39., 40., 39., 39., 39., 39., 39., 39., 39., 39., 39., 40., 39., 39., 40., 39., 39., 39., 39., 39., 39., 39., 39., 39., 39., 40.}","{43., 28., 25., 25., 24., 24., 24., 35., 27., 27., 28., 41., 28., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 27., 27., 28., 27., 28., 27., 27., 38., 36., 24., 25., 24., 24., 24., 24., 24., 24., 24., 24., 33., 24., 24., 24., 24., 24., 24., 24.}","{126., 71., 68., 66., 67., 66., 66., 67., 65., 65., 67., 65., 66., 66., 66., 66., 66., 66., 67., 67., 64., 67., 66., 66., 65., 67., 65., 67., 66., 65., 67., 65., 77., 74., 68., 69., 68., 69., 70., 118., 77., 66., 65., 66., 63., 65., 65., 63., 76., 65.}"
7,11,"7","11",4,"7-8-9-10-11","Flatten","Softmax","List-List-List-List-List",22.,22.5667,32.,22.,23.4667,43.,54.,56.2,94.,32.,33.6333,62.,32.,32.7333,51.,"{32., 26., 23., 23., 22., 23., 23., 22., 23., 23., 22., 23., 22., 22., 23., 22., 22., 23., 22., 23., 22., 23., 22., 22., 23., 22., 23., 23., 23., 22., 23., 22., 23., 22., 23., 23., 22., 22., 22., 23., 22., 23., 22., 23., 22., 23., 22., 23., 22., 23.}","{33., 25., 23., 23., 23., 23., 22., 22., 23., 23., 22., 23., 22., 23., 31., 23., 22., 22., 23., 22., 22., 22., 22., 23., 22., 23., 22., 22., 23., 23., 23., 22., 23., 22., 23., 22., 43., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 27., 26., 26.}","{94., 65., 59., 56., 56., 57., 56., 57., 56., 57., 54., 56., 55., 54., 55., 55., 57., 57., 54., 56., 57., 56., 56., 56., 57., 55., 56., 57., 58., 56., 55., 57., 55., 55., 57., 54., 56., 55., 56., 57., 55., 55., 56., 56., 56., 72., 57., 58., 58., 58.}"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
