"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",1,1,0,50,"1","1","1","Convolution","Convolution","Convolution",28091.,28253.4333,60024.,"{60024., 28321., 28308., 28959., 28509., 28217., 28250., 28159., 28346., 28229., 28268., 28577., 28308., 28234., 28319., 28252., 28199., 28226., 28212., 28207., 28206., 28255., 28343., 28269., 28264., 28190., 28180., 28280., 28328., 28480., 28221., 28195., 28122., 28245., 28387., 28282., 28263., 28091., 28276., 28261., 28236., 28186., 28277., 28279., 28214., 28177., 28230., 28146., 28231., 28284.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",2,2,0,50,"2","2","2","BatchNormalization","BatchNormalization","BatchNormalization",6481.,6555.5,22528.,"{22528., 6757., 6688., 6609., 6607., 6611., 6548., 6572., 6577., 6536., 6527., 6559., 6491., 6535., 6496., 6494., 6565., 6502., 6500., 6530., 6521., 6576., 6519., 6512., 6518., 6525., 6557., 6542., 6498., 6502., 6493., 6539., 6556., 6611., 6650., 6577., 6568., 6532., 6481., 6550., 6644., 6693., 6657., 6598., 6572., 6529., 6597., 6616., 6558., 6566.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",3,3,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",6348.,6434.5333,22158.,"{22158., 6641., 6645., 6493., 6526., 6506., 6537., 6475., 6451., 6489., 6446., 6429., 6463., 6484., 6415., 6393., 6414., 6474., 6435., 6427., 6397., 6348., 6414., 6427., 6464., 6453., 6384., 6435., 6442., 6473., 6445., 6411., 6398., 6380., 6387., 6415., 6350., 6421., 6370., 6578., 6416., 6450., 6393., 6387., 6388., 6453., 6437., 6400., 6428., 6428.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",4,4,0,50,"4/1/1/1","4/1/1/1","4/1/1/1","Pooling","Pooling","Pooling",14874.,15087.2667,20094.,"{20094., 15354., 15289., 15189., 15206., 15396., 15332., 15294., 15210., 15177., 15162., 15136., 15082., 15091., 15058., 15070., 15089., 15073., 15134., 15310., 15185., 15160., 15131., 15060., 15076., 15088., 15053., 15100., 15117., 15053., 15033., 14994., 14972., 15002., 14904., 14925., 14874., 15076., 15072., 15050., 14967., 15010., 14930., 15046., 15121., 15066., 15002., 15018., 15031., 15007.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",5,5,0,50,"4/1/1/2/1/1","4/1/1/2/1/1","4/1/1/2/1/1","Convolution","Convolution","Convolution",995.,1016.4000000000001,1744.,"{1744., 1407., 1140., 1046., 1017., 1096., 1011., 1005., 1003., 1055., 1067., 1004., 1015., 1025., 1004., 1055., 1005., 1023., 1002., 1004., 999., 1019., 1027., 1006., 1003., 1080., 1003., 999., 1033., 1021., 1001., 995., 1022., 1006., 1043., 1003., 1014., 1001., 1031., 998., 1014., 1003., 1050., 1037., 1052., 1002., 998., 995., 1043., 996.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",6,6,0,50,"4/1/1/2/1/2","4/1/1/2/1/2","4/1/1/2/1/2","BatchNormalization","BatchNormalization","BatchNormalization",251.,254.,350.,"{350., 324., 261., 254., 255., 255., 267., 255., 255., 253., 254., 254., 254., 262., 254., 253., 272., 256., 254., 255., 255., 254., 254., 254., 254., 254., 255., 254., 253., 255., 254., 298., 253., 253., 252., 252., 253., 252., 252., 252., 253., 253., 251., 267., 252., 252., 268., 254., 252., 252.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",7,7,0,50,"4/1/1/2/1/3","4/1/1/2/1/3","4/1/1/2/1/3","Elementwise","Elementwise","Elementwise",244.,247.26670000000001,294.,"{294., 258., 250., 249., 249., 248., 248., 248., 263., 247., 248., 248., 249., 249., 248., 249., 248., 248., 248., 248., 248., 248., 247., 248., 284., 248., 247., 248., 247., 247., 245., 245., 245., 244., 245., 245., 256., 245., 274., 258., 245., 245., 244., 244., 245., 245., 246., 245., 245., 245.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",8,8,0,50,"4/1/1/2/2/1","4/1/1/2/2/1","4/1/1/2/2/1","Convolution","Convolution","Convolution",992.,1020.8667,1556.,"{1556., 1304., 1108., 1023., 1010., 1004., 1028., 1065., 1042., 1003., 1028., 1064., 1019., 1020., 1052., 1067., 1031., 1084., 1064., 1011., 1017., 1038., 1001., 997., 996., 1012., 1053., 1030., 1000., 1015., 1015., 1002., 998., 1035., 995., 993., 1052., 1051., 994., 995., 1010., 1012., 993., 992., 996., 997., 1045., 1027., 1050., 995.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",9,9,0,50,"4/1/1/2/2/2","4/1/1/2/2/2","4/1/1/2/2/2","BatchNormalization","BatchNormalization","BatchNormalization",277.,278.9667,416.,"{416., 357., 313., 281., 335., 281., 280., 281., 279., 279., 279., 280., 279., 278., 279., 280., 279., 279., 294., 280., 280., 279., 281., 316., 279., 278., 278., 305., 278., 278., 277., 297., 277., 278., 277., 277., 289., 278., 278., 277., 278., 277., 277., 277., 278., 292., 277., 277., 277., 277.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",10,10,0,50,"4/1/1/2/2/3","4/1/1/2/2/3","4/1/1/2/2/3","Elementwise","Elementwise","Elementwise",255.,258.2667,306.,"{306., 270., 263., 261., 259., 259., 259., 279., 261., 259., 261., 260., 259., 298., 259., 260., 259., 283., 260., 260., 258., 272., 260., 260., 257., 255., 270., 257., 255., 257., 256., 257., 255., 256., 257., 256., 276., 258., 257., 256., 257., 256., 256., 256., 256., 257., 256., 256., 257., 256.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",11,11,0,50,"4/1/1/2/2/4","4/1/1/2/2/4","4/1/1/2/2/4","Convolution","Convolution","Convolution",6734.,6877.4667,17543.,"{17543., 7094., 7038., 7010., 7008., 7020., 6922., 6926., 6823., 6923., 6913., 6785., 6813., 6988., 6798., 6820., 6955., 6823., 6790., 6901., 6892., 6789., 6845., 6880., 6989., 6793., 6839., 6786., 6849., 7009., 6949., 6889., 6953., 6938., 6899., 6914., 6927., 6834., 6883., 6918., 6858., 6752., 6908., 6734., 6780., 6846., 6757., 6786., 6848., 6784.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",12,12,0,50,"4/1/1/2/2/5","4/1/1/2/2/5","4/1/1/2/2/5","BatchNormalization","BatchNormalization","BatchNormalization",276.,279.36670000000004,393.,"{393., 295., 283., 280., 302., 281., 280., 280., 281., 280., 280., 280., 280., 280., 281., 279., 279., 280., 302., 280., 280., 278., 280., 280., 279., 280., 279., 278., 277., 291., 278., 342., 280., 279., 277., 277., 278., 277., 277., 278., 279., 280., 278., 278., 278., 292., 278., 277., 277., 276.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",13,13,0,50,"4/1/1/2/2/6","4/1/1/2/2/6","4/1/1/2/2/6","Elementwise","Elementwise","Elementwise",249.,251.7333,309.,"{302., 265., 256., 256., 254., 254., 254., 274., 253., 253., 252., 252., 251., 253., 253., 253., 253., 252., 253., 253., 253., 252., 309., 253., 253., 252., 250., 250., 250., 250., 251., 250., 250., 250., 250., 250., 251., 264., 251., 250., 249., 250., 251., 250., 251., 250., 251., 250., 251., 251.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",14,14,0,50,"4/1/1/2/3/1","4/1/1/2/3/1","4/1/1/2/3/1","Convolution","Convolution","Convolution",1012.,1028.4,1528.,"{1528., 1267., 1103., 1035., 1027., 1042., 1120., 1025., 1019., 1045., 1021., 1016., 1015., 1036., 1019., 1097., 1022., 1039., 1024., 1025., 1021., 1039., 1026., 1053., 1037., 1133., 1021., 1017., 1035., 1020., 1059., 1022., 1070., 1035., 1024., 1021., 1038., 1018., 1016., 1016., 1037., 1016., 1016., 1029., 1090., 1019., 1012., 1031., 1018., 1015.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",15,15,0,50,"4/1/1/2/3/2","4/1/1/2/3/2","4/1/1/2/3/2","BatchNormalization","BatchNormalization","BatchNormalization",259.,261.5,319.,"{319., 276., 282., 264., 262., 263., 262., 263., 262., 263., 262., 261., 262., 262., 263., 263., 261., 281., 264., 314., 265., 262., 262., 262., 262., 261., 259., 261., 260., 260., 260., 280., 261., 260., 259., 259., 259., 260., 260., 260., 260., 260., 260., 260., 261., 259., 272., 262., 261., 261.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",16,16,0,50,"4/1/1/2/3/3","4/1/1/2/3/3","4/1/1/2/3/3","Elementwise","Elementwise","Elementwise",248.,250.3333,300.,"{287., 261., 255., 251., 252., 250., 262., 250., 251., 268., 254., 300., 252., 251., 251., 251., 251., 251., 251., 250., 251., 251., 251., 251., 271., 250., 249., 248., 249., 248., 249., 248., 249., 248., 273., 250., 248., 249., 248., 261., 249., 249., 249., 248., 260., 248., 249., 249., 248., 249.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",17,17,0,50,"4/1/1/2/3/4","4/1/1/2/3/4","4/1/1/2/3/4","Convolution","Convolution","Convolution",20218.,20563.9333,48239.,"{48239., 20257., 20372., 20328., 20267., 20218., 20609., 20359., 20266., 20320., 20283., 20461., 20362., 20421., 20410., 20535., 20884., 20508., 20578., 20654., 20578., 20642., 20504., 20400., 20464., 20518., 20489., 20647., 20746., 20501., 20571., 20592., 20528., 21080., 20634., 20491., 20545., 20909., 20675., 20882., 20867., 20815., 20746., 20771., 20532., 20652., 20729., 20753., 20666., 20638.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",18,18,0,50,"4/1/1/2/3/5","4/1/1/2/3/5","4/1/1/2/3/5","BatchNormalization","BatchNormalization","BatchNormalization",239.,244.3667,455.,"{381., 299., 250., 265., 257., 249., 242., 241., 252., 243., 243., 243., 244., 244., 243., 243., 243., 243., 243., 254., 253., 242., 240., 240., 240., 240., 240., 240., 241., 240., 240., 240., 240., 241., 239., 252., 240., 241., 240., 406., 440., 444., 455., 449., 445., 454., 239., 242., 241., 241.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",19,19,0,50,"4/1/1/2/3/6","4/1/1/2/3/6","4/1/1/2/3/6","Elementwise","Elementwise","Elementwise",230.,236.9667,426.,"{332., 285., 252., 238., 234., 233., 232., 261., 233., 232., 234., 233., 233., 232., 233., 233., 233., 233., 234., 233., 231., 230., 230., 240., 230., 230., 230., 231., 231., 230., 230., 230., 230., 231., 233., 235., 231., 244., 231., 231., 240., 345., 425., 426., 425., 423., 423., 425., 425., 424.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 Data","c5.xlarge",20,20,0,50,"4/1/1/2/4/1","4/1/1/2/4/1","4/1/1/2/4/1","Convolution","Convolution","Convolution",1043.,1069.1333,3053.,"{3053., 1397., 1207., 1119., 1104., 1211., 1124., 1089., 1084., 1100., 1083., 1062., 1056., 1089., 1164., 1067., 1054., 1074., 1049., 1055., 1083., 1050., 1046., 1092., 1077., 1058., 1050., 1051., 1080., 1052., 1052., 1051., 1095., 1123., 1051., 1070., 1094., 1047., 1046., 1063., 1046., 1044., 1152., 1069., 1045., 1049., 1074., 1045., 1043., 1045.}"
