"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",1,8,7,50,"1","8","1-2-3-4-5-6-7-8","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",179056.,179558.7667,213297.,"{213297., 179500., 179537., 179602., 179632., 179635., 179487., 179422., 179451., 179644., 179557., 179317., 179225., 179562., 179319., 179694., 179663., 179183., 179660., 179795., 179891., 179342., 179618., 179399., 179575., 179474., 179324., 179056., 179481., 179648., 179617., 179484., 179546., 179727., 179811., 179657., 179328., 179442., 179658., 179715., 179729., 179735., 179882., 179329., 179682., 179680., 179536., 179559., 179314., 179355.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",9,16,7,50,"9","14/1/3","9-10-11-12-13-14/1/1-14/1/2-14/1/3","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",65674.,66068.6333,89259.,"{89259., 66110., 66251., 66116., 66200., 65984., 66133., 66178., 65963., 65913., 66125., 66096., 66107., 66039., 66080., 66067., 65866., 66008., 66022., 66032., 66109., 66008., 66263., 66195., 65860., 65885., 65949., 66267., 66260., 65826., 65801., 65968., 66119., 66177., 66105., 65847., 65674., 65900., 66278., 66079., 66065., 66021., 66060., 66003., 65977., 65914., 66218., 66199., 66249., 66164.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",17,17,0,50,"14/1/4","14/1/4","14/1/4","Elementwise","Elementwise","Elementwise",215.,215.8667,398.,"{398., 298., 227., 217., 215., 215., 215., 215., 216., 215., 224., 216., 216., 240., 216., 215., 226., 215., 220., 216., 216., 215., 216., 217., 216., 215., 216., 216., 215., 215., 216., 233., 216., 215., 215., 218., 215., 215., 215., 217., 216., 215., 216., 216., 215., 216., 216., 216., 238., 217.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",18,18,0,50,"14/1/5","14/1/5","14/1/5","Padding","Padding","Padding",679.,988.6333000000001,1425.,"{1425., 1348., 1328., 1333., 1332., 1354., 1332., 1348., 1362., 1333., 1329., 1360., 1330., 1329., 1359., 1337., 1330., 1353., 1334., 1330., 1356., 1330., 1343., 1246., 708., 688., 687., 685., 702., 711., 681., 685., 681., 681., 709., 694., 681., 680., 680., 680., 707., 682., 696., 682., 681., 680., 708., 681., 679., 679.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",6577.,6797.700000000001,15397.,"{15397., 6801., 6705., 6656., 6714., 6606., 6625., 6585., 6577., 6646., 6621., 6739., 6779., 6834., 12209., 12456., 12654., 12764., 12689., 12589., 9073., 7058., 7010., 7100., 7076., 7097., 6889., 6967., 7017., 6777., 6775., 6788., 6657., 6703., 6738., 6761., 6793., 6819., 6742., 6793., 6720., 6721., 6713., 6658., 6686., 6718., 6613., 6725., 6712., 6599.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26079.,26146.066700000003,26221.,"{26194., 26221., 26167., 26158., 26141., 26180., 26147., 26167., 26150., 26200., 26176., 26150., 26154., 26136., 26147., 26122., 26115., 26176., 26118., 26173., 26149., 26129., 26130., 26161., 26156., 26102., 26083., 26159., 26149., 26165., 26100., 26122., 26114., 26152., 26079., 26139., 26109., 26127., 26164., 26134., 26154., 26160., 26132., 26144., 26145., 26139., 26157., 26088., 26175., 26132.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",21,28,7,50,"14/2","15/1/7","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6-15/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68266.,68458.3,76862.,"{76862., 68523., 68508., 68554., 68523., 68415., 68271., 68324., 68428., 68620., 68337., 68266., 68403., 68393., 68408., 68360., 68409., 68461., 68364., 68392., 68428., 68487., 68332., 68474., 68568., 68526., 68356., 68328., 68599., 68557., 68672., 68497., 68570., 68523., 68319., 68277., 68592., 68294., 68310., 68527., 68471., 68561., 68466., 68622., 68464., 68394., 68422., 68455., 68747., 68712.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",29,36,7,50,"15/2","16/1/7","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5-16/1/6-16/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68037.,68351.,91609.,"{91609., 68598., 68472., 68126., 68207., 68270., 68471., 68436., 68376., 68281., 68213., 68511., 68484., 68505., 68402., 68386., 68364., 68406., 68631., 68422., 68499., 68518., 68201., 68294., 68301., 68289., 68293., 68445., 68350., 68193., 68244., 68285., 68415., 68218., 68347., 68291., 68363., 68503., 68424., 68184., 68037., 68321., 68313., 68380., 68198., 68222., 68288., 68346., 68306., 68421.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",37,44,7,50,"16/2","17/1/7","16/2-17/1/1-17/1/2-17/1/3-17/1/4-17/1/5-17/1/6-17/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67910.,68394.6333,81332.,"{81332., 67910., 68372., 68109., 68263., 68258., 68264., 68407., 68072., 68380., 68188., 68150., 68289., 68035., 68215., 68286., 68181., 68314., 68053., 68236., 68150., 68146., 68133., 68374., 68352., 68424., 68589., 68593., 68722., 68690., 68557., 68579., 68504., 68211., 68689., 68649., 68608., 68628., 68649., 68460., 68526., 68550., 68767., 68768., 68627., 68600., 68322., 68395., 68308., 68415.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",45,52,7,50,"17/2","18/1/7","17/2-18/1/1-18/1/2-18/1/3-18/1/4-18/1/5-18/1/6-18/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68084.,68475.90000000001,82181.,"{82181., 68302., 68585., 68627., 68377., 68284., 68398., 68487., 68528., 68311., 68543., 68656., 68601., 68498., 68578., 68710., 68618., 68438., 68502., 68448., 68518., 68585., 68682., 68593., 68570., 68519., 68635., 68536., 68729., 68579., 68517., 68634., 68358., 68349., 68142., 68345., 68312., 68209., 68357., 68446., 68522., 68474., 68296., 68084., 68224., 68554., 68262., 68450., 68297., 68300.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",53,60,7,50,"18/2","19/1/7","18/2-19/1/1-19/1/2-19/1/3-19/1/4-19/1/5-19/1/6-19/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68081.,68477.3,85892.,"{85892., 68510., 68519., 68313., 68308., 68152., 68191., 68698., 68598., 68522., 68457., 68337., 68282., 68546., 68447., 68241., 68287., 68091., 68081., 68521., 69480., 68314., 68493., 68552., 68207., 68372., 68440., 68264., 68304., 68247., 68775., 68571., 68698., 68769., 68610., 68611., 68666., 68473., 68464., 68748., 68457., 68541., 68638., 68643., 68458., 68497., 68514., 68480., 68596., 68494.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",61,68,7,50,"19/2","20/1/7","19/2-20/1/1-20/1/2-20/1/3-20/1/4-20/1/5-20/1/6-20/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68095.,68476.9667,81769.,"{81769., 68713., 68793., 68863., 68695., 68526., 68544., 68323., 68551., 68593., 68540., 68459., 68438., 68524., 68410., 68637., 68412., 68577., 68380., 68724., 68556., 68545., 68584., 68661., 68507., 68382., 68427., 68488., 68348., 68589., 68546., 68354., 68406., 68571., 68559., 68424., 68583., 68274., 68436., 68208., 68296., 68172., 68319., 68312., 68271., 68162., 68222., 68095., 68411., 68498.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",69,76,7,50,"20/2","21/1/7","20/2-21/1/1-21/1/2-21/1/3-21/1/4-21/1/5-21/1/6-21/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",68015.,68333.7333,70225.,"{68348., 68214., 68514., 68305., 68228., 68523., 68317., 68574., 68153., 68353., 68239., 68565., 68593., 68408., 68288., 68056., 68217., 68498., 68461., 68357., 68015., 68194., 68203., 70225., 68222., 68437., 68245., 68213., 68263., 68397., 68572., 68433., 68629., 68631., 68365., 68380., 68383., 68224., 68235., 68268., 68394., 68246., 68409., 68303., 68391., 68068., 68229., 68325., 68386., 68395.}"
"CycleGAN Photo-to-Van Gogh Translation","c5.2xlarge",77,84,7,50,"21/2","22/1/7","21/2-22/1/1-22/1/2-22/1/3-22/1/4-22/1/5-22/1/6-22/1/7","Total","Normalization","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",67948.,68238.2,70390.,"{68684., 68461., 68383., 68146., 68277., 68106., 68256., 68231., 68195., 68232., 68177., 68097., 68202., 68305., 68393., 68304., 68149., 68122., 68423., 68102., 68101., 68408., 68434., 68146., 70390., 68413., 67964., 68108., 68133., 69651., 68082., 68266., 68074., 68324., 68113., 68338., 68169., 68184., 68124., 68252., 68259., 67948., 68097., 68291., 68212., 68602., 68515., 68205., 68425., 68350.}"
