"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution-Normalization",175811.,176257.3667,277283.,"{277283., 176067., 176253., 176503., 176447., 176579., 176298., 176461., 176582., 176467., 175954., 176427., 176262., 176039., 176275., 175901., 176094., 176554., 176246., 176400., 176933., 176822., 176791., 176910., 176771., 176455., 175811., 176142., 176148., 176237., 176111., 175960., 175847., 175903., 176038., 176716., 176235., 176115., 176580., 175976., 176202., 175960., 176164., 176260., 176121., 175847., 176136., 176201., 175838., 176363.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",8,14,6,50,"8","12/1/3","8-9-10-11-12/1/1-12/1/2-12/1/3","Elementwise","Normalization","Elementwise-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",63687.,64186.2667,85968.,"{85968., 63696., 64094., 63738., 63979., 63881., 64022., 63709., 63687., 63926., 64484., 64556., 64541., 64581., 64159., 63917., 63940., 64016., 64670., 64322., 64096., 64215., 64184., 63817., 64207., 64085., 64407., 64184., 64217., 64269., 64074., 64095., 64293., 64038., 63919., 64080., 64401., 64765., 64385., 64381., 64221., 64229., 64239., 64096., 64065., 64494., 64423., 64380., 64331., 64231.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",15,15,0,50,"12/1/4","12/1/4","12/1/4","Elementwise","Elementwise","Elementwise",243.,245.5,445.,"{445., 373., 283., 258., 247., 246., 245., 245., 246., 245., 246., 246., 245., 275., 246., 245., 244., 243., 246., 246., 245., 245., 245., 245., 257., 245., 245., 246., 278., 246., 246., 245., 246., 245., 244., 246., 246., 245., 245., 245., 246., 246., 245., 275., 246., 245., 245., 245., 244., 245.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",699.,703.4667000000001,807.,"{807., 733., 708., 702., 712., 729., 702., 701., 700., 700., 701., 725., 702., 701., 701., 701., 723., 711., 701., 701., 700., 700., 726., 701., 701., 712., 701., 723., 701., 700., 701., 714., 700., 724., 703., 700., 700., 700., 701., 709., 700., 699., 699., 699., 728., 718., 705., 704., 704., 703.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",6171.,6570.6333,15508.,"{15508., 6956., 6934., 6915., 6805., 6949., 6915., 6804., 6748., 6770., 6781., 6745., 6818., 6660., 6751., 6688., 6553., 6620., 6623., 6554., 6598., 6535., 6406., 6444., 6531., 6503., 6530., 6597., 6532., 6579., 6511., 6492., 6492., 6439., 6474., 6461., 6476., 6518., 6610., 6516., 6500., 6508., 6387., 6334., 6305., 6216., 6178., 6171., 6220., 6257.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",26114.,26131.833300000002,26219.,"{26212., 26136., 26134., 26115., 26141., 26122., 26130., 26126., 26131., 26136., 26118., 26143., 26127., 26134., 26142., 26145., 26133., 26152., 26137., 26159., 26136., 26120., 26139., 26121., 26137., 26128., 26135., 26126., 26138., 26133., 26219., 26137., 26134., 26129., 26123., 26125., 26115., 26126., 26148., 26124., 26121., 26129., 26120., 26135., 26114., 26131., 26134., 26121., 26137., 26134.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",19,25,6,50,"12/2","13/1/6","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5-13/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",40770.,41321.3667,50409.,"{50409., 41470., 40940., 40835., 40931., 41592., 41966., 41617., 41288., 41163., 41038., 41449., 41475., 41353., 41117., 41651., 41881., 41441., 41463., 41409., 41009., 41091., 41178., 40770., 41247., 41289., 41031., 41501., 41431., 41249., 41036., 40845., 41056., 41060., 40856., 41073., 41366., 41364., 41473., 41552., 41406., 41489., 41646., 41219., 41258., 41482., 41392., 41583., 41389., 41530.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",26122.,26155.033300000003,26237.,"{26200., 26177., 26163., 26155., 26159., 26151., 26154., 26143., 26153., 26155., 26171., 26161., 26172., 26147., 26158., 26144., 26229., 26157., 26135., 26170., 26138., 26165., 26157., 26152., 26165., 26160., 26144., 26154., 26172., 26223., 26237., 26184., 26200., 26185., 26184., 26158., 26142., 26149., 26155., 26139., 26131., 26132., 26139., 26155., 26122., 26137., 26141., 26125., 26141., 26126.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",27,33,6,50,"13/2","14/1/6","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5-14/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",40770.,41302.3,41883.,"{41883., 41212., 41142., 41062., 41214., 41686., 41550., 41249., 41135., 40922., 41118., 41074., 41133., 41301., 41359., 41865., 41506., 41613., 41735., 41478., 41441., 41335., 41118., 41522., 41761., 41732., 41491., 41607., 41245., 41375., 41147., 41168., 41257., 40998., 41130., 41299., 41103., 40972., 40770., 41369., 41811., 41506., 41240., 40959., 40899., 41085., 41199., 41456., 41563., 41374.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26142.,26190.2333,26317.,"{26187., 26180., 26146., 26271., 26211., 26216., 26236., 26210., 26216., 26218., 26211., 26211., 26236., 26317., 26261., 26241., 26238., 26222., 26174., 26171., 26152., 26177., 26218., 26198., 26195., 26164., 26170., 26159., 26173., 26157., 26194., 26214., 26192., 26226., 26178., 26175., 26159., 26155., 26177., 26208., 26187., 26193., 26272., 26146., 26157., 26149., 26151., 26142., 26162., 26168.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",35,41,6,50,"14/2","15/1/6","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",40623.,41114.3,41789.,"{41789., 41255., 41348., 41404., 41471., 41494., 41179., 40856., 41012., 40809., 41031., 41328., 41493., 41163., 40981., 40787., 40623., 40794., 40834., 40871., 41139., 41164., 41147., 41232., 41652., 41744., 41483., 41407., 41239., 41324., 40980., 40892., 40764., 41203., 40939., 40941., 40944., 40882., 40996., 41155., 40874., 40788., 40929., 41379., 41417., 41181., 41401., 41129., 40924., 41012.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",42,42,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",26114.,26150.300000000003,26270.,"{26195., 26154., 26167., 26176., 26199., 26167., 26164., 26179., 26192., 26183., 26173., 26154., 26149., 26162., 26159., 26158., 26133., 26129., 26123., 26133., 26126., 26142., 26121., 26137., 26169., 26162., 26176., 26170., 26187., 26167., 26270., 26160., 26162., 26126., 26146., 26123., 26129., 26128., 26133., 26155., 26120., 26136., 26129., 26132., 26128., 26132., 26114., 26132., 26143., 26177.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",43,49,6,50,"15/2","16/1/6","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5-16/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",40866.,41378.8,42044.,"{42044., 41318., 41137., 41111., 41280., 41581., 41795., 41921., 41715., 41659., 41570., 41517., 41708., 41481., 41192., 41605., 41920., 41844., 42033., 41948., 41851., 41921., 41530., 41203., 41180., 41357., 41021., 41027., 40907., 40866., 40975., 41235., 41303., 41215., 41018., 41017., 41137., 41119., 41495., 41406., 41482., 41306., 41054., 41151., 41355., 41532., 41469., 41519., 41219., 41222.}"
"CycleGAN Summer-to-Winter Translation","c5.2xlarge",50,50,0,50,"16/1/7","16/1/7","16/1/7","Normalization","Normalization","Normalization",26101.,26124.7,26208.,"{26208., 26176., 26149., 26168., 26157., 26146., 26154., 26118., 26141., 26137., 26113., 26114., 26103., 26112., 26143., 26138., 26203., 26131., 26134., 26140., 26114., 26117., 26106., 26112., 26109., 26108., 26119., 26117., 26103., 26134., 26125., 26128., 26116., 26117., 26136., 26147., 26122., 26122., 26133., 26108., 26124., 26102., 26115., 26125., 26123., 26124., 26122., 26113., 26129., 26101.}"
