"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",1,3,2,50,"1","3","1-2-3","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",32476.,32784.8667,51384.,"{51384., 32807., 32741., 32928., 32855., 32693., 32694., 32862., 32900., 32753., 32727., 32781., 32718., 32825., 32821., 32729., 32814., 32699., 32508., 32637., 32723., 32767., 32733., 32786., 32877., 32773., 32934., 32858., 32810., 32775., 32734., 32614., 32659., 32615., 32476., 32624., 32873., 32619., 32656., 32867., 32918., 32931., 32829., 32848., 33012., 32809., 32734., 32911., 32801., 32881.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",4,6,2,50,"4/1/1/1","4/1/1/2/1/2","4/1/1/1-4/1/1/2/1/1-4/1/1/2/1/2","Pooling","BatchNormalization","Pooling-Convolution-BatchNormalization",16114.,16413.9333,30046.,"{30046., 16546., 16548., 16501., 16378., 16380., 16490., 16348., 16411., 16321., 16321., 16289., 16266., 16114., 16161., 16213., 16374., 16445., 16334., 16439., 16438., 16447., 16414., 16399., 16521., 16339., 16394., 16457., 16307., 16510., 16245., 16508., 16524., 16536., 16505., 16507., 16513., 16580., 16474., 16354., 16386., 16401., 16338., 16472., 16530., 16201., 16541., 16333., 16216., 16317.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",7,7,0,50,"4/1/1/2/1/3","4/1/1/2/1/3","4/1/1/2/1/3","Elementwise","Elementwise","Elementwise",215.,216.4333,394.,"{394., 306., 228., 219., 217., 229., 240., 217., 216., 228., 216., 216., 216., 220., 215., 215., 215., 217., 216., 216., 216., 216., 217., 217., 242., 218., 216., 216., 216., 215., 215., 216., 216., 216., 216., 216., 216., 217., 216., 217., 216., 238., 217., 217., 216., 215., 215., 215., 215., 218.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",8,10,2,50,"4/1/1/2/2/1","4/1/1/2/2/3","4/1/1/2/2/1-4/1/1/2/2/2-4/1/1/2/2/3","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",1325.,1385.0667,1909.,"{1909., 1635., 1408., 1403., 1353., 1356., 1406., 1381., 1443., 1432., 1394., 1424., 1386., 1391., 1431., 1439., 1387., 1419., 1366., 1365., 1374., 1356., 1417., 1384., 1341., 1334., 1386., 1368., 1367., 1437., 1383., 1375., 1328., 1333., 1349., 1325., 1337., 1382., 1331., 1326., 1367., 1364., 1356., 1404., 1436., 1390., 1412., 1405., 1400., 1433.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",11,13,2,50,"4/1/1/2/2/4","4/1/1/2/2/6","4/1/1/2/2/4-4/1/1/2/2/5-4/1/1/2/2/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",6481.,6689.200000000001,7071.,"{7071., 6840., 6827., 6822., 6790., 6840., 6762., 6688., 6797., 6788., 6801., 6726., 6603., 6506., 6566., 6533., 6481., 6498., 6598., 6697., 6689., 6593., 6661., 6706., 6584., 6510., 6588., 6551., 6505., 6689., 6709., 6643., 6757., 6757., 6671., 6763., 6659., 6703., 6746., 6697., 6687., 6666., 6659., 6711., 6802., 6662., 6703., 6726., 6665., 6680.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",14,16,2,50,"4/1/1/2/3/1","4/1/1/2/3/3","4/1/1/2/3/1-4/1/1/2/3/2-4/1/1/2/3/3","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",1348.,1394.4,1900.,"{1900., 1628., 1515., 1410., 1460., 1397., 1385., 1419., 1390., 1374., 1418., 1423., 1397., 1422., 1363., 1358., 1390., 1359., 1400., 1373., 1348., 1348., 1401., 1387., 1428., 1438., 1402., 1432., 1406., 1403., 1426., 1392., 1407., 1411., 1373., 1369., 1398., 1363., 1364., 1446., 1386., 1402., 1368., 1351., 1375., 1360., 1374., 1430., 1369., 1379.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",17,19,2,50,"4/1/1/2/3/4","4/1/1/2/3/6","4/1/1/2/3/4-4/1/1/2/3/5-4/1/1/2/3/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",17293.,17516.9667,17727.,"{17727., 17623., 17509., 17527., 17496., 17460., 17580., 17559., 17618., 17663., 17561., 17508., 17588., 17686., 17463., 17573., 17635., 17610., 17593., 17416., 17327., 17320., 17374., 17293., 17497., 17539., 17646., 17526., 17537., 17506., 17400., 17376., 17423., 17494., 17542., 17340., 17472., 17527., 17311., 17530., 17557., 17628., 17535., 17439., 17555., 17506., 17442., 17438., 17450., 17663.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",20,22,2,50,"4/1/1/2/4/1","4/1/1/2/4/3","4/1/1/2/4/1-4/1/1/2/4/2-4/1/1/2/4/3","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",1321.,1376.1000000000001,1916.,"{1916., 1619., 1505., 1426., 1406., 1432., 1383., 1377., 1397., 1391., 1425., 1382., 1409., 1445., 1372., 1368., 1396., 1365., 1361., 1419., 1397., 1364., 1390., 1343., 1360., 1374., 1321., 1388., 1356., 1336., 1335., 1351., 1331., 1322., 1398., 1376., 1389., 1361., 1357., 1371., 1344., 1355., 1384., 1331., 1321., 1365., 1359., 1366., 1375., 1414.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",23,25,2,50,"4/1/1/2/4/4","4/1/1/2/4/6","4/1/1/2/4/4-4/1/1/2/4/5-4/1/1/2/4/6","Convolution","Elementwise","Convolution-BatchNormalization-Elementwise",33135.,33307.700000000004,33502.,"{33410., 33420., 33219., 33252., 33209., 33332., 33323., 33423., 33502., 33273., 33416., 33257., 33338., 33294., 33383., 33450., 33457., 33216., 33304., 33364., 33350., 33297., 33288., 33292., 33152., 33135., 33166., 33279., 33269., 33329., 33303., 33398., 33404., 33302., 33299., 33186., 33366., 33160., 33208., 33247., 33221., 33381., 33454., 33180., 33156., 33454., 33263., 33412., 33343., 33261.}"
"Single-Image Depth Perception Net Trained on NYU Depth V2 and Depth in the Wild Data","c5.2xlarge",26,28,2,50,"4/1/1/2/5","4/1/1/3/1/2","4/1/1/2/5-4/1/1/3/1/1-4/1/1/3/1/2","Catenate","BatchNormalization","Catenate-Convolution-BatchNormalization",2043.,2124.1667,3118.,"{3118., 2573., 2430., 2259., 2318., 2242., 2248., 2218., 2242., 2203., 2135., 2139., 2094., 2144., 2064., 2050., 2080., 2043., 2149., 2065., 2079., 2054., 2111., 2065., 2126., 2067., 2091., 2119., 2073., 2048., 2118., 2103., 2231., 2134., 2125., 2141., 2121., 2155., 2099., 2137., 2092., 2149., 2079., 2172., 2117., 2153., 2171., 2084., 2104., 2080.}"
