"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Inception V1 Trained on Places365 Data","c5.xlarge",1,10,9,50,"conv1_7x7_s2","conv2_norm2","conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2","Convolution","LocalResponseNormalization","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization",25444.,25889.1333,26869.,"{26869., 26554., 26147., 26061., 25899., 25835., 25982., 25991., 25983., 25889., 25853., 25444., 25775., 25685., 25810., 26017., 25851., 25924., 25444., 25771., 26730., 26095., 25936., 25941., 25943., 26043., 26132., 25968., 25877., 25909., 25803., 25883., 25696., 25773., 25989., 25897., 25825., 25844., 25808., 25758., 25775., 25675., 25788., 25781., 25878., 25722., 26022., 25981., 25923., 25908.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",11,11,0,50,"pool2_3x3_s2_pad","pool2_3x3_s2_pad","pool2_3x3_s2_pad","Padding","Padding","Padding",954.,963.7,1038.,"{1038., 981., 958., 1006., 959., 980., 958., 1003., 956., 970., 981., 954., 955., 1002., 957., 955., 955., 982., 955., 954., 974., 974., 955., 990., 955., 966., 956., 967., 955., 956., 969., 979., 955., 955., 1002., 957., 954., 972., 971., 955., 956., 978., 968., 955., 993., 956., 976., 955., 968., 954.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",12,12,0,50,"pool2_3x3_s2","pool2_3x3_s2","pool2_3x3_s2","Pooling","Pooling","Pooling",1184.,1199.1667,1270.,"{1270., 1195., 1235., 1191., 1212., 1205., 1188., 1201., 1214., 1187., 1201., 1223., 1188., 1198., 1204., 1185., 1209., 1201., 1186., 1223., 1203., 1185., 1195., 1218., 1189., 1210., 1187., 1260., 1188., 1184., 1221., 1186., 1185., 1224., 1189., 1186., 1222., 1203., 1199., 1218., 1205., 1211., 1186., 1197., 1222., 1187., 1200., 1200., 1186., 1184.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",13,13,0,50,"inception_3a/1x1","inception_3a/1x1","inception_3a/1x1","Convolution","Convolution","Convolution",123.,123.9667,283.,"{283., 142., 128., 125., 125., 124., 125., 124., 124., 124., 124., 123., 124., 124., 161., 131., 124., 124., 124., 124., 124., 124., 123., 124., 124., 124., 123., 123., 124., 123., 138., 128., 124., 123., 124., 123., 123., 154., 126., 124., 123., 123., 123., 124., 125., 124., 124., 123., 123., 123.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",14,14,0,50,"inception_3a/relu_1x1","inception_3a/relu_1x1","inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",26.,27.0333,53.,"{53., 31., 28., 28., 27., 28., 27., 28., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 28., 28., 27., 27., 27., 27., 27., 27., 26., 27., 27.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",15,15,0,50,"inception_3a/3x3_reduce","inception_3a/3x3_reduce","inception_3a/3x3_reduce","Convolution","Convolution","Convolution",167.,170.2333,288.,"{288., 179., 172., 170., 170., 170., 169., 168., 168., 168., 190., 177., 169., 168., 169., 168., 228., 183., 170., 186., 168., 168., 169., 169., 168., 168., 170., 168., 167., 167., 183., 174., 184., 177., 170., 216., 180., 173., 170., 170., 170., 170., 169., 170., 169., 169., 169., 169., 168., 170.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",16,16,0,50,"inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","Elementwise","Elementwise","Elementwise",34.,34.5,68.,"{68., 40., 36., 35., 51., 38., 35., 35., 35., 35., 34., 35., 35., 34., 34., 34., 34., 35., 35., 34., 34., 35., 34., 35., 34., 34., 35., 34., 34., 35., 35., 35., 34., 34., 34., 34., 36., 35., 34., 35., 35., 34., 34., 34., 34., 34., 34., 34., 34., 35.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",17,17,0,50,"inception_3a/3x3","inception_3a/3x3","inception_3a/3x3","Convolution","Convolution","Convolution",1337.,1372.1000000000001,1519.,"{1519., 1424., 1372., 1402., 1381., 1349., 1439., 1357., 1349., 1423., 1345., 1389., 1369., 1430., 1345., 1382., 1341., 1337., 1426., 1357., 1399., 1361., 1353., 1387., 1362., 1389., 1357., 1364., 1395., 1389., 1343., 1347., 1389., 1374., 1405., 1423., 1370., 1339., 1381., 1344., 1396., 1360., 1411., 1353., 1372., 1354., 1338., 1416., 1350., 1350.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",18,18,0,50,"inception_3a/relu_3x3","inception_3a/relu_3x3","inception_3a/relu_3x3","Elementwise","Elementwise","Elementwise",45.,46.033300000000004,85.,"{85., 53., 49., 49., 47., 47., 47., 47., 46., 47., 46., 46., 45., 46., 46., 47., 47., 46., 46., 46., 72., 48., 46., 46., 46., 46., 47., 46., 46., 45., 45., 45., 46., 47., 46., 46., 45., 45., 45., 45., 45., 45., 46., 46., 45., 45., 45., 45., 46., 46.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",19,19,0,50,"inception_3a/5x5_reduce","inception_3a/5x5_reduce","inception_3a/5x5_reduce","Convolution","Convolution","Convolution",46.,47.533300000000004,140.,"{140., 56., 48., 48., 48., 49., 47., 48., 47., 47., 47., 47., 48., 48., 47., 48., 47., 47., 47., 48., 47., 47., 48., 48., 48., 48., 48., 48., 48., 47., 48., 48., 47., 46., 48., 47., 48., 47., 48., 48., 47., 47., 48., 47., 47., 47., 47., 47., 46., 54.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",20,20,0,50,"inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","Elementwise","Elementwise","Elementwise",18.,18.7333,35.,"{35., 20., 19., 19., 18., 18., 20., 19., 19., 19., 19., 18., 19., 18., 19., 18., 19., 18., 19., 18., 19., 19., 18., 19., 18., 19., 18., 19., 18., 19., 19., 19., 25., 19., 18., 19., 18., 18., 19., 18., 19., 19., 19., 18., 18., 19., 19., 19., 18., 19.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",21,21,0,50,"inception_3a/5x5","inception_3a/5x5","inception_3a/5x5","Convolution","Convolution","Convolution",397.,406.73330000000004,474.,"{474., 464., 413., 409., 407., 416., 408., 429., 410., 405., 404., 397., 404., 404., 405., 422., 405., 403., 404., 419., 405., 405., 405., 402., 425., 447., 417., 404., 405., 406., 406., 423., 411., 404., 422., 406., 404., 406., 405., 405., 405., 403., 403., 436., 408., 405., 404., 404., 403., 401.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",22,22,0,50,"inception_3a/relu_5x5","inception_3a/relu_5x5","inception_3a/relu_5x5","Elementwise","Elementwise","Elementwise",23.,23.8667,43.,"{43., 27., 25., 24., 24., 24., 24., 24., 24., 23., 24., 24., 24., 23., 24., 23., 24., 24., 24., 24., 24., 23., 24., 24., 24., 24., 24., 23., 24., 23., 35., 24., 23., 24., 23., 24., 24., 23., 24., 24., 23., 24., 24., 23., 23., 24., 24., 23., 23., 24.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",23,23,0,50,"inception_3a/pool","inception_3a/pool","inception_3a/pool","Pooling","Pooling","Pooling",1157.,1167.2667000000001,1244.,"{1244., 1185., 1164., 1163., 1192., 1164., 1161., 1179., 1209., 1164., 1160., 1177., 1172., 1160., 1172., 1159., 1158., 1221., 1165., 1160., 1158., 1183., 1159., 1158., 1176., 1205., 1162., 1157., 1185., 1171., 1159., 1197., 1160., 1159., 1221., 1164., 1160., 1159., 1210., 1162., 1159., 1172., 1203., 1163., 1159., 1179., 1172., 1159., 1171., 1159.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",24,24,0,50,"inception_3a/pool_proj","inception_3a/pool_proj","inception_3a/pool_proj","Convolution","Convolution","Convolution",72.,75.36670000000001,191.,"{191., 83., 77., 92., 80., 76., 75., 97., 81., 76., 75., 76., 76., 76., 75., 75., 76., 74., 75., 74., 76., 75., 76., 76., 76., 76., 75., 74., 75., 76., 76., 76., 76., 76., 75., 76., 76., 75., 75., 72., 72., 73., 72., 74., 72., 72., 72., 73., 73., 73.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",25,25,0,50,"inception_3a/relu_pool_proj","inception_3a/relu_pool_proj","inception_3a/relu_pool_proj","Elementwise","Elementwise","Elementwise",23.,23.6,43.,"{43., 26., 24., 24., 24., 24., 23., 24., 23., 24., 23., 24., 23., 23., 23., 23., 24., 23., 23., 24., 24., 23., 24., 24., 23., 24., 23., 23., 24., 40., 24., 23., 24., 24., 23., 24., 23., 23., 24., 23., 23., 23., 24., 24., 24., 23., 24., 24., 23., 24.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",26,26,0,50,"inception_3a/output","inception_3a/output","inception_3a/output","Catenate","Catenate","Catenate",97.,99.4,160.,"{160., 122., 103., 101., 100., 100., 99., 100., 101., 101., 100., 100., 98., 100., 100., 99., 99., 99., 99., 100., 99., 100., 100., 99., 100., 113., 100., 99., 99., 115., 99., 99., 99., 100., 98., 98., 99., 98., 98., 99., 98., 98., 97., 98., 99., 99., 99., 99., 100., 99.}"
"Inception V1 Trained on Places365 Data","c5.xlarge",27,27,0,50,"inception_3b/1x1","inception_3b/1x1","inception_3b/1x1","Convolution","Convolution","Convolution",263.,268.6667,1656.,"{390., 281., 307., 276., 268., 268., 284., 304., 268., 268., 266., 267., 267., 267., 267., 266., 267., 267., 266., 343., 302., 273., 268., 267., 267., 266., 267., 266., 267., 266., 267., 266., 267., 282., 288., 270., 1656., 320., 268., 266., 266., 266., 265., 287., 270., 264., 265., 263., 264., 264.}"
