"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization-Elementwise-Convolution-Normalization",179562.,180211.5,205061.,"{205061., 179975., 180976., 180861., 180304., 179958., 180415., 180094., 180104., 179996., 179943., 179932., 180389., 180471., 180109., 180009., 180381., 180115., 179836., 180014., 180147., 179893., 180302., 180195., 180323., 179794., 180507., 180524., 180278., 180527., 180680., 180302., 180194., 180093., 180057., 179562., 180211., 180294., 179937., 179809., 180086., 180375., 180482., 179984., 180299., 180408., 180034., 180478., 180630., 180362.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",8,14,6,50,"8","12/1/3","8-9-10-11-12/1/1-12/1/2-12/1/3","Elementwise","Normalization","Elementwise-Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",66735.,67450.8667,129395.,"{129395., 111880., 112025., 113245., 112303., 110793., 113620., 112467., 102375., 67543., 67614., 67454., 67519., 67418., 67196., 67626., 67472., 67752., 67588., 67587., 67686., 67917., 67215., 66735., 67260., 67382., 67342., 67298., 67378., 67332., 67227., 66918., 67008., 66983., 67792., 67500., 67507., 67792., 67767., 67407., 67089., 67048., 67043., 67110., 67231., 67285., 67210., 67020., 66796., 67146.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",15,15,0,50,"12/1/4","12/1/4","12/1/4","Elementwise","Elementwise","Elementwise",204.,205.2333,339.,"{339., 294., 215., 208., 206., 207., 205., 205., 205., 205., 205., 205., 223., 205., 205., 205., 205., 205., 206., 205., 204., 205., 205., 204., 205., 205., 216., 206., 205., 204., 226., 207., 205., 205., 206., 206., 205., 204., 206., 205., 205., 205., 205., 204., 205., 206., 205., 205., 226., 204.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",16,16,0,50,"12/1/5","12/1/5","12/1/5","Padding","Padding","Padding",684.,689.0333,714.,"{712., 691., 688., 714., 686., 685., 685., 684., 697., 711., 688., 687., 687., 686., 686., 709., 686., 685., 686., 685., 685., 704., 695., 686., 686., 685., 712., 690., 688., 689., 687., 688., 710., 689., 688., 688., 704., 697., 712., 691., 689., 689., 689., 712., 685., 685., 685., 684., 684., 713.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",8167.,8356.566700000001,17268.,"{17268., 8687., 8555., 8607., 8650., 8443., 8398., 8397., 8387., 8345., 8605., 8563., 8431., 8345., 8354., 8319., 8310., 8284., 8267., 8230., 8262., 8383., 8620., 8442., 8281., 8246., 8341., 8493., 8516., 8439., 8323., 8270., 8305., 8505., 8511., 8371., 8337., 8338., 8221., 8259., 8388., 8433., 8247., 8176., 8170., 8222., 8211., 8237., 8191., 8167.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",26075.,26139.7333,26214.,"{26138., 26122., 26147., 26125., 26129., 26214., 26111., 26155., 26122., 26196., 26150., 26174., 26147., 26132., 26094., 26177., 26183., 26146., 26136., 26134., 26184., 26137., 26151., 26075., 26097., 26081., 26149., 26127., 26181., 26152., 26127., 26103., 26143., 26162., 26144., 26181., 26185., 26185., 26144., 26134., 26080., 26117., 26161., 26154., 26149., 26115., 26127., 26123., 26125., 26117.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",19,25,6,50,"12/2","13/1/6","12/2-13/1/1-13/1/2-13/1/3-13/1/4-13/1/5-13/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",44516.,45455.2333,55760.,"{55760., 46246., 46098., 46075., 46004., 46073., 46203., 46213., 46133., 46107., 45849., 45895., 45975., 45751., 46045., 46123., 46388., 46352., 46069., 45607., 45282., 45747., 45451., 45551., 45478., 45247., 45338., 45468., 45202., 45485., 45457., 45208., 45139., 44997., 44712., 44705., 44545., 44710., 44591., 44622., 44552., 44570., 44625., 44516., 44551., 44530., 44904., 44879., 45068., 44991.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",26,26,0,50,"13/1/7","13/1/7","13/1/7","Normalization","Normalization","Normalization",26113.,26151.533300000003,26181.,"{26180., 26145., 26151., 26153., 26150., 26113., 26154., 26135., 26124., 26136., 26128., 26169., 26163., 26181., 26162., 26170., 26147., 26171., 26158., 26143., 26154., 26164., 26162., 26130., 26155., 26145., 26146., 26132., 26162., 26148., 26122., 26136., 26145., 26114., 26140., 26159., 26139., 26171., 26153., 26128., 26150., 26169., 26158., 26176., 26158., 26158., 26161., 26155., 26163., 26127.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",27,33,6,50,"13/2","14/1/6","13/2-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5-14/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",44535.,45810.7333,46720.,"{46720., 45920., 45905., 45927., 45824., 45900., 46072., 46081., 46031., 45862., 45626., 45600., 45291., 44833., 44799., 44721., 44535., 44641., 44560., 44959., 45107., 45139., 45744., 45972., 45761., 45960., 45934., 45722., 45649., 45796., 45515., 45486., 45244., 45154., 45299., 45916., 46254., 46178., 46066., 46312., 46301., 46328., 46250., 46095., 46325., 46559., 46101., 46365., 46402., 45845.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",34,34,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",26110.,26157.866700000002,26209.,"{26173., 26167., 26136., 26157., 26178., 26164., 26135., 26119., 26166., 26178., 26177., 26130., 26157., 26110., 26170., 26155., 26160., 26143., 26150., 26157., 26142., 26154., 26148., 26139., 26149., 26146., 26134., 26132., 26132., 26156., 26133., 26155., 26167., 26189., 26203., 26164., 26176., 26178., 26172., 26209., 26187., 26145., 26140., 26182., 26180., 26177., 26158., 26162., 26151., 26155.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",35,41,6,50,"14/2","15/1/6","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45186.,45893.966700000004,46573.,"{46573., 46282., 46136., 45936., 46006., 46027., 45761., 45497., 45332., 45991., 46284., 46487., 46450., 46552., 46395., 46324., 46438., 46322., 46521., 46234., 46346., 45934., 45491., 45474., 45329., 45189., 45207., 45305., 45477., 45335., 45570., 45925., 45898., 45832., 45807., 45775., 45853., 45589., 45833., 45424., 45304., 45444., 45186., 45193., 45710., 46300., 46293., 46229., 46095., 46136.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",42,42,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",26093.,26134.066700000003,26222.,"{26222., 26184., 26182., 26153., 26182., 26127., 26158., 26120., 26134., 26127., 26102., 26105., 26115., 26133., 26129., 26134., 26109., 26159., 26122., 26138., 26123., 26131., 26117., 26121., 26121., 26116., 26125., 26112., 26099., 26093., 26103., 26115., 26123., 26138., 26125., 26142., 26147., 26139., 26113., 26118., 26131., 26168., 26157., 26189., 26166., 26175., 26148., 26212., 26213., 26208.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",43,49,6,50,"15/2","16/1/6","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5-16/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",45231.,45925.,46772.,"{46602., 45894., 45754., 45563., 45826., 45979., 45928., 45490., 45709., 45711., 45597., 45403., 45949., 46137., 45985., 46053., 45943., 46037., 46234., 46074., 46092., 46211., 45689., 45680., 45474., 45382., 45231., 45693., 45778., 45390., 45368., 45685., 45765., 45861., 46209., 45935., 45799., 45796., 46418., 46772., 46537., 46362., 46377., 46437., 46246., 46163., 46225., 46109., 45968., 46018.}"
"CycleGAN Orange-to-Apple Translation Trained on ImageNet Competition Data","c5n.xlarge",50,50,0,50,"16/1/7","16/1/7","16/1/7","Normalization","Normalization","Normalization",26129.,26173.2333,26255.,"{26195., 26205., 26195., 26180., 26255., 26196., 26177., 26175., 26195., 26177., 26178., 26196., 26159., 26165., 26160., 26177., 26151., 26177., 26188., 26211., 26190., 26168., 26158., 26145., 26155., 26150., 26144., 26131., 26163., 26196., 26194., 26162., 26152., 26174., 26187., 26183., 26175., 26151., 26211., 26187., 26200., 26198., 26162., 26159., 26158., 26143., 26129., 26148., 26167., 26137.}"
