"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",1,7,6,50,"1","7","1-2-3-4-5-6-7","Elementwise","Convolution","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",124623.,124808.20000000001,149590.,"{149590., 124889., 124823., 124720., 124749., 124909., 124745., 125224., 127014., 124891., 124947., 124805., 124645., 124726., 124687., 124755., 124822., 124628., 124749., 124701., 124741., 124674., 124776., 124634., 124778., 124908., 124724., 124715., 125656., 124864., 124885., 124901., 124707., 124845., 124789., 124875., 124869., 124840., 124769., 124859., 124868., 124811., 124851., 124811., 124914., 124867., 124786., 124779., 124623., 124796.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",8,14,6,50,"8","14/1/1","8-9-10-11-12-13-14/1/1","Normalization","Padding","Normalization-Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",84023.,84155.8333,88815.,"{88815., 84201., 84246., 84128., 84208., 84216., 84253., 84180., 84038., 84267., 84023., 84073., 84152., 84141., 84287., 84147., 84252., 84062., 84175., 84051., 84050., 84303., 84134., 84189., 84052., 84175., 84189., 84114., 84225., 84195., 84196., 84159., 84081., 84329., 84023., 84081., 84068., 84073., 84237., 84135., 84160., 84082., 84105., 84175., 84222., 84239., 84104., 84040., 84120., 84213.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",15,15,0,50,"14/1/2","14/1/2","14/1/2","Convolution","Convolution","Convolution",5703.,5792.200000000001,14744.,"{14744., 6045., 5952., 5910., 5802., 5961., 5789., 5872., 5722., 5783., 5809., 5811., 5896., 5742., 5774., 5742., 5770., 5886., 5837., 5888., 5734., 5737., 5800., 5762., 5957., 5703., 5790., 5738., 5761., 5865., 5748., 5881., 5718., 5754., 5711., 5759., 5966., 5741., 5852., 5719., 5747., 5753., 5788., 5909., 5760., 5736., 5722., 5748., 5860., 5780.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",16,16,0,50,"14/1/3","14/1/3","14/1/3","Normalization","Normalization","Normalization",25972.,26052.366700000002,26108.,"{26108., 26094., 26089., 26005., 26053., 26072., 25984., 26101., 26101., 25991., 26076., 26015., 26060., 26054., 26035., 26019., 25981., 26072., 25972., 26065., 26066., 26038., 26078., 26019., 26039., 26017., 26072., 26077., 26090., 26018., 26080., 26018., 26052., 26010., 26020., 26078., 26022., 26022., 26078., 26074., 26055., 26011., 26071., 26080., 26064., 26064., 26049., 26079., 26069., 25981.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",17,17,0,50,"14/1/4","14/1/4","14/1/4","Elementwise","Elementwise","Elementwise",178.,178.5333,202.,"{202., 180., 179., 179., 179., 178., 179., 179., 178., 178., 178., 178., 178., 178., 178., 178., 178., 189., 178., 178., 179., 187., 178., 179., 179., 178., 179., 179., 179., 179., 178., 179., 178., 179., 179., 178., 178., 178., 178., 189., 179., 180., 178., 179., 178., 178., 179., 178., 179., 188.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",18,18,0,50,"14/1/5","14/1/5","14/1/5","Padding","Padding","Padding",662.,665.6,684.,"{684., 666., 674., 663., 662., 662., 662., 662., 677., 672., 663., 663., 664., 663., 675., 665., 664., 664., 664., 665., 673., 664., 664., 665., 672., 665., 673., 665., 665., 665., 664., 664., 672., 665., 665., 665., 665., 673., 673., 669., 664., 664., 665., 674., 665., 665., 665., 665., 665., 673.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",5687.,5790.2333,14614.,"{14614., 6054., 5993., 5835., 5808., 5926., 5867., 5926., 5761., 5808., 5785., 5767., 5934., 5730., 5849., 5723., 5808., 5829., 5790., 5888., 5746., 5730., 5761., 5739., 5877., 5770., 5833., 5725., 5776., 5767., 5760., 5964., 5713., 5771., 5734., 5747., 5842., 5760., 5924., 5713., 5753., 5687., 5719., 5925., 5709., 5882., 5697., 5746., 5784., 5752.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",25972.,26044.4333,26087.,"{26068., 26040., 26068., 26020., 26063., 26021., 26007., 26086., 26007., 26079., 25972., 26021., 26072., 26024., 25994., 26066., 26031., 26023., 26069., 26080., 26078., 26013., 26061., 26044., 26049., 26063., 26033., 26068., 26076., 26020., 26026., 26064., 26028., 26024., 26087., 26072., 26075., 26052., 26009., 26031., 26026., 26064., 26078., 26070., 25983., 26019., 26022., 26022., 26072., 25997.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",21,27,6,50,"14/2","15/1/6","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5-15/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",39516.,39818.8333,40792.,"{40792., 40057., 40059., 39855., 39811., 39856., 39825., 39686., 39674., 39516., 39627., 39602., 39657., 39679., 39622., 39549., 39633., 39600., 39686., 39701., 39745., 39694., 39631., 39817., 39990., 39895., 39918., 40021., 39889., 39875., 39893., 39837., 39916., 39858., 40025., 39830., 39859., 39901., 39929., 39884., 39803., 39808., 39834., 39757., 39898., 39876., 39897., 39849., 39812., 39856.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",28,28,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",25955.,26041.6667,26189.,"{26189., 26150., 26035., 26048., 26143., 26094., 26004., 26065., 26081., 26029., 26014., 26086., 26021., 26040., 26054., 26004., 26024., 26080., 26034., 25955., 25999., 25999., 26009., 26072., 26070., 26023., 26047., 26015., 25978., 26080., 26020., 25994., 26070., 26011., 26081., 26066., 26049., 26012., 26073., 25998., 26007., 26041., 26074., 26064., 26079., 25967., 26040., 25966., 26072., 26051.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",29,35,6,50,"15/2","16/1/6","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5-16/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",39558.,39744.0333,48694.,"{48694., 39871., 39825., 39670., 39790., 39800., 39809., 39753., 39805., 39786., 39822., 39799., 39760., 39795., 39687., 39838., 39837., 39832., 39794., 39786., 39800., 39808., 39869., 39738., 39792., 39752., 39774., 39767., 39750., 39667., 39689., 39631., 39689., 39600., 39558., 39705., 39683., 39613., 39630., 39644., 39664., 39591., 39595., 39645., 39654., 39721., 39744., 39757., 39728., 39676.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",36,36,0,50,"16/1/7","16/1/7","16/1/7","Normalization","Normalization","Normalization",25954.,26045.300000000003,26085.,"{26075., 26067., 26080., 26034., 26027., 26031., 26085., 26042., 26007., 26074., 26000., 25998., 26004., 26044., 26054., 26054., 26019., 25971., 26068., 26084., 26076., 26076., 26072., 26075., 26074., 26079., 26066., 25961., 25993., 26030., 26082., 26037., 26072., 25973., 26076., 26029., 26065., 26042., 25971., 26028., 26016., 26043., 26020., 26021., 26077., 26021., 25982., 26053., 25954., 26074.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",37,43,6,50,"16/2","17/1/6","16/2-17/1/1-17/1/2-17/1/3-17/1/4-17/1/5-17/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",39596.,39790.5333,40662.,"{40662., 39993., 39893., 39833., 39782., 39776., 39656., 39684., 39645., 39740., 39636., 39596., 39602., 39665., 39729., 39974., 39825., 39738., 39818., 39880., 39798., 39834., 39809., 39857., 39892., 39839., 39779., 39882., 39808., 39826., 39748., 39735., 39786., 39782., 39782., 39764., 39765., 39890., 39833., 39884., 39829., 39864., 39817., 39767., 39755., 39851., 39703., 39704., 39685., 39711.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",44,44,0,50,"17/1/7","17/1/7","17/1/7","Normalization","Normalization","Normalization",25960.,26050.9,26128.,"{26128., 25999., 26074., 26091., 26026., 26091., 26032., 26087., 26035., 26021., 26054., 25960., 26072., 26020., 26073., 26072., 26081., 26024., 26082., 25962., 26085., 26022., 26021., 26051., 26062., 26065., 26079., 25969., 26058., 26056., 26073., 26071., 26073., 26046., 25960., 25981., 26022., 26019., 26079., 26022., 26074., 26021., 26072., 26020., 26071., 25982., 26024., 26068., 26076., 26072.}"
"CycleGAN Photo-to-Cezanne Translation","c5.2xlarge",45,51,6,50,"17/2","18/1/6","17/2-18/1/1-18/1/2-18/1/3-18/1/4-18/1/5-18/1/6","Total","Convolution","Total-Padding-Convolution-Normalization-Elementwise-Padding-Convolution",39548.,39795.8333,40770.,"{40770., 40056., 40016., 39843., 39895., 39945., 39790., 39861., 39819., 39867., 39823., 39938., 39856., 39901., 39870., 39893., 39866., 40025., 39842., 39781., 39751., 39846., 39732., 39843., 39820., 39758., 39749., 39809., 39861., 39709., 39805., 39764., 39816., 39799., 39672., 39760., 39768., 39619., 39790., 39735., 39671., 39649., 39615., 39612., 39616., 39548., 39637., 39680., 39653., 39732.}"
