"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",1,1,0,50,"1","1","1","Convolution","Convolution","Convolution",911.,951.5333,4320.,"{4320., 939., 948., 959., 933., 953., 952., 968., 948., 933., 965., 992., 912., 948., 950., 943., 958., 911., 947., 945., 994., 944., 939., 921., 955., 954., 934., 950., 943., 959., 963., 987., 994., 955., 951., 958., 957., 967., 912., 946., 951., 1023., 978., 935., 951., 970., 923., 913., 948., 967.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",2,2,0,50,"2","2","2","BatchNormalization","BatchNormalization","BatchNormalization",116.,117.7,580.,"{580., 167., 121., 117., 118., 142., 128., 118., 118., 118., 119., 118., 118., 118., 118., 118., 118., 118., 117., 119., 119., 117., 119., 118., 117., 119., 118., 118., 118., 118., 119., 117., 119., 174., 118., 117., 116., 116., 116., 116., 116., 116., 116., 116., 116., 116., 116., 116., 117., 117.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",3,3,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",100.,101.2333,166.,"{157., 105., 103., 103., 102., 102., 101., 102., 102., 101., 102., 121., 102., 101., 101., 101., 101., 101., 101., 101., 101., 101., 101., 102., 101., 101., 101., 102., 101., 101., 100., 100., 101., 100., 101., 101., 101., 102., 101., 101., 101., 101., 101., 101., 100., 101., 100., 142., 166., 113.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",4,4,0,50,"4","4","4","Pooling","Pooling","Pooling",320.,675.0333,737.,"{737., 675., 682., 686., 674., 694., 674., 673., 674., 673., 689., 678., 681., 680., 675., 673., 696., 677., 674., 674., 675., 674., 692., 673., 674., 687., 674., 675., 690., 674., 673., 680., 673., 673., 687., 674., 673., 674., 673., 687., 674., 673., 674., 673., 673., 649., 326., 320., 329., 320.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",5,5,0,50,"5","5","5","LocalResponseNormalization","LocalResponseNormalization","LocalResponseNormalization",786.,793.6,847.,"{847., 794., 788., 786., 807., 801., 807., 793., 791., 790., 804., 807., 789., 788., 788., 788., 817., 797., 788., 788., 787., 803., 800., 789., 788., 788., 803., 789., 789., 796., 794., 807., 793., 795., 793., 805., 808., 789., 788., 788., 787., 813., 801., 792., 792., 791., 806., 799., 789., 787.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",6,6,0,50,"6","6","6","Convolution","Convolution","Convolution",69.,70.9,180.,"{180., 90., 73., 71., 71., 72., 71., 70., 70., 70., 71., 71., 71., 71., 86., 73., 72., 71., 71., 71., 70., 71., 71., 102., 72., 71., 71., 71., 71., 70., 70., 72., 71., 70., 70., 71., 71., 71., 71., 70., 71., 70., 70., 70., 71., 69., 71., 71., 72., 70.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",7,7,0,50,"7","7","7","BatchNormalization","BatchNormalization","BatchNormalization",47.,47.900000000000006,77.,"{77., 51., 48., 48., 47., 47., 48., 47., 47., 48., 47., 48., 47., 48., 49., 47., 47., 48., 47., 52., 49., 48., 47., 47., 47., 49., 49., 48., 48., 50., 49., 48., 48., 48., 48., 47., 48., 47., 48., 47., 48., 48., 48., 48., 49., 49., 47., 49., 48., 49.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",8,8,0,50,"8","8","8","Elementwise","Elementwise","Elementwise",44.,44.633300000000006,77.,"{77., 47., 44., 44., 44., 45., 45., 44., 45., 45., 45., 45., 45., 44., 45., 45., 44., 45., 45., 45., 45., 44., 45., 45., 44., 45., 44., 44., 44., 45., 44., 45., 45., 45., 44., 46., 45., 45., 45., 44., 45., 44., 45., 44., 45., 44., 44., 44., 44., 44.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",9,9,0,50,"9","9","9","Convolution","Convolution","Convolution",736.,1220.5,2281.,"{2281., 1233., 1219., 1247., 1189., 1201., 1225., 1227., 1259., 1233., 1225., 1220., 1241., 1191., 1219., 1187., 1297., 1215., 1216., 1208., 1223., 1192., 1233., 1198., 1226., 1231., 1217., 1215., 1209., 1236., 1209., 1206., 1225., 1231., 1208., 1246., 1221., 1220., 1240., 1211., 1264., 1229., 1234., 1213., 1215., 1220., 1190., 1219., 1176., 736.}"
"OpenFace Face Recognition Net Trained on CASIA-WebFace and FaceScrub Data","c5.2xlarge",10,10,0,50,"10","10","10","BatchNormalization","BatchNormalization","BatchNormalization",70.,72.,123.,"{123., 77., 73., 72., 71., 72., 70., 73., 72., 71., 74., 72., 72., 71., 72., 72., 71., 71., 72., 71., 72., 72., 72., 71., 71., 71., 73., 71., 72., 71., 71., 81., 73., 77., 72., 72., 72., 72., 71., 72., 73., 72., 73., 73., 71., 73., 72., 72., 73., 73.}"
