"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"CapsNet Trained on MNIST Data","c5.2xlarge",1,1,0,50,"ReLUConv1/1","ReLUConv1/1","ReLUConv1/1","Convolution","Convolution","Convolution",257.,265.2333,3373.,"{3373., 296., 268., 261., 262., 260., 259., 281., 262., 260., 259., 261., 262., 260., 261., 257., 294., 266., 265., 270., 275., 282., 281., 266., 265., 265., 267., 260., 263., 263., 265., 265., 265., 265., 265., 268., 282., 268., 266., 271., 266., 265., 265., 265., 269., 265., 264., 264., 265., 268.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",2,2,0,50,"ReLUConv1/2","ReLUConv1/2","ReLUConv1/2","Elementwise","Elementwise","Elementwise",81.,83.7,414.,"{414., 93., 89., 89., 88., 86., 88., 88., 85., 85., 86., 102., 85., 87., 85., 84., 85., 87., 86., 84., 85., 85., 85., 84., 83., 83., 83., 84., 83., 82., 83., 83., 82., 82., 82., 83., 81., 82., 82., 81., 82., 81., 81., 82., 81., 81., 81., 82., 81., 81.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",3,3,0,50,"PrimaryCaps/1","PrimaryCaps/1","PrimaryCaps/1","Convolution","Convolution","Convolution",2357.,2419.4333,6688.,"{6688., 4664., 4702., 4137., 2462., 2525., 2433., 2395., 2416., 2458., 2436., 2413., 2378., 2477., 2408., 2418., 2400., 2412., 2441., 2367., 2357., 2433., 2383., 2415., 2414., 2371., 2429., 2383., 2424., 2436., 2457., 2425., 2399., 2452., 2477., 2392., 2403., 2407., 2456., 2391., 2359., 2413., 2444., 2380., 2404., 2379., 2513., 2409., 2370., 2408.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",4,4,0,50,"PrimaryCaps/2","PrimaryCaps/2","PrimaryCaps/2","Transpose","Transpose","Transpose",109.,110.36670000000001,160.,"{160., 112., 110., 110., 109., 109., 110., 111., 110., 109., 109., 110., 109., 109., 109., 111., 111., 110., 110., 129., 115., 111., 112., 118., 111., 109., 109., 110., 111., 113., 110., 111., 112., 111., 110., 112., 110., 111., 109., 111., 109., 109., 112., 109., 111., 110., 111., 112., 111., 109.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",5,5,0,50,"PrimaryCaps/3","PrimaryCaps/3","PrimaryCaps/3","Reshape","Reshape","Reshape",27.,28.,73.,"{73., 46., 29., 28., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 29., 28., 28., 28., 28., 27., 28., 27., 27., 28., 27., 28., 28., 28., 28., 27., 28., 28., 28., 28., 28., 28., 56., 29., 28., 27., 28., 29., 28., 27., 28., 28., 28.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",6,6,0,50,"PrimaryCaps/4/1","PrimaryCaps/4/1","PrimaryCaps/4/1","Elementwise","Elementwise","Elementwise",27.,28.,63.,"{63., 32., 30., 28., 29., 28., 29., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 27., 38., 29., 28., 28., 28., 28., 27., 27., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 30., 28., 27., 28., 28., 27., 28., 28.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",7,7,0,50,"PrimaryCaps/4/2","PrimaryCaps/4/2","PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",217.,218.70000000000002,263.,"{263., 221., 220., 219., 219., 219., 219., 240., 219., 218., 219., 218., 218., 217., 229., 218., 219., 218., 227., 220., 218., 218., 218., 218., 218., 232., 219., 218., 219., 218., 219., 219., 219., 219., 218., 218., 219., 219., 218., 219., 219., 218., 238., 220., 219., 218., 218., 219., 219., 219.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",8,8,0,50,"PrimaryCaps/4/3","PrimaryCaps/4/3","PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",51.,51.6,118.,"{118., 54., 52., 52., 51., 51., 52., 52., 52., 51., 51., 51., 51., 51., 51., 52., 51., 51., 51., 52., 52., 52., 52., 52., 51., 52., 52., 52., 51., 51., 51., 52., 52., 52., 52., 51., 51., 52., 51., 51., 51., 52., 52., 52., 52., 52., 52., 52., 51., 51.}"
"CapsNet Trained on MNIST Data","c5.2xlarge",9,9,0,50,"PrimaryCaps/4/4","PrimaryCaps/4/4","PrimaryCaps/4/4","Replicate","Replicate","Replicate",300.,302.5667,348.,"{348., 304., 301., 302., 302., 301., 302., 301., 301., 323., 303., 302., 301., 300., 302., 301., 301., 301., 301., 301., 300., 301., 318., 305., 310., 303., 303., 303., 303., 303., 303., 303., 304., 303., 304., 313., 304., 302., 302., 302., 303., 303., 304., 302., 303., 303., 302., 303., 317., 304.}"
