"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Yahoo Open NSFW Model V1","c5.xlarge",1,1,0,50,"conv_1","conv_1","conv_1","Convolution","Convolution","Convolution",2719.,2786.2333000000003,12041.,"{12041., 3149., 3043., 2948., 2888., 2862., 2848., 2859., 2817., 2802., 2823., 2800., 2789., 2814., 2747., 2785., 2748., 2817., 2836., 2754., 2719., 2773., 2771., 2779., 2751., 2854., 2754., 2724., 2795., 2767., 2763., 2826., 2773., 2748., 2732., 2787., 2827., 2729., 2760., 2801., 2750., 2774., 2763., 2752., 2772., 2733., 2785., 2796., 2799., 2769.}"
"Yahoo Open NSFW Model V1","c5.xlarge",2,2,0,50,"bn_1","bn_1","bn_1","BatchNormalization","BatchNormalization","BatchNormalization",336.,338.4667,1851.,"{1851., 434., 351., 336., 339., 337., 337., 350., 361., 358., 338., 337., 337., 337., 338., 381., 338., 337., 339., 338., 366., 337., 337., 338., 339., 337., 338., 338., 338., 338., 338., 337., 359., 337., 337., 337., 349., 356., 337., 337., 338., 337., 338., 338., 404., 337., 337., 337., 337., 337.}"
"Yahoo Open NSFW Model V1","c5.xlarge",3,3,0,50,"relu_1","relu_1","relu_1","Elementwise","Elementwise","Elementwise",313.,320.0333,622.,"{451., 414., 338., 318., 319., 330., 331., 318., 317., 318., 317., 317., 317., 330., 326., 315., 314., 314., 314., 314., 315., 313., 316., 315., 314., 315., 321., 316., 563., 599., 598., 599., 613., 622., 320., 316., 316., 316., 318., 316., 323., 322., 321., 321., 320., 351., 321., 321., 320., 319.}"
"Yahoo Open NSFW Model V1","c5.xlarge",4,4,0,50,"pool1_pad","pool1_pad","pool1_pad","Padding","Padding","Padding",1291.,1302.8,1425.,"{1425., 1308., 1303., 1312., 1294., 1293., 1323., 1309., 1295., 1315., 1294., 1294., 1318., 1295., 1294., 1326., 1293., 1293., 1321., 1319., 1292., 1312., 1302., 1293., 1318., 1296., 1297., 1295., 1308., 1292., 1303., 1316., 1295., 1297., 1314., 1291., 1292., 1316., 1310., 1296., 1316., 1293., 1292., 1317., 1294., 1352., 1317., 1293., 1294., 1319.}"
"Yahoo Open NSFW Model V1","c5.xlarge",5,5,0,50,"pool1","pool1","pool1","Pooling","Pooling","Pooling",1528.,1540.9667000000002,1624.,"{1624., 1536., 1535., 1550., 1530., 1529., 1561., 1531., 1550., 1558., 1531., 1551., 1531., 1561., 1531., 1531., 1555., 1556., 1549., 1544., 1530., 1559., 1531., 1531., 1547., 1529., 1567., 1533., 1534., 1554., 1528., 1572., 1544., 1532., 1554., 1533., 1531., 1546., 1530., 1561., 1532., 1533., 1551., 1530., 1550., 1542., 1531., 1551., 1542., 1550.}"
"Yahoo Open NSFW Model V1","c5.xlarge",6,6,0,50,"stage0_block0/conv_proj_shortcut","stage0_block0/conv_proj_shortcut","stage0_block0/conv_proj_shortcut","Convolution","Convolution","Convolution",466.,474.70000000000005,1776.,"{1776., 537., 481., 501., 477., 474., 485., 472., 470., 495., 477., 495., 477., 475., 484., 481., 478., 473., 472., 473., 492., 473., 468., 470., 471., 472., 473., 486., 492., 473., 474., 470., 469., 471., 473., 470., 499., 472., 470., 467., 470., 467., 469., 466., 468., 493., 469., 485., 471., 474.}"
"Yahoo Open NSFW Model V1","c5.xlarge",7,7,0,50,"stage0_block0/bn_proj_shortcut","stage0_block0/bn_proj_shortcut","stage0_block0/bn_proj_shortcut","BatchNormalization","BatchNormalization","BatchNormalization",161.,163.0333,270.,"{270., 217., 171., 165., 164., 174., 163., 163., 163., 164., 163., 164., 164., 164., 164., 165., 163., 164., 163., 162., 161., 178., 192., 162., 161., 163., 161., 163., 162., 161., 162., 162., 161., 162., 162., 163., 163., 162., 162., 162., 162., 163., 162., 163., 161., 175., 175., 164., 162., 204.}"
"Yahoo Open NSFW Model V1","c5.xlarge",8,8,0,50,"stage0_block0/conv_branch2a","stage0_block0/conv_branch2a","stage0_block0/conv_branch2a","Convolution","Convolution","Convolution",116.,122.9333,2958.,"{2958., 189., 164., 159., 168., 157., 155., 156., 165., 178., 119., 118., 118., 117., 118., 116., 118., 118., 133., 118., 120., 118., 118., 119., 118., 119., 118., 118., 119., 118., 120., 118., 120., 120., 119., 119., 121., 124., 122., 145., 168., 127., 122., 124., 123., 123., 120., 122., 121., 122.}"
"Yahoo Open NSFW Model V1","c5.xlarge",9,9,0,50,"stage0_block0/bn_branch2a","stage0_block0/bn_branch2a","stage0_block0/bn_branch2a","BatchNormalization","BatchNormalization","BatchNormalization",50.,50.800000000000004,100.,"{100., 64., 51., 51., 50., 50., 50., 51., 51., 51., 50., 51., 51., 51., 50., 50., 50., 51., 51., 50., 50., 51., 51., 51., 50., 64., 51., 51., 51., 51., 51., 51., 50., 50., 50., 51., 51., 60., 51., 50., 51., 51., 51., 51., 50., 51., 51., 51., 50., 51.}"
"Yahoo Open NSFW Model V1","c5.xlarge",10,10,0,50,"stage0_block0/relu_branch2a","stage0_block0/relu_branch2a","stage0_block0/relu_branch2a","Elementwise","Elementwise","Elementwise",47.,48.166700000000006,79.,"{79., 51., 49., 48., 49., 48., 48., 48., 48., 48., 49., 48., 48., 49., 48., 48., 49., 48., 48., 49., 48., 48., 49., 48., 48., 49., 48., 48., 48., 48., 48., 48., 48., 49., 48., 48., 48., 48., 49., 47., 48., 48., 49., 48., 60., 49., 48., 47., 48., 48.}"
"Yahoo Open NSFW Model V1","c5.xlarge",11,11,0,50,"stage0_block0/conv_branch2b","stage0_block0/conv_branch2b","stage0_block0/conv_branch2b","Convolution","Convolution","Convolution",1096.,1127.2333,4036.,"{4036., 1114., 1167., 1159., 1137., 1134., 1133., 1145., 1097., 1125., 1110., 1151., 1123., 1096., 1238., 1133., 1131., 1123., 1146., 1108., 1122., 1136., 1118., 1166., 1112., 1164., 1099., 1116., 1136., 1101., 1124., 1114., 1142., 1121., 1120., 1139., 1115., 1101., 1146., 1131., 1119., 1105., 1122., 1119., 1131., 1148., 1131., 1119., 1109., 1144.}"
"Yahoo Open NSFW Model V1","c5.xlarge",12,12,0,50,"stage0_block0/bn_branch2b","stage0_block0/bn_branch2b","stage0_block0/bn_branch2b","BatchNormalization","BatchNormalization","BatchNormalization",49.,50.2667,87.,"{87., 54., 50., 51., 60., 50., 51., 49., 50., 50., 50., 49., 50., 50., 50., 51., 51., 50., 50., 50., 51., 51., 50., 51., 50., 51., 50., 50., 50., 50., 51., 50., 50., 50., 51., 50., 50., 50., 50., 49., 51., 50., 50., 51., 51., 51., 51., 49., 50., 50.}"
