"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",1,11,10,50,"7","11/4/1/1/4/2/1/3","7-11/1-11/2-11/3-11/4/1/1/1-11/4/1/1/2-11/4/1/1/3-11/4/1/1/4/1-11/4/1/1/4/2/1/1-11/4/1/1/4/2/1/2-11/4/1/1/4/2/1/3","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Elementwise-BatchNormalization-Elementwise-Convolution-Elementwise-BatchNormalization-Elementwise-Convolution",33815.,34179.8667,75613.,"{75613., 34411., 34391., 34407., 34965., 34605., 33892., 34030., 34086., 33996., 33939., 34007., 34041., 33885., 33859., 34446., 34248., 34671., 34637., 34283., 33994., 33911., 33878., 34239., 34402., 34046., 34346., 34052., 34202., 34223., 34146., 34199., 34015., 34105., 34101., 33955., 34236., 34076., 34341., 34205., 34596., 34481., 34604., 34320., 34293., 34659., 33936., 33815., 33861., 33907.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",12,12,0,50,"11/4/1/1/4/2/2/1","11/4/1/1/4/2/2/1","11/4/1/1/4/2/2/1","Elementwise","Elementwise","Elementwise",198.,199.63330000000002,326.,"{326., 257., 208., 200., 201., 200., 200., 200., 200., 201., 222., 202., 200., 200., 201., 201., 199., 199., 199., 199., 199., 199., 201., 200., 199., 199., 199., 199., 199., 231., 201., 199., 200., 198., 199., 199., 198., 199., 198., 199., 199., 198., 200., 198., 200., 198., 198., 200., 219., 200.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",13,13,0,50,"11/4/1/1/4/2/2/2/1","11/4/1/1/4/2/2/2/1","11/4/1/1/4/2/2/2/1","BatchNormalization","BatchNormalization","BatchNormalization",226.,227.,256.,"{256., 232., 227., 228., 227., 228., 227., 227., 227., 228., 227., 227., 228., 227., 227., 249., 228., 227., 227., 226., 226., 227., 227., 228., 227., 226., 227., 226., 226., 226., 227., 248., 226., 226., 226., 227., 236., 227., 227., 226., 226., 228., 227., 227., 226., 227., 226., 226., 246., 228.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",14,14,0,50,"11/4/1/1/4/2/2/2/2","11/4/1/1/4/2/2/2/2","11/4/1/1/4/2/2/2/2","Elementwise","Elementwise","Elementwise",212.,255.03330000000003,320.,"{231., 218., 215., 213., 213., 213., 213., 213., 214., 212., 213., 213., 213., 213., 213., 215., 214., 234., 214., 213., 213., 212., 213., 213., 319., 295., 290., 289., 288., 289., 289., 291., 320., 306., 292., 288., 299., 289., 288., 289., 289., 288., 288., 288., 289., 311., 289., 289., 289., 290.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",15,15,0,50,"11/4/1/1/4/2/2/2/3","11/4/1/1/4/2/2/2/3","11/4/1/1/4/2/2/2/3","Convolution","Convolution","Convolution",5481.,5582.3,20854.,"{20854., 6049., 5764., 5746., 5830., 5825., 5726., 5694., 5658., 5650., 5705., 5565., 5602., 5602., 5606., 5587., 5578., 5645., 5614., 5657., 5558., 5559., 5560., 5568., 5541., 5569., 5583., 5519., 5575., 5508., 5535., 5481., 5515., 5535., 5557., 5604., 5545., 5615., 5533., 5544., 5511., 5517., 5541., 5621., 5649., 5532., 5571., 5486., 5521., 5487.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",16,16,0,50,"11/4/1/1/4/2/2/3","11/4/1/1/4/2/2/3","11/4/1/1/4/2/2/3","Catenate","Catenate","Catenate",367.,370.1,664.,"{664., 609., 479., 397., 374., 368., 368., 369., 369., 367., 378., 371., 394., 369., 369., 368., 369., 368., 368., 369., 369., 368., 369., 389., 368., 369., 368., 368., 368., 377., 369., 367., 368., 392., 370., 370., 378., 370., 370., 370., 370., 371., 371., 371., 391., 371., 370., 372., 370., 371.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",17,17,0,50,"11/4/1/1/4/3","11/4/1/1/4/3","11/4/1/1/4/3","Catenate","Catenate","Catenate",738.,764.1667,1310.,"{1310., 1256., 1135., 851., 790., 774., 777., 796., 764., 770., 765., 773., 796., 762., 764., 769., 761., 790., 764., 753., 758., 752., 774., 753., 772., 756., 743., 770., 753., 752., 750., 771., 753., 782., 751., 763., 755., 761., 774., 750., 745., 738., 743., 792., 751., 752., 759., 767., 786., 756.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",18,18,0,50,"11/4/1/2/1","11/4/1/2/1","11/4/1/2/1","BatchNormalization","BatchNormalization","BatchNormalization",407.,409.70000000000005,635.,"{635., 583., 469., 444., 410., 408., 410., 409., 409., 408., 408., 409., 408., 428., 407., 419., 407., 407., 408., 408., 408., 409., 430., 409., 407., 409., 409., 408., 407., 409., 410., 408., 409., 409., 408., 408., 409., 408., 411., 420., 409., 435., 414., 412., 412., 414., 412., 411., 412., 413.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",19,19,0,50,"11/4/1/2/2","11/4/1/2/2","11/4/1/2/2","Elementwise","Elementwise","Elementwise",378.,382.93330000000003,488.,"{488., 453., 411., 384., 383., 381., 394., 385., 415., 384., 383., 381., 384., 384., 384., 383., 383., 381., 405., 378., 378., 380., 379., 379., 378., 378., 378., 378., 404., 392., 382., 390., 383., 382., 382., 383., 381., 382., 382., 402., 381., 383., 383., 382., 383., 382., 383., 382., 383., 404.}"
"3D Face Alignment Net Trained on 300W Large Pose Data","c5n.xlarge",20,20,0,50,"11/4/1/2/3","11/4/1/2/3","11/4/1/2/3","Convolution","Convolution","Convolution",1043.,1070.3333,1815.,"{1815., 1689., 1529., 1386., 1324., 1172., 1203., 1201., 1119., 1105., 1107., 1056., 1049., 1049., 1078., 1100., 1077., 1049., 1103., 1054., 1048., 1072., 1049., 1047., 1088., 1110., 1050., 1045., 1063., 1071., 1048., 1043., 1069., 1056., 1106., 1063., 1072., 1060., 1047., 1048., 1068., 1045., 1044., 1096., 1081., 1045., 1049., 1074., 1045., 1046.}"
