"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,4,"conv1_7x7_s2","pool1_3x3_s2",3,"conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2","Convolution","Pooling","Convolution-Elementwise-Padding-Pooling",4999.,5033.8333,5600.,"{5600., 5304., 5156., 5113., 5029., 5043., 5033., 5044., 5040., 5037., 5050., 5049., 5052., 5027., 5061., 5027., 5040., 5003., 5033., 5016., 5034., 5027., 5040., 5032., 5039., 5096., 5062., 5025., 5017., 5014., 5071., 5029., 5091., 5028., 5065., 5021., 5012., 5035., 5030., 5020., 5015., 5021., 5036., 5008., 5020., 5020., 5025., 4999., 5003., 5049.}"
5,8,"pool1_norm1","conv2_3x3",3,"pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3","LocalResponseNormalization","Convolution","LocalResponseNormalization-Convolution-Elementwise-Convolution",6361.,6432.7667,6837.,"{6837., 6689., 6506., 6501., 6415., 6442., 6514., 6374., 6400., 6480., 6364., 6392., 6508., 6383., 6399., 6494., 6424., 6424., 6463., 6446., 6488., 6399., 6415., 6457., 6388., 6402., 6487., 6396., 6378., 6552., 6361., 6400., 6441., 6444., 6473., 6363., 6431., 6482., 6387., 6379., 6444., 6400., 6397., 6528., 6393., 6379., 6471., 6444., 6784., 6434.}"
9,12,"conv2_relu_3x3","pool2_3x3_s2",3,"conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad-pool2_3x3_s2","Elementwise","Pooling","Elementwise-LocalResponseNormalization-Padding-Pooling",12218.,12392.7667,12654.,"{12654., 12486., 12429., 12399., 12420., 12386., 12401., 12395., 12396., 12218., 12391., 12412., 12233., 12394., 12389., 12397., 12386., 12388., 12315., 12402., 12395., 12395., 12404., 12404., 12390., 12400., 12389., 12392., 12391., 12386., 12390., 12394., 12412., 12392., 12331., 12390., 12371., 12391., 12386., 12467., 12399., 12391., 12384., 12252., 12435., 12387., 12389., 12385., 12397., 12387.}"
13,13,"inception_3a/1x1","inception_3a/1x1",0,"inception_3a/1x1","Convolution","Convolution","Convolution",91.,92.56670000000001,161.,"{161., 98., 93., 93., 91., 93., 92., 92., 102., 93., 97., 93., 92., 92., 92., 93., 92., 92., 93., 91., 92., 93., 92., 95., 94., 92., 92., 92., 93., 93., 93., 92., 93., 92., 93., 92., 93., 93., 99., 93., 92., 91., 93., 92., 92., 93., 93., 91., 93., 92.}"
14,14,"inception_3a/relu_1x1","inception_3a/relu_1x1",0,"inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",45.,48.2333,65.,"{65., 48., 47., 46., 45., 46., 47., 63., 49., 49., 49., 49., 49., 48., 48., 48., 48., 49., 49., 49., 49., 48., 48., 48., 48., 48., 48., 48., 48., 49., 48., 49., 49., 48., 48., 48., 48., 49., 48., 48., 48., 49., 48., 48., 48., 48., 48., 48., 48., 49.}"
15,18,"inception_3a/3x3_reduce","inception_3a/relu_3x3",3,"inception_3a/3x3_reduce-inception_3a/relu_3x3_reduce-inception_3a/3x3-inception_3a/relu_3x3","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",1182.,1915.4333000000001,2406.,"{1400., 1197., 1201., 1216., 1377., 1514., 2313., 2305., 2263., 2318., 2372., 2257., 2257., 2248., 2370., 2255., 2270., 2268., 2389., 2275., 2249., 2276., 2326., 2351., 2271., 2250., 2278., 2361., 2259., 2272., 2250., 2406., 2260., 2275., 2260., 1402., 1299., 1315., 1210., 1185., 1182., 1205., 1184., 1184., 1290., 1242., 1190., 1199., 1192., 1182.}"
19,22,"inception_3a/5x5_reduce","inception_3a/relu_5x5",3,"inception_3a/5x5_reduce-inception_3a/relu_5x5_reduce-inception_3a/5x5-inception_3a/relu_5x5","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise",382.,387.0667,477.,"{477., 396., 386., 385., 385., 385., 383., 385., 401., 386., 397., 401., 447., 433., 434., 385., 384., 399., 385., 383., 385., 384., 384., 384., 382., 383., 383., 397., 386., 383., 383., 384., 383., 386., 392., 388., 391., 465., 434., 414., 384., 384., 383., 384., 383., 384., 383., 404., 388., 386.}"
23,23,"inception_3a/pool","inception_3a/pool",0,"inception_3a/pool","Pooling","Pooling","Pooling",1176.,1210.9333000000001,1241.,"{1233., 1188., 1210., 1208., 1209., 1209., 1227., 1206., 1177., 1187., 1219., 1177., 1210., 1209., 1201., 1210., 1200., 1210., 1217., 1224., 1209., 1210., 1217., 1199., 1208., 1208., 1208., 1208., 1176., 1223., 1211., 1224., 1178., 1224., 1218., 1223., 1213., 1211., 1210., 1241., 1214., 1178., 1223., 1212., 1212., 1211., 1227., 1206., 1213., 1212.}"
24,24,"inception_3a/pool_proj","inception_3a/pool_proj",0,"inception_3a/pool_proj","Convolution","Convolution","Convolution",80.,83.7667,169.,"{169., 84., 80., 82., 80., 81., 81., 80., 80., 81., 80., 81., 80., 80., 81., 95., 85., 84., 82., 84., 84., 84., 83., 83., 83., 83., 83., 83., 84., 83., 82., 82., 83., 83., 89., 104., 91., 91., 89., 89., 91., 95., 90., 90., 91., 100., 83., 84., 82., 81.}"
25,25,"inception_3a/relu_pool_proj","inception_3a/relu_pool_proj",0,"inception_3a/relu_pool_proj","Elementwise","Elementwise","Elementwise",39.,39.6333,55.,"{55., 41., 40., 40., 40., 40., 40., 40., 39., 39., 40., 40., 39., 40., 40., 40., 40., 39., 39., 40., 39., 40., 40., 40., 39., 39., 40., 40., 40., 40., 41., 39., 40., 39., 39., 40., 39., 40., 39., 39., 39., 39., 40., 39., 39., 39., 40., 39., 39., 40.}"
