"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",1,5,4,50,"1/1/blockNet4/conv1a/1","1/1/blockNet4/pool1","1/1/blockNet4/conv1a/1-1/1/blockNet4/conv1a/2-1/1/blockNet4/conv1b/1-1/1/blockNet4/conv1b/2-1/1/blockNet4/pool1","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-Pooling",107569.,108268.76670000001,217083.,"{217083., 109041., 108989., 108813., 108642., 109288., 108779., 108885., 109103., 108869., 109207., 108883., 109489., 109077., 109247., 108708., 109008., 108997., 108091., 107741., 108081., 108046., 107857., 107790., 108107., 108151., 107939., 107818., 107662., 108083., 108039., 108199., 108189., 107792., 107891., 108258., 107773., 107569., 107772., 108001., 107948., 107902., 108198., 107977., 108015., 108094., 108207., 107726., 108113., 107966.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",6,10,4,50,"1/1/blockNet4/conv2a/1","1/1/blockNet4/pool2","1/1/blockNet4/conv2a/1-1/1/blockNet4/conv2a/2-1/1/blockNet4/conv2b/1-1/1/blockNet4/conv2b/2-1/1/blockNet4/pool2","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-Pooling",84583.,84871.4333,160227.,"{160227., 84833., 84717., 84777., 85264., 84720., 84665., 84750., 84842., 84605., 84920., 84756., 85197., 85209., 84583., 84802., 85296., 84797., 84766., 85196., 85132., 84969., 84890., 84834., 84736., 84892., 85061., 84852., 84748., 84928., 84675., 85164., 84989., 84656., 84777., 84803., 84836., 84680., 84863., 84659., 84835., 84773., 84941., 85447., 84848., 84929., 85291., 85025., 85337., 84975.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",11,15,4,50,"1/1/blockNet4/conv3a/1","1/1/blockNet4/conv3c/1","1/1/blockNet4/conv3a/1-1/1/blockNet4/conv3a/2-1/1/blockNet4/conv3b/1-1/1/blockNet4/conv3b/2-1/1/blockNet4/conv3c/1","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",97257.,97795.8667,134729.,"{134729., 97690., 97611., 97513., 97566., 97593., 97706., 97722., 97599., 97506., 97713., 97456., 97543., 98038., 102657., 97842., 101218., 97618., 97695., 99951., 97673., 97432., 97572., 97866., 97676., 97759., 97578., 97257., 97671., 97917., 97474., 97632., 97405., 97419., 97831., 97535., 98167., 97576., 97573., 97744., 97580., 98012., 99090., 100538., 99197., 98601., 99055., 99441., 99400., 99419.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",16,20,4,50,"1/1/blockNet4/conv3c/2","1/1/blockNet4/conv4a/2","1/1/blockNet4/conv3c/2-1/1/blockNet4/pool3/1-1/1/blockNet4/pool3/2-1/1/blockNet4/conv4a/1-1/1/blockNet4/conv4a/2","Elementwise","Elementwise","Elementwise-Padding-Pooling-Convolution-Elementwise",19412.,19599.8,26031.,"{26031., 19414., 19528., 19499., 19487., 19460., 19444., 19441., 19652., 19748., 19508., 19465., 19525., 19544., 19412., 19468., 19497., 19588., 19505., 19478., 19461., 19667., 19730., 19623., 19518., 19601., 19485., 19579., 19715., 19695., 19644., 19544., 19574., 19642., 19656., 19625., 19695., 19752., 19604., 19718., 19601., 19733., 19696., 19756., 19723., 19671., 19752., 19593., 19726., 19802.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",21,25,4,50,"1/1/blockNet4/conv4b/1","1/1/blockNet7/pool4","1/1/blockNet4/conv4b/1-1/1/blockNet4/conv4b/2-1/1/blockNet4/conv4c/1-1/1/blockNet4/conv4c/2-1/1/blockNet7/pool4","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-Pooling",59684.,60330.600000000006,61892.,"{61892., 60826., 60860., 60568., 60702., 60793., 60880., 60807., 60572., 60803., 60864., 60770., 60678., 60577., 60788., 60522., 60454., 60615., 60551., 60640., 60425., 60337., 60485., 60684., 60558., 60655., 60500., 60785., 60533., 59916., 59837., 59728., 59799., 59719., 59883., 59748., 59922., 60018., 59806., 59964., 60028., 59829., 59800., 59684., 59741., 59789., 59972., 59779., 59863., 59860.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",26,30,4,50,"1/1/blockNet7/conv5a/1","1/1/blockNet7/conv5c/1","1/1/blockNet7/conv5a/1-1/1/blockNet7/conv5a/2-1/1/blockNet7/conv5b/1-1/1/blockNet7/conv5b/2-1/1/blockNet7/conv5c/1","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution",24513.,24630.300000000003,30096.,"{25130., 24630., 24637., 24607., 24620., 30096., 24622., 24513., 24684., 24588., 24644., 24638., 24675., 24746., 24562., 24779., 24677., 24559., 24539., 24648., 24761., 24671., 24609., 24542., 24660., 24648., 24692., 24631., 24702., 24582., 24590., 24577., 24658., 24763., 24721., 24600., 24558., 24554., 24633., 24751., 24575., 24608., 24649., 24612., 24648., 24618., 24596., 24535., 24585., 24641.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",31,35,4,50,"1/1/blockNet7/conv5c/2","1/1/blockNet7/conv7/1","1/1/blockNet7/conv5c/2-1/1/blockNet7/pool5-1/1/blockNet7/conv6/1-1/1/blockNet7/conv6/2-1/1/blockNet7/conv7/1","Elementwise","Convolution","Elementwise-Pooling-Convolution-Elementwise-Convolution",19344.,19432.866700000002,19619.,"{19619., 19424., 19447., 19425., 19425., 19390., 19399., 19503., 19409., 19453., 19464., 19365., 19430., 19344., 19412., 19505., 19486., 19477., 19412., 19421., 19402., 19404., 19418., 19500., 19501., 19483., 19439., 19396., 19426., 19380., 19483., 19414., 19412., 19455., 19394., 19416., 19465., 19469., 19452., 19408., 19535., 19478., 19426., 19383., 19525., 19398., 19487., 19407., 19413., 19394.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",36,40,4,50,"1/1/blockNet7/conv7/2","1/1/blockNet8/conv8b/1","1/1/blockNet7/conv7/2-1/1/blockNet8/conv8a/1-1/1/blockNet8/conv8a/2-1/1/blockNet8/pad2-1/1/blockNet8/conv8b/1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Padding-Convolution",2489.,2523.3667,2855.,"{2855., 2661., 2534., 2533., 2524., 2523., 2517., 2514., 2513., 2510., 2500., 2520., 2509., 2497., 2512., 2538., 2492., 2522., 2493., 2544., 2507., 2500., 2506., 2550., 2517., 2529., 2493., 2524., 2553., 2525., 2539., 2587., 2499., 2527., 2507., 2545., 2509., 2538., 2565., 2535., 2497., 2542., 2568., 2510., 2514., 2546., 2542., 2523., 2489., 2573.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",41,45,4,50,"1/1/blockNet8/conv8b/2","1/1/blockNet9/conv9b/2","1/1/blockNet8/conv8b/2-1/1/blockNet9/conv9a/1-1/1/blockNet9/conv9a/2-1/1/blockNet9/conv9b/1-1/1/blockNet9/conv9b/2","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Convolution-Elementwise",363.,368.1667,562.,"{562., 419., 375., 395., 412., 373., 369., 367., 366., 366., 367., 366., 366., 385., 370., 367., 368., 390., 371., 367., 367., 367., 366., 368., 385., 368., 416., 378., 366., 366., 363., 363., 364., 365., 385., 367., 365., 363., 363., 364., 364., 365., 365., 364., 389., 384., 365., 365., 364., 363.}"
"SSD-VGG-300 Trained on PASCAL VOC Data","c5.xlarge",46,46,0,50,"1/1/multiboxLayer4/multiboxClasses/1","1/1/multiboxLayer4/multiboxClasses/1","1/1/multiboxLayer4/multiboxClasses/1","Convolution","Convolution","Convolution",269.,274.2,349.,"{349., 286., 278., 276., 274., 273., 274., 292., 277., 275., 273., 288., 275., 274., 274., 273., 273., 272., 272., 271., 271., 293., 275., 272., 273., 273., 273., 272., 271., 314., 312., 276., 271., 304., 299., 289., 272., 271., 271., 270., 270., 270., 269., 270., 271., 270., 285., 272., 271., 311.}"
