"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",1,6,5,50,"1/1","1/6","1/1-1/2-1/3-1/4-1/5-1/6","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",23098.,23318.1667,46211.,"{46211., 23447., 23480., 23120., 23190., 23457., 23209., 23162., 23304., 23185., 23337., 23220., 23222., 23417., 23338., 23526., 23224., 23221., 23703., 23612., 23556., 23515., 23237., 23408., 23327., 23249., 23316., 23322., 23156., 23135., 23717., 23646., 23320., 23680., 23382., 23252., 23263., 23322., 23223., 23444., 23465., 23261., 23098., 23530., 23220., 23308., 23350., 23150., 23206., 23150.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",7,12,5,50,"1/7","1/12","1/7-1/8-1/9-1/10-1/11-1/12","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",24182.,24362.2,32933.,"{32933., 24510., 24296., 24373., 24371., 24370., 24353., 24267., 24233., 24351., 24406., 24183., 24331., 24435., 24343., 24569., 24458., 24275., 24182., 24584., 24457., 24552., 24428., 24290., 24283., 24332., 24343., 24449., 24310., 24308., 24228., 24449., 24597., 24384., 24291., 24287., 24485., 24393., 24286., 24286., 24242., 24346., 24452., 24319., 24213., 24501., 24564., 24610., 24342., 24313.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",13,13,0,50,"1/13","1/13","1/13","Convolution","Convolution","Convolution",16285.,16430.8,23565.,"{23565., 16910., 16851., 16615., 16520., 16579., 16436., 16583., 16532., 16409., 16461., 16444., 16379., 16457., 16363., 16512., 16645., 16586., 16473., 16444., 16392., 16440., 16373., 16437., 16557., 16339., 16389., 16461., 16328., 16396., 16432., 16384., 16406., 16311., 16501., 16455., 16380., 16434., 16329., 16389., 16439., 16353., 16444., 16395., 16288., 16349., 16285., 16349., 16416., 16426.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",14,14,0,50,"1/14","1/14","1/14","Elementwise","Elementwise","Elementwise",175.,176.9667,248.,"{248., 193., 177., 177., 177., 176., 176., 177., 175., 192., 177., 178., 178., 178., 178., 177., 177., 177., 178., 178., 221., 181., 177., 175., 176., 176., 176., 178., 177., 176., 191., 177., 176., 177., 177., 176., 176., 177., 176., 189., 177., 176., 177., 176., 176., 201., 179., 176., 177., 176.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",15,15,0,50,"1/15","1/15","1/15","Convolution","Convolution","Convolution",9629.,9710.4333,17052.,"{17052., 10119., 10131., 9946., 9870., 9771., 9725., 9662., 9684., 9715., 9710., 9690., 9720., 9917., 9908., 9808., 9637., 9675., 9714., 9662., 9704., 9699., 9771., 9709., 9694., 9699., 9680., 9751., 9656., 9717., 9877., 9829., 9743., 9710., 9674., 9679., 9687., 9662., 9687., 9654., 9667., 9686., 9655., 9781., 9858., 9701., 9647., 9629., 9646., 9643.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",16,16,0,50,"1/16","1/16","1/16","Elementwise","Elementwise","Elementwise",99.,100.5,148.,"{148., 106., 101., 101., 99., 111., 101., 100., 99., 100., 100., 100., 113., 103., 100., 100., 101., 100., 100., 100., 100., 100., 100., 99., 100., 101., 100., 100., 101., 100., 100., 100., 100., 99., 120., 102., 102., 101., 101., 101., 101., 100., 101., 101., 102., 102., 101., 100., 101., 101.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",17,22,5,50,"2/1","2/6","2/1-2/2-2/3-2/4-2/5-2/6","Resize","Convolution","Resize-Convolution-Elementwise-Convolution-Elementwise-Convolution",24577.,25390.7667,27934.,"{26250., 24914., 24666., 24604., 24823., 24577., 24634., 25187., 24778., 25139., 24757., 24976., 25081., 25003., 25124., 25070., 25112., 25231., 25913., 25835., 25163., 25409., 25090., 25351., 25760., 25617., 25317., 25519., 25423., 25808., 25406., 25356., 25318., 25632., 25674., 25581., 25736., 25406., 25576., 25553., 25761., 25436., 25665., 25599., 25479., 26005., 27934., 25680., 25529., 25726.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",23,28,5,50,"2/7","2/12","2/7-2/8-2/9-2/10-2/11-2/12","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",25030.,25260.833300000002,25699.,"{25699., 25178., 25250., 25202., 25030., 25064., 25093., 25160., 25155., 25116., 25073., 25213., 25273., 25291., 25303., 25186., 25299., 25249., 25294., 25388., 25266., 25304., 25085., 25250., 25310., 25349., 25200., 25345., 25502., 25265., 25243., 25126., 25273., 25230., 25257., 25294., 25243., 25269., 25210., 25295., 25247., 25404., 25274., 25280., 25324., 25231., 25359., 25413., 25494., 25505.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",29,34,5,50,"2/13","2/18","2/13-2/14-2/15-2/16-2/17-2/18","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",11808.,11882.4333,12082.,"{12082., 11904., 11879., 11891., 11926., 11980., 11989., 11841., 12002., 11881., 11867., 11883., 11893., 11895., 11926., 11879., 11875., 11900., 11808., 11928., 11824., 11821., 11871., 11893., 11861., 11936., 11898., 11937., 11864., 11952., 11966., 11850., 11857., 11863., 11863., 11845., 11944., 11868., 11853., 11857., 11850., 11859., 11895., 11872., 11883., 11873., 11864., 11920., 11870., 11852.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.xlarge",35,40,5,50,"2/19","2/24","2/19-2/20-2/21-2/22-2/23-2/24","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Flatten-Linear-Elementwise",6064.,6147.9667,9990.,"{6514., 6344., 6241., 6167., 6208., 6172., 6157., 6141., 6148., 6177., 6136., 6120., 6130., 6138., 6157., 6132., 6120., 6185., 6213., 6133., 6136., 6135., 6221., 6151., 6143., 6112., 6134., 6176., 6142., 6085., 6139., 6098., 6163., 6138., 6127., 6141., 6089., 6167., 6157., 6139., 6153., 6138., 6064., 6091., 9990., 6224., 6186., 6143., 6093., 6156.}"
