"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",1,10,9,50,"56","29","56-50-41-43-45-34-36-38-27-29","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution",57429.,58056.7333,78767.,"{78767., 57944., 57604., 57720., 57583., 57567., 58518., 58860., 58760., 58987., 58869., 59409., 59021., 58710., 58823., 58591., 58199., 58784., 58440., 57886., 57692., 58024., 57769., 57429., 57659., 57874., 57995., 57985., 57633., 57758., 57664., 58576., 58578., 58569., 58261., 58297., 57885., 57870., 57638., 57527., 57665., 57628., 57808., 57928., 57983., 58037., 58353., 57703., 58004., 57790.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",11,20,9,50,"31","8","31-20-22-24-12-14-16-4-6-8","Normalization","Normalization","Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization-Elementwise-Convolution-Normalization",12942.,13128.2,22089.,"{22089., 14111., 13293., 13166., 13102., 13159., 13307., 13184., 13186., 13101., 13044., 13000., 13064., 13015., 13036., 13022., 13058., 12942., 13053., 13078., 13082., 13087., 13011., 13074., 13104., 13128., 13076., 13017., 13084., 13199., 13218., 13206., 13219., 13172., 13200., 13170., 13170., 13231., 13207., 13133., 13243., 13224., 13141., 13181., 13156., 13071., 13169., 13084., 13045., 13061.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",21,21,0,50,"1","1","1","Elementwise","Elementwise","Elementwise",40.,40.9667,80.,"{80., 43., 41., 41., 41., 40., 41., 40., 41., 41., 41., 47., 48., 41., 41., 40., 40., 41., 41., 40., 41., 41., 40., 41., 41., 40., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 40., 41., 41., 41., 40., 41., 41., 41., 41., 40., 41., 40., 42., 41.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",22,22,0,50,"2","2","2","Convolution","Convolution","Convolution",540.,548.7,804.,"{804., 671., 563., 587., 544., 544., 585., 543., 544., 545., 578., 543., 554., 543., 540., 540., 548., 566., 546., 541., 544., 551., 553., 543., 617., 550., 549., 547., 546., 549., 545., 571., 551., 546., 544., 549., 547., 544., 572., 543., 547., 553., 580., 543., 546., 555., 558., 547., 549., 547.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",23,23,0,50,"3","3","3","Elementwise","Elementwise","Elementwise",32.,32.7667,74.,"{74., 34., 33., 33., 32., 33., 33., 32., 32., 32., 33., 32., 33., 32., 33., 32., 33., 45., 40., 33., 32., 33., 33., 34., 33., 33., 33., 33., 32., 33., 33., 32., 33., 32., 33., 32., 32., 33., 33., 32., 32., 33., 33., 33., 32., 33., 32., 33., 33., 33.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",24,24,0,50,"5","5","5","Deconvolution","Deconvolution","Deconvolution",930.,949.2667,1765.,"{1765., 1380., 1063., 1001., 981., 985., 956., 946., 956., 1022., 948., 948., 945., 1068., 945., 941., 940., 969., 942., 985., 942., 968., 942., 941., 930., 960., 941., 943., 940., 980., 937., 938., 939., 961., 939., 944., 943., 965., 933., 973., 952., 942., 948., 940., 938., 937., 957., 938., 939., 940.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",25,25,0,50,"7","7","7","Normalization","Normalization","Normalization",166.,166.70000000000002,320.,"{204., 168., 167., 167., 166., 167., 166., 166., 174., 170., 166., 166., 166., 167., 166., 166., 166., 166., 166., 166., 167., 206., 168., 166., 166., 167., 168., 167., 167., 167., 166., 166., 166., 166., 167., 166., 166., 166., 166., 166., 166., 166., 167., 320., 251., 247., 246., 246., 246., 246.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",26,26,0,50,"9","9","9","Dropout","Dropout","Dropout",21.,22.,80.,"{80., 26., 23., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 23., 23., 22., 22., 22., 21., 22., 22., 22., 22., 22., 22., 22., 22., 22., 22., 21., 22., 22., 22., 22., 22., 22., 23., 23., 22., 22., 22., 22., 22., 22.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",27,27,0,50,"10","10","10","Catenate","Catenate","Catenate",53.,53.2,90.,"{90., 54., 54., 73., 54., 53., 54., 53., 53., 53., 54., 55., 53., 53., 53., 53., 53., 53., 53., 53., 53., 53., 54., 53., 53., 53., 54., 53., 54., 53., 53., 61., 55., 53., 53., 54., 53., 53., 53., 53., 53., 53., 54., 53., 53., 53., 53., 54., 53., 53.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",28,28,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",32.,33.566700000000004,52.,"{52., 34., 33., 33., 33., 33., 33., 32., 32., 33., 32., 32., 33., 32., 33., 32., 32., 32., 33., 34., 32., 32., 33., 33., 32., 32., 40., 35., 34., 34., 35., 34., 35., 35., 34., 34., 34., 35., 34., 35., 34., 34., 34., 34., 35., 34., 35., 35., 35., 34.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",29,29,0,50,"13","13","13","Deconvolution","Deconvolution","Deconvolution",5178.,5334.1,10601.,"{10601., 9707., 9952., 9587., 9700., 9526., 9389., 9317., 8652., 5281., 5252., 5260., 5247., 5223., 5233., 5243., 5201., 5266., 5260., 5369., 5258., 5282., 5286., 5309., 5285., 5274., 5335., 5318., 5233., 5273., 5219., 5223., 5327., 5272., 5292., 5191., 5239., 5178., 5413., 5316., 5312., 5282., 5510., 5492., 5306., 5614., 5536., 5549., 5452., 5409.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",30,30,0,50,"15","15","15","Normalization","Normalization","Normalization",457.,459.40000000000003,498.,"{498., 461., 458., 468., 459., 458., 457., 457., 457., 457., 457., 472., 461., 459., 459., 467., 461., 459., 460., 459., 484., 461., 459., 460., 460., 459., 459., 462., 470., 461., 460., 460., 459., 459., 460., 459., 466., 459., 457., 457., 457., 457., 458., 457., 457., 480., 461., 459., 460., 459.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",31,31,0,50,"17","17","17","Dropout","Dropout","Dropout",33.,34.,66.,"{59., 36., 34., 33., 35., 34., 34., 34., 34., 34., 34., 35., 34., 34., 34., 33., 34., 34., 34., 34., 34., 34., 33., 34., 34., 33., 33., 34., 35., 34., 34., 34., 66., 34., 34., 34., 36., 34., 33., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34., 34.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",32,32,0,50,"18","18","18","Catenate","Catenate","Catenate",57.,58.066700000000004,78.,"{78., 60., 59., 57., 58., 58., 58., 58., 58., 58., 58., 59., 58., 59., 57., 57., 59., 57., 57., 58., 57., 58., 58., 59., 57., 59., 57., 58., 58., 58., 57., 58., 58., 57., 58., 66., 58., 59., 58., 60., 59., 58., 57., 58., 59., 58., 57., 58., 59., 58.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",33,33,0,50,"19","19","19","Elementwise","Elementwise","Elementwise",39.,40.,61.,"{61., 42., 41., 40., 40., 40., 39., 40., 40., 40., 40., 40., 40., 41., 40., 40., 40., 40., 40., 40., 41., 40., 40., 40., 40., 40., 40., 40., 40., 39., 40., 40., 40., 40., 40., 40., 40., 40., 39., 39., 41., 39., 40., 40., 40., 40., 40., 40., 40., 40.}"
"Pix2pix Photo-to-Street-Map Translation","c5.2xlarge",34,34,0,50,"21","21","21","Deconvolution","Deconvolution","Deconvolution",10754.,11003.2667,19366.,"{19366., 14399., 10971., 11133., 11181., 11046., 10946., 10845., 10980., 10865., 11081., 10869., 11181., 11245., 10984., 10921., 10857., 11019., 11073., 11156., 11264., 11314., 11064., 10885., 10959., 10950., 10850., 10909., 10797., 10754., 10828., 10909., 10871., 11079., 11047., 11051., 10956., 11022., 11037., 10940., 10920., 10953., 11028., 10929., 10969., 11103., 11116., 11153., 11144., 11003.}"
