"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,2,"conv1","relu_conv1",1,"conv1-relu_conv1","Convolution","Elementwise","Convolution-Elementwise",1239.,1261.5,1536.,"{1536., 1270., 1340., 1286., 1255., 1246., 1249., 1278., 1239., 1249., 1353., 1245., 1260., 1257., 1248., 1260., 1251., 1273., 1333., 1262., 1247., 1248., 1261., 1247., 1240., 1299., 1328., 1252., 1282., 1260., 1261., 1261., 1268., 1320., 1293., 1269., 1247., 1255., 1282., 1247., 1250., 1347., 1252., 1244., 1263., 1247., 1249., 1266., 1268., 1351.}"
3,4,"pool1","fire2/squeeze1x1",1,"pool1-fire2/squeeze1x1","Pooling","Convolution","Pooling-Convolution",1655.,1674.4333000000001,1761.,"{1761., 1666., 1701., 1703., 1663., 1714., 1661., 1682., 1666., 1696., 1672., 1665., 1675., 1657., 1679., 1673., 1683., 1655., 1659., 1676., 1664., 1717., 1668., 1680., 1658., 1663., 1669., 1706., 1680., 1672., 1686., 1673., 1684., 1689., 1678., 1738., 1659., 1661., 1670., 1699., 1702., 1662., 1673., 1663., 1663., 1716., 1663., 1672., 1688., 1665.}"
5,6,"fire2/relu_squeeze1x1","fire2/expand1x1",1,"fire2/relu_squeeze1x1-fire2/expand1x1","Elementwise","Convolution","Elementwise-Convolution",186.,189.26670000000001,234.,"{214., 202., 195., 196., 195., 191., 192., 189., 187., 196., 191., 189., 187., 189., 189., 189., 188., 189., 188., 189., 188., 187., 187., 187., 186., 188., 189., 188., 187., 234., 204., 201., 202., 202., 203., 187., 187., 187., 188., 189., 186., 186., 191., 188., 188., 187., 187., 187., 187., 200.}"
7,7,"fire2/relu_expand1x1","fire2/relu_expand1x1",0,"fire2/relu_expand1x1","Elementwise","Elementwise","Elementwise",101.,101.4667,120.,"{120., 104., 102., 102., 101., 101., 101., 110., 102., 102., 101., 102., 101., 101., 101., 101., 101., 102., 101., 102., 101., 101., 101., 102., 101., 101., 115., 103., 102., 102., 101., 102., 101., 101., 101., 102., 101., 102., 101., 102., 101., 102., 101., 102., 101., 102., 101., 102., 101., 102.}"
8,9,"fire2/expand3x3","fire2/relu_expand3x3",1,"fire2/expand3x3-fire2/relu_expand3x3","Convolution","Elementwise","Convolution-Elementwise",669.,675.8000000000001,846.,"{833., 689., 678., 674., 673., 687., 673., 672., 673., 671., 688., 672., 671., 730., 846., 672., 691., 673., 671., 676., 671., 671., 685., 671., 671., 670., 669., 697., 824., 713., 672., 671., 669., 682., 670., 669., 669., 671., 669., 686., 672., 672., 758., 785., 690., 677., 678., 675., 675., 674.}"
10,11,"fire2/concat","fire3/squeeze1x1",1,"fire2/concat-fire3/squeeze1x1","Catenate","Convolution","Catenate-Convolution",257.,263.5667,384.,"{384., 295., 270., 269., 267., 267., 269., 266., 264., 265., 265., 262., 262., 269., 263., 263., 263., 264., 259., 259., 300., 281., 282., 279., 294., 264., 261., 268., 262., 261., 262., 263., 261., 260., 264., 263., 262., 260., 263., 261., 259., 261., 278., 261., 260., 261., 258., 259., 257., 258.}"
12,13,"fire3/relu_squeeze1x1","fire3/expand1x1",1,"fire3/relu_squeeze1x1-fire3/expand1x1","Elementwise","Convolution","Elementwise-Convolution",176.,178.76670000000001,228.,"{228., 185., 180., 182., 181., 178., 177., 178., 179., 179., 179., 179., 180., 176., 177., 179., 178., 178., 178., 178., 179., 192., 177., 177., 177., 177., 178., 177., 178., 177., 177., 186., 194., 191., 191., 190., 189., 193., 179., 176., 180., 179., 183., 179., 178., 177., 177., 177., 178., 178.}"
14,14,"fire3/relu_expand1x1","fire3/relu_expand1x1",0,"fire3/relu_expand1x1","Elementwise","Elementwise","Elementwise",102.,102.9667,121.,"{121., 107., 103., 105., 103., 103., 104., 102., 103., 103., 103., 103., 102., 102., 102., 103., 113., 109., 104., 103., 103., 103., 104., 103., 104., 103., 103., 103., 103., 104., 103., 103., 103., 102., 102., 103., 104., 102., 103., 102., 103., 103., 102., 103., 102., 102., 102., 103., 103., 103.}"
15,16,"fire3/expand3x3","fire3/relu_expand3x3",1,"fire3/expand3x3-fire3/relu_expand3x3","Convolution","Elementwise","Convolution-Elementwise",661.,673.7667,855.,"{797., 821., 707., 696., 674., 673., 670., 670., 670., 685., 672., 670., 668., 670., 677., 855., 771., 669., 669., 668., 679., 669., 669., 668., 669., 670., 684., 667., 668., 762., 785., 699., 685., 672., 664., 669., 689., 683., 666., 665., 666., 662., 662., 756., 810., 661., 663., 667., 665., 671.}"
17,18,"fire3/concat","pool3_pad",1,"fire3/concat-pool3_pad","Catenate","Padding","Catenate-Padding",577.,581.7333,663.,"{663., 600., 581., 590., 579., 598., 583., 583., 578., 578., 578., 578., 596., 579., 578., 589., 581., 578., 578., 589., 578., 577., 579., 579., 578., 611., 581., 580., 578., 580., 579., 579., 602., 588., 588., 582., 581., 582., 580., 600., 582., 582., 580., 582., 581., 593., 581., 582., 582., 590.}"
