"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",1,10,9,50,"conv1_1","pool2","conv1_1-relu1_1-conv1_2-relu1_2-pool1-conv2_1-relu2_1-conv2_2-relu2_2-pool2","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Pooling",80423.,80819.1667,153966.,"{153966., 80423., 80707., 80832., 80879., 80505., 80584., 80786., 81201., 80603., 80858., 81038., 81083., 80827., 80606., 80565., 80674., 80659., 80884., 80702., 80815., 80900., 80719., 80785., 81323., 80778., 80501., 80722., 80579., 80785., 80757., 80592., 80731., 81278., 81185., 80956., 81279., 81047., 81101., 81161., 80984., 80712., 81065., 80791., 80636., 81018., 80603., 80882., 81000., 80711.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",11,20,9,50,"conv3_1","conv4_2","conv3_1-relu3_1-conv3_2-relu3_2-conv3_3-relu3_3-pool3-conv4_1-relu4_1-conv4_2","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",50843.,51476.7667,70759.,"{70759., 51879., 51239., 51278., 51225., 52054., 51621., 50843., 50846., 50986., 51305., 51268., 51456., 51676., 52086., 50965., 51706., 52563., 52231., 52090., 51190., 51085., 51789., 51748., 51555., 52034., 51161., 51285., 51570., 51222., 51427., 51346., 51350., 51015., 50899., 51631., 51354., 51629., 51177., 51615., 51798., 51740., 51530., 51565., 51200., 51135., 50954., 52370., 51808., 51985.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",21,30,9,50,"relu4_2","relu5_3","relu4_2-conv4_3-relu4_3-pool4-conv5_1-relu5_1-conv5_2-relu5_2-conv5_3-relu5_3","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",21069.,21234.7333,27999.,"{27999., 21224., 21171., 21224., 21149., 21298., 21277., 21231., 21202., 21208., 21385., 21601., 21462., 21341., 21243., 21198., 21203., 21117., 21221., 21208., 21340., 21227., 21213., 21134., 21069., 21164., 21260., 21198., 21292., 21361., 21173., 21093., 21219., 21153., 21141., 21217., 21163., 21415., 21295., 21354., 21192., 21189., 21385., 21322., 21199., 21174., 21342., 21300., 21242., 21253.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",31,40,9,50,"pool5","prob","pool5-flatten_0-fc6-relu6-drop6-fc7-relu7-drop7-fc8_101-prob","Pooling","Softmax","Pooling-Flatten-Linear-Elementwise-Dropout-Linear-Elementwise-Dropout-Linear-Softmax",10458.,10543.2,10891.,"{10891., 10691., 10661., 10609., 10594., 10526., 10530., 10557., 10491., 10500., 10499., 10496., 10515., 10564., 10604., 10628., 10550., 10563., 10573., 10536., 10534., 10489., 10460., 10543., 10682., 10577., 10573., 10506., 10492., 10494., 10476., 10458., 10583., 10572., 10525., 10518., 10495., 10486., 10471., 10553., 10668., 10509., 10551., 10560., 10548., 10551., 10557., 10550., 10578., 10582.}"
=======
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",1,10,9,50,"conv1_1","pool2","conv1_1-relu1_1-conv1_2-relu1_2-pool1-conv2_1-relu2_1-conv2_2-relu2_2-pool2","Convolution","Pooling","Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Pooling",80026.,80710.,146412.,"{146412., 80691., 80892., 80341., 80685., 80848., 81152., 81001., 80888., 81060., 80779., 80679., 80560., 80656., 80618., 80239., 80127., 80497., 80382., 80999., 80666., 80210., 80407., 80421., 81163., 80808., 80134., 80277., 80207., 80087., 80453., 81409., 81013., 80742., 80642., 80026., 80765., 80789., 80739., 80854., 81098., 80565., 80701., 81222., 81471., 81237., 81447., 81019., 80541., 80229.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",11,20,9,50,"conv3_1","conv4_2","conv3_1-relu3_1-conv3_2-relu3_2-conv3_3-relu3_3-pool3-conv4_1-relu4_1-conv4_2","Convolution","Convolution","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",51070.,51927.933300000004,70560.,"{70560., 51988., 51937., 51933., 51996., 51961., 51774., 52014., 51718., 51762., 51713., 52018., 52144., 52042., 52046., 52052., 52191., 52099., 52283., 52188., 52090., 52064., 51841., 51843., 51850., 51919., 52183., 52138., 51585., 51808., 52118., 52172., 51973., 51467., 51910., 52079., 51879., 51857., 51790., 51977., 51957., 51610., 51761., 51414., 51070., 51236., 51781., 51930., 51632., 51767.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",21,30,9,50,"relu4_2","relu5_3","relu4_2-conv4_3-relu4_3-pool4-conv5_1-relu5_1-conv5_2-relu5_2-conv5_3-relu5_3","Elementwise","Elementwise","Elementwise-Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",20884.,21088.9333,27270.,"{27270., 21069., 20960., 21148., 21200., 20988., 21145., 20884., 20989., 21063., 21095., 21058., 21054., 21067., 21158., 21020., 21019., 20974., 21148., 21042., 21033., 21132., 21191., 21373., 21275., 21082., 21119., 21062., 21089., 21141., 21085., 21130., 21212., 21198., 21104., 21047., 21145., 21012., 21004., 21089., 21138., 21062., 21066., 20914., 21035., 21136., 21120., 21145., 21095., 21006.}"
"Age Estimation VGG-16 Trained on IMDB-WIKI Data","c5.2xlarge",31,40,9,50,"pool5","prob","pool5-flatten_0-fc6-relu6-drop6-fc7-relu7-drop7-fc8_101-prob","Pooling","Softmax","Pooling-Flatten-Linear-Elementwise-Dropout-Linear-Elementwise-Dropout-Linear-Softmax",10233.,10618.2,11008.,"{11008., 10683., 10722., 10558., 10629., 10612., 10580., 10800., 10712., 10701., 10669., 10655., 10755., 10467., 10502., 10420., 10548., 10611., 10388., 10719., 10821., 10753., 10766., 10595., 10810., 10805., 10603., 10727., 10963., 10476., 10576., 10710., 10428., 10567., 10488., 10590., 10673., 10853., 10608., 10569., 10642., 10593., 10405., 10517., 10661., 10486., 10526., 10233., 10376., 10373.}"
>>>>>>> d0e3d4ffbe6c3a6ce0dc8050a8311e5ac372ed29
